@relation bal
@attribute left-weight real
@attribute left-distance real
@attribute right-weight real
@attribute right-distance real
@attribute class {L,B,R}
@inputs left-weight, left-distance, right-weight, right-distance
@outputs class
@data
1, 1, 2, 1, R
1, 1, 2, 2, R
1, 1, 2, 3, R
1, 1, 2, 4, R
1, 1, 4, 2, R
1, 2, 1, 1, L
1, 2, 1, 5, R
1, 2, 5, 4, R
1, 3, 2, 4, R
1, 4, 4, 2, R
1, 5, 2, 4, R
1, 5, 3, 4, R
1, 5, 4, 4, R
2, 1, 1, 4, R
2, 1, 1, 5, R
2, 2, 2, 2, B
2, 2, 2, 5, R
2, 3, 3, 3, R
2, 3, 4, 3, R
2, 3, 4, 4, R
2, 3, 4, 5, R
2, 4, 2, 1, L
2, 4, 3, 2, L
2, 4, 4, 2, B
2, 5, 2, 5, B
2, 5, 3, 1, L
2, 5, 3, 2, L
3, 1, 5, 1, R
3, 1, 5, 3, R
3, 1, 5, 4, R
3, 2, 1, 1, L
3, 2, 1, 2, L
3, 2, 1, 5, L
3, 2, 5, 3, R
3, 3, 3, 1, L
3, 3, 3, 2, L
3, 3, 4, 5, R
3, 3, 5, 3, R
3, 4, 3, 4, B
3, 5, 1, 2, L
3, 5, 4, 5, R
4, 1, 4, 4, R
4, 2, 2, 2, L
4, 2, 3, 2, L
4, 3, 2, 4, L
4, 3, 4, 5, R
4, 3, 5, 3, R
4, 4, 3, 3, L
4, 4, 5, 2, L
4, 5, 1, 2, L
4, 5, 3, 1, L
4, 5, 3, 2, L
5, 2, 1, 3, L
5, 2, 5, 2, B
5, 3, 1, 3, L
5, 3, 2, 4, L
5, 3, 3, 1, L
5, 3, 3, 3, L
5, 4, 1, 1, L
5, 4, 1, 2, L
5, 4, 2, 3, L
5, 5, 3, 1, L
5, 5, 5, 1, L
