@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
50.0, 50, 0.367, 14.0, 80, 0.75, 40, 10.5, 1700, 52.6, 36.8, 0.0, 0.0, 2.5, 1.0, 38.0, 40, 105.0, 100, band
50.0, 43, 0.267, 16.0, 75, 1.0, 20, 15.8, 1600, 49.5, 34.7, 0.0, 0.0, 2.5, 1.0, 38.0, 40, 103.22, 100, noband
37.5, 44, 0.2, 16.5, 91, 0.75, 30, 21.7, 2050, 43.5, 34.8, 0.0, 0.0, 2.7, 0.8, 35.0, 40, 107.4, 100, noband
32.5, 43, 0.2, 15.0, 82, 1.0, 31, 7.6, 1500, 54.3, 38.0, 4.0, 0.0, 2.5, 1.0, 40.0, 40, 103.12, 100, noband
52.5, 43, 0.233, 16.6, 58, 0.75, 20, 7.9, 1480, 56.2, 36.0, 0.0, 0.0, 1.7, 0.7, 33.0, 40, 103.12, 100, noband
25.0, 38, 0.2, 13.0, 75, 0.625, 25, 0.0, 1600, 57.5, 42.5, 0.0, 0.0, 2.5, 0.85, 30.0, 40, 103.12, 100, noband
50.0, 43, 0.2, 17.0, 84, <null>, 35, 0.0, 2300, 55.6, 44.4, 0.0, 0.0, 2.0, 0.8, 30.0, 40, 103.22, 100, noband
<null>, 43, 0.267, 14.2, 68, 0.75, 18, 0.0, 2000, 62.5, 37.5, 0.0, 0.0, 2.5, 1.2, 40.0, 40, 106.45, 100, band
52.5, 45, 0.233, 16.0, 68, 0.75, <null>, 0.0, 1600, 58.8, 41.2, 4.0, 0.0, 2.3, 0.8, 40.0, 40, 109.67, 100, noband
45.0, 45, <null>, 14.7, 75, 0.625, 30, 15.0, 1734, 50.0, 35.0, 2.0, 0.0, 1.5, 0.6, 34.0, 40, 103.22, 100, band
