@relation housevotes
@attribute at1 {n, y}
@attribute at2 {y, n}
@attribute at3 {n, y}
@attribute at4 {y, n}
@attribute at5 {y, n}
@attribute at6 {y, n}
@attribute at7 {n, y}
@attribute at8 {n, y}
@attribute at9 {n, y}
@attribute at10 {y, n}
@attribute at11 {n, y}
@attribute at12 {y, n}
@attribute at13 {y, n}
@attribute at14 {y, n}
@attribute at15 {n, y}
@attribute at16 {y, n}
@attribute class {republican, democrat}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16
@outputs class
@data
n, y, n, y, y, y, n, n, n, y, <null>, y, y, y, n, y, republican
n, y, n, y, y, y, n, n, n, n, n, y, y, y, n, <null>, republican
<null>, y, y, <null>, y, y, n, n, n, n, y, n, y, y, n, n, democrat
n, y, y, n, <null>, y, n, n, n, n, y, n, y, n, n, y, democrat
n, y, y, n, y, y, n, n, n, n, n, n, y, y, y, y, democrat
n, y, n, y, y, y, n, n, n, n, n, n, y, y, <null>, y, republican
n, y, n, y, y, y, n, n, n, n, n, y, y, y, n, y, republican
y, y, y, n, n, n, y, y, y, n, n, n, n, n, <null>, <null>, democrat
n, y, n, y, y, n, n, n, n, n, <null>, <null>, y, y, n, n, republican
n, y, n, y, y, y, n, n, n, n, y, <null>, y, y, <null>, <null>, republican
n, y, y, n, n, n, y, y, y, n, n, n, y, n, <null>, <null>, democrat
y, y, y, n, n, y, y, y, <null>, y, y, <null>, n, n, y, <null>, democrat
n, y, n, y, y, y, n, n, n, n, n, y, <null>, <null>, n, <null>, republican
n, y, n, y, y, y, n, n, n, y, n, y, y, <null>, n, <null>, republican
y, n, y, n, n, y, n, y, <null>, y, y, y, <null>, n, n, y, democrat
y, <null>, y, n, n, n, y, y, y, n, n, n, y, n, y, y, democrat
n, y, n, y, y, y, n, n, n, n, n, <null>, y, y, n, n, republican
y, y, y, n, n, n, y, y, y, n, y, n, n, n, y, y, democrat
y, y, y, n, n, <null>, y, y, n, n, y, n, n, n, y, y, democrat
y, y, y, n, n, n, y, y, y, n, n, n, <null>, <null>, y, y, democrat
y, <null>, y, n, n, n, y, y, y, n, n, <null>, n, n, y, y, democrat
y, y, y, n, n, n, y, y, y, n, n, n, n, n, y, y, democrat
y, n, y, n, n, n, y, y, y, n, n, n, n, n, y, <null>, democrat
y, n, y, n, n, n, y, y, y, y, n, n, n, n, y, y, democrat
y, n, y, n, n, n, y, y, y, n, y, n, n, n, y, y, democrat
y, y, y, n, n, n, y, y, y, n, y, n, n, n, y, y, democrat
y, n, n, y, y, n, y, y, y, n, n, y, y, y, n, y, republican
y, y, y, n, n, n, y, y, y, n, y, n, n, n, y, y, democrat
n, y, n, y, y, y, n, n, n, n, n, y, y, y, n, n, republican
y, y, y, n, n, n, y, y, y, n, y, n, n, n, y, <null>, democrat
n, y, n, y, y, y, n, n, n, n, n, y, y, y, n, y, republican
y, y, y, n, n, n, y, y, y, n, n, n, n, n, y, y, democrat
n, y, n, y, y, y, n, n, n, n, n, y, y, y, n, n, republican
y, <null>, n, y, y, y, n, n, n, y, n, y, <null>, y, n, y, republican
y, y, n, y, y, y, n, n, n, n, n, n, y, y, n, y, republican
n, y, n, y, y, y, n, n, n, y, n, y, y, y, n, n, republican
y, n, y, n, n, n, y, y, y, y, y, n, y, n, y, y, democrat
