@relation sonar
@attribute at1 real [0.0020, 0.137]
@attribute at2 real [0.0010, 0.234]
@attribute at3 real [0.0020, 0.306]
@attribute at4 real [0.0060, 0.426]
@attribute at5 real [0.0070, 0.401]
@attribute at6 real [0.01, 0.382]
@attribute at7 real [0.0030, 0.373]
@attribute at8 real [0.0060, 0.459]
@attribute at9 real [0.0080, 0.683]
@attribute at10 real [0.011, 0.711]
@attribute at11 real [0.029, 0.734]
@attribute at12 real [0.024, 0.706]
@attribute at13 real [0.018, 0.713]
@attribute at14 real [0.027, 0.997]
@attribute at15 real [0.0030, 1.0]
@attribute at16 real [0.016, 0.999]
@attribute at17 real [0.035, 1.0]
@attribute at18 real [0.038, 1.0]
@attribute at19 real [0.049, 1.0]
@attribute at20 real [0.066, 1.0]
@attribute at21 real [0.051, 1.0]
@attribute at22 real [0.022, 1.0]
@attribute at23 real [0.056, 1.0]
@attribute at24 real [0.024, 1.0]
@attribute at25 real [0.024, 1.0]
@attribute at26 real [0.092, 1.0]
@attribute at27 real [0.048, 1.0]
@attribute at28 real [0.028, 1.0]
@attribute at29 real [0.014, 1.0]
@attribute at30 real [0.061, 1.0]
@attribute at31 real [0.048, 0.966]
@attribute at32 real [0.04, 0.931]
@attribute at33 real [0.048, 1.0]
@attribute at34 real [0.021, 0.965]
@attribute at35 real [0.022, 1.0]
@attribute at36 real [0.0080, 1.0]
@attribute at37 real [0.035, 0.95]
@attribute at38 real [0.038, 1.0]
@attribute at39 real [0.037, 0.986]
@attribute at40 real [0.012, 0.93]
@attribute at41 real [0.036, 0.9]
@attribute at42 real [0.0060, 0.825]
@attribute at43 real [0.0, 0.773]
@attribute at44 real [0.0, 0.776]
@attribute at45 real [0.0, 0.703]
@attribute at46 real [0.0, 0.729]
@attribute at47 real [0.0, 0.552]
@attribute at48 real [0.0, 0.334]
@attribute at49 real [0.0, 0.198]
@attribute at50 real [0.0, 0.082]
@attribute at51 real [0.0, 0.1]
@attribute at52 real [0.0010, 0.071]
@attribute at53 real [0.0, 0.039]
@attribute at54 real [0.0010, 0.035]
@attribute at55 real [0.0010, 0.045]
@attribute at56 real [0.0, 0.039]
@attribute at57 real [0.0, 0.036]
@attribute at58 real [0.0, 0.044]
@attribute at59 real [0.0, 0.036]
@attribute at60 real [0.0010, 0.044]
@attribute class {R, M}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19, at20, at21, at22, at23, at24, at25, at26, at27, at28, at29, at30, at31, at32, at33, at34, at35, at36, at37, at38, at39, at40, at41, at42, at43, at44, at45, at46, at47, at48, at49, at50, at51, at52, at53, at54, at55, at56, at57, at58, at59, at60
@outputs class
@data
0.012, 0.043, 0.06, 0.045, 0.06, 0.036, 0.053, 0.034, 0.105, 0.212, 0.164, 0.19, 0.303, 0.202, 0.059, 0.239, 0.366, 0.381, 0.593, 0.63, 0.58, 0.457, 0.445, 0.369, 0.645, 0.894, 0.898, 0.498, 0.333, 0.235, 0.155, 0.367, 0.434, 0.308, 0.302, 0.411, 0.55, 0.413, 0.55, 0.502, 0.313, 0.28, 0.235, 0.23, 0.116, 0.072, 0.062, 0.032, 0.045, 0.017, 0.0080, 0.0080, 0.0060, 0.017, 0.019, 0.0050, 0.011, 0.02, 0.015, 0.0060, R
0.0080, 0.015, 0.029, 0.043, 0.095, 0.075, 0.041, 0.026, 0.069, 0.175, 0.197, 0.117, 0.168, 0.081, 0.218, 0.512, 0.723, 0.778, 0.622, 0.35, 0.373, 0.262, 0.378, 0.736, 0.867, 0.822, 0.777, 0.786, 0.565, 0.364, 0.353, 0.386, 0.337, 0.169, 0.263, 0.32, 0.139, 0.105, 0.168, 0.191, 0.117, 0.093, 0.086, 0.095, 0.099, 0.096, 0.043, 0.041, 0.011, 0.018, 0.0060, 0.024, 0.011, 0.014, 0.012, 0.0060, 0.0060, 0.0030, 0.0070, 0.0040, R
0.026, 0.045, 0.039, 0.024, 0.132, 0.132, 0.161, 0.214, 0.085, 0.056, 0.089, 0.086, 0.153, 0.152, 0.185, 0.287, 0.201, 0.275, 0.502, 0.217, 0.498, 0.526, 0.365, 0.577, 0.516, 0.572, 0.401, 0.365, 0.668, 0.866, 0.805, 0.408, 0.338, 0.509, 0.678, 0.731, 0.606, 0.704, 0.885, 0.898, 0.775, 0.725, 0.773, 0.776, 0.601, 0.451, 0.31, 0.186, 0.096, 0.021, 0.021, 0.01, 0.015, 0.01, 0.013, 0.02, 0.0020, 0.02, 0.026, 0.018, R
0.031, 0.034, 0.02, 0.089, 0.157, 0.175, 0.092, 0.135, 0.159, 0.28, 0.334, 0.294, 0.161, 0.334, 0.498, 0.73, 0.735, 0.825, 0.879, 0.966, 1.0, 0.871, 0.647, 0.597, 0.822, 0.776, 0.611, 0.42, 0.299, 0.135, 0.244, 0.562, 0.556, 0.696, 0.73, 0.702, 0.547, 0.142, 0.474, 0.641, 0.438, 0.318, 0.238, 0.281, 0.137, 0.114, 0.103, 0.069, 0.042, 0.012, 0.0070, 0.017, 0.013, 0.014, 0.0090, 0.0050, 0.0030, 0.012, 0.0060, 0.0020, R
0.013, 0.0070, 0.031, 0.031, 0.0080, 0.077, 0.077, 0.064, 0.073, 0.09, 0.075, 0.084, 0.123, 0.162, 0.232, 0.293, 0.353, 0.366, 0.322, 0.309, 0.408, 0.428, 0.466, 0.596, 0.695, 0.839, 0.888, 0.64, 0.331, 0.342, 0.492, 0.459, 0.303, 0.437, 0.518, 0.512, 0.475, 0.49, 0.46, 0.446, 0.42, 0.287, 0.23, 0.095, 0.01, 0.053, 0.038, 0.011, 0.011, 0.0080, 0.011, 0.0060, 0.0030, 0.0040, 0.0080, 0.0040, 0.0050, 0.0010, 0.0050, 0.0020, R
0.02, 0.012, 0.012, 0.024, 0.055, 0.021, 0.089, 0.084, 0.134, 0.12, 0.174, 0.139, 0.204, 0.258, 0.262, 0.21, 0.253, 0.321, 0.433, 0.476, 0.533, 0.606, 0.67, 0.748, 0.893, 0.94, 1.0, 0.978, 0.847, 0.764, 0.67, 0.499, 0.372, 0.22, 0.142, 0.268, 0.263, 0.31, 0.339, 0.212, 0.117, 0.266, 0.22, 0.154, 0.146, 0.104, 0.122, 0.074, 0.049, 0.022, 0.0030, 0.0080, 0.0040, 0.0060, 0.0080, 0.0040, 0.0040, 0.0030, 0.0010, 0.0020, R
0.022, 0.012, 0.017, 0.015, 0.061, 0.103, 0.114, 0.088, 0.116, 0.087, 0.156, 0.078, 0.1, 0.092, 0.066, 0.113, 0.174, 0.257, 0.329, 0.391, 0.544, 0.612, 0.702, 0.761, 0.797, 0.91, 0.881, 0.795, 0.799, 0.718, 0.641, 0.631, 0.593, 0.617, 0.65, 0.676, 0.625, 0.512, 0.389, 0.327, 0.251, 0.153, 0.132, 0.166, 0.122, 0.098, 0.045, 0.027, 0.018, 0.0090, 0.0020, 0.0050, 0.0050, 0.01, 0.013, 0.012, 0.0050, 0.0020, 0.0010, 0.0020, R
0.0040, 0.0080, 0.0090, 0.039, 0.053, 0.12, 0.124, 0.103, 0.124, 0.089, 0.094, 0.124, 0.16, 0.154, 0.185, 0.173, 0.148, 0.175, 0.146, 0.158, 0.226, 0.198, 0.337, 0.583, 0.85, 1.0, 0.846, 0.662, 0.556, 0.392, 0.323, 0.205, 0.192, 0.223, 0.315, 0.227, 0.08, 0.075, 0.117, 0.197, 0.262, 0.251, 0.198, 0.095, 0.093, 0.096, 0.038, 0.044, 0.034, 0.0060, 0.0080, 0.012, 0.0060, 0.0040, 0.0040, 0.0, 0.0020, 0.0050, 0.0020, 0.0020, R
0.024, 0.019, 0.047, 0.044, 0.066, 0.074, 0.138, 0.11, 0.138, 0.138, 0.094, 0.026, 0.15, 0.285, 0.574, 0.828, 0.867, 0.813, 0.904, 0.905, 1.0, 0.998, 0.987, 0.976, 0.901, 0.972, 0.968, 0.763, 0.443, 0.382, 0.473, 0.401, 0.338, 0.317, 0.222, 0.073, 0.269, 0.189, 0.071, 0.106, 0.069, 0.03, 0.089, 0.146, 0.135, 0.039, 0.055, 0.047, 0.02, 0.01, 0.016, 0.0090, 0.015, 0.0080, 0.0020, 0.0080, 0.0040, 0.0030, 0.0040, 0.0020, R
0.01, 0.019, 0.016, 0.049, 0.084, 0.101, 0.163, 0.207, 0.27, 0.299, 0.324, 0.356, 0.395, 0.52, 0.695, 0.847, 1.0, 0.928, 0.851, 0.801, 0.814, 0.882, 0.73, 0.611, 0.716, 0.846, 0.632, 0.481, 0.629, 0.715, 0.6, 0.424, 0.411, 0.399, 0.173, 0.198, 0.237, 0.134, 0.158, 0.315, 0.197, 0.205, 0.127, 0.113, 0.195, 0.22, 0.193, 0.15, 0.077, 0.02, 0.012, 0.013, 0.0070, 0.0080, 0.0080, 0.0060, 0.0080, 0.0020, 0.0050, 0.0020, R
