@relation abalone
@attribute f1 real [-1.15421, 1.26179]
@attribute f2 real [-3.73871, 2.42319]
@attribute f3 real [-3.55584, 2.43973]
@attribute f4 real [-3.33555, 23.6805]
@attribute f5 real [-1.68589, 4.07178]
@attribute f6 real [-1.61454, 5.08478]
@attribute f7 real [-1.64298, 5.28587]
@attribute f8 real [-1.70493, 5.50398]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8
@outputs clase
@data
-1.15421, -0.699393, -0.432097, -0.347058, -0.637743, -0.64816, -0.607527, -0.602222, 1
1.26179, -1.61535, -1.54052, -1.42292, -1.27193, -1.21582, -1.28718, -1.3206, 0
0.0537917, 0.17493, 0.172499, -0.347058, -0.123865, -0.294497, -0.283664, 0.152074, 2
0.0537917, 0.216565, 0.323648, 0.250642, 0.134093, -0.20214, -0.26998, 0.5831, 2
0.0537917, 0.00839267, -0.280948, 0.0115619, -0.453196, -0.745023, -0.30191, -0.207114, 2
1.26179, -1.40718, -1.28861, -1.30338, -1.09758, -1.19104, -1.28718, -0.889572, 0
0.0537917, -0.699393, -0.684012, -0.944757, -0.770291, -0.772054, -0.853845, -0.781816, 1
-1.15421, -1.32391, -1.13746, -1.42292, -1.16895, -1.18203, -1.25525, -0.997329, 0
-1.15421, 0.54964, 0.374031, 0.0115619, 0.208524, -0.0151714, 0.487221, 0.29575, 2
-1.15421, 0.674544, 0.676328, 0.967881, 0.21974, 0.156028, 0.350378, 0.403506, 2
-1.15421, 0.424737, 0.172499, 0.0115619, 0.0708781, 0.151523, 0.423361, -0.278952, 2
0.0537917, 1.29906, 1.53284, 0.609261, 1.65228, 1.10889, 0.911436, 1.58883, 2
0.0537917, 1.50723, 1.43207, 1.44604, 1.79604, 1.23278, 2.10654, 1.80434, 2
-1.15421, -0.449586, -0.381714, -0.466597, -0.508254, -0.299003, 0.423361, -0.709978, 1
1.26179, -0.0332418, 0.0213497, -0.466597, -0.476646, -0.544539, -0.634896, -0.35079, 0
0.0537917, -0.449586, -0.48248, -0.466597, -0.716252, -0.670686, -0.685072, -0.63814, 1
0.0537917, -0.199779, -0.0794162, 0.0115619, -0.34104, -0.463444, -0.0464685, -0.135277, 0
1.26179, -2.32314, -2.1955, -1.90108, -1.5146, -1.42982, -1.51982, -1.53611, 0
-1.15421, -0.158145, -0.0290332, -0.705677, -0.41547, -0.244939, -0.187873, -0.458546, 1
0.0537917, 0.0500271, 0.0213497, -0.227518, -0.269668, -0.258455, 0.117744, -0.278952, 1
-1.15421, -0.824296, -0.835161, -1.0643, -0.918133, -0.850896, -0.917706, -0.997329, 0
-1.15421, -0.407952, -0.532863, -0.466597, -0.711154, -0.564813, -0.721563, -0.745897, 0
-1.15421, 0.258199, 0.172499, -0.227518, -0.126924, -0.429655, -0.11489, 0.259831, 2
-1.15421, 0.591275, 0.676328, 0.489721, 0.996674, 0.219102, 0.487221, 2.45088, 2
0.0537917, 0.424737, 0.424414, 0.489721, 0.303347, -0.206645, 0.459853, 0.654938, 2
-1.15421, 0.258199, 0.323648, 0.250642, -0.150375, -0.235929, -0.256295, 0.152074, 2
0.0537917, 0.841081, 0.87786, 0.609261, 0.883498, 0.665122, 1.25354, 1.08596, 1
-1.15421, 1.17416, 1.28092, 1.3265, 1.58498, 0.973732, 1.89215, 1.7325, 2
-1.15421, -0.449586, -0.331331, -0.227518, -0.623469, -0.654918, -0.443315, -0.674059, 0
-1.15421, -0.449586, -0.381714, -0.227518, -0.624488, -0.713486, -0.434192, -0.530384, 0
-1.15421, 0.216565, 0.273265, 0.131102, 0.0290746, -0.141319, 0.0994979, 0.116155, 2
0.0537917, -0.0332418, 0.0213497, 0.370181, -0.207472, -0.308013, 0.0265147, -0.02752, 2
0.0537917, 0.17493, 0.222882, 0.609261, -0.0545325, -0.29675, 0.0219533, 0.29575, 2
0.0537917, -0.0748762, 0.172499, 0.0115619, -0.127944, -0.249445, -0.0738372, 0.116155, 2
-1.15421, -1.28227, -1.43976, -1.54246, -1.25358, -1.21357, -1.18227, -1.21284, 0
1.26179, -1.36554, -1.28861, -1.42292, -1.33209, -1.25412, -1.18683, -1.21284, 0
1.26179, -1.15737, -1.18784, -1.30338, -1.17915, -1.11445, -1.09104, -1.141, 0
-1.15421, 1.54887, 1.33131, 0.609261, 2.30482, 1.83424, 0.73354, 3.88763, 2
0.0537917, 0.341468, 0.374031, 0.370181, -0.0055918, -0.0827502, 0.227219, 0.0622771, 1
0.0537917, -0.283048, -0.280948, -0.347058, -0.570449, -0.515255, -0.666826, -0.46573, 1
