@relation adult
@attribute f1 real [-1.58218, 3.76955]
@attribute f2 real [-0.573382, 3.92167]
@attribute f3 real [-1.6816, 12.2684]
@attribute f4 real [-0.983071, 3.35007]
@attribute f5 real [-3.5296, 2.3008]
@attribute f6 real [-0.908854, 4.15212]
@attribute f7 real [-1.65698, 2.79808]
@attribute f8 real [-1.92397, 2.11654]
@attribute f9 real [-0.379355, 2.92116]
@attribute f10 real [-0.703061, 1.42231]
@attribute f11 real [-0.145918, 13.3944]
@attribute f12 real [-0.216656, 10.5933]
@attribute f13 real [-3.19398, 4.74289]
@attribute f14 real [-0.301942, 6.26742]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14
@outputs clase
@data
0.837096, 0.0687688, -1.00869, -0.983071, 1.13472, -0.908854, -0.286195, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -2.22212, -0.301942, 0
-0.775756, -0.573382, 1.40815, -0.983071, 1.13472, -0.908854, 0.0565023, -1.92397, 2.92116, 1.42231, -0.145918, -0.216656, -0.0354289, 1.66887, 0
-0.115953, -0.573382, 0.898187, 1.90569, 1.52341, -0.908854, -0.286195, -1.92397, -0.379355, 1.42231, -0.145918, -0.216656, -0.0354289, -0.301942, 0
0.103982, -0.573382, -0.644305, 0.750185, 0.357334, -0.908854, -1.31429, -0.307769, 0.445774, -0.703061, -0.145918, -0.216656, -0.0354289, 2.98274, 1
0.323916, -0.573382, -0.689165, -0.405319, -1.19744, -0.908854, 1.76999, -0.307769, -0.379355, -0.703061, -0.145918, 4.85084, -0.0354289, -0.301942, 0
0.763785, -0.573382, 0.0339899, -0.116443, -0.420053, -0.908854, -1.31429, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-1.14231, 1.99522, 0.00881699, 0.461309, 0.746028, 0.778137, 2.45538, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, 0.936433, -0.301942, 0
-1.36225, -0.573382, 0.72228, -0.694195, -0.0313595, 0.778137, -0.628892, -1.11587, 2.92116, -0.703061, -0.145918, -0.216656, 0.288525, -0.301942, 0
0.470539, -0.573382, 1.86795, -0.983071, 1.13472, -0.0653585, -0.286195, -1.11587, -0.379355, -0.703061, -0.145918, 3.27749, -0.0354289, -0.301942, 0
-1.43556, -0.573382, 3.35682, -0.116443, -0.420053, 4.15212, 1.08459, -1.92397, -0.379355, 1.42231, -0.145918, -0.216656, -1.25026, -0.301942, 0
1.05703, 0.0687688, -0.959473, -0.983071, 1.13472, -0.908854, 0.0565023, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-1.069, -0.573382, -0.159085, -0.983071, 1.13472, -0.908854, -1.65698, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, 0.774456, -0.301942, 0
-0.702444, -0.573382, 0.773924, 0.750185, 0.357334, 0.778137, 0.0565023, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, 0.207537, -0.301942, 0
-1.50887, -0.573382, 0.352228, -0.116443, -0.420053, 0.778137, -0.97159, -1.11587, -0.379355, 1.42231, -0.145918, -0.216656, -0.845314, 2.98274, 0
-0.262576, -0.573382, -1.26411, 0.750185, 0.357334, -0.908854, -0.97159, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, 0.19076, 0
-0.629133, -0.573382, -1.23432, -0.983071, 1.13472, -0.908854, -0.628892, -0.307769, -0.379355, -0.703061, 0.18, -0.216656, -0.0354289, -0.301942, 0
0.690473, -0.573382, -0.380278, -0.116443, -0.420053, -0.908854, 1.76999, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-0.702444, -0.573382, -0.79754, -0.694195, -0.0313595, -0.0653585, -1.65698, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, 1.42236, -0.301942, 0
-0.189264, -0.573382, -0.324409, -0.116443, -0.420053, -0.908854, -1.31429, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-1.14231, -0.573382, 0.207481, -0.694195, -0.0313595, 0.778137, 0.741897, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
2.96313, -0.573382, -0.616148, -0.694195, -0.0313595, -0.908854, 0.0565023, 1.30843, -0.379355, -0.703061, -0.145918, -0.216656, -1.6552, -0.301942, 0
2.08339, 1.67415, 0.217723, 2.48344, -1.58613, -0.908854, 0.570548, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -3.11299, -0.301942, 0
-1.50887, -0.573382, 1.13553, -0.405319, -1.19744, 0.778137, -0.97159, -1.11587, -0.379355, 1.42231, -0.145918, -0.216656, -1.49322, -0.301942, 0
-0.555822, 1.99522, -0.60494, 1.32794, -2.36352, -0.908854, 1.42729, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
0.983719, -0.573382, 0.821759, -0.983071, 1.13472, -0.908854, -0.97159, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, 1.66887, 0
-0.629133, -0.573382, -1.28322, 1.03906, -1.97483, 0.778137, -0.628892, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
0.323916, 1.35307, 2.09463, 2.77232, 2.3008, 0.778137, 0.0565023, 0.500333, -0.379355, 1.42231, -0.145918, -0.216656, 0.774456, -0.301942, 1
1.35028, -0.573382, 0.570333, 0.750185, 0.357334, -0.908854, 0.0565023, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-0.629133, -0.573382, -0.682438, -0.116443, -0.420053, -0.908854, -0.628892, -1.92397, 0.445774, 1.42231, -0.145918, 3.68695, -0.440372, 2.98274, 0
0.397227, -0.573382, 0.080565, -0.983071, 1.13472, -0.908854, -0.286195, -0.307769, -0.379355, -0.703061, 1.8884, -0.216656, 1.58434, -0.301942, 1
-0.48251, 0.71092, 1.21157, -0.116443, -0.420053, -0.908854, -1.31429, -0.307769, -0.379355, -0.703061, 0.89507, -0.216656, -0.0354289, -0.301942, 1
-1.069, -0.573382, 2.29841, -0.983071, 1.13472, 0.778137, -0.628892, 1.30843, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
0.0306701, -0.573382, 1.66708, -0.694195, -0.0313595, -0.0653585, -1.31429, 0.500333, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
0.323916, 0.0687688, -1.25872, -0.116443, -0.420053, -0.908854, -1.31429, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, 1.58434, -0.301942, 0
-0.849067, -0.573382, -0.2525, 0.750185, 0.357334, -0.908854, 1.08459, -1.92397, -0.379355, 1.42231, -0.145918, -0.216656, -0.440372, -0.301942, 0
-1.36225, -0.573382, -1.47294, -0.694195, -0.0313595, 0.778137, -0.628892, -1.11587, -0.379355, -0.703061, -0.145918, -0.216656, -1.6552, -0.301942, 0
0.470539, -0.573382, 0.0644778, 0.750185, 0.357334, 0.778137, 0.0565023, 0.500333, -0.379355, 1.42231, -0.145918, 3.66462, -0.0354289, -0.301942, 1
-0.555822, -0.573382, -0.0375591, -0.116443, -0.420053, 0.778137, 1.76999, 2.11654, 2.92116, 1.42231, -0.145918, -0.216656, -0.845314, -0.301942, 0
0.617162, 1.99522, -0.0357117, -0.694195, -0.0313595, -0.0653585, 1.08459, 2.11654, -0.379355, 1.42231, -0.145918, -0.216656, -0.197406, 2.98274, 0
-1.50887, -0.573382, -1.5533, -0.405319, -1.19744, 0.778137, 0.3992, -1.11587, -0.379355, -0.703061, -0.145918, -0.216656, -1.97915, -0.301942, 0
2.01008, 1.99522, -1.27856, 0.750185, 0.357334, 2.46513, 0.0565023, 0.500333, -0.379355, 1.42231, -0.145918, -0.216656, -1.6552, -0.301942, 0
-0.775756, 2.63737, -0.136934, -0.116443, -0.420053, -0.908854, 2.45538, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
-0.775756, 2.63737, -0.38043, -0.983071, 1.13472, -0.908854, 0.0565023, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 1
0.103982, -0.573382, 0.915127, 1.32794, -2.36352, -0.908854, 0.741897, -0.307769, -0.379355, -0.703061, -0.145918, -0.216656, -0.0354289, 2.98274, 1
-0.335887, -0.573382, 1.08244, -0.116443, -0.420053, -0.908854, 1.08459, -0.307769, 2.92116, -0.703061, -0.145918, -0.216656, -0.0354289, -0.301942, 0
