@relation blood
@attribute f1 real [-1.17433, 7.96667]
@attribute f2 real [-0.773158, 7.61825]
@attribute f3 real [-0.773158, 7.61825]
@attribute f4 real [-1.3243, 2.61388]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4
@outputs clase
@data
-1.05081, 1.79564, 1.79564, 0.0294508, 1
-0.680224, -0.259398, -0.259398, -1.24225, 0
-1.05081, 1.11063, 1.11063, 0.0294508, 0
-1.05081, 1.28188, 1.28188, 0.521724, 0
-0.927278, -0.088145, -0.088145, -0.955095, 1
-0.680224, 0.939374, 0.939374, -0.257708, 0
-0.927278, 0.0831082, 0.0831082, -0.749982, 1
-0.0625892, 0.596868, 0.596868, -0.749982, 0
-0.680224, 1.11063, 1.11063, -0.0115719, 1
-1.05081, 1.45313, 1.45313, 0.972974, 0
-0.927278, 0.425615, 0.425615, -0.257708, 1
-0.680224, 0.254361, 0.254361, -0.503845, 1
-0.927278, 1.28188, 1.28188, 0.76786, 1
-0.927278, -0.088145, -0.088145, -0.749982, 0
-0.927278, -0.601905, -0.601905, -1.3243, 0
-0.680224, 0.425615, 0.425615, -0.339754, 1
-0.927278, 0.254361, 0.254361, -0.257708, 1
-0.803751, 0.0831082, 0.0831082, -0.544868, 0
-0.927278, 0.425615, 0.425615, 0.0294508, 1
-0.927278, 0.768121, 0.768121, 0.603769, 0
-0.927278, -0.259398, -0.259398, -0.832027, 1
-0.680224, 0.254361, 0.254361, -0.380777, 0
-0.927278, -0.259398, -0.259398, -0.749982, 0
-0.927278, -0.259398, -0.259398, -0.749982, 1
-0.680224, -0.601905, -0.601905, -1.24225, 0
-0.680224, -0.601905, -0.601905, -1.24225, 0
-0.680224, -0.601905, -0.601905, -1.24225, 0
-0.680224, 0.254361, 0.254361, -0.257708, 0
-0.680224, 0.425615, 0.425615, -0.0115719, 1
-0.680224, 0.596868, 0.596868, 0.234565, 0
-0.927278, -0.088145, -0.088145, -0.339754, 0
-0.43317, 1.96689, 1.96689, 1.46525, 0
-0.803751, -0.088145, -0.088145, -0.339754, 0
-0.927278, -0.430651, -0.430651, -0.832027, 0
-0.927278, 0.254361, 0.254361, 0.480701, 1
-1.05081, 0.254361, 0.254361, 0.931951, 0
-0.927278, 0.0831082, 0.0831082, 0.275587, 1
-0.680224, 0.425615, 0.425615, 0.480701, 1
-0.927278, -0.601905, -0.601905, -0.996118, 0
-0.927278, 0.939374, 0.939374, 2.20366, 0
-0.927278, -0.430651, -0.430651, -0.626913, 0
-0.0625892, -0.088145, -0.088145, -0.626913, 0
-0.43317, -0.430651, -0.430651, -0.832027, 0
