@relation breast-tissue
@attribute f1 real [-0.903577, 2.67358]
@attribute f2 real [-1.57065, 3.47226]
@attribute f3 real [-1.78608, 3.48365]
@attribute f4 real [-0.895805, 4.57477]
@attribute f5 real [-0.390991, 8.99583]
@attribute f6 real [-0.936774, 6.02011]
@attribute f7 real [-0.828714, 4.43438]
@attribute f8 real [-0.97054, 4.47214]
@attribute f9 real [-0.898614, 2.7338]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9
@outputs clase
@data
-0.308207, 1.63778, -0.504809, 0.389076, 0.245057, 0.917209, 0.0296517, 0.480254, -0.201658, 0
-0.496388, 2.88197, 1.80285, 0.34196, 0.176929, 0.772887, -0.0966005, 0.441412, -0.395924, 0
-0.458215, 1.34518, -0.532363, -0.365128, -0.132165, 0.723001, 0.0665126, -0.423402, -0.373802, 0
-0.553497, 2.33239, 1.3551, -0.0934117, -0.0145498, 0.746037, 0.00274219, -0.0628113, -0.444353, 0
-0.642286, 1.0195, 0.514695, -0.489831, -0.231191, 0.335137, -0.295372, -0.464909, -0.55511, 0
-0.717498, -1.16865, -0.470366, -0.639533, -0.374118, -0.765271, -0.803851, -0.545442, -0.716886, 1
-0.774921, -1.20172, 0.0256085, -0.776996, -0.382897, -0.781673, -0.795437, -0.693635, -0.776657, 1
-0.679424, -0.418061, -1.08345, -0.664456, -0.356087, -0.522515, -0.679761, -0.584745, -0.686376, 1
-0.587083, -0.410428, -0.401481, -0.553065, -0.321002, -0.314902, -0.569818, -0.478603, -0.557659, 1
-0.8041, 0.73962, 0.969338, -0.781055, -0.368439, -0.500628, -0.487222, -0.802761, -0.779446, 2
-0.705951, -0.204335, -0.821682, -0.796768, -0.368205, -0.456558, -0.612694, -0.760266, -0.694583, 2
-0.879702, 0.787963, -0.236156, -0.870703, -0.387006, -0.751971, -0.655967, -0.861046, -0.876612, 2
-0.317789, -0.822613, -1.111, -0.470544, -0.330773, -0.499852, -0.565106, -0.386799, -0.337187, 2
-0.606475, 0.304536, -0.298153, -0.599344, -0.305188, -0.0698514, -0.395344, -0.573267, -0.565354, 2
-0.416122, 0.106076, -0.477255, -0.211448, -0.251731, -0.247522, -0.342004, -0.133551, -0.418293, 3
-0.708603, -0.48167, -0.21549, -0.843448, -0.385052, -0.74395, -0.605306, -0.842467, -0.695284, 3
-0.8041, 0.429209, -0.153494, -0.787615, -0.369248, -0.500937, -0.608027, -0.749354, -0.78826, 3
-0.903577, 0.553882, 1.74774, -0.87428, -0.390569, -0.864039, -0.652248, -0.87469, -0.898614, 3
0.797683, -0.405339, -0.249933, 0.0624283, 0.0780328, 0.85265, 0.832384, -0.129352, 0.935718, 4
-0.0189026, -1.14444, -1.10764, -0.0814929, -0.376154, -0.92043, -0.616613, 0.0357519, -0.204241, 4
0.645156, -0.601255, -0.484143, 1.91185, -0.20033, -0.726538, -0.08113, 2.11994, 0.110809, 4
1.41355, -0.59746, -0.446196, 0.330463, 0.310977, 1.20875, 1.04104, 0.165573, 1.44996, 5
1.41355, -0.682674, 1.09333, 0.705565, 0.0704955, 0.133185, 1.6394, 0.455811, 1.43842, 5
1.14828, -1.05669, -0.704577, 0.439502, -0.0812828, -0.0962573, 0.0720174, 0.526255, 1.03855, 5
1.61251, -0.771726, 0.0944938, 0.73219, 0.433036, 0.988978, 1.15331, 0.644913, 1.64142, 5
2.40831, 1.17216, 0.921118, 4.57477, 8.99583, 6.02011, 4.22033, 4.47214, 2.42975, 5
2.40831, -0.731017, -0.649468, 2.90829, 1.74973, 1.28353, 0.967982, 3.1033, 2.27358, 5
