@relation cardiotocography-10clases
@attribute f1 real [-2.77454, 2.71279]
@attribute f2 real [-0.822195, 4.09297]
@attribute f3 real [-0.203162, 10.1042]
@attribute f4 real [-1.48212, 3.60941]
@attribute f5 real [-0.638287, 4.42892]
@attribute f6 real [-0.0574621, 17.3946]
@attribute f7 real [-0.268691, 8.20664]
@attribute f8 real [-2.03516, 2.32713]
@attribute f9 real [-1.28253, 6.41638]
@attribute f10 real [-0.535235, 4.41126]
@attribute f11 real [-1.45474, 7.5534]
@attribute f12 real [-1.73135, 2.81227]
@attribute f13 real [-1.47426, 2.21313]
@attribute f14 real [-2.34201, 4.12248]
@attribute f15 real [-1.37934, 4.72363]
@attribute f16 real [-0.458336, 13.7048]
@attribute f17 real [-4.72808, 3.02467]
@attribute f18 real [-3.95102, 3.03903]
@attribute f19 real [-4.22286, 3.31175]
@attribute f20 real [-0.649055, 8.63397]
@attribute f21 real [-2.16152, 1.11272]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21
@outputs clase
@data
-1.3519, -0.822195, -0.203162, -1.48212, -0.638287, -0.0574621, -0.268691, 1.51283, -0.942873, 1.80212, -1.02832, -0.165468, -1.06831, -2.11909, -0.701232, -0.458336, -1.06536, 0.153234, -1.18136, 1.87013, 1.11272, 8
-0.132494, 0.729961, -0.203162, 0.554496, 0.375155, -0.0574621, -0.268691, -1.74434, 0.868636, -0.535235, 0.393083, 1.52876, -0.865335, 1.89335, 0.654983, 0.957976, 0.216587, 0.0891048, 0.132007, -0.234943, -0.524402, 5
-0.0308771, -0.0461169, -0.203162, 1.23337, 0.375155, -0.0574621, -0.268691, -1.8025, 0.868636, -0.535235, 0.926109, 1.52876, -0.865335, 1.89335, 0.315929, 0.957976, 0.216587, 0.0249759, -0.00624269, -0.200434, -0.524402, 5
-0.132494, 0.988654, -0.203162, 1.23337, -0.638287, -0.0574621, -0.268691, -1.8025, 1.20829, -0.535235, 2.081, 1.19505, -1.37277, 0.332955, 1.67214, -0.458336, -0.0275938, 0.0891048, -0.00624269, -0.269452, 1.11272, 1
-1.14867, -0.822195, -0.203162, -1.48212, -0.638287, -0.0574621, -0.268691, 2.09447, -0.942873, -0.209093, 1.31699, -0.0627869, -1.06831, -1.89618, -1.37934, -0.458336, -0.943273, -0.8087, -1.04311, -0.545527, 1.11272, 8
1.79823, -0.822195, -0.203162, -1.14268, -0.300473, -0.0574621, -0.268691, 0.98936, 0.642198, -0.046022, 3.4491, 1.52876, -1.27129, 1.22461, -0.701232, -0.458336, 0.765994, 0.858651, 0.89238, -0.338471, 1.11272, 9
-0.335729, 0.729961, 9.247, 0.215061, 1.05078, -0.0574621, -0.268691, -1.33719, 0.868636, -0.535235, 0.481921, 1.40041, -1.37277, 0.778782, 0.315929, -0.458336, 0.338678, -0.423926, -0.00624269, 1.7666, 1.11272, 5
-0.234112, -0.30481, 8.00413, -0.46381, 1.05078, -0.0574621, 3.12144, -1.68618, 1.20829, -0.535235, 1.01495, 0.93835, -0.899164, 0.555868, 0.315929, -0.458336, -0.21073, -0.616313, -0.420991, 0.903866, -0.524402, 6
-0.335729, 0.471268, 9.84702, 0.215061, 0.712969, -0.0574621, 1.42637, -1.04637, 0.415759, -0.535235, -0.0688721, 1.0667, -0.966823, 0.723053, 0.654983, 0.957976, -0.271775, -0.359797, -0.351867, 0.282698, -0.524402, 5
-0.538964, -0.822195, 6.95411, -0.46381, 0.375155, -0.0574621, 4.81651, -0.755555, 1.32151, -0.535235, -0.744038, 1.91382, -1.33894, 1.94908, 2.35025, 0.957976, -3.8124, -2.28366, -2.49474, 4.45833, -2.16152, 7
-0.132494, -0.822195, 2.68975, -1.14268, 2.06422, -0.0574621, 1.42637, -1.04637, 3.47268, -0.535235, 0.410851, 1.81114, -1.47426, 1.50325, 0.994036, 0.957976, -0.271775, -1.00109, -0.628366, 1.87013, -0.524402, 6
