@relation conn-bench-sonar-mines-rocks
@attribute f1 real [-1.20326, 4.69473]
@attribute f2 real [-1.14796, 5.93034]
@attribute f3 real [-1.10159, 6.81969]
@attribute f4 real [-1.03362, 8.0061]
@attribute f5 real [-1.23312, 5.86471]
@attribute f6 real [-1.59664, 4.69889]
@attribute f7 real [-1.91699, 4.06477]
@attribute f8 real [-1.51845, 3.80731]
@attribute f9 real [-1.44021, 4.26395]
@attribute f10 real [-1.4653, 3.73722]
@attribute f11 real [-1.56071, 3.7541]
@attribute f12 real [-1.61789, 3.25389]
@attribute f13 real [-1.80833, 3.11995]
@attribute f14 real [-1.63714, 4.25861]
@attribute f15 real [-1.54362, 3.3092]
@attribute f16 real [-1.55722, 2.66629]
@attribute f17 real [-1.44526, 2.21489]
@attribute f18 real [-1.58613, 2.09415]
@attribute f19 real [-1.76524, 1.91942]
@attribute f20 real [-1.89393, 1.66362]
@attribute f21 real [-2.16377, 1.51634]
@attribute f22 real [-2.3541, 1.46835]
@attribute f23 real [-2.36104, 1.41111]
@attribute f24 real [-2.71313, 1.36898]
@attribute f25 real [-2.65967, 1.3252]
@attribute f26 real [-2.56195, 1.26517]
@attribute f27 real [-2.66247, 1.21244]
@attribute f28 real [-2.8063, 1.29001]
@attribute f29 real [-2.61259, 1.48981]
@attribute f30 real [-2.35393, 1.89841]
@attribute f31 real [-2.1322, 2.15533]
@attribute f32 real [-1.86947, 2.30523]
@attribute f33 real [-1.78933, 2.822]
@attribute f34 real [-1.6521, 2.42805]
@attribute f35 real [-1.42889, 2.34409]
@attribute f36 real [-1.4268, 2.32906]
@attribute f37 real [-1.37011, 2.44211]
@attribute f38 real [-1.415, 3.10059]
@attribute f39 real [-1.45021, 3.31484]
@attribute f40 real [-1.67639, 3.46182]
@attribute f41 real [-1.48004, 3.56639]
@attribute f42 real [-1.61617, 3.23779]
@attribute f43 real [-1.77377, 3.78981]
@attribute f44 real [-1.60607, 4.21728]
@attribute f45 real [-1.30076, 3.33821]
@attribute f46 real [-1.1993, 4.24502]
@attribute f47 real [-1.40827, 4.94231]
@attribute f48 real [-1.46474, 3.88479]
@attribute f49 real [-1.44431, 4.06551]
@attribute f50 real [-1.49462, 4.54269]
@attribute f51 real [-1.33812, 7.02263]
@attribute f52 real [-1.30997, 5.96636]
@attribute f53 real [-1.44598, 4.00701]
@attribute f54 real [-1.36161, 3.3228]
@attribute f55 real [-1.22613, 4.99597]
@attribute f56 real [-1.36358, 5.43545]
@attribute f57 real [-1.29984, 4.78435]
@attribute f58 real [-1.18226, 5.57216]
@attribute f59 real [-1.26854, 4.60393]
@attribute f60 real [-1.17415, 7.43241]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60
@outputs clase
@data
0.701845, 0.420616, 1.05308, 0.322552, 0.775804, 2.60094, 1.51896, 2.50494, 1.31515, 0.587289, 1.92749, 2.89122, 2.96956, 2.93743, 2.0747, 2.43247, 2.21489, 1.66361, 1.1535, 0.832861, -0.340783, -0.856153, -1.0044, -1.17622, -1.43073, -1.60127, -1.52674, -1.75946, -0.831526, -1.71293, -0.587289, -0.676902, -1.05959, -0.731413, -1.01096, 0.126277, 0.0820853, -1.09853, -0.712293, -0.639235, -0.712122, -1.30383, -0.765805, -0.384685, -0.891206, -1.04773, -0.798743, -0.275952, -0.306749, -1.04823, -0.297185, -0.521092, -0.256239, -0.841122, 0.0154657, 1.89647, 1.06816, -0.471269, -0.443484, -0.418842, 1
-0.128918, 0.599621, 1.71926, 1.16935, 0.399581, 2.0883, 1.96403, 2.8455, 3.22499, 3.05873, 2.99377, 3.25389, 1.99412, 1.43142, 1.59521, 1.3523, 0.985739, 1.15774, 1.50429, 1.13783, 0.730515, 0.193155, -0.87009, -1.28747, -0.581087, -1.93302, -0.79442, 0.671515, -0.160142, 1.22525, 1.62027, 0.306981, -1.11867, -0.572272, 0.118198, -0.304965, 1.03285, 1.57739, 1.06342, 0.899428, 1.02535, -0.116123, -0.242039, 0.0609569, 0.091459, -1.06789, 0.141998, -0.272748, -1.08274, -0.718919, -1.06331, 1.01514, 0.83436, -0.197357, 1.22885, 2.82044, 4.11025, 1.30621, 0.252153, 0.256962, 1
0.110307, 1.73433, 2.29696, 1.86786, 1.65966, 1.12392, -0.787317, 0.0622528, 0.255915, 1.06417, -0.432637, -1.31662, -1.57493, 0.478079, 1.07921, 0.711427, 0.375523, -0.0998675, -1.17219, -0.532058, 0.633159, 1.36478, 1.16728, -0.488274, -0.606809, -0.0727838, -0.532673, -0.637146, -1.76639, -1.65812, 0.358071, 0.906314, -0.584563, -0.933799, -0.369198, 0.497698, 1.04827, 0.416215, 1.11566, 1.69087, 1.24158, -0.240584, -0.365786, -0.293906, -0.440763, -0.753567, -0.115613, 0.212699, -0.0341783, -0.331067, 0.285735, 0.693359, 1.99578, 0.295739, -0.323152, 0.9725, 0.238494, 0.981626, -0.702326, 0.753877, 1
-0.924885, -0.905237, -0.997504, -0.620967, -0.734488, -0.845442, -1.11586, -0.457992, -0.651277, -0.626855, -0.951836, -0.918964, -0.609421, 0.253728, 0.0121628, -0.456422, -0.0822338, 0.729867, 0.861622, 1.15839, 1.38989, 1.40855, 1.20326, 0.547624, 0.0321584, -0.785179, -1.60042, -2.57526, -0.999685, -1.56978, -1.46723, -1.47976, -1.18888, -0.727089, -0.554432, -0.0755245, -0.106734, -0.848732, -1.13977, -1.13235, -1.08089, -1.15211, -0.773, -0.991628, -0.853614, -0.704291, -0.0259093, -0.356059, -1.02155, 0.451954, 0.110859, 0.433861, 0.281979, -0.293237, 0.0719021, -1.10208, -0.331898, -0.332162, -0.330241, -0.657361, 1
-0.729155, 0.147557, 0.431137, -0.193267, -0.27906, -1.16859, -1.111, -1.18023, -0.614956, 0.0278306, -0.542656, -0.429216, 0.20782, -0.575581, -1.27053, -0.599555, -0.1907, -0.273079, 0.341444, 0.254531, -0.112328, -0.652153, -0.807733, -1.26948, -0.125848, 0.818343, 0.796416, -0.826446, -1.28522, -1.56706, -1.63172, -0.339718, 0.0812554, -0.410969, -0.347974, 0.0986382, 0.776505, 0.343906, 1.12571, 1.06678, 0.139956, 0.0113006, -0.0823192, 0.117975, -0.539029, -0.658747, -0.694088, -0.955258, -0.192714, -0.272524, -0.688575, -0.531472, -0.709475, 0.884715, 1.34172, -0.491907, 0.618756, 1.80081, 1.09339, -0.0610632, 1
0.0276656, 0.699742, 0.550841, 0.821177, 1.55345, 2.11199, 1.55133, 0.804453, -0.271169, -0.915511, 0.0873144, 0.815858, 0.0311765, -0.0849267, 0.0170307, 0.236464, 0.560598, 0.0121659, -0.271375, 0.305549, -0.837257, -1.66238, -1.17108, 1.01978, 1.06839, -1.00269, -1.73028, -0.137966, 0.668995, -0.729007, 0.0688086, 1.20598, 0.784359, 2.10026, 1.51941, 1.24357, 1.65766, 0.471621, -0.125076, 0.0285079, -0.0488099, 0.0681968, -1.39533, -0.205378, -0.276546, 0.0199253, 0.0315932, -0.26634, -0.187152, -1.02627, -0.0556897, -1.07123, 0.650233, -0.526088, 1.68034, -0.108372, 1.27557, -0.471269, 1.9508, 0.157579, 1
-0.433386, 0.675471, -0.156974, 0.505238, 1.14483, -0.400474, -1.05112, -1.32585, -0.627626, -0.667029, -0.846338, -0.643392, 0.558269, 0.920093, 0.276004, 0.849402, 0.859448, 0.866755, 0.817434, -0.0626174, -0.268251, 0.0466033, 0.551313, 0.430526, -0.397767, -0.90068, -1.15631, -1.89016, -2.3745, -2.35393, -1.50882, 0.0481137, 0.873458, -0.106958, -0.552116, 0.727895, 2.17327, 2.35355, 0.156728, 0.0117164, 1.87216, 2.13068, 0.175247, -0.541485, -0.469781, -0.237657, -0.49973, -0.136567, 0.00197903, 0.0860564, 1.65976, 2.04275, 0.338633, 0.145071, 0.212993, -1.01491, -0.573882, -0.656745, 0.527172, 0.197333, 1
-0.446435, -0.231692, -0.627983, 0.178553, -1.20972, -0.434312, 0.360157, 0.120971, 0.00757781, 0.326903, 0.18603, 0.862263, 0.832101, -0.178558, -0.236588, 0.17113, 1.07259, 0.462593, -1.09389, -1.14199, 0.536192, 0.398717, -1.22984, -1.63207, -0.286305, -0.464391, -0.836348, 0.706508, 0.798444, -0.781555, -1.29759, -1.24059, -1.7748, -1.05705, -0.341799, -0.938765, -0.847421, -0.627108, -1.26786, -1.62882, -0.733161, -0.711163, -0.457157, -0.191123, -0.635977, -0.704291, -1.19781, -0.817474, -1.14393, -0.448155, -0.580318, -0.998568, -0.157094, 0.446408, 1.36994, 1.00737, 0.359487, 0.193353, -0.443484, 0.197333, 1
0.0842097, 0.323528, 0.660136, 0.627745, -1.21152, -1.43084, -0.382707, -0.389879, 0.206924, -0.978748, -0.446955, 0.0376867, 0.0560059, -0.148158, 0.0121628, -0.138347, 0.46844, 1.29539, 1.55661, 1.16905, 0.613378, -1.28408, -0.928049, -0.285862, -1.46013, -1.4824, -0.351526, 0.467458, -0.0548348, -0.367058, 0.36695, 1.06435, -0.0233385, -1.19889, -0.555204, 0.313313, 0.726904, -0.115776, -0.562098, -0.707521, -0.7092, -0.269624, -1.04352, -1.07115, -0.895163, -0.617684, -0.533081, -0.110932, 0.202235, -0.997002, -0.596973, -0.489952, -1.06357, 0.282042, 1.34172, 0.327463, 2.60649, 1.58442, -0.54055, -0.538101, 1
-0.863991, -0.350017, -0.575938, -0.429684, -0.804692, 0.213683, 0.376342, -0.83379, -0.878498, -0.537579, -0.171908, 0.882252, 0.71292, -0.17795, -0.423029, 0.680049, 1.19547, 1.19903, 0.474008, -0.47038, -0.682885, -0.749072, -0.37004, 0.264916, 0.749108, 0.838998, 0.976342, 1.03747, 1.23133, 1.25288, 1.04641, 1.08311, 1.63419, 2.05009, 2.31283, 2.29952, 2.4096, 2.34369, 1.68128, 0.953721, 0.0143069, -0.600926, -0.956462, -1.08016, -0.260058, 0.247643, -0.136314, -0.354457, -0.9548, 0.00555883, 1.23506, 0.807538, -0.227912, -0.731545, -0.097407, 0.170563, -0.141767, 0.564305, -0.314063, 0.893013, 1
