@relation conn-bench-vowel-deterding
@attribute f1 real [-0.999053, 0.999053]
@attribute f2 real [-2.13401, 2.32336]
@attribute f3 real [-2.59209, 2.87575]
@attribute f4 real [-2.75034, 2.51024]
@attribute f5 real [-2.51375, 2.16546]
@attribute f6 real [-2.40678, 3.07514]
@attribute f7 real [-2.19099, 2.68606]
@attribute f8 real [-3.24353, 2.891]
@attribute f9 real [-2.87181, 2.10821]
@attribute f10 real [-2.17063, 2.54544]
@attribute f11 real [-2.84737, 2.64237]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11
@outputs clase
@data
-0.999053, 0.593649, 0.174559, -0.536847, 0.698004, -1.72258, 0.276063, 0.785643, -0.952675, 0.879803, -0.555813, 4
-0.999053, -0.808281, 0.490674, 0.771554, 1.61955, -1.97465, 0.0123966, -0.944128, 0.964784, 1.36077, -0.386267, 7
-0.999053, -0.723726, 0.327879, -0.662291, 0.211886, -0.395728, 1.68691, -1.10479, 0.857326, 0.163193, -0.623632, 8
-0.999053, -0.0733898, -1.11919, -0.555731, 1.08924, 0.191521, 2.0508, -0.860665, 0.560137, -0.816496, -0.432669, 1
-0.999053, -0.528521, 0.0651672, -1.29086, 1.42458, 0.600102, 1.52192, -0.981686, 0.550062, 0.326205, -1.15726, 9
-0.999053, 0.230379, -0.0743713, -0.969833, 0.341864, -0.719823, 1.10253, -1.20912, 0.813671, 0.31975, -1.35179, 10
-0.999053, -0.52017, -1.20446, -0.260329, 1.64554, 0.270467, 1.6977, -0.785548, 0.256231, -0.658326, -1.35001, 0
-0.999053, 0.555025, 0.35458, -0.918576, 0.501737, -1.40956, 0.786434, -0.184614, -0.502693, 0.657073, -1.07159, 4
-0.999053, -0.488854, 0.443299, 0.0728414, 0.633015, -1.80568, -0.721551, 1.3511, -0.22901, 0.986326, 0.145575, 6
-0.999053, 0.109289, -1.1924, -0.840342, 0.696704, 0.0474789, 2.16644, -0.474648, 0.635693, -0.145078, -0.382697, 1
-0.999053, 0.46212, 0.285673, -0.936111, 0.517335, -1.06331, 0.902077, -0.612362, -0.412025, 0.419817, -1.00734, 4
-0.999053, 0.158351, 0.427795, -0.608336, 0.0637114, -1.3043, -0.0600731, 1.23634, -1.45974, 0.489218, -0.127485, 5
-0.999053, -0.947117, 0.470001, 0.809323, 1.3401, -1.69488, -0.974424, 0.426752, -0.277702, 1.68357, 0.374017, 7
