@relation credit-approval
@attribute f1 real [-1.49549, 0.681488]
@attribute f2 real [-2.47124, 3.92213]
@attribute f3 real [-0.95592, 4.66864]
@attribute f4 real [-0.566656, 3.87644]
@attribute f5 real [-0.569329, 3.97214]
@attribute f6 real [-1.33095, 1.59268]
@attribute f7 real [-0.57072, 3.25719]
@attribute f8 real [-0.664395, 7.85193]
@attribute f9 real [-0.953958, 1.04674]
@attribute f10 real [-1.15631, 0.86357]
@attribute f11 real [-0.493529, 13.2841]
@attribute f12 real [-1.08712, 0.918529]
@attribute f13 real [-0.316941, 3.26813]
@attribute f14 real [-1.03781, 10.4584]
@attribute f15 real [-0.195272, 18.9982]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15
@outputs clase
@data
-1.49549, 2.20289, -0.060007, -0.566656, -0.569329, 0.468205, -0.0922306, 0.244013, -0.953958, -1.15631, 0.740293, 0.918529, -0.316941, -0.79064, -0.0877882, 0
0.681488, 0.0845151, -0.152411, -0.566656, -0.569329, 0.0184153, -0.57072, 0.0826515, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, 1.03151, -0.195272, 0
0.681488, 0.171353, -0.747007, -0.566656, -0.569329, 0.24331, -0.0922306, 1.27793, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, -0.0951187, 5.80941, 0
-1.49549, 0.576067, 0.249344, -0.566656, -0.569329, -0.206479, -0.57072, -0.365576, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, -1.03781, -0.195272, 0
0.681488, 1.47233, 0.567735, -0.566656, -0.569329, -0.656269, 0.386259, 1.60214, -0.953958, -1.15631, 2.59103, -1.08712, -0.316941, -1.03781, 0.764402, 0
0.681488, -0.260448, -0.838407, 1.65489, 1.70141, -0.881164, -0.57072, -0.58969, -0.953958, -1.15631, -0.0822548, 0.918529, -0.316941, 0.4567, -0.0993043, 0
0.681488, 0.682026, 1.83929, -0.566656, -0.569329, 0.693099, -0.57072, 1.91291, -0.953958, -1.15631, 0.740293, -1.08712, -0.316941, -0.635441, -0.195272, 0
0.681488, 0.834988, -0.646569, -0.566656, -0.569329, -0.656269, 0.386259, 0.38147, 1.04674, 0.86357, -0.493529, 0.918529, -0.316941, 0.203783, -0.195272, 0
0.681488, -0.565576, -0.822336, -0.566656, -0.569329, -1.33095, -0.57072, -0.61509, 1.04674, 0.86357, -0.493529, 0.918529, -0.316941, -0.462998, -0.195272, 0
0.681488, 0.310772, -0.453727, -0.566656, -0.569329, 0.693099, -0.57072, -0.664395, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, 0.335989, -0.156885, 0
0.681488, -0.625327, -0.95592, -0.566656, -0.569329, -0.881164, -0.57072, -0.638995, -0.953958, 0.86357, -0.493529, 0.918529, -0.316941, -1.03781, -0.195272, 0
0.681488, 0.33069, -0.0519719, -0.566656, -0.569329, 0.917994, -0.0922306, 1.05381, 1.04674, 0.86357, -0.493529, -1.08712, 3.26813, 3.0491, -0.195272, 0
-1.49549, -0.844415, -0.788187, -0.566656, -0.569329, 0.468205, -0.57072, -0.190767, -0.953958, -1.15631, -0.287892, 0.918529, -0.316941, -1.03781, -0.195272, 0
0.681488, -0.346489, -0.102191, -0.566656, -0.569329, -0.881164, -0.57072, 0.617537, -0.953958, -1.15631, -0.287892, -1.08712, -0.316941, -0.348035, -0.195272, 0
0.681488, -0.924083, 0.349783, -0.566656, -0.569329, 0.693099, -0.0922306, -0.22812, -0.953958, -1.15631, 0.94593, 0.918529, -0.316941, -0.57796, 0.371704, 0
0.681488, 0.33069, 4.09112, -0.566656, -0.569329, 0.917994, -0.0922306, -0.178815, -0.953958, -1.15631, -0.287892, -1.08712, -0.316941, 1.92247, -0.0993043, 0
0.681488, 0.104432, 0.55066, -0.566656, -0.569329, 1.14289, 0.386259, -0.190767, -0.953958, 0.86357, -0.493529, -1.08712, 3.26813, 1.3764, -0.195272, 1
0.681488, -0.824498, 0.106721, -0.566656, -0.569329, 0.468205, -0.57072, -0.552338, -0.953958, -1.15631, -0.287892, 0.918529, -0.316941, -0.118111, -0.195272, 1
0.681488, -0.758373, 1.00263, -0.566656, -0.569329, -1.33095, -0.57072, -0.58969, -0.953958, 0.86357, -0.493529, 0.918529, -0.316941, -0.233073, -0.195272, 1
0.681488, 1.47871, 2.86075, -0.566656, -0.569329, 1.59268, 2.77871, -0.664395, -0.953958, -1.15631, -0.287892, 0.918529, -0.316941, -0.497486, -0.195272, 1
-1.49549, 1.4325, -0.654604, -0.566656, -0.569329, -0.431374, 0.864748, -0.664395, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, -0.462998, -0.190089, 1
-1.49549, -0.194323, -0.244814, -0.566656, -0.569329, -0.656269, 0.386259, -0.514985, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, -0.0548819, -0.195272, 1
0.681488, -2.47124, -0.855481, -0.566656, -0.569329, -1.33095, 0.386259, -0.414881, -0.953958, 0.86357, -0.493529, -1.08712, 3.26813, 0.801586, -0.195272, 1
0.681488, -0.147319, -0.252849, -0.566656, -0.569329, 0.693099, -0.57072, 0.38147, -0.953958, -1.15631, 0.123382, -1.08712, -0.316941, 0.853319, -0.195272, 1
0.681488, 0.536233, 0.450221, -0.566656, -0.569329, 0.468205, -0.0922306, 2.77202, -0.953958, -1.15631, 0.94593, -1.08712, -0.316941, 0.686624, -0.194312, 1
0.681488, 2.13597, 0.458256, -0.566656, -0.569329, 0.0184153, -0.57072, 3.51906, -0.953958, -1.15631, 0.740293, -1.08712, -0.316941, 1.03151, 0.0603855, 0
0.681488, 0.709113, 0.291528, -0.566656, -0.569329, 0.468205, -0.57072, -0.652442, -0.953958, -1.15631, -0.287892, 0.918529, -0.316941, 0.111813, -0.137691, 0
-1.49549, 1.0477, 0.382927, -0.566656, -0.569329, 0.468205, -0.57072, 1.53939, -0.953958, -1.15631, 0.123382, -1.08712, -0.316941, -1.03781, -0.195272, 0
-1.49549, -0.599037, 0.851976, -0.566656, -0.569329, 0.468205, -0.57072, 1.87556, -0.953958, -1.15631, 0.534656, -1.08712, -0.316941, -0.348035, -0.195272, 0
0.681488, 0.270938, -0.102191, -0.566656, -0.569329, -0.656269, 0.386259, 0.306765, -0.953958, -1.15631, -0.0822548, 0.918529, -0.316941, 0.537173, -0.0781915, 0
-1.49549, 0.0183906, -0.20263, -0.566656, -0.569329, -0.881164, -0.0922306, -0.477633, -0.953958, -1.15631, 1.3572, -1.08712, -0.316941, 0.00259914, -0.195272, 0
0.681488, -0.618954, -0.654604, -0.566656, -0.569329, 0.468205, -0.57072, 0.0452991, -0.953958, -1.15631, 0.123382, -1.08712, -0.316941, -1.03781, -0.0835656, 0
-1.49549, 0.741777, 0.558695, 1.65489, 1.70141, 0.468205, -0.0922306, 1.72615, -0.953958, -1.15631, 2.38539, 0.918529, -0.316941, -1.03781, 0.246178, 0
-1.49549, -0.200697, -0.345253, 1.65489, 1.70141, 0.917994, -0.0922306, 0.0946042, -0.953958, -1.15631, -0.287892, 0.918529, -0.316941, -0.635441, -0.195272, 0
0.681488, -0.266821, -0.554165, -0.566656, -0.569329, 0.917994, -0.0922306, -0.365576, -0.953958, -1.15631, 0.329019, 0.918529, -0.316941, -0.233073, 1.25268, 0
0.681488, 0.0781417, -0.604384, 1.65489, 1.70141, 1.14289, -0.0922306, -0.652442, -0.953958, 0.86357, -0.493529, -1.08712, -0.316941, 1.2212, -0.195272, 0
-1.49549, 0.781611, 1.05285, -0.566656, -0.569329, 0.468205, -0.0922306, -0.141462, -0.953958, 0.86357, -0.493529, 0.918529, -0.316941, -0.871113, -0.0346223, 0
-1.49549, 0.104432, -0.847446, -0.566656, -0.569329, -0.881164, -0.57072, -0.652442, -0.953958, 0.86357, -0.493529, 0.918529, -0.316941, 1.49136, 1.94998, 0
