@relation ecoli
@attribute f1 real [-2.56923, 2.00346]
@attribute f2 real [-2.29487, 3.3748]
@attribute f3 real [-0.174882, 5.70114]
@attribute f4 real [-0.0545545, 18.2757]
@attribute f5 real [-4.08602, 3.10495]
@attribute f6 real [-2.17926, 2.31666]
@attribute f7 real [-2.38638, 2.34118]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-1.28477, -0.134992, -0.174882, -0.0545545, -0.490536, -1.53037, -1.00154, 0
-1.4389, -0.472472, -0.174882, -0.0545545, -0.163674, -1.57672, -1.04929, 0
-0.976497, -1.82239, -0.174882, -0.0545545, 1.87921, -2.08656, -1.71783, 0
0.0510727, 0.269984, -0.174882, -0.0545545, -0.735683, -0.742422, -0.332993, 0
-0.359955, -0.742456, -0.174882, -0.0545545, -0.24539, -0.881471, -0.428499, 0
0.15383, -0.809953, -0.174882, -0.0545545, -0.490536, -1.11322, -0.667264, 0
-0.822362, -1.14743, -0.174882, -0.0545545, -0.98083, -0.696073, -0.285239, 0
-0.719605, 0.269984, -0.174882, -0.0545545, -0.735683, -0.557024, -0.189733, 0
-0.925119, -0.539968, -0.174882, -0.0545545, -1.22598, -1.02052, -0.571758, 0
-0.616848, -0.269984, -0.174882, -0.0545545, -0.163674, -1.29862, -1.00154, 0
-1.4389, -0.944945, -0.174882, -0.0545545, -1.22598, -0.510674, -0.14198, 0
-0.308577, -1.07994, -0.174882, -0.0545545, -1.63455, -0.788772, -0.332993, 0
-0.308577, 0.404976, -0.174882, -0.0545545, -2.43201E-4, -0.186226, 0.192291, 0
-1.23339, -1.61991, -0.174882, -0.0545545, -1.30769, -1.15957, -0.715017, 0
-0.308577, 0.067496, -0.174882, -0.0545545, -0.24539, -1.11322, -0.667264, 0
-0.668226, -3.74678E-15, -0.174882, -0.0545545, -0.653968, -0.649723, -0.237486, 0
-0.411334, -1.34992, -0.174882, -0.0545545, -0.163674, -1.11322, -0.667264, 0
-0.462712, -0.134992, -0.174882, -0.0545545, 0.0814723, -0.278926, 0.0490322, 0
-0.308577, -1.48491, -0.174882, -0.0545545, -0.572252, -1.06687, -0.619511, 0
-0.719605, 0.404976, -0.174882, -0.0545545, -0.572252, -0.232576, 0.144538, 0
-0.462712, -0.472472, -0.174882, -0.0545545, -2.43201E-4, -1.20592, -1.19255, 0
0.718993, 1.7549, -0.174882, -0.0545545, -0.408821, -0.696073, -0.571758, 0
-0.616848, -1.61991, -0.174882, -0.0545545, 0.326619, -1.57672, -1.04929, 0
-0.359955, -1.21493, -0.174882, -0.0545545, -1.38941, -0.232576, 0.0967853, 0
-0.0516843, -0.472472, -0.174882, -0.0545545, -0.0819587, -0.927821, -0.476252, 0
-0.770983, -1.07994, -0.174882, -0.0545545, -0.327105, -0.927821, -1.09704, 0
-1.33615, -0.607464, -0.174882, -0.0545545, -0.0819587, -1.25227, -0.76277, 0
-1.6958, -0.742456, -0.174882, -0.0545545, 0.244903, -0.927821, -0.524005, 0
