@relation fertility
@attribute f1 real [-1.15611, 1.35417]
@attribute f2 real [-1.39303, 2.72836]
@attribute f3 real [-2.57398, 0.384618]
@attribute f4 real [-0.881962, 1.1225]
@attribute f5 real [-1.01509, 0.975283]
@attribute f6 real [-2.04907, 1.39474]
@attribute f7 real [-3.77311, 1.00298]
@attribute f8 real [-0.803732, 1.66929]
@attribute f9 real [-1.86056, 3.18248]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9
@outputs clase
@data
1.35417, -0.23904, -2.57398, -0.881962, 0.975283, -0.327162, -0.191044, -0.803732, -0.841223, 0
1.35417, -0.486323, 0.384618, -0.881962, -1.01509, -0.327162, 1.00298, -0.803732, -0.841223, 0
1.35417, 0.00824276, 0.384618, 1.1225, -1.01509, -2.04907, -0.191044, 0.432779, -0.519327, 0
1.35417, 0.667664, 0.384618, 1.1225, 0.975283, -0.327162, -0.191044, 1.66929, -0.841223, 0
1.35417, 1.16223, 0.384618, -0.881962, -1.01509, -0.327162, 1.00298, -0.803732, -0.14378, 0
1.35417, 0.173098, 0.384618, -0.881962, 0.975283, -0.327162, -0.191044, -0.803732, -0.841223, 1
1.35417, 0.00824276, 0.384618, -0.881962, -1.01509, -0.327162, -0.191044, 1.66929, -0.14378, 1
1.35417, 0.00824276, -2.57398, -0.881962, 0.975283, -0.327162, -0.191044, -0.803732, -0.841223, 0
1.35417, 0.667664, 0.384618, -0.881962, -1.01509, -0.327162, -1.38507, 0.432779, -0.841223, 0
1.35417, -0.898461, 0.384618, -0.881962, 0.975283, -0.327162, 1.00298, -0.803732, 1.19746, 0
1.35417, 0.00824276, 0.384618, -0.881962, -1.01509, -0.327162, 1.00298, -0.803732, -0.841223, 0
1.35417, -0.733606, -2.57398, -0.881962, 0.975283, -0.327162, 1.00298, -0.803732, -1.16312, 0
-1.15611, 0.00824276, -2.57398, -0.881962, 0.975283, -0.327162, -1.38507, 0.432779, 0.500013, 1
-1.15611, -0.733606, 0.384618, -0.881962, 0.975283, -2.04907, -0.191044, 1.66929, 0.500013, 0
-0.315165, 0.00824276, 0.384618, -0.881962, 0.975283, -0.327162, -0.191044, -0.803732, -1.16312, 0
-0.315165, -0.486323, 0.384618, -0.881962, 0.975283, -0.327162, 1.00298, -0.803732, 1.19746, 0
-1.15611, -0.898461, 0.384618, -0.881962, -1.01509, 1.39474, 1.00298, -0.803732, 0.500013, 0
-1.15611, -1.39303, 0.384618, -0.881962, -1.01509, 1.39474, -0.191044, -0.803732, 0.178116, 0
-0.315165, 2.06893, 0.384618, 1.1225, -1.01509, 1.39474, 1.00298, -0.803732, 1.19746, 0
-0.315165, 2.06893, 0.384618, -0.881962, -1.01509, 1.39474, -1.38507, -0.803732, -1.16312, 0
-0.315165, 1.57437, 0.384618, 1.1225, 0.975283, 1.39474, 1.00298, -0.803732, -0.841223, 0
-0.315165, 1.82165, 0.384618, 1.1225, -1.01509, -0.327162, -1.38507, 1.66929, -0.519327, 0
-0.315165, 0.667664, 0.384618, 1.1225, 0.975283, -0.327162, -1.38507, 1.66929, -0.841223, 0
-0.315165, 1.16223, 0.384618, 1.1225, 0.975283, -0.327162, 1.00298, 1.66929, -0.14378, 0
-1.15611, -0.23904, 0.384618, -0.881962, 0.975283, -0.327162, 1.00298, 0.432779, -1.16312, 0
