@relation glass
@attribute f1 real [-2.37594, 5.12521]
@attribute f2 real [-3.27925, 4.86423]
@attribute f3 real [-1.86115, 1.2517]
@attribute f4 real [-2.31319, 4.1162]
@attribute f5 real [-3.66787, 3.56217]
@attribute f6 real [-0.762132, 8.75961]
@attribute f7 real [-2.47827, 5.0824]
@attribute f8 real [-0.352051, 5.98318]
@attribute f9 real [-0.585079, 4.64898]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9
@outputs clase
@data
-0.265215, -0.31576, 0.641613, -0.790968, 0.76053, 0.111844, -0.503784, -0.352051, -0.585079, 0
-0.268507, -0.499447, 0.63468, -0.170061, 0.43776, 0.111844, -0.391358, -0.352051, 0.543836, 0
-0.242164, -0.744364, 0.676277, -0.350325, 0.463582, 0.157843, -0.278932, -0.352051, -0.585079, 0
-0.815124, -0.646397, 0.516821, -0.0899445, 0.812173, 0.295839, -0.637291, -0.352051, 1.87801, 0
-0.284972, -0.719873, 0.600016, 0.0903188, 0.127901, 0.0658455, -0.307038, -0.352051, 1.36486, 0
0.426288, 1.66807, 0.738673, -2.31319, -0.814587, -0.716133, 0.0302409, -0.352051, -0.585079, 0
-0.380465, -0.658643, 0.551486, -0.230149, 0.502314, 0.0965114, -0.370278, -0.352051, -0.585079, 0
-0.130207, -0.817839, 0.551486, -0.190091, 0.399028, 0.219175, -0.194612, -0.352051, -0.585079, 0
-0.268507, -0.854577, 0.509889, -0.49053, 0.708887, 0.14251, -0.222719, -0.352051, -0.585079, 0
0.208959, 0.100599, 0.551486, -0.190091, -0.904962, 0.0811785, 0.0302409, -0.352051, -0.585079, 0
1.59196, 0.382253, 0.717874, -1.87255, -1.16318, -0.624135, 0.775066, -0.352051, 1.05698, 0
0.294573, -0.25453, 0.447493, -0.330296, -0.37562, 0.157843, 0.128614, -0.352051, 0.543836, 0
-0.0939853, 0.027124, 0.128582, -0.510559, 0.244098, 0.0811785, 0.0513208, -0.352051, -0.585079, 0
0.00150795, -0.328006, 0.107783, -0.330296, 0.257009, 0.0811785, 0.0794274, -0.352051, -0.585079, 0
-0.192771, -0.242285, 0.0869846, -0.310266, 0.42485, 0.0198468, 0.0442942, -0.352051, 0.338579, 0
-0.222407, -1.17297, 0.0176561, -0.310266, 1.35443, 0.0965114, 0.0724008, -0.352051, 1.87801, 0
1.10462, 0.125091, 0.814934, -1.13147, -1.11153, -0.409475, 0.40968, -0.352051, 0.543836, 0
1.52611, -0.119826, 0.620814, -1.25164, -0.853319, -0.578137, 0.852359, -0.352051, -0.277193, 0
0.0377295, 0.284287, 0.821867, -0.350325, -0.892051, 0.0658455, -0.447571, -0.352051, 2.69904, 1
-0.630723, 0.0393698, 0.641613, 0.190465, -0.336887, 0.24984, -0.651344, -0.352051, -0.585079, 1
-0.736095, 0.62717, 0.579217, -0.390383, 0.295742, -0.194814, -0.714584, -0.352051, 0.851722, 1
-0.811831, -0.719873, 0.579217, 0.911518, 0.26992, 0.295839, -0.693504, -0.352051, -0.585079, 1
-0.630723, -0.00961356, 0.558419, 0.150407, -0.00120662, 0.265173, -0.616211, -0.352051, 0.441207, 1
-0.647188, -1.05051, 0.551486, 0.851431, 0.747619, 0.203842, -0.616211, -0.352051, 0.338579, 1
2.10236, -2.39755, -1.86115, 0.87146, -0.595103, 0.479834, 3.00954, -0.352051, 2.90429, 1
4.24273, -3.27925, -1.86115, 1.3121, -3.66787, 0.127177, 3.0517, 5.98318, 2.28852, 1
5.12521, -1.35666, -1.86115, -0.891115, -3.21599, -0.578137, 5.0824, -0.352051, 1.87801, 1
2.72471, -2.66696, -1.86115, -1.35179, 0.721798, -0.762132, 4.02138, -0.352051, -0.585079, 1
3.09681, -0.940298, -1.86115, -1.55208, -0.814587, -0.670134, 3.82463, -0.352051, -0.585079, 1
0.182616, 0.0638615, 0.794136, -0.370354, -0.130315, 0.111844, -0.524864, -0.352051, 0.851722, 1
0.0344367, -0.376989, 0.891195, -0.510559, -0.272333, 0.157843, -0.370278, -0.352051, -0.585079, 1
0.0311438, 0.00263228, 0.835733, -0.230149, -0.349798, 0.0198468, -0.475678, -0.352051, -0.585079, 1
0.116758, -0.585168, 0.676277, 0.230524, -0.181958, 0.127177, -0.285958, -0.352051, 0.646464, 1
-0.0775209, 0.027124, 0.898128, -0.530588, -0.207779, 0.127177, -0.567024, -0.352051, -0.585079, 1
-0.120328, 0.370008, 0.863464, 0.190465, -1.08571, 0.0658455, -0.524864, -0.352051, 0.95435, 1
-0.574744, -0.683135, 0.572284, -0.00982744, 0.463582, 0.280506, -0.510811, -0.23138, 1.98064, 1
0.00809369, -0.683135, 0.68321, -0.410413, -0.104493, 0.188509, -0.194612, -0.352051, 3.00692, 1
-0.564866, -0.328006, 0.530687, 0.631109, -0.22069, 0.157843, -0.405411, -0.352051, 1.15961, 2
0.95644, 1.117, 0.842665, -1.23161, -1.48595, -0.762132, 0.374547, -0.352051, -0.585079, 2
-0.189479, 0.284287, 0.669344, -1.59214, 0.450671, -0.670134, -0.0189457, -0.352051, -0.585079, 2
-0.199357, 0.149582, 0.502956, 0.150407, -0.788765, 0.127177, -0.117319, -0.352051, -0.585079, 2
-1.71408, -0.474956, -1.86115, 3.19485, -2.80285, 8.75961, -1.4032, -0.352051, -0.585079, 3
0.679839, -0.0341052, -1.86115, -0.0899445, -0.517638, -0.256146, 2.48957, -0.352051, -0.585079, 3
0.729232, -0.683135, -0.744958, 1.45231, -0.608014, 0.40317, 0.522106, 0.130633, 4.64898, 3
0.330795, 0.467974, -0.190329, -0.510559, 0.140812, -0.762132, 0.571293, -0.352051, -0.585079, 4
0.169444, 1.93748, -1.32038, 0.59105, -0.194869, -0.762132, 0.697773, -0.352051, -0.585079, 4
1.5755, 0.0393698, 0.454426, -0.430442, -0.349798, 0.157843, -0.0892122, -0.352051, -0.585079, 5
-0.772317, 1.76603, -1.86115, 1.87292, 0.812173, -0.762132, -0.138399, 0.935107, 0.338579, 5
-0.387051, 1.64358, -1.86115, 1.11181, 0.476493, -0.762132, -0.300012, 2.84573, 0.23595, 5
-0.749267, 1.96197, -1.86115, 2.1333, 0.515225, -0.685467, -0.0892122, 0.713877, -0.585079, 5
-1.08185, 2.13341, -1.86115, 1.61254, 1.09621, -0.762132, -0.433518, 0.914995, -0.585079, 5
-0.60438, -1.78526, -1.86115, -0.510559, 3.26522, 3.37775, -0.0189457, -0.352051, -0.585079, 5
-0.0182493, 1.20273, -1.86115, 0.751284, 0.26992, 1.39981, -1.7475, 5.44016, -0.585079, 5
-0.413394, 1.00679, -1.86115, 1.27205, 0.91546, -0.762132, -0.236772, 3.00663, -0.585079, 5
