@relation hill-valley
@attribute f1 real [-0.443413, 6.09276]
@attribute f2 real [-0.445189, 5.62531]
@attribute f3 real [-0.442717, 6.16559]
@attribute f4 real [-0.445496, 5.65802]
@attribute f5 real [-0.444455, 5.8703]
@attribute f6 real [-0.446775, 6.12532]
@attribute f7 real [-0.445115, 5.99329]
@attribute f8 real [-0.441558, 5.946]
@attribute f9 real [-0.443245, 5.857]
@attribute f10 real [-0.441819, 6.10956]
@attribute f11 real [-0.443228, 5.69945]
@attribute f12 real [-0.447803, 5.74067]
@attribute f13 real [-0.445073, 6.08008]
@attribute f14 real [-0.444054, 6.29965]
@attribute f15 real [-0.447584, 5.79266]
@attribute f16 real [-0.443318, 5.90634]
@attribute f17 real [-0.444134, 5.89189]
@attribute f18 real [-0.441772, 5.9328]
@attribute f19 real [-0.443848, 5.90245]
@attribute f20 real [-0.445433, 5.54957]
@attribute f21 real [-0.43931, 6.12213]
@attribute f22 real [-0.446092, 5.80079]
@attribute f23 real [-0.445031, 5.93462]
@attribute f24 real [-0.444301, 5.52207]
@attribute f25 real [-0.446253, 5.76794]
@attribute f26 real [-0.445645, 5.96616]
@attribute f27 real [-0.444123, 6.06074]
@attribute f28 real [-0.441928, 6.02371]
@attribute f29 real [-0.446778, 6.10579]
@attribute f30 real [-0.442954, 5.81048]
@attribute f31 real [-0.4471, 5.75333]
@attribute f32 real [-0.446508, 5.90615]
@attribute f33 real [-0.447653, 5.94778]
@attribute f34 real [-0.445188, 6.07666]
@attribute f35 real [-0.447563, 5.54736]
@attribute f36 real [-0.440472, 6.10704]
@attribute f37 real [-0.443604, 6.07519]
@attribute f38 real [-0.442035, 6.11223]
@attribute f39 real [-0.443994, 5.9116]
@attribute f40 real [-0.448608, 6.02796]
@attribute f41 real [-0.447321, 5.64738]
@attribute f42 real [-0.444386, 6.19301]
@attribute f43 real [-0.443593, 6.07598]
@attribute f44 real [-0.443957, 6.01776]
@attribute f45 real [-0.441266, 5.79863]
@attribute f46 real [-0.442732, 5.99235]
@attribute f47 real [-0.443939, 5.44963]
@attribute f48 real [-0.443045, 5.92278]
@attribute f49 real [-0.444148, 5.94076]
@attribute f50 real [-0.44554, 5.70355]
@attribute f51 real [-0.445594, 5.92617]
@attribute f52 real [-0.445036, 6.08879]
@attribute f53 real [-0.447826, 5.7717]
@attribute f54 real [-0.446501, 5.49194]
@attribute f55 real [-0.443649, 5.89055]
@attribute f56 real [-0.448283, 5.95248]
@attribute f57 real [-0.44585, 6.1899]
@attribute f58 real [-0.449128, 5.98483]
@attribute f59 real [-0.443745, 6.35433]
@attribute f60 real [-0.447381, 5.89627]
@attribute f61 real [-0.445233, 6.16939]
@attribute f62 real [-0.443116, 6.13668]
@attribute f63 real [-0.446025, 6.04538]
@attribute f64 real [-0.447415, 5.96774]
@attribute f65 real [-0.44676, 5.80541]
@attribute f66 real [-0.444172, 5.79865]
@attribute f67 real [-0.445696, 5.92097]
@attribute f68 real [-0.445363, 5.70281]
@attribute f69 real [-0.441947, 5.7364]
@attribute f70 real [-0.43859, 6.18236]
@attribute f71 real [-0.439425, 5.65547]
@attribute f72 real [-0.440423, 6.58681]
@attribute f73 real [-0.442003, 5.99352]
@attribute f74 real [-0.436835, 6.14267]
@attribute f75 real [-0.439228, 5.79096]
@attribute f76 real [-0.440698, 5.29241]
@attribute f77 real [-0.441446, 5.55818]
@attribute f78 real [-0.444857, 5.51071]
@attribute f79 real [-0.443724, 5.28562]
@attribute f80 real [-0.446042, 5.54085]
@attribute f81 real [-0.445888, 5.1896]
@attribute f82 real [-0.446602, 5.37835]
@attribute f83 real [-0.447797, 5.39545]
@attribute f84 real [-0.451501, 5.60505]
@attribute f85 real [-0.448517, 5.86748]
@attribute f86 real [-0.453149, 5.53675]
@attribute f87 real [-0.451018, 5.77547]
@attribute f88 real [-0.450335, 5.9518]
@attribute f89 real [-0.450639, 5.4437]
@attribute f90 real [-0.447437, 5.82378]
@attribute f91 real [-0.45184, 5.34166]
@attribute f92 real [-0.447864, 5.789]
@attribute f93 real [-0.446087, 5.79917]
@attribute f94 real [-0.447903, 5.72377]
@attribute f95 real [-0.448063, 5.94048]
@attribute f96 real [-0.444492, 5.71693]
@attribute f97 real [-0.446504, 5.96541]
@attribute f98 real [-0.447765, 6.1264]
@attribute f99 real [-0.443608, 5.84956]
@attribute f100 real [-0.44679, 5.85]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64, f65, f66, f67, f68, f69, f70, f71, f72, f73, f74, f75, f76, f77, f78, f79, f80, f81, f82, f83, f84, f85, f86, f87, f88, f89, f90, f91, f92, f93, f94, f95, f96, f97, f98, f99, f100
@outputs clase
@data
-0.4413, -0.443197, -0.440644, -0.443383, -0.442304, -0.444588, -0.443101, -0.43941, -0.441115, -0.439696, -0.441191, -0.445616, -0.442959, -0.441924, -0.445548, -0.441354, -0.442098, -0.439686, -0.441851, -0.443268, -0.437321, -0.444044, -0.443043, -0.442311, -0.444271, -0.443569, -0.442107, -0.439994, -0.444787, -0.440983, -0.445085, -0.444502, -0.445518, -0.443165, -0.445526, -0.438539, -0.441671, -0.440107, -0.442121, -0.446718, -0.445349, -0.442375, -0.441703, -0.442076, -0.439422, -0.44093, -0.442248, -0.441321, -0.442434, -0.443748, -0.443737, -0.443085, -0.445947, -0.444651, -0.441649, -0.446379, -0.443896, -0.447078, -0.441709, -0.445405, -0.443128, -0.44107, -0.443875, -0.445317, -0.444727, -0.442042, -0.443567, -0.443251, -0.439891, -0.436533, -0.437385, -0.438336, -0.440017, -0.434823, -0.437213, -0.438616, -0.439355, -0.442733, -0.441601, -0.443919, -0.443774, -0.444602, -0.44577, -0.449352, -0.446416, -0.450921, -0.448845, -0.448264, -0.448596, -0.445374, -0.449741, -0.445854, -0.444072, -0.44577, -0.445934, -0.442436, -0.444507, -0.445592, -0.441577, -0.444649, 0
-0.432703, -0.43597, -0.431907, -0.43643, -0.435301, -0.436039, -0.435134, -0.430702, -0.431917, -0.431769, -0.433454, -0.437039, -0.432434, -0.432111, -0.434963, -0.429988, -0.431233, -0.428865, -0.431281, -0.433637, -0.427306, -0.435303, -0.433379, -0.432957, -0.434998, -0.434795, -0.435009, -0.431256, -0.436173, -0.43324, -0.43806, -0.435737, -0.438163, -0.434802, -0.438112, -0.43133, -0.43352, -0.433299, -0.434371, -0.437832, -0.436475, -0.434821, -0.433979, -0.435338, -0.430803, -0.432829, -0.435116, -0.433584, -0.435062, -0.435831, -0.436177, -0.434907, -0.436985, -0.437111, -0.43449, -0.438201, -0.435475, -0.439379, -0.435074, -0.436785, -0.435503, -0.434003, -0.43555, -0.438659, -0.435995, -0.433992, -0.43573, -0.435654, -0.431344, -0.429624, -0.429666, -0.431034, -0.433336, -0.426674, -0.430507, -0.430997, -0.431879, -0.434708, -0.434606, -0.435801, -0.436698, -0.437684, -0.43905, -0.441453, -0.43823, -0.444032, -0.442119, -0.439483, -0.440553, -0.437883, -0.442804, -0.438735, -0.435947, -0.438144, -0.43722, -0.434859, -0.435941, -0.43816, -0.434428, -0.437176, 1
-0.336474, -0.341502, -0.342615, -0.347227, -0.328364, -0.34081, -0.341358, -0.33814, -0.328898, -0.331957, -0.331452, -0.332777, -0.332389, -0.334666, -0.347072, -0.344409, -0.345133, -0.343207, -0.339066, -0.330167, -0.332167, -0.335827, -0.330051, -0.330077, -0.336805, -0.320626, -0.326958, -0.311363, -0.315352, -0.298019, -0.314937, -0.319858, -0.318514, -0.320213, -0.323918, -0.323253, -0.326168, -0.322907, -0.33802, -0.329949, -0.326681, -0.334982, -0.33313, -0.333797, -0.334674, -0.340158, -0.345042, -0.334392, -0.344649, -0.328514, -0.328946, -0.343256, -0.335307, -0.333317, -0.343931, -0.334819, -0.343861, -0.333331, -0.341132, -0.348002, -0.333748, -0.34442, -0.336762, -0.347647, -0.343369, -0.327695, -0.343714, -0.329946, -0.32625, -0.324925, -0.333772, -0.335102, -0.333592, -0.328935, -0.336746, -0.336568, -0.330107, -0.331753, -0.336789, -0.33187, -0.336903, -0.328618, -0.339946, -0.336718, -0.347001, -0.349271, -0.348526, -0.343495, -0.351427, -0.347987, -0.337375, -0.345098, -0.346762, -0.341905, -0.33524, -0.346991, -0.339197, -0.341275, -0.33448, -0.341732, 1
-0.382681, -0.382283, -0.381652, -0.384701, -0.384258, -0.384098, -0.383692, -0.38262, -0.381025, -0.382189, -0.38326, -0.385137, -0.382973, -0.383518, -0.386241, -0.383747, -0.385362, -0.381358, -0.38456, -0.385865, -0.378351, -0.385207, -0.384445, -0.384521, -0.384766, -0.384704, -0.383479, -0.382524, -0.387324, -0.383166, -0.387169, -0.385189, -0.386157, -0.385378, -0.386508, -0.381854, -0.381414, -0.380024, -0.384904, -0.385761, -0.385723, -0.382341, -0.384331, -0.383211, -0.380371, -0.380802, -0.382651, -0.381743, -0.384793, -0.38571, -0.385845, -0.385136, -0.386768, -0.384984, -0.383152, -0.387067, -0.384379, -0.387605, -0.382453, -0.387, -0.382472, -0.382161, -0.386444, -0.38658, -0.384547, -0.38351, -0.382597, -0.385892, -0.383022, -0.378601, -0.380126, -0.380911, -0.379267, -0.375175, -0.379532, -0.379371, -0.38146, -0.382121, -0.379688, -0.382658, -0.381511, -0.379887, -0.380258, -0.382156, -0.379294, -0.384412, -0.384039, -0.385561, -0.387136, -0.384473, -0.388303, -0.385457, -0.382824, -0.384926, -0.385036, -0.383365, -0.384797, -0.384148, -0.384075, -0.38611, 1
-0.441547, -0.443309, -0.440966, -0.443628, -0.442674, -0.44501, -0.443341, -0.439715, -0.441402, -0.439937, -0.44137, -0.445917, -0.443227, -0.44231, -0.445815, -0.441476, -0.442308, -0.44007, -0.442056, -0.443665, -0.437519, -0.444266, -0.443219, -0.442476, -0.444554, -0.443843, -0.442388, -0.440301, -0.445034, -0.441313, -0.445454, -0.444958, -0.446028, -0.443617, -0.446046, -0.438913, -0.441939, -0.440312, -0.442376, -0.446933, -0.445609, -0.44259, -0.441807, -0.442129, -0.439554, -0.44097, -0.442155, -0.44131, -0.442347, -0.443806, -0.443811, -0.443262, -0.446033, -0.444678, -0.441824, -0.446482, -0.444066, -0.447327, -0.441924, -0.445593, -0.443448, -0.441346, -0.444166, -0.445625, -0.44492, -0.442345, -0.443858, -0.443602, -0.440155, -0.43675, -0.437685, -0.43864, -0.440242, -0.435016, -0.437432, -0.4389, -0.439714, -0.443096, -0.44189, -0.444215, -0.44409, -0.444826, -0.446003, -0.449692, -0.446626, -0.451255, -0.449154, -0.448537, -0.448828, -0.445664, -0.449965, -0.446029, -0.444327, -0.446043, -0.44623, -0.442678, -0.444709, -0.445977, -0.441841, -0.444928, 0
-0.416753, -0.419217, -0.418239, -0.421806, -0.418174, -0.418559, -0.4171, -0.414008, -0.418117, -0.417503, -0.419712, -0.419677, -0.419534, -0.420399, -0.422348, -0.416669, -0.418481, -0.416801, -0.420512, -0.420475, -0.413012, -0.418908, -0.421167, -0.418781, -0.421195, -0.418384, -0.41824, -0.414121, -0.422107, -0.416504, -0.418143, -0.418381, -0.418181, -0.418049, -0.421791, -0.41315, -0.418695, -0.413512, -0.41918, -0.422833, -0.41808, -0.420403, -0.417447, -0.416362, -0.417734, -0.418541, -0.415756, -0.415281, -0.417453, -0.418004, -0.417819, -0.417929, -0.419146, -0.421841, -0.418825, -0.418892, -0.41704, -0.423065, -0.415306, -0.422535, -0.419528, -0.417205, -0.420524, -0.420423, -0.420957, -0.415978, -0.417866, -0.415918, -0.41088, -0.412354, -0.412504, -0.410152, -0.409421, -0.404571, -0.403798, -0.401618, -0.406143, -0.411937, -0.41472, -0.41603, -0.416192, -0.416317, -0.421609, -0.422836, -0.41812, -0.422969, -0.421425, -0.419608, -0.422787, -0.419398, -0.424056, -0.418174, -0.418319, -0.423231, -0.420232, -0.41626, -0.422795, -0.423943, -0.418309, -0.419539, 1
-0.441937, -0.443604, -0.441183, -0.44396, -0.442784, -0.445203, -0.443268, -0.439819, -0.441371, -0.440287, -0.441378, -0.446055, -0.443163, -0.4424, -0.445779, -0.441647, -0.442291, -0.439737, -0.441684, -0.443444, -0.436991, -0.443514, -0.442784, -0.442258, -0.444139, -0.443623, -0.442419, -0.440162, -0.445102, -0.441061, -0.445375, -0.444641, -0.446052, -0.443658, -0.44594, -0.438653, -0.441771, -0.440285, -0.442506, -0.446932, -0.445665, -0.442563, -0.442057, -0.442346, -0.439496, -0.440976, -0.44215, -0.441297, -0.44268, -0.443853, -0.44389, -0.44333, -0.446123, -0.444867, -0.442121, -0.446668, -0.444245, -0.447416, -0.442021, -0.445784, -0.443336, -0.441375, -0.444256, -0.445708, -0.445207, -0.442465, -0.44408, -0.443608, -0.440408, -0.436962, -0.437865, -0.438766, -0.440211, -0.435088, -0.437484, -0.438881, -0.439764, -0.443071, -0.44215, -0.444557, -0.444069, -0.444977, -0.446292, -0.449914, -0.446937, -0.451593, -0.449135, -0.44847, -0.448762, -0.4458, -0.450059, -0.446222, -0.444503, -0.446081, -0.446382, -0.442648, -0.444835, -0.446056, -0.442137, -0.445036, 1
-0.443382, -0.445158, -0.442681, -0.445465, -0.444422, -0.446742, -0.445085, -0.441515, -0.443195, -0.441768, -0.443189, -0.447755, -0.445037, -0.444012, -0.447547, -0.443278, -0.444093, -0.441733, -0.443801, -0.445398, -0.439272, -0.446056, -0.444995, -0.444261, -0.446219, -0.445607, -0.444088, -0.441896, -0.446747, -0.442916, -0.447059, -0.446471, -0.447615, -0.445153, -0.44753, -0.440441, -0.443572, -0.442004, -0.443966, -0.448574, -0.447291, -0.444346, -0.443559, -0.443929, -0.441235, -0.442704, -0.443913, -0.44302, -0.444118, -0.44551, -0.44555, -0.445003, -0.447795, -0.44647, -0.443615, -0.44825, -0.445811, -0.44909, -0.443695, -0.447336, -0.445189, -0.443085, -0.445991, -0.447385, -0.446732, -0.444141, -0.445664, -0.445337, -0.441916, -0.438561, -0.439396, -0.44038, -0.441951, -0.436792, -0.439187, -0.440659, -0.441415, -0.444834, -0.443688, -0.446014, -0.445861, -0.44657, -0.447767, -0.451469, -0.448486, -0.453121, -0.450987, -0.450309, -0.450613, -0.447407, -0.451815, -0.447837, -0.446061, -0.447871, -0.448031, -0.444462, -0.446477, -0.447743, -0.443584, -0.446762, 1
5.25725, 5.38829, 6.16559, 4.96584, 5.48734, 5.32288, 5.34936, 5.946, 5.857, 6.07749, 5.68991, 5.40549, 5.39995, 6.29965, 5.49861, 5.32119, 5.56165, 5.9328, 5.05549, 5.20934, 6.12213, 5.2076, 5.09768, 5.324, 5.45691, 4.95329, 5.44548, 6.02371, 5.06369, 5.81048, 4.94996, 5.32831, 4.9938, 6.07666, 5.08004, 6.10704, 5.23936, 6.11223, 5.57861, 5.27207, 5.64738, 6.19301, 6.07598, 5.79097, 5.55115, 5.69108, 4.9788, 5.92278, 5.57863, 5.21643, 5.92617, 5.75659, 5.1624, 5.19575, 5.89055, 5.53957, 6.1899, 5.35639, 6.35433, 5.3609, 6.16939, 5.61938, 6.04538, 5.96774, 5.80541, 5.42462, 5.67642, 5.14479, 5.71671, 6.18236, 5.65547, 5.23957, 4.97126, 5.87445, 4.66679, 4.9678, 4.76406, 4.68531, 5.27067, 4.69218, 4.93489, 4.35261, 5.22649, 4.27668, 3.58418, 3.13652, 3.28514, 3.06403, 4.03482, 4.44052, 5.23292, 4.67889, 5.03451, 4.71425, 5.17024, 5.71693, 5.96541, 6.1264, 5.84956, 5.24606, 0
-0.41592, -0.417727, -0.417726, -0.418333, -0.416859, -0.419344, -0.417096, -0.414442, -0.418004, -0.414041, -0.416742, -0.421168, -0.418473, -0.418769, -0.419645, -0.415853, -0.416629, -0.417047, -0.417115, -0.42045, -0.414799, -0.419998, -0.419311, -0.419438, -0.418677, -0.419124, -0.416665, -0.414988, -0.422411, -0.416406, -0.419779, -0.421535, -0.420738, -0.419798, -0.423297, -0.416401, -0.420305, -0.417116, -0.421182, -0.42583, -0.422803, -0.422795, -0.424033, -0.423604, -0.42185, -0.420915, -0.421468, -0.421537, -0.420057, -0.420531, -0.42257, -0.420465, -0.421972, -0.420036, -0.418014, -0.422616, -0.420714, -0.423354, -0.418384, -0.421846, -0.420436, -0.415517, -0.419845, -0.419533, -0.421301, -0.41681, -0.420812, -0.42035, -0.415731, -0.41362, -0.411976, -0.415233, -0.414615, -0.410442, -0.41254, -0.414581, -0.414497, -0.419851, -0.41762, -0.41906, -0.419059, -0.421432, -0.4202, -0.425382, -0.422241, -0.426001, -0.425523, -0.423841, -0.423806, -0.421813, -0.425808, -0.422062, -0.419409, -0.420795, -0.421313, -0.417171, -0.418759, -0.42242, -0.416878, -0.421767, 0
