@relation image-segmentation
@attribute f1 real [-1.66857, 1.71856]
@attribute f2 real [-1.92222, 2.18857]
@attribute f3 real [-0.286499, 3.4738]
@attribute f4 real [-0.211099, 7.17738]
@attribute f5 real [-0.609564, 7.46463]
@attribute f6 real [-0.131496, 13.0421]
@attribute f7 real [-0.542744, 8.77775]
@attribute f8 real [-0.119503, 14.1153]
@attribute f9 real [-0.95899, 2.74977]
@attribute f10 real [-0.927608, 2.92402]
@attribute f11 real [-1.00472, 2.43988]
@attribute f12 real [-0.925444, 2.92148]
@attribute f13 real [-3.10152, 1.56992]
@attribute f14 real [-1.62175, 3.09231]
@attribute f15 real [-2.01432, 2.75173]
@attribute f16 real [-1.03824, 2.45172]
@attribute f17 real [-1.86172, 2.53711]
@attribute f18 real [-0.763466, 2.69675]
@attribute clase {0, 1, 2, 3, 4, 5, 6}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18
@outputs clase
@data
-1.3312, -0.95902, 3.4738, -0.211099, -0.292929, -0.11106, -0.0333012, -0.0867973, -0.441889, -0.377376, -0.413707, -0.532656, 0.954748, -0.164891, -0.721832, -0.439445, 0.0603034, -0.181354, 0
-1.37169, -1.16542, -0.286499, -0.211099, 0.0940688, -0.0470264, -0.17224, -0.11144, -0.352832, -0.317976, -0.294491, -0.451699, 0.608716, 0.119374, -0.843003, -0.318658, 0.0520821, -0.276237, 0
-0.602499, -0.116223, -0.286499, -0.211099, -0.134612, -0.0939443, -0.218553, -0.110528, -0.397839, -0.330482, -0.375659, -0.484682, 0.945136, -0.170813, -0.701637, -0.400896, -0.0697918, -0.187152, 0
-1.65507, -1.35462, -0.286499, -0.211099, 0.0764784, -0.0765736, -0.0448794, -0.103797, -0.474447, -0.439903, -0.428927, -0.556643, 0.704836, -0.0701356, -0.620856, -0.454864, 0.151545, -0.265055, 0
0.288141, 0.0213771, -0.286499, -0.211099, -0.451247, -0.127664, -0.461697, -0.1184, -0.802902, -0.718145, -0.837307, -0.835492, 1.43535, -0.899242, 0.0253882, -0.860912, 0.616988, 0.202428, 0
-1.38518, -0.116223, -0.286499, -0.211099, -0.486428, -0.129026, -0.473275, -0.118134, -0.813435, -0.736903, -0.844917, -0.841489, 1.36807, -0.887397, 0.0758761, -0.868622, 0.669355, 0.154401, 0
-0.049223, -0.167822, -0.286499, -0.211099, -0.0642485, -0.0963285, 0.0709029, -0.103797, -0.435186, -0.364871, -0.423853, -0.511667, 1.00281, -0.277412, -0.580466, -0.449724, -0.11719, -0.157247, 0
0.234162, -1.54382, -0.286499, -0.211099, -0.451247, -0.117159, -0.43854, -0.115913, 1.90039, 1.79541, 1.93258, 1.94401, -2.51519, 1.78351, -0.39871, 1.93773, -0.771791, -0.684634, 1
1.39469, -1.76742, -0.286499, -0.211099, -0.275339, -0.120215, -0.369071, -0.111773, 2.27289, 2.27999, 2.20399, 2.3248, -1.78468, 1.3808, -0.47949, 2.21272, -1.03081, -0.646149, 1
-0.00873932, -1.61262, -0.286499, -0.211099, -0.292929, -0.115147, -0.322758, -0.110185, 2.36195, 2.42693, 2.25725, 2.39976, -1.3233, 1.20313, -0.661247, 2.26668, -1.1332, -0.59685, 1
0.369108, -1.80182, -0.286499, -0.211099, -0.363293, -0.121025, -0.426961, -0.116708, 1.93965, 1.80792, 1.97316, 2.00698, -2.79394, 1.82496, -0.176563, 1.97885, -0.741474, -0.714749, 1
-0.0627175, -0.838621, -0.286499, -0.211099, -0.504019, -0.129452, -0.43854, -0.118704, 1.67439, 1.5797, 1.80829, 1.5902, -2.23644, 2.31058, -1.59022, 1.81181, -0.64419, -0.564418, 1
-0.292125, -1.01062, -0.286499, -0.211099, -0.398474, -0.115421, -0.264867, -0.110067, 1.85346, 1.78291, 1.87678, 1.87505, -2.15955, 1.68283, -0.600661, 1.8812, -0.820088, -0.650918, 1
-0.777928, -0.890221, -0.286499, -0.211099, -0.0818393, -0.11106, -0.230132, -0.116422, 2.29779, 2.32376, 2.2116, 2.35179, -1.63089, 1.28012, -0.469393, 2.22043, -1.07137, -0.64086, 1
-0.777928, -1.56102, -0.286499, -0.211099, -0.31052, -0.10706, -0.17224, -0.106042, 2.30449, 2.31126, 2.24204, 2.34879, -1.81351, 1.45187, -0.570369, 2.25127, -1.02319, -0.637005, 1
-0.980346, -0.357022, -0.286499, -0.211099, -0.380883, -0.11983, -0.369071, -0.113684, -0.884297, -0.90885, -0.860136, -0.880468, 0.493371, -0.555755, 0.429291, -0.891751, 2.09606, -0.590816, 2
-0.602499, -0.615021, -0.286499, 3.48314, 7.11281, 13.0421, 8.77775, 14.1153, 0.784789, 0.726214, 0.798752, 0.816617, -1.17912, 0.741204, -0.0250997, 0.788979, -0.514438, -0.693681, 2
-1.56061, -0.735421, -0.286499, -0.211099, 0.32275, 0.184668, 2.93073, 0.614773, -0.348044, -0.439903, -0.281808, -0.334762, -0.563951, 0.178596, 0.287925, -0.305809, 0.400397, -0.6997, 2
-1.6011, -0.718221, -0.286499, 3.48314, 0.692157, 0.0694597, 0.649816, 0.173211, -0.63628, -0.711892, -0.573508, -0.631602, -0.17947, -0.08198, 0.328315, -0.60135, 0.901432, -0.672156, 2
-0.885885, -0.408622, -0.286499, -0.211099, -0.363292, -0.112422, -0.334336, -0.115852, -0.906322, -0.924482, -0.877892, -0.91345, 0.570267, -0.54391, 0.328315, -0.909741, 2.47602, -0.519009, 2
-0.885885, -0.0474227, -0.286499, -0.211099, 0.0764782, -0.0858348, -0.24171, -0.100303, -0.465829, -0.630608, -0.248833, -0.559641, -1.14067, 1.13799, -0.742027, -0.2724, 1.13506, -0.571284, 2
0.207173, 0.038577, -0.286499, -0.211099, -0.398474, -0.126387, 0.0130118, -0.0807126, -0.857485, -0.88384, -0.827161, -0.85948, 0.454923, -0.490611, 0.358608, -0.858342, 1.89136, -0.573195, 2
0.895395, -0.374222, -0.286499, -0.211099, -0.257747, -0.113578, -0.311179, -0.107321, 0.205445, 0.169729, 0.299056, 0.126989, -0.496667, 0.824114, -0.883393, 0.282704, -0.44207, -0.483457, 3
-0.0897066, 0.055777, -0.286499, -0.211099, -0.398474, -0.122299, -0.160662, -0.0977118, -0.427525, -0.474292, -0.350294, -0.46969, -0.0833499, 0.190441, -0.237149, -0.375197, 0.060914, -0.52482, 3
0.0722279, -1.56102, -0.286499, -0.211099, -0.257747, -0.107424, -0.36907, -0.110912, 0.578907, 0.598035, 0.613586, 0.51378, -0.294814, 0.717515, -0.913686, 0.601374, -0.766406, -0.450187, 3
0.841417, -0.735421, -0.286499, -0.211099, -0.187384, -0.115147, -0.264866, -0.112201, 0.0886186, 0.13534, 0.0834517, 0.0490307, 0.358803, 0.0364638, -0.4391, 0.0642603, -0.785193, -0.386237, 3
0.976362, -0.0302228, -0.286499, -0.211099, 6.25086, 0.267686, -0.345914, -0.110213, 0.102025, 0.125961, 0.124036, 0.052029, 0.137727, 0.237818, -0.550173, 0.105379, -0.627504, -0.420121, 3
0.220668, -1.81902, 3.4738, 7.17738, 0.569022, -0.0292033, 0.499298, -0.0956912, 0.193954, 0.207245, 0.228034, 0.138982, -0.0352899, 0.397717, -0.641052, 0.210746, -0.682013, -0.442252, 3
-0.615994, -1.62982, -0.286499, -0.211099, 0.744929, -0.0450073, -0.369071, -0.112744, 0.654557, 0.576151, 0.801289, 0.549761, -1.25602, 1.56439, -1.34788, 0.791549, -0.434052, -0.515652, 3
0.598515, -0.357022, -0.286499, -0.211099, -0.292929, -0.123321, -0.357492, -0.11646, 0.546349, 0.576151, 0.585684, 0.465806, -0.169858, 0.723437, -1.05505, 0.573105, -0.719077, -0.413739, 3
1.15179, 0.520176, -0.286499, -0.211099, -0.609564, -0.131496, -0.542744, -0.119503, -0.95899, -0.927608, -1.00472, -0.925444, 1.07009, -1.10652, 0.762511, -1.03824, -1.86172, 0.859557, 4
1.3677, 0.141777, -0.286499, -0.211099, -0.609564, -0.131496, -0.542744, -0.119503, -0.95899, -0.927608, -1.00472, -0.925444, 1.07009, -1.10652, 0.762511, -1.03824, -1.86172, 0.859557, 4
0.369108, 0.554576, -0.286499, -0.211099, -0.451247, -0.117446, 1.70344, 1.23389, -0.770344, -0.777545, -0.753602, -0.775525, 0.560655, -0.5143, 0.287925, -0.783814, 0.337697, -0.497093, 4
1.1248, -1.52662, -0.286499, -0.211099, -0.0642484, -0.0916993, -0.450118, -0.11435, -0.585528, -0.624356, -0.525315, -0.613612, 0.118502, -0.0582913, -0.0250997, -0.552521, 0.249536, -0.527115, 4
-0.0222339, 0.502976, -0.286499, -0.211099, -0.609564, -0.131496, -0.542744, -0.119503, -0.95899, -0.927608, -1.00472, -0.925444, 1.07009, -1.10652, 0.762511, -1.03824, -1.86172, 0.859557, 4
0.800933, 0.382576, -0.286499, -0.211099, -0.380883, -0.117434, -0.496431, -0.116708, -0.944626, -0.918229, -0.976816, -0.922446, 1.01242, -0.999919, 0.64134, -1.00997, 0.459887, -0.372287, 4
0.827922, -1.90502, -0.286499, -0.211099, -0.468838, -0.125238, -0.0564578, -0.0993119, -0.797156, -0.818187, -0.745992, -0.829496, 0.454923, -0.295179, 0.0253882, -0.776105, 1.1616, -0.460163, 4
1.71856, 1.34577, -0.286499, -0.211099, 0.850475, -0.00515943, 0.615081, -0.0599969, 0.0828729, 0.0790661, 0.11389, 0.0490307, -0.102574, 0.285195, -0.378515, 0.0950994, -0.65042, -0.535735, 5
1.32722, 0.657775, -0.286499, -0.211099, -0.169793, -0.0615872, 1.33293, 0.199033, 0.12788, 0.0853187, 0.187449, 0.0970049, -0.496667, 0.522083, -0.368417, 0.169627, -0.505046, -0.604011, 5
-0.642983, 1.07057, -0.286499, -0.211099, 0.32275, 0.0446807, 0.75402, 0.21029, -0.117264, -0.105387, -0.0991781, -0.148863, 0.205011, 0.0305416, -0.267441, -0.120774, -0.672448, -0.477666, 5
-0.494543, 0.984575, -0.286499, -0.211099, -0.134612, -0.109956, 0.256155, -0.0898419, 0.344296, 0.344803, 0.418273, 0.252921, -0.27559, 0.800426, -1.07525, 0.40349, -0.538029, -0.428575, 5
-0.00873932, 1.17377, -0.286499, -0.211099, 0.498658, -0.0685332, 0.140373, -0.090751, 0.58561, 0.560519, 0.702364, 0.465806, -0.708131, 1.29789, -1.46905, 0.691322, -0.482196, -0.445736, 5
-1.62808, 1.34577, -0.286499, 7.17738, 0.252386, -0.0928979, 0.545611, -0.0874197, 0.429522, 0.39795, 0.52988, 0.336876, -0.640847, 1.05508, -1.12574, 0.516567, -0.503098, -0.471224, 5
1.48916, 1.25977, -0.286499, -0.211099, -0.0818393, -0.100841, -0.0796143, -0.107712, 0.262901, 0.247887, 0.332031, 0.192953, -0.352487, 0.699749, -0.822808, 0.316113, -0.567415, -0.470832, 5
-0.0897066, 0.984575, -0.286499, -0.211099, 0.00611497, -0.0974238, 0.105638, -0.108324, 0.296417, 0.31354, 0.342177, 0.222937, -0.0833499, 0.563538, -0.873296, 0.326393, -0.635226, -0.420445, 5
1.07082, 0.571776, -0.286499, -0.211099, -0.451247, -0.125084, -0.125927, -0.113776, -0.346129, -0.439903, -0.423853, -0.160856, -0.583175, -0.828175, 2.02471, -0.382906, -0.150423, 2.69675, 6
0.517548, 0.743775, -0.286499, -0.211099, -0.0466577, -0.106291, -0.0333011, -0.108702, -0.520411, -0.580587, -0.631849, -0.325767, -0.13141, -1.2072, 2.19637, -0.524252, 0.1011, 2.47288, 6
-0.103201, 1.74137, -0.286499, -0.211099, 0.357931, -0.0726475, 0.0940595, -0.0884777, -0.435186, -0.49305, -0.598874, -0.181845, -0.17947, -1.5033, 2.75173, -0.400896, 0.080437, 2.33714, 6
-0.980346, 0.812575, -0.286499, -0.211099, -0.433656, -0.121025, -0.345914, -0.115502, -0.301122, -0.361745, -0.42639, -0.0918933, -0.314038, -1.12428, 2.24685, -0.323798, -0.326035, 2.52943, 6
1.46217, 1.05337, -0.286499, -0.211099, -0.451247, -0.129708, -0.380649, -0.11144, -0.65256, -0.652492, -0.778967, -0.496675, 0.531819, -1.42039, 1.86315, -0.670738, -0.0777478, 2.22459, 6
