@relation ionosphere
@attribute f1 real [-2.8659, 0.347937]
@attribute f2 real [-3.2978, 0.720619]
@attribute f3 real [-2.36586, 2.16482]
@attribute f4 real [-3.0798, 0.767382]
@attribute f5 real [-2.42158, 1.9186]
@attribute f6 real [-3.14642, 0.913227]
@attribute f7 real [-2.14952, 1.6911]
@attribute f8 real [-2.98156, 0.9627]
@attribute f9 real [-2.44155, 1.69196]
@attribute f10 real [-2.61968, 0.929584]
@attribute f11 real [-2.33428, 1.70762]
@attribute f12 real [-2.25142, 0.963054]
@attribute f13 real [-2.20948, 1.83196]
@attribute f14 real [-2.05898, 1.00462]
@attribute f15 real [-2.33683, 2.02646]
@attribute f16 real [-2.23609, 1.00005]
@attribute f17 real [-2.00576, 2.02032]
@attribute f18 real [-2.17062, 1.0229]
@attribute f19 real [-1.88022, 1.97278]
@attribute f20 real [-2.19192, 1.08769]
@attribute f21 real [-1.94589, 1.91387]
@attribute f22 real [-2.25662, 1.05591]
@attribute f23 real [-1.78706, 2.00473]
@attribute f24 real [-2.41358, 1.04394]
@attribute f25 real [-1.82659, 2.10658]
@attribute f26 real [-2.98649, 0.887941]
@attribute f27 real [-1.69167, 1.94452]
@attribute f28 real [-2.39361, 1.0793]
@attribute f29 real [-1.91367, 2.02354]
@attribute f30 real [-2.36667, 1.13299]
@attribute f31 real [-1.93975, 1.95452]
@attribute f32 real [-2.58171, 1.24485]
@attribute f33 real [-2.16613, 2.1043]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33
@outputs clase
@data
0.347937, 0.711357, -0.233923, 0.483517, -0.201447, 0.576236, -0.953318, 0.9627, -0.297086, 0.667701, -0.672148, 0.316222, -1.09698, 0.400107, -0.989074, 0.746919, -0.768584, 0.355648, -0.573895, 0.382099, -0.588684, 0.0115682, -0.789002, 0.297303, -0.866328, -0.253506, -0.712953, -0.287879, -0.616159, 0.122762, -1.05355, -0.311776, -0.99817, 1
0.347937, -1.24163, -0.113928, -1.3471, -0.510794, -1.13208, -0.456266, -0.71941, -0.237626, -0.777862, -0.440689, -0.644182, -0.188763, -0.597216, -0.494212, -0.62357, -0.197968, -0.758686, -0.0580171, -0.521976, 0.0547973, -0.575197, 0.125671, -0.624089, 0.109808, -1.11204, 0.294109, -0.793622, 0.0693482, -0.61684, 0.00738697, -0.669176, 0.225542, 0
-2.8659, -1.28859, -0.100517, -1.15621, -0.25149, 0.913227, -2.14952, -1.00943, -0.374796, -2.61968, -2.33428, -0.644182, -0.188763, -0.527182, -0.155185, 1.00005, 2.02032, -2.17062, -1.88022, -0.552115, -0.0160101, -0.600356, 0.108835, 1.04394, 2.10658, 0.887941, 1.94452, -0.657153, 0.054938, 1.13299, 1.95452, -0.66843, -0.0309181, 0
-2.8659, -1.28859, -0.100517, -3.0798, -2.42158, 0.913227, 1.6911, -2.98156, 1.69196, -2.61968, 1.70762, 0.963054, -2.20948, 1.00462, 2.02646, -2.23609, -2.00576, -2.17062, 1.97278, 1.08769, -1.94589, -2.25662, 2.00473, -2.41358, 2.10658, 0.887941, -1.69167, -2.39361, 2.02354, -2.36667, -1.93975, 1.24485, -2.16613, 0
-2.8659, 0.720619, -2.36586, -1.15621, -0.25149, -1.1166, -0.229209, 0.9627, 1.69196, 0.929584, -2.33428, -1.79938, 1.83196, -0.527182, -0.155185, -2.23609, 2.02032, 1.0229, 1.97278, -2.19192, 1.91387, 1.05591, 1.17527, -2.41358, 2.10658, 0.887941, 1.94452, 1.0793, -1.91367, 1.13299, 1.95452, 1.24485, 2.1043, 0
0.347937, 0.720619, -0.240561, 0.767382, -0.187646, 0.913227, -0.32774, 0.9627, -0.410075, 0.929584, -0.550305, 0.71382, -0.293881, 0.903394, -0.29913, 0.501199, -0.141261, 0.475708, -0.346087, 1.00422, -0.625043, 0.738769, -0.49129, 0.783447, -0.545125, 0.355768, -0.403986, 0.612092, -0.704471, 0.334299, -0.504399, 0.560028, -0.87405, 1
0.347937, 0.720619, -0.297919, 0.767382, -0.626113, 0.641942, -1.79962, 0.860484, 0.887018, 0.849247, -1.14964, 0.777997, -0.830059, 0.819835, -0.666409, 0.693442, -1.24443, -0.378337, -1.88022, 0.928367, 0.1973, 0.432442, -1.38033, 0.27272, -1.48968, -0.116777, -1.44774, 0.048716, -1.71039, -0.0396752, -1.78647, -0.92368, -2.16613, 1
0.347937, 0.483693, -0.432141, 0.640578, -0.491437, 0.752871, -0.545099, 0.732098, -0.726888, 0.724827, -0.956172, 0.726292, -0.824543, 0.730669, -0.938918, 0.687455, -0.669744, 0.627593, -0.859595, 0.60485, -0.926008, 0.495264, -0.840722, 0.374855, -0.805659, 0.051141, -0.866783, 0.214183, -1.12335, 0.206894, -1.10982, 0.138763, -1.27118, 1
0.347937, 0.720619, -0.460684, 0.234817, 0.349322, 0.57715, -1.35044, 0.9627, -0.957765, 0.929584, -1.32103, 0.640996, -0.441899, 0.649805, 0.164163, 1.00005, 0.799149, 1.0229, 0.55854, 1.0279, -0.0525042, 0.93333, -1.62283, 1.04394, 0.43111, 0.887941, -0.0841459, 1.0793, -0.164148, 1.13299, 1.04661, 1.24485, -1.26417, 1
0.347937, -3.2978, -2.36586, 0.767382, 1.9186, 0.913227, -0.505253, -1.00943, -0.374796, -2.61968, 1.70762, 0.963054, 1.83196, -0.25273, -2.33683, -2.23609, -2.00576, -0.434143, -1.88022, 1.08769, -1.94589, -2.25662, 2.00473, -2.41358, -1.82659, 0.887941, -1.69167, -2.39361, -1.91367, 1.13299, 1.95452, -0.66843, -0.0309181, 0
