@relation iris
@attribute f1 real [-1.86378, 2.4837]
@attribute f2 real [-2.43084, 3.10428]
@attribute f3 real [-1.5635, 1.78038]
@attribute f4 real [-1.43963, 1.70519]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4
@outputs clase
@data
-0.897674, 1.02861, -1.33679, -1.30859, 0
-1.01844, 0.797981, -1.28012, -1.30859, 0
-1.86378, -0.12454, -1.50682, -1.43963, 0
-0.897674, 1.02861, -1.33679, -1.17756, 0
-0.535384, 0.797981, -1.16677, -1.30859, 0
-1.01844, -0.12454, -1.22344, -1.30859, 0
-1.01844, 0.797981, -1.22344, -1.04652, 0
-0.776911, 0.797981, -1.33679, -1.30859, 0
-0.535384, 0.797981, -1.28012, -1.04652, 0
-0.776911, 2.41239, -1.28012, -1.43963, 0
-1.01844, 0.33672, -1.45015, -1.30859, 0
-1.01844, 1.02861, -1.22344, -0.784457, 0
-0.173094, -0.585801, 0.420157, 0.132781, 1
0.551486, 0.567351, 0.533509, 0.525883, 1
0.913776, -0.355171, 0.476833, 0.132781, 1
-1.01844, -2.43084, -0.146601, -0.260321, 1
0.189196, -1.96958, 0.136778, -0.260321, 1
0.309959, -0.355171, 0.533509, 0.263815, 1
-0.293857, -1.27769, 0.0801018, -0.129287, 1
0.672249, -0.355171, 0.306805, 0.132781, 1
0.551486, -1.73895, 0.363481, 0.132781, 1
-1.01844, -1.73895, -0.259953, -0.260321, 1
-0.293857, -0.816431, 0.250129, 0.132781, 1
-0.173094, -0.12454, 0.250129, 0.00174712, 1
-0.173094, -0.585801, 0.193454, 0.132781, 1
0.793012, -0.12454, 1.15694, 1.31209, 2
1.03454, -1.27769, 1.15694, 0.787951, 2
1.63836, 1.25924, 1.32697, 1.70519, 2
0.672249, -0.816431, 0.873564, 0.918985, 2
-0.0523308, -0.585801, 0.760212, 1.57416, 2
0.672249, 0.33672, 0.873564, 1.44312, 2
0.793012, -0.12454, 0.986915, 0.787951, 2
0.309959, -0.12454, 0.64686, 0.787951, 2
0.551486, 0.797981, 1.04359, 1.57416, 2
0.189196, -0.12454, 0.590184, 0.787951, 2
1.03454, 0.10609, 1.04359, 1.57416, 2
1.03454, 0.567351, 1.10027, 1.70519, 2
