@relation breast-tissue
@attribute f1 real [-0.903577, 2.67358]
@attribute f2 real [-1.57065, 3.47226]
@attribute f3 real [-1.78608, 3.48365]
@attribute f4 real [-0.895805, 4.57477]
@attribute f5 real [-0.390991, 8.99583]
@attribute f6 real [-0.936774, 6.02011]
@attribute f7 real [-0.828714, 4.43438]
@attribute f8 real [-0.97054, 4.47214]
@attribute f9 real [-0.898614, 2.7338]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9
@outputs clase
@data
-0.602496, 1.55636, 1.48598, -0.363805, -0.224534, 0.112843, -0.0696274, -0.372984, -0.53788, 0
-0.674546, 0.492818, 0.721351, -0.519078, -0.30026, -0.18351, -0.44349, -0.463582, -0.627835, 0
-0.416807, 1.35535, 1.09333, -0.0313341, 0.0457584, 0.893597, 0.111883, -0.0142743, -0.271713, 0
-0.377016, 1.56145, -0.628803, 0.150559, 0.133706, 0.912172, 0.0182829, 0.223684, -0.272746, 0
-0.649614, 1.26121, 3.48365, 0.0225491, -0.0965484, 0.212451, -0.474707, 0.138406, -0.478526, 0
-0.715235, 1.00423, -0.325707, -0.669102, -0.32826, -0.163767, -0.408493, -0.661963, -0.679225, 1
-0.708603, -0.759005, -1.28321, -0.699136, -0.359642, -0.516125, -0.70814, -0.611767, -0.697662, 1
-0.827547, 0.828673, 0.480252, -0.803723, -0.376381, -0.611768, -0.54695, -0.80498, -0.816587, 1
-0.834606, 0.767608, 0.0393855, -0.794692, -0.37244, -0.54865, -0.609063, -0.758792, -0.820191, 1
-0.781553, 0.276548, 0.893564, -0.802439, -0.377107, -0.629769, -0.496122, -0.846155, -0.757583, 2
-0.401598, -0.606343, -0.97323, -0.584427, -0.332654, -0.379917, -0.509579, -0.525632, -0.404636, 2
-0.629023, 0.795596, 0.500918, -0.482484, -0.247258, 0.186307, -0.320279, -0.44918, -0.552621, 2
-0.667058, 1.63523, 3.18745, -0.171301, -0.109257, 0.433642, -0.356465, -0.0871089, -0.539623, 2
-0.794816, 0.431753, -0.291264, -0.789707, -0.375312, -0.616813, -0.596472, -0.756815, -0.786952, 3
-0.521588, -0.904033, -1.02145, -0.811255, -0.380511, -0.687796, -0.65461, -0.764418, -0.536872, 3
-0.806753, -0.44096, -0.373927, -0.890874, -0.390491, -0.839337, -0.702615, -0.86667, -0.810786, 3
-0.84787, -0.0364079, -0.0432769, -0.88757, -0.390343, -0.838712, -0.677087, -0.885468, -0.849425, 3
0.397898, -0.68013, -1.13167, 0.00696699, -0.236658, -0.349554, -0.108397, 0.0732066, 0.332188, 4
0.949331, -0.926932, -0.635691, 0.96712, -0.138625, -0.461799, 0.0376752, 1.10359, 0.688738, 4
-0.178064, -1.15338, 0.30115, 0.137539, -0.371771, -0.920667, -0.511595, 0.261737, -0.369504, 4
-0.122395, -1.37219, -0.277487, 5.66297E-4, -0.378405, -0.936774, -0.631938, 0.123837, -0.283509, 4
1.74514, -0.848057, -1.57942, 1.04776, 0.500829, 0.819622, 0.621042, 1.17994, 1.65447, 5
1.54502, -0.996183, -0.968852, -0.106064, -0.221906, -0.197647, 0.32054, -0.164863, 1.48191, 5
1.61251, -0.191614, -0.0914967, 1.72773, 1.76277, 2.29442, 1.58225, 1.71975, 1.67494, 5
1.08197, -0.703029, -1.78608, 1.29126, 0.286335, 0.235051, 0.34853, 1.4639, 0.871188, 5
2.01041, -1.09486, 0.218488, -0.0268478, -0.121035, 0.169283, 1.27002, -0.645952, 2.18861, 5
