@relation led-display
@attribute f1 real [-1.80335, 0.55397]
@attribute f2 real [-1.20646, 0.828042]
@attribute f3 real [-1.70392, 0.586295]
@attribute f4 real [-1.38024, 0.723786]
@attribute f5 real [-0.836648, 1.19405]
@attribute f6 real [-2.2085, 0.452343]
@attribute f7 real [-1.39256, 0.717382]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, 0.717382, 7
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, -2.2085, -1.39256, 2
0.55397, 0.828042, -1.70392, 0.723786, -0.836648, 0.452343, 0.717382, 5
0.55397, 0.828042, 0.586295, -1.38024, 1.19405, 0.452343, 0.717382, 0
-1.80335, 0.828042, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 4
0.55397, 0.828042, 0.586295, 0.723786, -0.836648, 0.452343, 0.717382, 9
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 8
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 6
0.55397, -1.20646, 0.586295, 0.723786, -0.836648, 0.452343, 0.717382, 3
0.55397, 0.828042, 0.586295, 0.723786, -0.836648, 0.452343, -1.39256, 5
-1.80335, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 6
0.55397, 0.828042, 0.586295, 0.723786, -0.836648, -2.2085, 0.717382, 5
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 6
0.55397, -1.20646, 0.586295, 0.723786, -0.836648, 0.452343, 0.717382, 3
0.55397, -1.20646, -1.70392, 0.723786, 1.19405, -2.2085, 0.717382, 2
-1.80335, 0.828042, 0.586295, 0.723786, -0.836648, -2.2085, -1.39256, 4
0.55397, 0.828042, -1.70392, 0.723786, 1.19405, 0.452343, -1.39256, 6
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 0
0.55397, -1.20646, 0.586295, 0.723786, -0.836648, 0.452343, 0.717382, 3
0.55397, 0.828042, -1.70392, 0.723786, 1.19405, 0.452343, 0.717382, 6
0.55397, 0.828042, -1.70392, 0.723786, -0.836648, 0.452343, 0.717382, 5
-1.80335, 0.828042, -1.70392, -1.38024, -0.836648, 0.452343, -1.39256, 4
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 8
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 6
-1.80335, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, 0.717382, 1
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 7
0.55397, 0.828042, 0.586295, -1.38024, 1.19405, -2.2085, 0.717382, 0
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 3
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, -2.2085, 0.717382, 2
0.55397, 0.828042, 0.586295, 0.723786, -0.836648, 0.452343, 0.717382, 9
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 8
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 0
-1.80335, 0.828042, -1.70392, -1.38024, -0.836648, 0.452343, 0.717382, 1
0.55397, -1.20646, 0.586295, 0.723786, -0.836648, -2.2085, 0.717382, 2
-1.80335, 0.828042, 0.586295, 0.723786, -0.836648, 0.452343, -1.39256, 4
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 6
0.55397, -1.20646, -1.70392, -1.38024, -0.836648, 0.452343, -1.39256, 7
-1.80335, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 1
0.55397, 0.828042, -1.70392, 0.723786, 1.19405, 0.452343, 0.717382, 6
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, -1.39256, 8
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 7
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, -2.2085, 0.717382, 2
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 3
0.55397, -1.20646, 0.586295, 0.723786, -0.836648, 0.452343, -1.39256, 7
0.55397, -1.20646, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 0
0.55397, 0.828042, 0.586295, -1.38024, -0.836648, 0.452343, 0.717382, 9
0.55397, -1.20646, -1.70392, 0.723786, -0.836648, 0.452343, 0.717382, 3
0.55397, 0.828042, -1.70392, 0.723786, 1.19405, 0.452343, 0.717382, 6
-1.80335, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 1
0.55397, 0.828042, -1.70392, -1.38024, 1.19405, 0.452343, 0.717382, 6
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 7
0.55397, 0.828042, 0.586295, -1.38024, 1.19405, 0.452343, 0.717382, 0
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 7
0.55397, -1.20646, 0.586295, -1.38024, -0.836648, 0.452343, -1.39256, 7
-1.80335, -1.20646, 0.586295, -1.38024, -0.836648, -2.2085, -1.39256, 1
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 8
0.55397, 0.828042, 0.586295, -1.38024, 1.19405, -2.2085, 0.717382, 0
-1.80335, -1.20646, 0.586295, -1.38024, 1.19405, 0.452343, -1.39256, 1
0.55397, 0.828042, 0.586295, 0.723786, 1.19405, 0.452343, 0.717382, 2
0.55397, 0.828042, -1.70392, 0.723786, 1.19405, 0.452343, 0.717382, 6
