@relation libras
@attribute f1 real [-2.39149, 1.8384]
@attribute f2 real [-2.1752, 1.76336]
@attribute f3 real [-2.42691, 1.83552]
@attribute f4 real [-2.1745, 1.7799]
@attribute f5 real [-2.42862, 1.8531]
@attribute f6 real [-2.17251, 1.76252]
@attribute f7 real [-2.42841, 1.87496]
@attribute f8 real [-2.1792, 1.76191]
@attribute f9 real [-2.44074, 1.91629]
@attribute f10 real [-2.16647, 1.75589]
@attribute f11 real [-2.43196, 1.97321]
@attribute f12 real [-2.16619, 1.80094]
@attribute f13 real [-2.42903, 2.05263]
@attribute f14 real [-2.17115, 1.85423]
@attribute f15 real [-2.38663, 2.16384]
@attribute f16 real [-2.19445, 1.90673]
@attribute f17 real [-2.2853, 2.22223]
@attribute f18 real [-2.21555, 1.99919]
@attribute f19 real [-2.16616, 2.24628]
@attribute f20 real [-2.25738, 2.06421]
@attribute f21 real [-2.06891, 2.24491]
@attribute f22 real [-2.23517, 2.01999]
@attribute f23 real [-2.13021, 2.25864]
@attribute f24 real [-2.21324, 1.98899]
@attribute f25 real [-2.42629, 2.26706]
@attribute f26 real [-2.40271, 2.90323]
@attribute f27 real [-2.53848, 2.24865]
@attribute f28 real [-2.82885, 1.98517]
@attribute f29 real [-2.5529, 2.24448]
@attribute f30 real [-2.86957, 2.01583]
@attribute f31 real [-2.58666, 2.29337]
@attribute f32 real [-2.70512, 2.09187]
@attribute f33 real [-2.53981, 2.25206]
@attribute f34 real [-2.43258, 2.17969]
@attribute f35 real [-2.32849, 2.33678]
@attribute f36 real [-2.35881, 2.27135]
@attribute f37 real [-2.22649, 2.39425]
@attribute f38 real [-2.444, 2.33496]
@attribute f39 real [-2.13127, 2.39491]
@attribute f40 real [-2.59646, 2.35193]
@attribute f41 real [-2.21229, 2.32088]
@attribute f42 real [-2.60693, 2.3303]
@attribute f43 real [-2.39317, 2.2502]
@attribute f44 real [-2.52776, 2.30444]
@attribute f45 real [-2.46995, 2.16677]
@attribute f46 real [-2.61951, 2.2776]
@attribute f47 real [-2.45136, 2.09865]
@attribute f48 real [-2.6941, 2.47182]
@attribute f49 real [-2.47953, 2.08511]
@attribute f50 real [-2.73244, 3.0394]
@attribute f51 real [-2.56134, 2.10015]
@attribute f52 real [-2.73784, 3.17647]
@attribute f53 real [-2.58679, 2.11624]
@attribute f54 real [-2.75308, 2.26756]
@attribute f55 real [-2.63835, 2.11464]
@attribute f56 real [-2.75096, 2.39908]
@attribute f57 real [-2.61734, 2.19575]
@attribute f58 real [-2.74137, 2.43072]
@attribute f59 real [-2.53724, 2.1914]
@attribute f60 real [-2.79144, 2.36238]
@attribute f61 real [-2.40785, 2.2496]
@attribute f62 real [-2.79368, 2.31601]
@attribute f63 real [-2.31263, 2.26198]
@attribute f64 real [-3.15661, 2.18488]
@attribute f65 real [-2.23253, 2.27485]
@attribute f66 real [-3.37187, 2.08399]
@attribute f67 real [-2.09688, 2.151]
@attribute f68 real [-3.25631, 2.05065]
@attribute f69 real [-2.1561, 2.1005]
@attribute f70 real [-2.93506, 2.03176]
@attribute f71 real [-2.10777, 2.10421]
@attribute f72 real [-2.47638, 1.97981]
@attribute f73 real [-2.28872, 2.09056]
@attribute f74 real [-2.24664, 2.21446]
@attribute f75 real [-2.33631, 2.09061]
@attribute f76 real [-2.26616, 2.82722]
@attribute f77 real [-2.301, 2.10884]
@attribute f78 real [-2.25891, 2.78107]
@attribute f79 real [-2.21068, 2.19062]
@attribute f80 real [-2.29599, 2.12689]
@attribute f81 real [-2.04717, 2.27451]
@attribute f82 real [-2.30723, 2.06275]
@attribute f83 real [-2.03577, 2.30494]
@attribute f84 real [-2.39448, 2.00521]
@attribute f85 real [-2.15201, 2.29801]
@attribute f86 real [-2.43416, 2.01068]
@attribute f87 real [-2.18811, 2.27714]
@attribute f88 real [-2.46497, 2.21782]
@attribute f89 real [-2.15769, 2.25103]
@attribute f90 real [-2.39386, 2.20349]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64, f65, f66, f67, f68, f69, f70, f71, f72, f73, f74, f75, f76, f77, f78, f79, f80, f81, f82, f83, f84, f85, f86, f87, f88, f89, f90
@outputs clase
@data
0.525684, -0.915844, 0.528493, -0.901709, 0.543151, -0.897984, 0.552351, -0.90265, 0.571017, -0.908812, 0.528711, -0.960997, 0.339338, -0.978907, 0.0579377, -0.787942, -0.243158, -0.391884, -0.33637, 0.0484126, -0.308393, 0.66168, -0.199901, 1.25874, 0.213713, 2.90323, -0.0991847, 1.78178, -0.247266, 1.20386, -0.237015, 0.564233, -0.154926, -0.0967154, 0.0794063, -0.779301, 0.41225, -1.40852, 0.89823, -1.80663, 1.4956, -1.71949, 1.98117, -1.18189, 2.14409, -0.499615, 2.05446, -0.292124, 1.95501, -0.547643, 1.85367, -0.992648, 1.74128, -1.42507, 1.49752, -1.86021, 1.06647, -1.98406, 0.54471, -1.7257, 0.121439, -1.26863, -0.150858, -0.742845, -0.290245, -0.291428, -0.314213, 0.147852, -0.333259, 0.72927, -0.231547, 1.48464, -0.160039, 1.98604, 0.117942, 2.82722, 0.102676, 2.78107, -0.0702836, 1.95214, -0.108901, 1.67401, -0.220214, 0.9848, -0.176215, 0.429748, -0.0571385, -0.117312, 0.175311, -0.634995, 0
1.34251, -1.05164, 1.3673, -0.951144, 1.33501, -0.910333, 1.36172, -0.93986, 1.39425, -0.709566, 1.27657, -0.220319, 0.955695, 0.226132, 0.4918, 0.605391, 0.0425044, 0.85095, -0.305016, 0.821603, -0.504006, 0.606234, -0.535162, 0.266778, -0.474067, -0.155818, -0.373583, -0.59137, -0.257582, -0.95669, -0.183862, -1.07757, -0.210438, -0.855475, -0.198419, -0.438593, -0.0414601, -0.0226228, 0.23441, 0.30489, 0.670254, 0.458676, 1.18582, 0.4072, 1.62257, 0.190572, 1.87775, -0.259218, 1.96583, -0.906306, 1.93938, -1.47739, 1.95557, -1.81373, 2.01719, -1.56867, 2.04226, -0.95286, 1.94665, -0.341794, 1.62562, 0.0834375, 1.13746, 0.425109, 0.564824, 0.689419, 0.0219503, 0.697884, -0.293831, 0.299826, -0.37512, -0.262064, -0.310089, -0.741687, -0.196925, -0.98615, -0.156142, -0.778929, -0.125853, -0.266002, 0.0209374, 0.212852, 0.33272, 0.521023, 0.739133, 0.637049, 1.17192, 0.560622, 1.53052, 0.323287, 0
1.06048, 0.417597, 1.05521, 0.420573, 1.05148, 0.339493, 0.986656, -0.245825, 0.781846, -0.771858, 0.487769, -0.860555, 0.0468221, -0.940472, -0.460618, -0.76165, -0.814537, -0.499903, -0.984628, -0.186294, -1.01878, 0.148833, -1.05331, 0.390758, -1.11133, 0.669887, -1.06473, 1.36139, -1.09504, 1.32775, -1.06629, 0.535677, -0.875954, 0.111598, -0.453142, -0.33022, 0.0898997, -0.580174, 0.548223, -0.484945, 0.885571, -0.428761, 1.11567, -0.387309, 1.38455, 0.00982533, 1.66792, 0.316613, 1.83572, 0.626321, 1.83223, 0.542489, 1.67703, 0.194559, 1.34594, -0.386456, 0.891037, -0.775645, 0.4112, -0.596256, -0.0791418, -0.624008, -0.554842, -0.431364, -0.891926, 0.0150414, -1.06801, 0.326251, -1.34816, 0.586122, -1.55255, 1.08584, -1.58539, 1.27385, -1.50279, 1.21384, -1.20083, 0.541079, -0.793019, 0.271721, -0.498416, -0.0283963, -0.109627, -0.18137, 0.331291, -0.127497, 0.650235, -0.00434079, 0.835778, 0.104979, 0
-1.61357, -1.2739, -1.62712, -1.2848, -1.63679, -1.26919, -1.57957, -1.3488, -1.42678, -1.43178, -1.1616, -1.51337, -0.788922, -1.50453, -0.397098, -1.3663, 2.18511E-4, -1.14837, 0.374649, -0.78001, 0.669673, -0.294676, 0.897324, 0.252969, 1.02292, 0.696961, 1.05947, 1.00879, 1.07614, 1.13507, 1.0813, 1.14959, 1.05413, 1.0043, 0.912883, 0.567942, 0.674907, -0.0863469, 0.306857, -0.775101, -0.190893, -1.31613, -0.849335, -1.60345, -1.48368, -1.66637, -1.88812, -1.54244, -2.03499, -1.50959, -2.0684, -1.47739, -2.08328, -1.44123, -2.07535, -1.48773, -2.00339, -1.54903, -1.81405, -1.58249, -1.47191, -1.69312, -0.915136, -1.73952, -0.353551, -1.67077, 0.134022, -1.33868, 0.514093, -0.702149, 0.850168, -0.0557134, 1.08714, 0.440748, 1.13671, 0.60051, 1.11042, 0.674422, 1.07871, 0.809445, 0.985423, 0.561406, 0.738237, 0.0174, 0.421959, -0.516236, 0.0400945, -0.870578, -0.373629, -0.974615, 0
0.632664, 0.91145, 0.548008, 0.877812, 0.464966, 0.82205, 0.364821, 0.770465, 0.129322, 0.635236, -0.188376, 0.545523, -0.579959, 0.585057, -0.947387, 0.736848, -1.11081, 0.837411, -1.21464, 1.02869, -1.32766, 1.27153, -1.28699, 1.31385, -1.17204, 1.18422, -1.03425, 1.0495, -0.919286, 0.92866, -0.747379, 0.864037, -0.487712, 0.721626, -0.186868, 0.676316, 0.125703, 0.69417, 0.415497, 0.804568, 0.646323, 0.926581, 0.858315, 1.10448, 0.999068, 1.11084, 1.07155, 1.48469, 1.02253, 1.45789, 0.996379, 1.20503, 0.916403, 0.988105, 0.717959, 0.876709, 0.452486, 0.738897, 0.133022, 0.64444, -0.223961, 0.680922, -0.543948, 0.783279, -0.786379, 0.888634, -0.925394, 0.965482, -1.04266, 1.10139, -1.11223, 1.23711, -1.08841, 1.26044, -0.993432, 1.1605, -0.868024, 1.08776, -0.691078, 0.930417, -0.414942, 0.695465, -0.118871, 0.573978, 0.19536, 0.58521, 0.499883, 0.761508, 0.68137, 0.857006, 0
-0.349461, 0.627481, -0.349344, 0.618309, -0.346403, 0.636447, -0.365552, 0.621732, -0.452977, 0.572945, -0.608438, 0.558051, -0.820248, 0.559415, -1.11672, 0.605391, -1.41764, 0.715853, -1.65381, 0.642128, -1.78063, 0.744849, -2.03877, 1.17606, -1.96101, 1.13007, -1.79655, 0.859641, -1.69474, 0.653404, -1.53412, 0.535677, -1.27526, 0.245481, -0.916205, -0.113406, -0.49517, -0.404967, -0.0914474, -0.549424, 0.311474, -0.59005, 0.706296, -0.354875, 0.93108, 0.157702, 0.950112, 0.267289, 0.892427, 0.120869, 0.760644, -0.184696, 0.520001, -0.437088, 0.198288, -0.516026, -0.172438, -0.453373, -0.512264, -0.262219, -0.814527, 0.0205444, -1.01341, 0.362812, -1.16638, 0.720072, -1.34308, 0.980317, -1.38753, 1.02985, -1.27496, 0.962017, -1.12593, 0.830423, -0.937842, 0.60051, -0.747863, 0.261088, -0.524275, 0.0163042, -0.266596, -0.162455, 0.0470334, -0.260889, 0.340381, -0.231176, 0.570648, 0.00824167, 0.715693, 0.481019, 0
1.40083, -0.607179, 1.40633, -0.592773, 1.423, -0.600977, 1.45056, -0.605237, 1.48461, -0.585091, 1.53271, -0.559284, 1.51983, -0.543057, 1.37019, -0.564493, 1.11119, -0.607981, 0.813813, -0.641929, 0.504986, -0.613462, 0.196287, -0.559894, -0.0998464, -0.494205, -0.414254, -0.442163, -0.660837, -0.406239, -0.81114, -0.420848, -0.809373, -0.409153, -0.615217, -0.469567, -0.268315, -0.500553, 0.162025, -0.53327, 0.586526, -0.557778, 0.975323, -0.59809, 1.30519, -0.647492, 1.60169, -0.637609, 1.85742, -0.596526, 2.03583, -0.556351, 2.09481, -0.53427, 2.00639, -0.532257, 1.76814, -0.517827, 1.45707, -0.580382, 1.07964, -0.608319, 0.667946, -0.602645, 0.279783, -0.551949, -0.0697401, -0.491316, -0.382519, -0.430137, -0.624008, -0.372102, -0.788309, -0.311727, -0.83595, -0.292814, -0.757088, -0.205583, -0.579892, -0.171919, -0.322214, -0.149078, 9.59476E-4, -0.141639, 0.304114, -0.127497, 0.570648, -0.129894, 0.810058, -0.125539, 1
1.07994, 0.24473, 1.07472, 0.247554, 1.0906, 0.265241, 1.10509, 0.26232, 1.08304, 0.27413, 1.26635, -0.245376, 1.06015, -0.209718, 0.766945, -0.0913036, 0.444631, 0.0268878, 0.0923067, 0.0760287, -0.102454, 0.024109, -0.433581, 0.0325075, -0.757295, 0.0201287, -1.05459, 0.0866546, -1.37423, 0.0754278, -1.28957, 0.150205, -0.931408, 0.126445, -0.53418, 0.0723678, -0.125041, 0.0251358, 0.282708, 0.0469731, 0.646323, 0.0391439, 0.998664, 0.0180718, 1.27114, -0.0395143, 1.436, -0.176916, 1.45623, -0.270405, 1.3607, -0.216947, 1.1092, -0.161775, 0.837073, -0.127386, 0.529234, -0.0505665, 0.233169, -0.0395745, -0.0345556, -0.0265915, -0.412937, 0.0513984, -0.796912, 0.122362, -1.12916, 0.147852, -1.32844, 0.156678, -1.39938, 0.123068, -1.18217, 0.172044, -0.845239, 0.213839, -0.516719, 0.234419, -0.209255, 0.244832, 0.076555, 0.279911, 0.360355, 0.335478, 0.612292, 0.364921, 0.862438, 0.347209, 1.05023, 0.34755, 1
-1.57471, -0.718282, -1.50029, -0.72869, -1.36306, -0.650478, -1.14527, -0.592816, -0.80436, -0.5228, -0.383021, -0.458842, 0.0363983, -0.402057, 0.354255, -0.32787, 0.613884, -0.297287, 0.834733, -0.255364, 0.999155, -0.225399, 1.07002, -0.201703, 1.01283, -0.196399, 0.856218, -0.211644, 0.600564, -0.254878, 0.294567, -0.292378, -0.0884029, -0.305029, -0.545731, -0.299246, -0.984682, -0.293485, -1.32255, -0.307662, -1.61426, -0.380319, -1.78497, -0.468427, -1.89178, -0.565354, -1.97651, -0.62112, -1.9374, -0.580255, -1.7469, -0.620993, -1.57976, -0.501876, -1.1984, -0.451241, -0.742549, -0.437294, -0.289768, -0.405427, 0.132556, -0.419639, 0.504196, -0.415824, 0.797037, -0.368094, 1.02028, -0.268349, 1.0856, -0.244075, 1.0608, -0.234554, 0.927737, -0.231098, 0.692183, -0.239476, 0.407761, -0.218947, 0.0131182, -0.171919, -0.470607, -0.135644, -0.985174, -0.115132, -1.28194, -0.166349, -1.40999, -0.142422, -1.45435, -0.137644, 1
-0.125798, 0.33119, -0.124993, 0.33409, -0.12155, 0.351842, -0.138526, 0.361475, -0.201974, 0.373753, -0.270365, 0.419971, -0.287443, 0.495339, -0.312459, 0.5791, -0.401853, 0.648276, -0.493191, 0.724917, -0.534879, 0.786404, -0.565626, 0.790315, -0.635919, 0.791688, -0.708988, 0.76468, -0.815906, 0.763506, -0.896228, 0.77837, -0.909215, 0.810839, -0.881432, 0.81573, -0.781717, 0.837583, -0.694926, 0.868978, -0.5856, 0.813665, -0.428227, 0.747784, -0.247931, 0.683613, -0.0327929, 0.64568, 0.166009, 0.593709, 0.321251, 0.623326, 0.380759, 0.648004, 0.44732, 0.714746, 0.397674, 0.706739, 0.233169, 0.708073, -0.0122625, 0.680922, -0.29282, 0.674294, -0.522458, 0.704712, -0.650376, 0.653316, -0.747104, 0.629036, -0.825039, 0.56316, -0.891477, 0.588596, -0.956372, 0.613873, -0.988232, 0.647753, -0.93199, 0.64811, -0.748839, 0.601594, -0.52434, 0.547472, -0.321237, 0.58521, -0.0660069, 0.610844, 0.141033, 0.66296, 1
