@relation low-res-spect
@attribute f1 real [-2.04314, 2.06864]
@attribute f2 real [-1.7937, 2.20595]
@attribute f3 real [-0.400324, 19.9067]
@attribute f4 real [-1.36425, 3.94186]
@attribute f5 real [-1.45593, 4.02268]
@attribute f6 real [-1.34127, 5.82077]
@attribute f7 real [-1.43049, 5.96877]
@attribute f8 real [-2.36266, 4.03316]
@attribute f9 real [-2.37521, 4.83198]
@attribute f10 real [-2.24871, 4.96914]
@attribute f11 real [-2.699, 4.54745]
@attribute f12 real [-2.69588, 3.4363]
@attribute f13 real [-2.99629, 2.58585]
@attribute f14 real [-3.27982, 2.98412]
@attribute f15 real [-3.81721, 3.23581]
@attribute f16 real [-4.13085, 2.93881]
@attribute f17 real [-4.3389, 2.46667]
@attribute f18 real [-4.10121, 2.09277]
@attribute f19 real [-3.91713, 2.09726]
@attribute f20 real [-3.71646, 2.01534]
@attribute f21 real [-3.6277, 2.05778]
@attribute f22 real [-3.54688, 2.10794]
@attribute f23 real [-3.68004, 2.39012]
@attribute f24 real [-3.79239, 2.32491]
@attribute f25 real [-3.94593, 2.34836]
@attribute f26 real [-4.36382, 2.36831]
@attribute f27 real [-4.37884, 2.26742]
@attribute f28 real [-4.43335, 2.0853]
@attribute f29 real [-4.69763, 1.8997]
@attribute f30 real [-5.07252, 1.80592]
@attribute f31 real [-4.87847, 1.70801]
@attribute f32 real [-6.19044, 2.06616]
@attribute f33 real [-5.31681, 2.20738]
@attribute f34 real [-4.89151, 1.60349]
@attribute f35 real [-5.41147, 2.71385]
@attribute f36 real [-5.18861, 2.42198]
@attribute f37 real [-6.11944, 2.68485]
@attribute f38 real [-6.09904, 2.66759]
@attribute f39 real [-5.60246, 4.1454]
@attribute f40 real [-5.14777, 2.86819]
@attribute f41 real [-4.33386, 3.54139]
@attribute f42 real [-3.53487, 4.3342]
@attribute f43 real [-2.42089, 5.15441]
@attribute f44 real [-2.58263, 5.14533]
@attribute f45 real [-2.35336, 5.43385]
@attribute f46 real [-2.29708, 5.36176]
@attribute f47 real [-2.14534, 5.66269]
@attribute f48 real [-2.08515, 6.07239]
@attribute f49 real [-2.39619, 7.02652]
@attribute f50 real [-2.16484, 7.49058]
@attribute f51 real [-2.27415, 6.68855]
@attribute f52 real [-4.65891, 2.04888]
@attribute f53 real [-4.76379, 1.91787]
@attribute f54 real [-5.31229, 1.92734]
@attribute f55 real [-5.15913, 2.29944]
@attribute f56 real [-5.03242, 2.46988]
@attribute f57 real [-3.10298, 3.91931]
@attribute f58 real [-2.43249, 4.8189]
@attribute f59 real [-2.21332, 5.44771]
@attribute f60 real [-2.15335, 6.08786]
@attribute f61 real [-2.23075, 6.59286]
@attribute f62 real [-1.7585, 6.17325]
@attribute f63 real [-1.53614, 6.64781]
@attribute f64 real [-1.3636, 6.92335]
@attribute f65 real [-1.44933, 6.0582]
@attribute f66 real [-1.4611, 5.38247]
@attribute f67 real [-1.40218, 5.45234]
@attribute f68 real [-1.55882, 4.59486]
@attribute f69 real [-1.53761, 4.43815]
@attribute f70 real [-1.4689, 4.6352]
@attribute f71 real [-1.48343, 5.27354]
@attribute f72 real [-1.59359, 5.20037]
@attribute f73 real [-1.55431, 5.3162]
@attribute f74 real [-1.47708, 5.7556]
@attribute f75 real [-1.5913, 5.86479]
@attribute f76 real [-1.51503, 5.88571]
@attribute f77 real [-1.52662, 6.02293]
@attribute f78 real [-1.38441, 6.04695]
@attribute f79 real [-1.42588, 6.37238]
@attribute f80 real [-1.70735, 6.48262]
@attribute f81 real [-1.4409, 6.13695]
@attribute f82 real [-1.38293, 6.13099]
@attribute f83 real [-1.54682, 6.04919]
@attribute f84 real [-1.29574, 6.29626]
@attribute f85 real [-1.15809, 6.38163]
@attribute f86 real [-1.11927, 6.06922]
@attribute f87 real [-1.28452, 6.11355]
@attribute f88 real [-1.14844, 6.14295]
@attribute f89 real [-1.2669, 5.88215]
@attribute f90 real [-1.16496, 6.03933]
@attribute f91 real [-1.022, 6.18019]
@attribute f92 real [-1.08098, 6.08213]
@attribute f93 real [-1.05304, 6.02879]
@attribute f94 real [-0.979717, 6.41251]
@attribute f95 real [-1.15764, 6.26711]
@attribute f96 real [-1.02528, 6.54139]
@attribute f97 real [-0.871614, 6.38483]
@attribute f98 real [-0.930133, 6.49418]
@attribute f99 real [-1.07841, 6.43536]
@attribute f100 real [-0.99387, 6.29404]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64, f65, f66, f67, f68, f69, f70, f71, f72, f73, f74, f75, f76, f77, f78, f79, f80, f81, f82, f83, f84, f85, f86, f87, f88, f89, f90, f91, f92, f93, f94, f95, f96, f97, f98, f99, f100
@outputs clase
@data
-2.04314, -1.22567, -0.384958, 2.82687, 2.95613, 3.55937, 3.52282, -1.5304, -1.45892, -1.70137, -1.61304, -1.50692, -1.548, -1.82598, -1.56338, -1.35962, -0.388811, 0.156214, 0.287402, 0.149718, -0.0101016, 0.221488, 0.442313, 0.473918, 0.563308, 0.439703, 0.416919, 1.07906, 1.10878, 0.828432, 0.848704, 1.40212, 0.716229, 1.56178, 2.71385, 2.42198, 1.56385, 1.9307, 1.50695, 1.41677, 1.34239, 1.50717, 0.993029, 0.881384, 0.632657, 1.5704, 1.25626, 1.35538, 0.863862, 1.32889, 1.1009, 0.393365, 1.0909, 1.36464, 1.95706, 1.51487, 1.04436, 1.31754, 1.40894, 0.616702, 0.684794, 0.069301, -0.20854, 0.0927415, 0.0487721, 0.166737, -0.269044, -0.0657265, 0.182655, 0.213417, -0.15954, 0.128336, 0.866771, 0.224591, 0.542503, 0.450039, 0.548476, 0.460136, 0.534045, 0.0688859, 0.32357, 0.468123, -0.0397928, 0.528557, 0.694651, -0.308089, 0.143845, 0.53164, 0.0124877, -0.153352, 0.146454, 0.482139, 0.458553, -0.259704, -0.11826, 0.377746, -0.108671, 0.119052, 0.0750114, 0.379007, 1
-1.98285, -1.34817, 0.582174, -1.14884, -1.11002, -1.09127, -1.16803, 2.45081, 2.27957, 2.02617, 1.90758, 1.86798, 1.91511, 1.81781, 1.81794, 1.53906, 1.16085, 0.825805, 0.403829, 0.217709, 0.132165, 0.0289038, -0.0427213, -0.101981, -0.201026, -0.343252, -0.431221, -0.484994, -0.593077, -0.75282, -0.972023, -0.958262, -1.02836, -1.23315, -1.42274, -1.34634, -1.62337, -1.75977, -1.52115, -1.37931, -1.31748, -1.26335, -0.975338, -1.04546, -1.0471, -0.997437, -0.982558, -0.745756, -0.874425, -0.911245, -0.798997, -0.466042, -0.680859, -1.08211, -1.39003, -1.90368, -1.53417, -1.07186, -0.961863, -1.00783, -0.98923, -0.969728, -0.946247, -0.993215, -1.04479, -1.04011, -1.08824, -1.18255, -1.20147, -1.23721, -1.26754, -1.30868, -1.31499, -1.29474, -1.30061, -1.25561, -1.22091, -1.20488, -1.13343, -1.12454, -1.10917, -1.17318, -1.05084, -1.0028, -1.09112, -0.970598, -0.924919, -0.93409, -0.912524, -0.848195, -0.836494, -0.815865, -0.819766, -0.80431, -0.759804, -0.741624, -0.702593, -0.720995, -0.736897, -0.765456, 0
-1.9101, -1.56043, -0.174057, -0.556013, -0.540283, -0.463418, -0.444855, -0.927324, -0.886866, -0.81962, -0.612686, -0.358292, -0.106591, 0.0886714, 0.608546, 0.801331, 0.89696, 1.11375, 0.946385, 0.825334, 0.835466, 0.781683, 0.847683, 0.851668, 0.930629, 0.864243, 0.850064, 0.897244, 0.933664, 1.127, 1.2366, 1.35744, 1.25379, 1.44969, 1.37529, 0.860717, 0.139592, 0.119787, -0.549587, -0.632119, -1.33934, -1.4354, -1.28495, -1.60188, -1.47407, -1.25774, -1.3804, -1.17923, -1.25677, -1.25322, -1.40366, 0.963886, 1.0548, 1.12396, 0.80539, 0.014421, -1.04003, -1.39048, -1.16957, -1.03831, -1.10879, -0.89662, -0.789615, -0.857244, -0.718502, -0.474892, -0.428422, -0.345458, -0.380994, -0.205585, -0.198439, -0.207555, -0.379816, -0.286571, -0.227459, -0.131385, -0.168936, -0.037438, -0.0600989, -0.0803234, -0.0678882, -0.164541, -0.104407, -0.171002, -0.152366, -0.201378, -0.238968, -0.198324, -0.205851, -0.240641, -0.217015, -0.260244, -0.269462, -0.244826, -0.21278, -0.178457, -0.214582, -0.22091, -0.155288, -0.192237, 3
-1.90802, 0.339022, 0.353196, -1.26257, -1.18802, -1.02877, -1.02842, 0.710542, 0.782694, 0.841082, 0.892204, 0.924626, 0.901577, 0.843646, 0.750079, 0.716221, 0.480204, 0.246229, 0.0825214, 0.0437746, 0.128445, 0.0852449, 0.00942746, -0.0269334, -0.146335, -0.199398, -0.288072, -0.287721, -0.257145, -0.308847, -0.333596, -0.386572, -0.540157, -0.536367, -0.746703, -0.580425, -0.647909, -0.717198, -0.654202, -0.55936, -0.00876554, -0.148784, -0.104181, -0.231993, 0.0404942, 0.0363468, 0.0979555, 0.341475, 0.233946, 0.0141364, 0.101848, -0.184761, -0.219341, -0.358234, -0.732189, -0.728046, -0.505652, -0.101264, 0.0127853, 0.0490277, -0.0837023, -0.149908, -0.15394, -0.270198, -0.299826, -0.327012, -0.433474, -0.392718, -0.627508, -0.694995, -0.659893, -0.609619, -0.607577, -0.654659, -0.573692, -0.643598, -0.594538, -0.542012, -0.633009, -0.579161, -0.486585, -0.467082, -0.467613, -0.461681, -0.486529, -0.484702, -0.552313, -0.489924, -0.458192, -0.46328, -0.499518, -0.570351, -0.495341, -0.574021, -0.578643, -0.553382, -0.519343, -0.52583, -0.520162, -0.472152, 0
-1.89589, -1.12049, -0.0601707, -0.709389, -0.535196, -0.702058, -0.749202, 0.331638, 0.593938, 0.619244, 0.803062, 0.846459, 0.818013, 0.906712, 0.849713, 0.661102, 0.479019, 0.273084, -0.00833483, -0.210852, -0.213934, -0.210084, -0.263189, -0.198841, -0.0614823, -0.00894363, 0.0249829, 0.224143, 0.367698, 0.362253, 0.573332, 0.469696, 0.492869, 0.685762, 0.459557, 0.627494, 0.451706, 0.310388, 0.316256, 0.0860655, -0.109791, -0.458864, -0.651544, -0.572175, -0.854843, -0.80234, -0.787877, -0.809608, -0.809737, -0.793047, -0.636945, 0.128531, 0.190349, 0.611547, 0.559954, 0.365567, -0.221452, -0.361851, -0.523046, -0.514024, -0.440548, -0.327913, -0.382681, -0.360095, -0.23833, -0.327195, -0.4069, -0.411329, -0.536564, -0.61076, -0.620575, -0.60664, -0.710709, -0.630232, -0.563511, -0.662338, -0.724188, -0.698933, -0.607649, -0.660978, -0.740253, -0.704976, -0.640381, -0.62176, -0.67757, -0.656481, -0.564399, -0.437566, -0.548333, -0.477951, -0.584158, -0.35399, -0.385761, -0.491357, -0.408317, -0.322741, -0.488872, -0.405352, -0.389057, -0.547867, 3
-1.8214, 1.29526, 0.666534, -1.15745, -1.13884, -1.11684, -1.20153, 1.59307, 1.44103, 1.59923, 1.74717, 1.82159, 1.89857, 1.78868, 1.65163, 1.26242, 0.874336, 0.451839, 0.17147, -0.0765847, -0.186998, -0.275268, -0.387604, -0.413402, -0.509435, -0.511121, -0.542087, -0.52482, -0.469739, -0.382975, -0.39344, -0.311672, -0.340209, -0.384827, -0.269603, -0.272467, -0.277634, -0.267531, -0.367726, -0.594408, -0.364062, -0.66833, -0.618205, -0.612583, -0.817664, -0.808815, -0.818566, -0.691437, -0.815874, -0.62681, -0.680646, -0.237609, -0.296238, -0.344486, -0.184443, -0.451269, -0.732902, -0.771669, -0.660618, -0.912171, -0.910966, -0.752362, -0.770657, -0.803642, -0.714171, -0.644132, -0.818725, -0.853348, -0.85699, -0.895298, -0.95298, -1.07565, -1.14494, -1.13419, -1.07246, -1.07171, -1.14007, -1.01251, -1.00027, -1.0134, -1.06946, -1.03266, -0.960422, -0.973348, -0.936974, -0.885655, -0.892246, -0.870512, -0.826448, -0.83005, -0.889855, -0.75926, -0.727683, -0.737055, -0.751821, -0.780681, -0.704501, -0.707521, -0.727489, -0.732241, 3
-1.76181, 0.315128, 0.395376, -0.924804, -0.90315, -0.881038, -0.891603, 2.33653, 2.23242, 2.08081, 1.88427, 1.8753, 1.93279, 1.78466, 1.7897, 1.60968, 1.39388, 0.805588, 0.378748, 0.223144, 0.0454648, 0.0816566, 0.00310535, -0.146476, -0.293818, -0.240197, -0.418212, -0.468407, -0.535108, -0.854809, -0.760001, -0.84307, -1.15111, -1.26855, -1.45914, -1.3759, -1.64688, -1.44124, -1.57535, -1.27311, -1.40012, -1.2387, -1.20799, -0.693004, -0.822418, -0.947636, -0.992208, -0.904663, -0.954521, -0.612536, -0.654931, -0.439853, -0.606036, -1.03518, -1.47374, -1.7723, -1.28928, -1.25987, -1.02069, -0.97429, -0.917491, -1.05339, -1.03542, -0.785362, -1.01538, -1.08407, -1.18463, -1.07544, -1.23963, -1.19825, -1.23864, -1.43823, -1.27957, -1.29634, -1.42192, -1.21295, -1.2009, -1.16292, -1.19898, -1.18716, -1.20541, -1.16212, -1.00419, -1.0774, -1.05793, -1.06034, -0.96642, -1.00618, -1.03605, -0.8185, -0.761956, -0.849781, -0.867108, -0.856317, -0.786958, -0.720594, -0.77296, -0.80889, -0.719052, -0.748085, 0
-1.74518, -1.18518, -0.271072, 0.4573, 0.66023, 0.198524, 0.121956, -0.951507, -1.03129, -1.04536, -1.04992, -0.920065, -0.704319, -0.534854, -0.0805556, 0.490381, 0.847782, 1.3335, 1.35662, 1.36743, 1.22405, 1.23696, 1.27558, 1.26589, 1.26344, 1.33242, 1.0788, 1.19384, 1.24208, 1.08772, 1.00474, 0.893767, 1.05567, 0.983009, 0.764459, 0.358488, 0.396654, 0.278138, -0.0428297, -0.487535, -0.404573, -1.00949, -0.836828, -0.807286, -0.962383, -1.10414, -1.13073, -1.05507, -0.858739, -0.837505, -1.04148, 1.03298, 1.10128, 1.08166, 0.520747, -0.259333, -0.64601, -0.849983, -0.956586, -0.985401, -0.768945, -0.731002, -0.685053, -0.649704, -0.737809, -0.60276, -0.526749, -0.450914, -0.382848, -0.358292, -0.196724, -0.44157, -0.234991, -0.030865, -0.214691, -0.16434, -0.200922, -0.311298, -0.255462, -0.0542953, -0.375211, -0.0594476, -0.173966, -0.275829, -0.29701, -0.241376, -0.194966, -0.377651, -0.332854, -0.149004, -0.242073, -0.225355, -0.232942, -0.314703, -0.356928, -0.241879, -0.21902, -0.118043, -0.237731, -0.370804, 1
-1.72128, 0.356762, 0.997951, -0.99546, -0.894672, -1.08843, -1.12056, 0.154984, 0.238213, 0.204628, 0.099782, 0.00974447, -0.0421023, -0.0909598, -0.188425, -0.305468, -0.284076, -0.278922, -0.210805, -0.0315464, -0.0111147, -0.020717, -0.0148784, -0.145649, -0.0821056, -0.0989499, -0.139773, -0.0244366, -0.0951845, -0.00202716, 0.0160026, 0.105269, 0.133565, 0.245496, 0.211178, 0.201322, 0.175619, 0.331671, 0.464454, 0.533769, 0.675465, 0.723168, 0.74143, 0.815599, 0.918089, 0.883384, 0.966686, 1.11899, 1.13994, 1.04695, 0.823788, -0.263146, -0.0729268, 0.164528, 0.353096, 0.709769, 0.669812, 0.800625, 0.872991, 0.753878, 0.54595, 0.334589, 0.176803, 0.0844154, 0.168366, 0.0262039, -0.139474, -0.174866, -0.225804, -0.290081, -0.327432, -0.363503, -0.357232, -0.368844, -0.33352, -0.331628, -0.325228, -0.30493, -0.311898, -0.340842, -0.317461, -0.24739, -0.278584, -0.302031, -0.284807, -0.270234, -0.293887, -0.308489, -0.313671, -0.372739, -0.353914, -0.35976, -0.365912, -0.376544, -0.426332, -0.375049, -0.421545, -0.45476, -0.402306, -0.440636, 1
-1.62219, 1.29703, -0.139711, -0.459507, -0.555544, -0.389553, -0.419725, -0.489557, -0.709229, -0.667192, -0.546415, -0.51043, -0.432516, -0.131702, 0.247362, 0.641042, 1.12997, 1.64193, 1.79478, 1.97288, 2.05778, 1.86612, 1.75899, 1.6648, 1.59244, 1.49234, 1.28006, 1.13926, 1.08223, 1.04047, 0.863059, 0.743464, 0.587332, 0.0735103, 0.00300536, -0.423018, -0.607277, -1.46591, -1.37986, -2.07119, -1.49412, -1.20475, -1.74732, -1.67714, -1.18345, -0.910907, -1.20224, -1.21101, -1.09732, -1.10172, -0.974813, 0.63992, 0.815304, 0.482981, -0.261963, -0.914946, -1.50749, -1.79377, -1.46555, -1.40034, -1.31295, -1.36026, -1.2832, -1.15706, -1.19677, -0.958119, -0.879397, -0.957668, -0.676207, -0.774708, -0.636668, -0.666712, -0.63855, -0.46114, -0.401362, -0.665922, -0.347103, -0.43015, -0.429437, -0.244642, -0.461006, -0.484338, -0.316382, -0.333938, -0.340824, -0.41393, -0.378928, -0.399411, -0.341067, -0.378533, -0.460393, -0.349671, -0.398567, -0.376951, -0.442714, -0.432083, -0.520325, -0.499485, -0.373275, -0.334871, 1
