@relation lymphography
@attribute f1 real [-2.13238, 1.5373]
@attribute f2 real [-1.11087, 0.894114]
@attribute f3 real [-0.460081, 2.15884]
@attribute f4 real [-0.222058, 4.47289]
@attribute f5 real [-0.565028, 1.75787]
@attribute f6 real [-1.01018, 0.983238]
@attribute f7 real [-0.26828, 3.70226]
@attribute f8 real [-1.53221, 0.648242]
@attribute f9 real [-0.193939, 6.1845]
@attribute f10 real [-1.76061, 1.82522]
@attribute f11 real [-2.46101, 1.05811]
@attribute f12 real [-2.26443, 1.19058]
@attribute f13 real [-2.36804, 1.56982]
@attribute f14 real [-1.94173, 1.28204]
@attribute f15 real [-1.71282, 0.86076]
@attribute f16 real [-1.39526, 0.711868]
@attribute f17 real [-1.93615, 0.512998]
@attribute f18 real [-0.840594, 2.8339]
@attribute clase {0, 1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18
@outputs clase
@data
0.314072, 0.894114, -0.460081, -0.222058, -0.565028, 0.983238, -0.26828, 0.648242, -0.193939, -0.565333, -0.701447, -1.11276, -1.05542, -1.94173, 0.86076, -1.39526, -1.93615, -0.840594, 1
-0.909156, 0.894114, 2.15884, -0.222058, 1.75787, 0.983238, -0.26828, 0.648242, -0.193939, 0.629943, -0.701447, 1.19058, 0.257203, -0.0995761, -1.71282, 0.711868, 0.512998, 0.209262, 1
1.5373, 0.894114, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, 0.648242, -0.193939, -0.565333, -0.701447, -1.11276, -1.05542, -1.02065, -0.426033, -1.39526, -1.93615, -0.840594, 1
0.314072, 0.894114, -0.460081, -0.222058, -0.565028, 0.983238, -0.26828, 0.648242, -0.193939, -0.565333, 1.05811, 0.0389078, 0.257203, -1.48119, -0.426033, 0.711868, 0.512998, 0.209262, 1
-0.909156, 0.894114, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, 0.648242, -0.193939, 0.629943, 1.05811, 0.0389078, 0.257203, -1.48119, -0.426033, 0.711868, -1.93615, -0.840594, 1
0.314072, -1.11087, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, 0.648242, -0.193939, -0.565333, -0.701447, 1.19058, -1.05542, -0.560115, 0.86076, 0.711868, 0.512998, 0.209262, 2
-0.909156, -1.11087, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, 0.648242, -0.193939, 0.629943, -0.701447, 0.0389078, 0.257203, 1.28204, 0.86076, 0.711868, 0.512998, 0.209262, 2
-0.909156, -1.11087, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, -1.53221, -0.193939, -0.565333, 1.05811, -1.11276, -1.05542, 1.28204, -1.71282, 0.711868, -1.93615, -0.840594, 1
-0.909156, 0.894114, 2.15884, -0.222058, 1.75787, 0.983238, 3.70226, 0.648242, -0.193939, 1.82522, -0.701447, -1.11276, -1.05542, -0.560115, 0.86076, 0.711868, 0.512998, 1.78405, 2
0.314072, 0.894114, 2.15884, -0.222058, -0.565028, 0.983238, -0.26828, -1.53221, -0.193939, 0.629943, -0.701447, 0.0389078, 0.257203, -0.560115, 0.86076, -1.39526, 0.512998, -0.315666, 1
0.314072, 0.894114, 2.15884, 4.47289, 1.75787, 0.983238, 3.70226, -1.53221, 2.99528, -0.565333, -0.701447, 1.19058, -1.05542, -0.560115, 0.86076, 0.711868, 0.512998, 2.30897, 3
1.5373, -1.11087, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, -1.53221, 2.99528, -1.76061, 1.05811, 1.19058, -1.05542, 1.28204, -1.71282, 0.711868, 0.512998, -0.840594, 1
-0.909156, 0.894114, 2.15884, -0.222058, -0.565028, -1.01018, -0.26828, 0.648242, -0.193939, -0.565333, -0.701447, 1.19058, 0.257203, 1.28204, -0.426033, 0.711868, 0.512998, -0.315666, 1
-0.909156, 0.894114, -0.460081, -0.222058, 1.75787, 0.983238, -0.26828, -1.53221, -0.193939, 0.629943, 1.05811, 1.19058, 0.257203, -0.560115, 0.86076, -1.39526, -1.93615, -0.840594, 1
1.5373, 0.894114, 2.15884, 4.47289, 1.75787, 0.983238, 3.70226, 0.648242, -0.193939, 1.82522, 1.05811, 1.19058, 1.56982, 0.821502, 0.86076, 0.711868, 0.512998, 2.8339, 2
0.314072, 0.894114, 2.15884, -0.222058, 1.75787, 0.983238, -0.26828, 0.648242, -0.193939, 0.629943, -0.701447, -1.11276, 0.257203, -0.560115, -1.71282, 0.711868, 0.512998, -0.840594, 1
1.5373, 0.894114, -0.460081, -0.222058, -0.565028, 0.983238, -0.26828, -1.53221, -0.193939, -0.565333, 1.05811, -1.11276, 0.257203, -1.48119, -0.426033, -1.39526, -1.93615, -0.840594, 1
-0.909156, 0.894114, -0.460081, -0.222058, -0.565028, -1.01018, -0.26828, -1.53221, -0.193939, -0.565333, -0.701447, 0.0389078, 0.257203, -0.0995761, -0.426033, 0.711868, 0.512998, -0.840594, 1
