@relation magic
@attribute f1 real [-1.15583, 6.63113]
@attribute f2 real [-1.20903, 12.7657]
@attribute f3 real [-1.86991, 5.28627]
@attribute f4 real [-2.00876, 2.80435]
@attribute f5 real [-1.93969, 4.1674]
@attribute f6 real [-7.66111, 9.78907]
@attribute f7 real [-6.71225, 4.46618]
@attribute f8 real [-9.89773, 8.6233]
@attribute f9 real [-1.05908, 2.38872]
@attribute f10 real [-2.57635, 4.03768]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10
@outputs clase
@data
-0.577211, -0.336795, -0.38112, 0.0627577, -0.148919, 0.541028, 0.224812, -0.405831, 0.476803, -1.49783, 0
0.516609, 0.476371, 0.711138, -0.347497, -0.284652, -0.0201999, 0.353077, 1.03659, -0.881016, 2.17637, 0
-0.17982, 0.0288364, 0.463571, -0.869889, -0.842969, -0.237591, -0.611533, -0.699372, -1.04443, -0.208252, 0
-0.700709, -0.664359, -1.30241, 1.02604, 1.10164, 0.579963, -0.478666, -0.408582, -0.0426342, -0.115467, 0
-0.861312, -0.587852, -1.11324, 1.10809, 1.03558, 0.0585623, -0.108389, -0.287718, 1.33975, -0.322888, 0
-0.943906, -0.62501, -1.46661, 2.19882, 1.76402, 0.32175, -0.15841, -0.581033, 1.56907, -1.15034, 0
-0.950697, -0.614583, -1.52966, 1.98439, 2.31419, 0.305414, -0.329194, -0.32875, 0.559121, -0.342197, 0
0.997774, 0.672212, 2.76023, -1.53067, -1.45105, 0.431215, 1.53659, -0.749445, -1.05586, 0.897355, 0
-0.71889, -0.398634, -0.545954, 0.765661, 0.717965, -0.074593, -0.606352, 0.600903, -0.799207, -1.11813, 0
-0.194335, -0.203301, -0.266647, -0.526915, -0.431244, -0.108338, -0.943736, -0.668749, -0.725099, -0.203006, 0
1.01795, 0.501973, 1.12989, -0.888487, -0.697281, -0.514631, 0.990548, 0.974588, -0.684338, 1.5188, 0
-0.540945, -0.392415, -0.78802, 0.524431, 0.243803, -0.470858, -0.602149, -0.256888, -1.02431, -1.59629, 0
