@relation monks-2
@attribute f1 real [0.202573, 2.02573]
@attribute f2 real [0.209001, 2.05162]
@attribute f3 real [0.51156, 1.76011]
@attribute f4 real [0.179342, 1.9604]
@attribute f5 real [0.0233313, 2.18315]
@attribute f6 real [0.516154, 1.76884]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6
@outputs clase
@data
0.202573, 0.209001, 0.51156, 0.179342, 0.74327, 1.76884, 0
0.202573, 0.209001, 1.76011, 0.179342, 0.0233313, 0.516154, 0
0.202573, 0.209001, 1.76011, 1.9604, 0.0233313, 1.76884, 0
0.202573, 1.13031, 0.51156, 1.06987, 0.74327, 1.76884, 1
0.202573, 1.13031, 0.51156, 1.06987, 1.46321, 1.76884, 1
0.202573, 1.13031, 1.76011, 1.9604, 0.0233313, 1.76884, 1
0.202573, 1.13031, 1.76011, 1.9604, 2.18315, 1.76884, 0
0.202573, 2.05162, 0.51156, 0.179342, 0.74327, 1.76884, 0
0.202573, 2.05162, 0.51156, 1.9604, 0.74327, 1.76884, 1
0.202573, 2.05162, 1.76011, 0.179342, 2.18315, 0.516154, 0
0.202573, 2.05162, 1.76011, 1.06987, 0.0233313, 1.76884, 1
0.202573, 2.05162, 1.76011, 1.06987, 2.18315, 1.76884, 0
1.11415, 0.209001, 0.51156, 1.9604, 1.46321, 1.76884, 1
1.11415, 0.209001, 1.76011, 1.06987, 0.74327, 0.516154, 1
1.11415, 0.209001, 1.76011, 1.9604, 0.0233313, 0.516154, 0
1.11415, 0.209001, 1.76011, 1.9604, 0.0233313, 1.76884, 1
1.11415, 0.209001, 1.76011, 1.9604, 1.46321, 1.76884, 0
1.11415, 1.13031, 0.51156, 1.06987, 0.0233313, 0.516154, 0
1.11415, 1.13031, 0.51156, 1.9604, 1.46321, 1.76884, 0
1.11415, 1.13031, 1.76011, 0.179342, 2.18315, 0.516154, 1
1.11415, 1.13031, 1.76011, 1.9604, 2.18315, 1.76884, 0
1.11415, 2.05162, 0.51156, 0.179342, 0.0233313, 0.516154, 0
1.11415, 2.05162, 0.51156, 1.06987, 1.46321, 1.76884, 0
1.11415, 2.05162, 0.51156, 1.06987, 2.18315, 1.76884, 0
1.11415, 2.05162, 0.51156, 1.9604, 2.18315, 0.516154, 1
1.11415, 2.05162, 1.76011, 0.179342, 0.74327, 0.516154, 1
1.11415, 2.05162, 1.76011, 1.06987, 1.46321, 1.76884, 0
2.02573, 0.209001, 0.51156, 1.06987, 1.46321, 1.76884, 1
2.02573, 0.209001, 0.51156, 1.06987, 2.18315, 1.76884, 1
2.02573, 0.209001, 0.51156, 1.9604, 0.0233313, 0.516154, 0
2.02573, 0.209001, 0.51156, 1.9604, 0.0233313, 1.76884, 0
2.02573, 0.209001, 1.76011, 0.179342, 0.0233313, 0.516154, 0
2.02573, 0.209001, 1.76011, 0.179342, 1.46321, 1.76884, 1
2.02573, 0.209001, 1.76011, 0.179342, 2.18315, 0.516154, 0
2.02573, 0.209001, 1.76011, 1.9604, 0.74327, 0.516154, 1
2.02573, 0.209001, 1.76011, 1.9604, 0.74327, 1.76884, 0
2.02573, 1.13031, 0.51156, 1.06987, 0.0233313, 1.76884, 1
2.02573, 1.13031, 0.51156, 1.9604, 1.46321, 1.76884, 0
2.02573, 1.13031, 1.76011, 0.179342, 1.46321, 1.76884, 0
2.02573, 1.13031, 1.76011, 1.06987, 1.46321, 1.76884, 0
2.02573, 1.13031, 1.76011, 1.9604, 2.18315, 1.76884, 0
2.02573, 2.05162, 0.51156, 0.179342, 0.0233313, 0.516154, 0
