@relation oocytes_merluccius_nucleus_4d
@attribute f1 real [-0.744925, 7.3308]
@attribute f2 real [-2.4933, 1.68921]
@attribute f3 real [-1.1671, 3.67902]
@attribute f4 real [-0.748693, 8.49609]
@attribute f5 real [-1.52066, 3.11333]
@attribute f6 real [-0.749263, 7.04209]
@attribute f7 real [-2.48008, 1.68279]
@attribute f8 real [-1.18744, 3.55508]
@attribute f9 real [-0.774411, 8.21558]
@attribute f10 real [-1.51121, 3.17731]
@attribute f11 real [-0.723846, 7.11837]
@attribute f12 real [-2.46526, 1.6687]
@attribute f13 real [-1.13936, 3.78126]
@attribute f14 real [-1.00416, 8.15202]
@attribute f15 real [-1.42594, 3.20268]
@attribute f16 real [-0.699408, 7.30667]
@attribute f17 real [-2.48783, 1.67947]
@attribute f18 real [-1.09457, 3.87523]
@attribute f19 real [-1.95163, 9.0134]
@attribute f20 real [-1.35729, 3.30839]
@attribute f21 real [-2.92548, 2.35745]
@attribute f22 real [-1.13426, 4.53328]
@attribute f23 real [-6.51916, 1.32584]
@attribute f24 real [-0.666154, 6.35137]
@attribute f25 real [-2.52155, 1.79074]
@attribute f26 real [-3.56173, 3.23523]
@attribute f27 real [-1.18336, 3.73698]
@attribute f28 real [-6.40546, 1.69934]
@attribute f29 real [-0.772652, 5.98908]
@attribute f30 real [-2.66978, 1.61479]
@attribute f31 real [-3.29138, 2.34214]
@attribute f32 real [-1.12365, 4.08418]
@attribute f33 real [-6.6032, 1.1249]
@attribute f34 real [-0.69322, 6.35116]
@attribute f35 real [-2.55023, 1.80594]
@attribute f36 real [-3.8665, 1.2698]
@attribute f37 real [-2.32883, 1.81058]
@attribute f38 real [-1.88741, 2.1423]
@attribute f39 real [-1.76448, 2.33828]
@attribute f40 real [-1.73346, 2.41204]
@attribute f41 real [-1.72114, 2.44663]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41
@outputs clase
@data
-0.351778, 0.856641, 1.09246, -0.699407, -0.512649, -0.331987, 0.849474, 1.10377, -0.711472, -0.476757, -0.359764, 0.89869, 1.45172, -0.618437, -0.515008, -0.435777, 0.93893, 1.89174, -0.558157, -0.638437, 0.811223, 1.68412, -2.37651, 1.81855, 0.966977, 0.722326, 2.16994, -2.98272, 2.66246, 0.997202, 0.799529, 1.64941, -2.39232, 1.87406, 0.965877, 0.363752, 0.664865, 0.863807, 0.996262, 1.06293, 1.09806, 1
1.65744, -1.64305, -1.00084, 1.85899, 1.06013, 1.79685, -1.66088, -1.0221, 1.39114, 1.09552, 1.70799, -1.59204, -0.983479, 0.363842, 1.084, 1.35682, -1.48872, -0.894332, -1.0059, 0.998181, -2.6381, -1.03268, 0.624984, -0.65249, -1.78279, -2.32177, -1.11054, 0.663055, -0.763566, -1.93108, -2.94025, -1.02754, 0.690252, -0.678838, -1.71699, -0.881039, -1.28517, -1.22138, -1.1699, -1.13477, -1.05106, 1
0.258853, -0.974493, -0.956482, 0.585644, 0.803966, 0.289099, -0.989246, -0.978311, 0.780768, 0.804416, 0.308539, -1.02618, -0.98124, 1.21394, 0.828444, 0.331838, -1.0703, -0.966937, 1.97628, 0.926946, -1.31806, -0.77529, 0.650412, -0.63281, -0.751572, -0.841588, -0.978321, 0.656558, -0.75609, -1.08572, -1.49918, -0.937521, 0.673001, -0.677598, -0.994343, -0.59157, -0.9802, -1.05933, -1.06327, -1.06381, -1.08783, 0
1.01707, -1.38326, -1.02674, 2.00424, 1.00364, 1.02639, -1.37789, -1.04441, 1.6779, 0.981799, 1.01023, -1.40305, -1.03009, 0.896051, 0.964208, 1.17651, -1.50341, -1.01823, 1.59334, 1.13681, -1.57882, -1.03586, 0.608932, -0.657968, -1.51509, -1.10534, -1.10893, 0.641796, -0.766545, -1.63038, -1.72667, -1.02596, 0.686854, -0.685074, -1.46867, -0.773881, -1.18285, -1.22626, -1.20919, -1.21926, -1.24226, 1
0.555358, -1.1018, -0.971824, 0.985188, 0.658178, 0.593469, -1.09973, -0.986097, 1.03847, 0.647113, 0.508691, -1.06622, -0.972214, 1.00284, 0.606483, 0.30698, -0.986997, -0.921739, 0.532299, 0.480125, -2.2016, -0.934342, 0.656489, -0.643835, -1.1272, -1.82765, -1.03106, 0.679777, -0.75586, -1.26088, -2.49429, -0.934353, 0.69564, -0.671291, -1.05575, -0.357695, -0.942628, -1.0408, -1.03293, -1.03119, -1.01037, 0
0.786795, -1.27598, -1.03076, 0.445952, 1.22317, 0.839779, -1.276, -1.03949, 0.736589, 1.20858, 0.733841, -1.23275, -1.00017, 1.23095, 1.15705, 0.483683, -1.14041, -0.943808, 1.64726, 1.0471, -1.44874, -0.7344, 0.687593, -0.63336, -0.977741, -1.07828, -0.922258, 0.702716, -0.753451, -1.25477, -1.79784, -0.924527, 0.702766, -0.681606, -1.13417, -1.06685, -1.32767, -1.26318, -1.23727, -1.23128, -1.22286, 0
1.3726, -1.49535, -1.06726, 1.26983, 1.79803, 1.27099, -1.44563, -1.08041, 1.63769, 1.75467, 1.15323, -1.39228, -1.03003, 1.87538, 1.62736, 1.06908, -1.36617, -0.972814, 1.52985, 1.49013, 2.28919, -1.0341, 0.501604, -0.622625, -1.78378, 2.12123, -0.973243, 0.480305, -0.693051, -1.08674, 2.06757, -0.995533, 0.581116, -0.649002, -1.54475, -1.75808, -1.69766, -1.52494, -1.45716, -1.43429, -1.42417, 1
-0.175054, -0.349449, -0.717799, -0.175654, 0.508181, -0.190337, -0.308459, -0.706344, -0.0935542, 0.453418, -0.205849, -0.272107, -0.636499, -0.0696059, 0.357215, -0.206399, -0.28544, -0.575528, -0.381843, 0.217823, 1.58435, -0.715839, 0.151636, -0.345041, -0.660876, 1.19253, -0.462993, 0.0543233, -0.402603, 0.0142331, 1.13913, -0.604134, 0.232206, -0.415057, -0.340703, -0.341253, -0.680747, -0.747104, -0.75472, -0.760518, -0.763596, 1
0.222931, -0.890374, -0.978481, 0.558357, 0.77627, 0.154704, -0.83693, -0.983169, 0.770853, 0.648442, 0.0707454, -0.790673, -0.935062, 0.809973, 0.49049, 0.0661676, -0.814681, -0.901509, 0.671171, 0.496097, 1.10925, -0.89932, 0.522674, -0.636488, -0.873382, 1.60335, -0.906216, 0.506952, -0.729143, -0.731182, 1.30693, -0.904797, 0.590471, -0.660676, -0.950265, -0.506102, -1.02313, -1.0947, -1.08922, -1.08675, -1.10289, 1
-0.575009, 0.750992, 0.548961, -0.57089, -0.609382, -0.576827, 0.737009, 0.582195, -0.599637, -0.588792, -0.563434, 0.699208, 0.325101, -0.540146, -0.525473, -0.555928, 0.698328, 0.196834, -0.457366, -0.523094, 0.57264, 0.503194, -0.150556, 0.06161, 0.843997, 0.365191, 0.193125, 0.229068, -0.0882168, 0.682436, 0.770193, 0.20413, -0.0697857, -0.0682864, 0.666833, 0.523434, 0.723976, 0.788944, 0.75585, 0.727004, 0.706294, 0
