@relation oocytes_merluccius_nucleus_4d
@attribute f1 real [-0.744925, 7.3308]
@attribute f2 real [-2.4933, 1.68921]
@attribute f3 real [-1.1671, 3.67902]
@attribute f4 real [-0.748693, 8.49609]
@attribute f5 real [-1.52066, 3.11333]
@attribute f6 real [-0.749263, 7.04209]
@attribute f7 real [-2.48008, 1.68279]
@attribute f8 real [-1.18744, 3.55508]
@attribute f9 real [-0.774411, 8.21558]
@attribute f10 real [-1.51121, 3.17731]
@attribute f11 real [-0.723846, 7.11837]
@attribute f12 real [-2.46526, 1.6687]
@attribute f13 real [-1.13936, 3.78126]
@attribute f14 real [-1.00416, 8.15202]
@attribute f15 real [-1.42594, 3.20268]
@attribute f16 real [-0.699408, 7.30667]
@attribute f17 real [-2.48783, 1.67947]
@attribute f18 real [-1.09457, 3.87523]
@attribute f19 real [-1.95163, 9.0134]
@attribute f20 real [-1.35729, 3.30839]
@attribute f21 real [-2.92548, 2.35745]
@attribute f22 real [-1.13426, 4.53328]
@attribute f23 real [-6.51916, 1.32584]
@attribute f24 real [-0.666154, 6.35137]
@attribute f25 real [-2.52155, 1.79074]
@attribute f26 real [-3.56173, 3.23523]
@attribute f27 real [-1.18336, 3.73698]
@attribute f28 real [-6.40546, 1.69934]
@attribute f29 real [-0.772652, 5.98908]
@attribute f30 real [-2.66978, 1.61479]
@attribute f31 real [-3.29138, 2.34214]
@attribute f32 real [-1.12365, 4.08418]
@attribute f33 real [-6.6032, 1.1249]
@attribute f34 real [-0.69322, 6.35116]
@attribute f35 real [-2.55023, 1.80594]
@attribute f36 real [-3.8665, 1.2698]
@attribute f37 real [-2.32883, 1.81058]
@attribute f38 real [-1.88741, 2.1423]
@attribute f39 real [-1.76448, 2.33828]
@attribute f40 real [-1.73346, 2.41204]
@attribute f41 real [-1.72114, 2.44663]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41
@outputs clase
@data
-0.665504, 0.870254, 0.20506, -0.59206, -0.894912, -0.676029, 0.892043, 0.275975, -0.59303, -0.963078, -0.668183, 0.93848, 0.524913, -0.557317, -1.03613, -0.65299, 0.935562, 0.642675, -0.578387, -1.0401, -0.00477764, 0.308829, 0.0152126, -0.139392, 0.770803, -0.161931, 0.625664, -0.06147, 0.154245, 0.953174, 0.0190807, 0.32742, -0.0143929, -0.118442, 0.762846, 0.850973, 0.947506, 0.910474, 0.843847, 0.827445, 0.848265, 1
-0.570261, 0.430889, -0.0380514, -0.479085, -0.57148, -0.588732, 0.478346, -0.016592, -0.482054, -0.705954, -0.586073, 0.514118, 0.00721638, -0.514228, -0.797769, -0.557597, 0.439974, -0.126768, -0.537407, -0.753481, -0.0943438, -0.0268667, 0.304491, -0.290927, 0.559966, -0.141241, -0.0703955, 0.281272, -0.324181, 0.534548, 0.0236285, -0.126248, 0.30698, -0.380753, 0.419105, 0.609202, 0.47085, 0.434737, 0.363692, 0.28648, 0.262781, 1
-0.351778, 0.856641, 1.09246, -0.699407, -0.512649, -0.331987, 0.849474, 1.10377, -0.711472, -0.476757, -0.359764, 0.89869, 1.45172, -0.618437, -0.515008, -0.435777, 0.93893, 1.89174, -0.558157, -0.638437, 0.811223, 1.68412, -2.37651, 1.81855, 0.966977, 0.722326, 2.16994, -2.98272, 2.66246, 0.997202, 0.799529, 1.64941, -2.39232, 1.87406, 0.965877, 0.363752, 0.664865, 0.863807, 0.996262, 1.06293, 1.09806, 1
5.14133, -2.05074, -1.03991, -0.0824493, 2.94055, 5.01023, -2.04966, -1.04628, 0.137773, 3.03014, 5.04656, -2.05755, -0.978631, 0.599566, 3.05374, 5.17249, -2.06278, -0.914382, 1.12185, 3.1276, 2.27306, -1.012, 0.461694, -0.61346, -2.22967, 2.82495, -0.182321, -0.537217, -0.310578, -1.66438, 2.34214, -0.812312, 0.412408, -0.589791, -1.72557, -3.59588, -2.15048, -1.72384, -1.60007, -1.56803, -1.55217, 1
-0.519916, 0.697579, 0.267789, -0.639777, -0.458336, -0.53025, 0.717229, 0.297234, -0.636429, -0.502824, -0.548831, 0.79589, 0.626373, -0.550121, -0.59258, -0.578347, 0.846815, 0.953803, -0.529561, -0.718288, 0.200202, 0.730263, -0.95903, 0.473478, 0.748614, 0.290458, 1.17394, -1.46057, 1.00365, 0.904647, 0.197503, 0.739428, -1.01349, 0.514058, 0.740187, 0.435807, 0.529911, 0.607692, 0.639977, 0.656978, 0.691012, 1
-0.566503, 0.322602, -0.457856, -0.379484, -0.458655, -0.590331, 0.375126, -0.42873, -0.34674, -0.566003, -0.594659, 0.425731, -0.3484, -0.314036, -0.668503, -0.573989, 0.421044, -0.342422, -0.298454, -0.616308, -0.554698, -0.359494, 0.42963, -0.505982, 0.261872, -0.764756, -0.247569, 0.554408, -0.478886, 0.460315, -0.506052, -0.423223, 0.502894, -0.538166, 0.176044, 0.543314, 0.361513, 0.117363, 0.00876568, -0.00909555, -0.00154922, 1
-0.642246, 1.11371, 1.82957, -0.678528, -0.995912, -0.640806, 1.08714, 1.85085, -0.711642, -0.943038, -0.631541, 1.0535, 1.77267, -0.672861, -0.902798, -0.622635, 1.0224, 1.52083, -0.603055, -0.882318, 0.922089, 1.46439, -2.17429, 1.6645, 1.01109, 0.806905, 1.22725, -2.10357, 1.57234, 0.994563, 0.932813, 1.19636, -1.83631, 1.3397, 0.931584, 0.843237, 1.14566, 1.31408, 1.39192, 1.42052, 1.44051, 0
-0.331918, -0.226699, -0.630102, -0.0366717, -0.0753131, -0.350728, -0.200442, -0.641656, -0.0439785, -0.103369, -0.356625, -0.201781, -0.685594, -0.0822098, -0.0930346, -0.334616, -0.238004, -0.739928, 0.141351, 0.0113645, -1.91125, -0.561545, 0.414037, -0.504393, -0.0483561, -1.55544, -0.817929, 0.515228, -0.675699, -0.398355, -2.37516, -0.539656, 0.483004, -0.534668, -0.0133836, 0.298904, -0.149757, -0.4292, -0.462643, -0.466911, -0.474967, 1
0.137633, -0.87854, -0.910954, 0.795501, 0.354536, 0.141541, -0.883038, -0.929105, 0.742676, 0.32691, 0.128237, -0.910135, -0.944708, 0.671501, 0.363702, 0.153825, -0.94004, -0.929755, 0.713981, 0.434347, -1.72425, -0.902838, 0.654669, -0.640666, -0.934352, -1.31797, -1.01672, 0.679417, -0.75546, -1.08551, -1.95514, -0.946597, 0.709343, -0.675339, -1.05373, -0.0185409, -0.608892, -0.803517, -0.850614, -0.870983, -0.882278, 0
1.0756, -1.46046, -0.964008, 1.65728, 0.98069, 1.12065, -1.48948, -0.998701, 1.05951, 0.990525, 1.14531, -1.5083, -1.01432, 0.615798, 1.07233, 1.15953, -1.5119, -0.994843, 0.851583, 1.17779, -2.22962, -1.02297, 0.574998, -0.645624, -1.59938, -1.79063, -1.11231, 0.620706, -0.760618, -1.80377, -2.55607, -1.00646, 0.631311, -0.667443, -1.5562, -0.793382, -1.15152, -1.13703, -1.0714, -1.02425, -0.979071, 0
1.65744, -1.64305, -1.00084, 1.85899, 1.06013, 1.79685, -1.66088, -1.0221, 1.39114, 1.09552, 1.70799, -1.59204, -0.983479, 0.363842, 1.084, 1.35682, -1.48872, -0.894332, -1.0059, 0.998181, -2.6381, -1.03268, 0.624984, -0.65249, -1.78279, -2.32177, -1.11054, 0.663055, -0.763566, -1.93108, -2.94025, -1.02754, 0.690252, -0.678838, -1.71699, -0.881039, -1.28517, -1.22138, -1.1699, -1.13477, -1.05106, 1
-0.0133535, -0.656759, -0.73642, 0.26628, 0.206499, -0.0176712, -0.650551, -0.738029, 0.137683, 0.135324, -0.0254974, -0.668743, -0.760428, -0.325741, 0.119691, 0.008226, -0.719848, -0.788274, -0.65426, 0.179002, -2.3202, -0.800248, 0.553479, -0.603844, -0.657818, -1.86579, -0.916551, 0.594319, -0.71518, -0.812602, -2.58244, -0.824766, 0.598517, -0.628692, -0.733601, 0.0144629, -0.457036, -0.661696, -0.715899, -0.728683, -0.733101, 1
0.166928, -0.847855, -0.841658, 0.692022, 0.355286, 0.173915, -0.852713, -0.860809, 0.441024, 0.32629, 0.177473, -0.886316, -0.885037, -0.161241, 0.360044, 0.248448, -0.991984, -0.910684, -0.376576, 0.496867, -1.76142, -0.910204, 0.605134, -0.636138, -0.914382, -1.26999, -1.01656, 0.617887, -0.746385, -1.1105, -1.99801, -0.92005, 0.642825, -0.658927, -0.988286, -0.10226, -0.635669, -0.814561, -0.860809, -0.869234, -0.887076, 1
0.258853, -0.974493, -0.956482, 0.585644, 0.803966, 0.289099, -0.989246, -0.978311, 0.780768, 0.804416, 0.308539, -1.02618, -0.98124, 1.21394, 0.828444, 0.331838, -1.0703, -0.966937, 1.97628, 0.926946, -1.31806, -0.77529, 0.650412, -0.63281, -0.751572, -0.841588, -0.978321, 0.656558, -0.75609, -1.08572, -1.49918, -0.937521, 0.673001, -0.677598, -0.994343, -0.59157, -0.9802, -1.05933, -1.06327, -1.06381, -1.08783, 0
1.01707, -1.38326, -1.02674, 2.00424, 1.00364, 1.02639, -1.37789, -1.04441, 1.6779, 0.981799, 1.01023, -1.40305, -1.03009, 0.896051, 0.964208, 1.17651, -1.50341, -1.01823, 1.59334, 1.13681, -1.57882, -1.03586, 0.608932, -0.657968, -1.51509, -1.10534, -1.10893, 0.641796, -0.766545, -1.63038, -1.72667, -1.02596, 0.686854, -0.685074, -1.46867, -0.773881, -1.18285, -1.22626, -1.20919, -1.21926, -1.24226, 1
-0.259403, -0.32764, -0.645884, -0.10113, 0.0882068, -0.280622, -0.296505, -0.646154, -0.0534738, 0.0016091, -0.282122, -0.317725, -0.642196, -0.28629, -0.108617, -0.199602, -0.482554, -0.740218, -0.618177, -0.0559525, -1.54226, -0.588542, 0.602445, -0.565713, -0.087457, -1.35745, -0.675609, 0.421473, -0.639427, -0.220552, -1.92374, -0.630801, 0.536397, -0.59292, -0.246929, 0.198403, -0.358554, -0.554688, -0.662256, -0.716059, -0.741207, 1
0.645014, -1.31118, -1.05019, 1.76571, 0.835401, 0.607583, -1.27984, -1.05781, 1.80505, 0.747434, 0.564304, -1.26824, -1.02238, 1.32053, 0.669762, 0.599856, -1.31741, -0.995763, 1.31579, 0.766645, -2.00087, -1.00519, 0.624914, -0.656708, -1.34809, -1.70516, -1.08578, 0.660466, -0.765255, -1.47302, -2.1756, -1.01422, 0.702166, -0.685874, -1.39906, -0.432818, -1.09049, -1.19962, -1.20076, -1.19968, -1.19921, 1
-0.361643, -0.0933443, -0.561015, -0.205759, -0.280992, -0.362472, -0.0859079, -0.574519, -0.169907, -0.330648, -0.376096, -0.0689664, -0.535398, -0.24534, -0.392058, -0.364781, -0.106728, -0.53047, -0.402073, -0.354596, -1.9044, -0.501814, 0.622745, -0.527182, -0.0226087, -1.59413, -0.616258, 0.564144, -0.617128, -0.174235, -2.32083, -0.542015, 0.623415, -0.553569, -0.0466873, 0.437806, 0.127438, -0.151586, -0.268658, -0.312357, -0.342023, 1
-0.317215, -0.266909, -0.707794, 0.0383115, -0.130446, -0.318084, -0.268778, -0.699907, 0.0416396, -0.1635, -0.321423, -0.298734, -0.709923, -0.106328, -0.149887, -0.300713, -0.362533, -0.716759, -0.314996, -0.0628692, -1.75773, -0.611091, 0.657608, -0.581985, -0.202461, -1.39349, -0.822097, 0.648452, -0.707823, -0.447481, -2.11059, -0.724276, 0.677608, -0.626163, -0.346221, 0.335246, -0.0707452, -0.358514, -0.450449, -0.501984, -0.517287, 0
1.11898, -1.46807, -1.06148, 1.98323, 0.984758, 1.14123, -1.4502, -1.0626, 1.91732, 0.889354, 1.09314, -1.43463, -1.00953, 0.514948, 0.784746, 1.13146, -1.50879, -0.986727, 0.0110747, 0.89942, -2.00584, -1.01405, 0.631811, -0.654889, -1.50728, -1.62448, -1.09752, 0.659327, -0.764026, -1.67113, -2.39462, -1.01641, 0.702906, -0.683265, -1.47433, -0.660177, -1.20197, -1.22762, -1.22109, -1.20116, -1.18372, 1
1.37987, -1.5831, -1.09637, 2.2394, 1.20504, 1.34241, -1.54234, -1.10203, 2.46714, 1.12371, 1.18594, -1.49217, -1.04339, 1.67622, 0.969505, 1.10163, -1.49838, -0.996292, 0.47021, 0.924897, -2.0446, -1.03016, 0.625514, -0.657428, -1.59013, -1.61759, -1.09845, 0.654349, -0.765115, -1.66443, -2.36625, -1.02991, 0.700607, -0.685514, -1.56872, -0.927936, -1.37447, -1.36131, -1.32844, -1.3112, -1.30118, 1
1.53192, -1.63848, -1.1055, 2.075, 1.49593, 1.44147, -1.58723, -1.11353, 2.43826, 1.41826, 1.22792, -1.48899, -1.04978, 2.23294, 1.20038, 0.942689, -1.38589, -0.962679, 0.667113, 0.925907, -1.81232, -0.999511, 0.641216, -0.65406, -1.46254, -1.46295, -1.09468, 0.669102, -0.765445, -1.70598, -2.0778, -1.04187, 0.700907, -0.687753, -1.6836, -1.37347, -1.54421, -1.45192, -1.39548, -1.37867, -1.37307, 0
-0.20435, -0.451819, -0.685764, 0.171097, -0.0410899, -0.20325, -0.454547, -0.6943, 0.0576218, -0.0689963, -0.194705, -0.495268, -0.728883, -0.317634, -0.0936642, -0.108917, -0.63399, -0.792742, -0.546842, 0.0538437, -1.56949, -0.739268, 0.651241, -0.614069, -0.431239, -1.01386, -0.89919, 0.643375, -0.730462, -0.675759, -1.84209, -0.806065, 0.672641, -0.649042, -0.552789, 0.235045, -0.230087, -0.505972, -0.566912, -0.591021, -0.63283, 1
0.555358, -1.1018, -0.971824, 0.985188, 0.658178, 0.593469, -1.09973, -0.986097, 1.03847, 0.647113, 0.508691, -1.06622, -0.972214, 1.00284, 0.606483, 0.30698, -0.986997, -0.921739, 0.532299, 0.480125, -2.2016, -0.934342, 0.656489, -0.643835, -1.1272, -1.82765, -1.03106, 0.679777, -0.75586, -1.26088, -2.49429, -0.934353, 0.69564, -0.671291, -1.05575, -0.357695, -0.942628, -1.0408, -1.03293, -1.03119, -1.01037, 0
1.15647, -1.29969, -1.00396, 0.351008, 1.37057, 1.20862, -1.31601, -1.02258, 0.618677, 1.34856, 1.13171, -1.27803, -1.00003, 1.14711, 1.33107, 0.815051, -1.13327, -0.938241, 1.5522, 1.22562, -2.09432, -0.77592, 0.685494, -0.63342, -1.15524, -1.7195, -0.869234, 0.651971, -0.725125, -1.23237, -2.53481, -0.856971, 0.631941, -0.650931, -1.00211, -1.38912, -1.31837, -1.25296, -1.23593, -1.24567, -1.25356, 0
1.36918, -1.69231, -1.10011, 2.05469, 1.79718, 1.40307, -1.6985, -1.12007, 2.54391, 1.81198, 1.3807, -1.68418, -1.08186, 3.24008, 1.83367, 1.21567, -1.62336, -1.02336, 3.16623, 1.72373, -1.92134, -1.00254, 0.599546, -0.660946, -1.47937, -1.31252, -1.09637, 0.640296, -0.769443, -1.73186, -2.19086, -1.03843, 0.679877, -0.689192, -1.56702, -1.80057, -1.68455, -1.52472, -1.47784, -1.45783, -1.43637, 0
1.13154, -1.28876, -1.03615, 0.358415, 1.20425, 1.1666, -1.27456, -1.04445, 0.641636, 1.16249, 1.0669, -1.21828, -0.996242, 1.11149, 1.11759, 0.811513, -1.10645, -0.922408, 1.40184, 1.00654, -1.68983, -0.770852, 0.75612, -0.618477, -1.03668, -1.32991, -0.871053, 0.822667, -0.725275, -1.25171, -1.90393, -0.896041, 0.75627, -0.671021, -1.08763, -1.00037, -1.30295, -1.2558, -1.23747, -1.21973, -1.22975, 0
0.786795, -1.27598, -1.03076, 0.445952, 1.22317, 0.839779, -1.276, -1.03949, 0.736589, 1.20858, 0.733841, -1.23275, -1.00017, 1.23095, 1.15705, 0.483683, -1.14041, -0.943808, 1.64726, 1.0471, -1.44874, -0.7344, 0.687593, -0.63336, -0.977741, -1.07828, -0.922258, 0.702716, -0.753451, -1.25477, -1.79784, -0.924527, 0.702766, -0.681606, -1.13417, -1.06685, -1.32767, -1.26318, -1.23727, -1.23128, -1.22286, 0
1.3726, -1.49535, -1.06726, 1.26983, 1.79803, 1.27099, -1.44563, -1.08041, 1.63769, 1.75467, 1.15323, -1.39228, -1.03003, 1.87538, 1.62736, 1.06908, -1.36617, -0.972814, 1.52985, 1.49013, 2.28919, -1.0341, 0.501604, -0.622625, -1.78378, 2.12123, -0.973243, 0.480305, -0.693051, -1.08674, 2.06757, -0.995533, 0.581116, -0.649002, -1.54475, -1.75808, -1.69766, -1.52494, -1.45716, -1.43429, -1.42417, 1
-0.628003, 0.730572, 0.210977, -0.568391, -0.667883, -0.642325, 0.759148, 0.248228, -0.57239, -0.725005, -0.642785, 0.804586, 0.488741, -0.574309, -0.860419, -0.629532, 0.789263, 0.561605, -0.635559, -0.93959, 1.2218, 0.18382, -0.328669, -0.0187907, 0.554419, 0.744695, 0.399454, -0.438735, 0.121101, 0.807845, 0.855781, 0.337235, -0.430109, 0.0947338, 0.683985, 0.704525, 0.652561, 0.601825, 0.598267, 0.603455, 0.628033, 1
