@relation oocytes_merluccius_states_2f
@attribute f1 real [-3.05892, 2.47673]
@attribute f2 real [-4.73035, 3.64581]
@attribute f3 real [-2.99402, 2.21294]
@attribute f4 real [-1.99935, 2.34809]
@attribute f5 real [-2.45775, 5.13878]
@attribute f6 real [-2.05616, 3.06778]
@attribute f7 real [-1.95363, 2.82166]
@attribute f8 real [-2.40908, 2.92083]
@attribute f9 real [-1.461, 5.31553]
@attribute f10 real [-4.19306, 2.4015]
@attribute f11 real [-2.92548, 2.35745]
@attribute f12 real [-1.13426, 4.53328]
@attribute f13 real [-6.51916, 1.32584]
@attribute f14 real [-0.666154, 6.35137]
@attribute f15 real [-2.52155, 1.79074]
@attribute f16 real [-3.56173, 3.23523]
@attribute f17 real [-1.18336, 3.73698]
@attribute f18 real [-6.40546, 1.69934]
@attribute f19 real [-0.772652, 5.98908]
@attribute f20 real [-2.66978, 1.61479]
@attribute f21 real [-3.29138, 2.34214]
@attribute f22 real [-1.12365, 4.08418]
@attribute f23 real [-6.6032, 1.1249]
@attribute f24 real [-0.69322, 6.35116]
@attribute f25 real [-2.55023, 1.80594]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25
@outputs clase
@data
-1.65471, -0.626653, -2.0837, -1.52029, -0.792922, 0.578677, 1.56725, 2.35467, 1.92071, -0.0725344, 2.0268, -1.02201, 0.523933, -0.640236, -1.87808, 1.04989, -0.831583, 0.373627, -0.644794, -0.875281, 1.48618, -0.881878, 0.466192, -0.61299, -1.50211, 1
-0.976402, -0.253096, -0.999411, -0.987376, 0.32773, 1.17784, 0.842807, 0.876521, -0.0140431, -0.664245, -1.57882, -1.03586, 0.608932, -0.657968, -1.51509, -1.10534, -1.10893, 0.641796, -0.766545, -1.63038, -1.72667, -1.02596, 0.686854, -0.685074, -1.46867, 0
-0.385781, -0.200902, 0.236074, -0.726874, 1.254, 1.75269, -0.256414, -1.56602, -0.9594, -0.772702, -1.9044, -0.501814, 0.622745, -0.527182, -0.0226087, -1.59413, -0.616258, 0.564144, -0.617128, -0.174235, -2.32083, -0.542015, 0.623415, -0.553569, -0.0466873, 0
0.129327, -0.325241, -0.132455, -0.46928, 0.493388, 1.74269, 0.0522544, -1.08625, -0.892713, -0.543504, -1.75773, -0.611091, 0.657608, -0.581985, -0.202461, -1.39349, -0.822097, 0.648452, -0.707823, -0.447481, -2.11059, -0.724276, 0.677608, -0.626163, -0.346221, 0
-0.893343, -0.846945, -1.01554, -1.05511, 0.381153, 2.13517, 0.944518, -0.522604, -0.215584, -0.718448, -1.7179, -0.79693, 0.703196, -0.630891, -0.890434, -1.36716, -0.976112, 0.69359, -0.753911, -1.09817, -2.05592, -0.942928, 0.710682, -0.678828, -1.06886, 0
-1.53304, -1.85212, -0.963029, -0.770103, 1.1072, 2.11409, 0.783466, -0.430169, -0.556138, -1.10614, -2.00584, -1.01405, 0.631811, -0.654889, -1.50728, -1.62448, -1.09752, 0.659327, -0.764026, -1.67113, -2.39462, -1.01641, 0.702906, -0.683265, -1.47433, 0
-1.5822, -1.98589, -1.34823, -0.945257, 0.984168, 3.06778, 1.46419, -1.00218, -0.546452, -1.78618, -2.0446, -1.03016, 0.625514, -0.657428, -1.59013, -1.61759, -1.09845, 0.654349, -0.765115, -1.66443, -2.36625, -1.02991, 0.700607, -0.685514, -1.56872, 0
-0.799888, -0.494428, -0.892863, -0.891573, -0.281162, 0.747524, 1.07509, 0.245, 0.831863, -0.170506, -2.15992, -0.906426, 0.507462, -0.617687, -1.06532, -1.6411, -0.945457, 0.495787, -0.708313, -1.15473, -2.42906, -0.881688, 0.507732, -0.613859, -1.16092, 0
-0.477016, -0.410879, -0.61241, -1.29139, -0.861238, 0.862878, 1.35938, 0.716619, 0.856291, 0.234915, -2.09432, -0.77592, 0.685494, -0.63342, -1.15524, -1.7195, -0.869234, 0.651971, -0.725125, -1.23237, -2.53481, -0.856971, 0.631941, -0.650931, -1.00211, 0
-1.08695, 0.308549, -1.28389, -1.53636, -1.30414, 1.01639, 1.50894, 1.40568, 1.25417, 0.419865, -1.92134, -1.00254, 0.599546, -0.660946, -1.47937, -1.31252, -1.09637, 0.640296, -0.769443, -1.73186, -2.19086, -1.03843, 0.679877, -0.689192, -1.56702, 0
-1.60137, -1.3538, -1.48602, -0.991364, -0.177403, 1.19851, 1.42096, 1.0848, 1.13285, -0.860549, 2.28919, -1.0341, 0.501604, -0.622625, -1.78378, 2.12123, -0.973243, 0.480305, -0.693051, -1.08674, 2.06757, -0.995533, 0.581116, -0.649002, -1.54475, 2
-0.843507, -1.79139, 0.962429, 2.15751, 1.34667, -0.651441, -1.01349, -0.732042, -0.705844, -1.71149, 1.2218, 0.18382, -0.328669, -0.0187907, 0.554419, 0.744695, 0.399454, -0.438735, 0.121101, 0.807845, 0.855781, 0.337235, -0.430109, 0.0947338, 0.683985, 2
-0.907526, -0.479965, -1.00491, -0.113534, 1.59778, -0.310198, -0.126498, 0.297414, -0.160311, -0.521205, 1.58435, -0.715839, 0.151636, -0.345041, -0.660876, 1.19253, -0.462993, 0.0543233, -0.402603, 0.0142331, 1.13913, -0.604134, 0.232206, -0.415057, -0.340703, 2
-0.308259, -0.803317, 0.465362, 0.933662, 0.825026, -0.731262, -0.800638, 0.172875, -0.0983618, -0.792602, 1.16076, 0.909705, -1.50609, 0.841868, 0.67488, 0.6741, 1.25727, -1.34271, 1.04666, 0.952114, 0.661626, 0.842977, -0.993274, 0.562405, 0.833462, 2
0.0998611, 0.555328, -0.720977, -0.42824, 0.791363, -0.854561, -1.33122, 0.718858, 0.560226, 0.689563, 1.10321, 0.0564225, -0.452248, 0.0785017, 0.346431, 0.962679, 0.61261, -0.850863, 0.478416, 0.703856, 0.974783, 0.207069, -0.420334, 0.0978122, 0.49021, 2
0.614329, 0.727504, 0.6743, -0.545333, -1.0552, -0.111335, 0.198693, 0.190866, 0.0772622, 1.15661, -0.580356, -0.586783, 0.579186, -0.537467, -0.177883, -0.08162, -0.761047, 0.567962, -0.667473, -0.333077, -0.149547, -0.693211, 0.602295, -0.59113, -0.335766, 2
1.16806, 0.649722, 0.295945, 0.726454, -0.170557, -1.55266, -1.2753, 0.159592, 0.116863, 1.08474, 0.169687, 0.975413, -0.853282, 0.646464, 1.03905, 0.145839, 1.24217, -1.34653, 1.07048, 1.0502, 0.0580117, 1.09108, -1.01192, 0.741547, 1.05345, 2
-0.332767, -1.0812, 1.13175, 0.996212, 0.263801, -0.0875371, -0.452998, -0.67448, -0.620626, -0.383142, -0.0869674, -0.42967, 0.473238, -0.460854, 0.088287, 0.0506452, -0.536897, 0.479465, -0.554538, -0.00730634, 0.403473, -0.44911, 0.457656, -0.488621, 0.0383711, 2
-0.961409, -1.28117, 0.566973, 1.1972, 0.508061, 0.153085, 0.0677168, -0.687383, -0.356925, -1.33738, 0.177933, -0.258743, 0.100581, -0.361613, 0.194455, 0.303292, -0.404942, 0.0734739, -0.468341, 0.0923049, 0.190047, -0.32678, 0.132945, -0.389019, 0.04062, 2
1.94202, 1.47094, -0.290848, 0.356785, -0.192956, -1.77215, -1.41056, 0.425432, -0.0538436, 1.79609, -0.00708651, 1.1007, -0.365681, 0.583864, 1.2037, -0.771772, 1.56609, -0.24585, 1.04749, 1.25315, -0.61242, 1.50605, -0.354626, 0.830633, 1.31631, 2
-1.88178, -1.37664, -1.42475, -1.01492, -0.547152, 1.91962, 2.55038, 0.604294, 0.360044, -0.85774, -0.250577, -0.745055, 0.705954, -0.626783, -1.22777, 0.093954, -1.00391, 0.680876, -0.760248, -1.63268, 0.240642, -1.00104, 0.683645, -0.685864, -1.41917, 0
-0.71412, 0.404842, -0.38887, -1.09042, -1.10938, -0.00462769, 1.30171, 1.20939, 1.02344, 0.642276, -1.64124, -1.07746, 0.602905, -0.660896, -1.87343, -1.04841, -1.15932, 0.636398, -0.769713, -2.26212, -0.910194, -1.09421, 0.675299, -0.690702, -2.15656, 0
-0.825536, -0.320163, -0.609552, -1.14225, -0.303431, 1.5232, 1.40947, 0.0847285, 0.308359, -0.57201, -1.29087, -0.913513, 0.655049, -0.650222, -1.25027, -0.915972, -1.05331, 0.67442, -0.764426, -1.602, -1.52871, -1.00677, 0.703086, -0.686324, -1.45045, 0
-0.748514, -0.730932, -0.121451, -0.740118, 0.832193, 2.12639, 0.672271, -1.49577, -0.907346, -0.881269, -1.466, -0.885526, 0.677388, -0.635729, -0.917171, -1.14552, -0.994993, 0.686943, -0.748554, -1.06439, -1.73917, -0.909815, 0.721827, -0.669822, -0.922349, 0
-1.52396, -1.57241, -1.00257, -1.06729, 0.323102, 1.98888, 1.26765, 0.10128, 0.361563, -1.17333, -1.38637, -0.860449, 0.665694, -0.647063, -1.24418, -1.11343, -1.0217, 0.672571, -0.763776, -1.48993, -1.8144, -0.993904, 0.698828, -0.687733, -1.45534, 0
-1.75738, -2.58002, -1.42077, -0.446361, 2.80593, 2.33802, -0.0738539, -1.02713, -0.974653, -2.18726, -1.62546, -0.901898, 0.640306, -0.637288, -0.889704, -1.75728, -0.886296, 0.59268, -0.728763, -0.686304, -2.13157, -0.850204, 0.667004, -0.661876, -0.681436, 0
-0.791672, -1.91529, 0.134754, 0.545433, 0.173135, 0.278824, 0.960949, -0.157063, -0.0507651, -1.00676, -0.290778, -0.997062, 0.540645, -0.651381, -1.31539, 0.399025, -1.04728, 0.567712, -0.75566, -1.29127, -0.722586, -0.991605, 0.623515, -0.678488, -1.35026, 2
-1.71211, -0.59147, -2.30288, -1.74634, -1.85728, 0.912673, 1.97661, 2.58945, 3.27528, -0.453778, 1.48016, -0.93871, 0.439375, -0.59221, -1.34096, 1.95083, -0.849354, 0.263531, -0.550221, -0.984878, 1.54388, -0.889735, 0.380694, -0.537417, -1.4329, 1
-1.55505, -0.384032, -2.37688, -1.79551, -1.52918, 0.778249, 1.38905, 2.44517, 3.20168, -0.174255, 2.14586, -0.882978, 0.322392, -0.522674, -1.66557, 2.50266, -0.786185, 0.181051, -0.496817, -1.06171, 2.19009, -0.848585, 0.32758, -0.50996, -1.40452, 1
0.491869, 0.233985, 1.1103, 1.06104, -0.565843, -1.36722, -0.827085, 0.336075, 0.269158, 0.278524, 0.186019, 1.71109, -3.08021, 2.40946, 0.974013, 0.385881, 1.4625, -3.18819, 2.24573, 0.903628, 0.144699, 1.47018, -2.70959, 2.02527, 0.973683, 2
-1.50678, -0.357375, -2.13362, -1.66841, -1.42071, 0.687533, 1.47066, 2.38508, 2.87753, -0.228918, 2.01947, -0.963778, 0.44952, -0.606953, -1.62589, 2.43242, -0.81782, 0.364301, -0.63375, -0.842088, 1.95596, -0.900889, 0.449, -0.59176, -1.37226, 1
-0.0726244, 0.646244, -0.526432, -1.042, -0.597368, -0.118352, 0.903278, 1.1186, 0.722836, 0.430989, -0.141661, -0.688183, 0.432158, -0.545183, -0.576687, 0.271737, -0.7562, 0.28668, -0.573989, -0.608792, 0.145599, -0.75658, 0.393757, -0.540985, -0.717799, 0
-0.419724, -0.456017, -0.717209, 0.295595, 0.332407, -0.779798, -0.61366, 0.98101, 1.00684, -0.360953, 0.207329, 0.105269, -0.429879, -0.0465571, 0.26652, 0.452768, 0.886696, -1.88305, 0.955043, 0.614189, 0.128617, 0.393138, -0.826755, 0.24479, 0.399404, 2
-0.293156, 0.104929, -0.788674, 0.0679166, 0.610321, -0.788534, -0.974433, 0.729633, 0.676089, 0.131556, 0.700357, 0.113874, -0.368559, -0.0100249, 0.445012, 0.657368, 0.896311, -1.3497, 0.828415, 0.770573, 0.604334, 0.353587, -0.629292, 0.215175, 0.594479, 2
0.312637, 0.478995, 0.502364, 0.633699, 0.34662, -0.872613, -1.26283, -0.14246, -0.40886, 0.616109, 0.716079, 0.217394, -0.668832, 0.448411, 0.555548, 0.573749, 0.465042, -0.905447, 0.570631, 0.79764, 0.908315, 0.387211, -0.702006, 0.45052, 0.674919, 2
0.929935, 1.08641, -0.282412, 0.263381, 0.685934, -1.21292, -1.38523, 0.425292, -0.148157, 0.57169, 0.276815, 0.979401, -1.09169, 0.827695, 1.02074, -0.0952933, 1.35371, -1.4629, 1.32176, 1.14156, 0.161061, 1.09599, -1.27692, 0.990885, 1.05789, 2
1.14365, 0.51039, 0.736619, 0.765535, -0.437976, -1.39074, -0.844007, 0.0812602, 0.0268669, 0.833252, 0.422753, 0.882468, -1.18272, 0.780168, 0.92044, 0.212356, 1.04515, -1.80375, 1.22326, 0.95946, 0.170097, 1.06774, -1.54108, 1.09161, 0.982709, 2
0.3274, 0.569651, -0.864337, -0.0849585, 0.483293, -1.27226, -1.25449, 0.908725, 0.844716, 0.699508, 0.89884, 0.221652, -0.474348, 0.0609703, 0.461344, 0.850684, 1.06294, -1.67138, 1.04426, 0.719238, 0.763846, 0.498636, -0.81702, 0.359864, 0.598787, 2
0.769903, 0.687663, -0.0655879, -1.01788, -0.580396, 0.534119, 0.988546, -0.480075, -0.207688, 0.822128, 0.126308, -0.814421, 0.601416, -0.618707, -0.597477, 0.604464, -0.933253, 0.574948, -0.719888, -0.809074, 0.709313, -0.843917, 0.651291, -0.638477, -0.744725, 0
-0.514208, -1.72727, 1.81447, 2.03039, 0.331987, -0.704375, -0.383752, -0.760238, -0.848035, -0.973743, -0.655839, -0.234475, 0.404382, -0.442093, 0.398025, -0.849754, -0.295425, 0.582595, -0.493388, 0.401923, -0.675369, -0.210007, 0.459945, -0.446791, 0.420854, 2
0.888225, 0.712891, -0.389309, 0.108447, -0.560756, -1.31523, -0.567712, 0.717509, 0.573629, 1.32406, 0.0629692, 0.707434, -0.389019, 0.218613, 0.903758, -0.139502, 1.12109, -0.867465, 0.647853, 0.906007, -0.155554, 0.862298, -0.543534, 0.337475, 0.955822, 2
0.83778, 1.39013, 0.40894, -0.69358, -1.86191, -0.442193, 1.14114, 0.968626, 0.262182, 1.40957, 0.180901, -0.749863, 0.630471, -0.6324, -0.5314, 0.67332, -0.973084, 0.63369, -0.757879, -0.905027, 0.815131, -0.910714, 0.669782, -0.67399, -0.860679, 0
1.43055, 0.941759, -0.0425592, 0.403142, -0.319404, -1.29147, -0.811073, 0.236404, -0.0540734, 1.2059, 0.533829, 1.16778, -0.559796, 0.637678, 1.11558, -0.147658, 1.41528, -0.427651, 0.911844, 1.17576, 0.152016, 1.3472, -0.584434, 0.794581, 1.19587, 2
1.76772, 0.743236, 0.560106, 0.879929, -0.432428, -1.74559, -1.03679, -0.288289, -0.279023, 1.58867, 0.295655, 0.94018, -0.218473, 0.329019, 1.10015, -0.299773, 0.96015, 0.120431, 0.454807, 1.13403, 0.0801608, 1.07753, -0.126788, 0.458965, 1.15225, 2
