@relation oocytes_trisopterus_nucleus_2f
@attribute f1 real [-2.51247, 2.15115]
@attribute f2 real [-2.6723, 1.2818]
@attribute f3 real [-2.58489, 2.6911]
@attribute f4 real [-1.65841, 3.7547]
@attribute f5 real [-1.01396, 4.05536]
@attribute f6 real [-1.4892, 3.43224]
@attribute f7 real [-2.30128, 4.70638]
@attribute f8 real [-3.84345, 1.81617]
@attribute f9 real [-2.8186, 8.857]
@attribute f10 real [-2.69667, 1.60812]
@attribute f11 real [-3.39624, 3.39081]
@attribute f12 real [-1.11036, 4.88541]
@attribute f13 real [-6.51233, 3.55649]
@attribute f14 real [-0.686613, 7.41656]
@attribute f15 real [-3.23953, 2.48591]
@attribute f16 real [-3.53228, 2.50386]
@attribute f17 real [-0.945881, 5.20394]
@attribute f18 real [-7.37687, 4.76302]
@attribute f19 real [-0.615952, 6.40925]
@attribute f20 real [-2.42377, 2.17324]
@attribute f21 real [-3.20692, 2.03018]
@attribute f22 real [-0.925672, 5.91291]
@attribute f23 real [-10.1453, 3.03094]
@attribute f24 real [-0.574974, 12.6856]
@attribute f25 real [-2.19253, 2.54906]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25
@outputs clase
@data
0.865225, 1.00701, -0.0426067, -1.06352, -0.811925, -1.01213, -0.366579, 0.912349, 1.02087, 0.91116, 0.0499326, -0.724393, 0.155864, -0.541583, -0.78408, -0.516946, -0.709541, 0.155335, -0.568258, -0.790476, -1.52995, -0.753807, 0.379172, -0.549728, -0.960983, 1
-0.03655, -0.069342, 1.81607, 1.01117, -0.133597, 0.240198, 0.241837, -0.524212, -0.595593, -0.468783, 0.909801, 3.09775, -3.2848, 3.60618, 1.80226, -0.525132, 1.99495, -0.65643, 1.9284, 1.74768, -1.2859, 2.14154, -1.4139, 2.07216, 1.94735, 1
-0.253571, -0.435931, 2.10468, 1.55881, 0.130378, 0.465315, 0.575974, -0.949849, -1.08747, -0.8012, 0.56436, 2.36751, -0.898587, 1.94494, 1.84252, -0.779962, 1.7844, -0.113018, 1.27817, 1.75827, -1.45288, 1.98428, -0.650883, 1.40583, 1.96429, 1
0.694159, 0.861717, -0.317086, -1.22871, -0.806737, -1.11209, -0.599661, 1.26953, 1.01223, 1.1358, 0.160012, -0.924383, -0.190306, -0.562222, -1.49595, -0.104932, -0.799401, -0.11029, -0.483545, -1.50427, -1.2805, -0.78387, 0.179212, -0.471561, -1.45644, 1
0.162481, 0.427845, 0.396822, -0.315217, -0.348489, -0.237909, -0.0251062, 0.322403, 0.162931, 0.283535, 0.51004, 0.0513717, -0.281815, -0.0364202, 0.560652, -0.104972, -0.414743, -0.16457, -0.377583, 0.0733098, -1.21936, -0.45668, 0.092959, -0.371926, -0.114977, 0
-0.0241368, -0.047354, 1.88386, 0.914438, -0.122633, 0.340593, 0.8209, -0.579472, -0.868373, -0.5102, 0.573355, 1.94229, -0.805258, 1.34458, 1.79802, -0.934057, 1.10919, 0.197462, 0.552727, 1.51009, -1.619, 1.25806, -0.0938984, 0.600891, 1.6795, 1
0.415242, 0.659028, 0.122033, -0.755036, -0.667954, -0.666884, -0.214722, 0.812714, 0.58302, 0.760793, 0.335836, -0.0164211, 0.228595, 0.262796, -0.621869, 0.0136926, -0.162731, -0.129789, 0.101884, -0.749579, -1.06773, -0.288102, -0.0677128, -0.0940782, -0.562691, 1
0.36454, 0.538175, -0.185458, -0.405947, -0.38336, -0.330319, -0.603199, 0.594894, 0.563021, 0.325142, -0.00275853, -0.680597, 0.116496, -0.58441, -0.387977, -0.225756, -0.670382, 0.160582, -0.560743, -0.495778, -1.59528, -0.684165, 0.376224, -0.523772, -0.658919, 1
0.806388, 0.188567, 0.468803, -0.387867, -0.484414, -0.260487, 0.404788, 0.216291, 0.153096, 0.300615, 0.32757, 0.0340812, 0.429294, -0.166559, 0.566149, -0.666084, 0.735426, -0.732188, 0.337025, 0.988718, -1.66686, 0.405907, -0.357954, -0.0333815, 0.821639, 1
-0.394913, -0.374015, 2.00354, 1.46124, 0.0670931, 0.295478, -0.00475735, -0.867014, -0.860748, -0.54599, 0.570147, 2.60613, -1.41517, 2.03256, 1.97037, -0.590526, 2.45234, -0.717866, 2.06934, 1.88549, -1.75532, 1.96041, -0.751737, 1.30082, 1.92337, 1
0.144381, -0.00432765, 1.30304, 0.940404, -0.167658, -0.0153815, -0.0543901, -0.453041, -0.357254, -0.274409, 1.27786, 3.87161, -4.39924, 4.4902, 1.5382, -0.0775574, 3.44222, -2.46748, 3.76511, 1.99717, -1.07855, 2.95469, -2.5753, 2.92733, 2.12831, 0
0.744332, 0.979892, -0.948, -1.34852, -0.93004, -1.32754, -1.31142, 1.31958, 1.47427, 1.46786, -0.326871, -0.918586, 0.135746, -0.624368, -1.79191, -0.453631, -0.861577, 0.16324, -0.602739, -1.66513, -1.62972, -0.877459, 0.377863, -0.570727, -1.69134, 0
0.196992, 0.0214882, 1.20904, 0.780582, -0.136765, 0.0860229, 0.125221, -0.476029, -0.54645, -0.264475, 1.46618, 2.49217, -2.2496, 2.10752, 1.2025, -0.0480136, 2.61189, -0.734097, 2.46584, 1.87481, -0.956815, 2.06578, -0.950888, 1.60273, 1.95459, 1
-0.102014, -0.0796563, 1.66623, 0.819091, -0.168618, -0.215082, -0.297647, -0.282905, -0.416491, -0.0527309, 0.755735, 0.328859, 0.0448953, -0.102344, 0.967919, -0.371036, 0.142302, -0.113998, -0.18291, 0.862407, -1.12336, 0.168507, 0.0124932, -0.141612, 0.870432, 0
0.818211, 0.571546, 0.0614562, -0.423678, -0.576234, -0.347839, -0.235371, 0.445955, 0.423558, 0.38364, -0.16424, -0.558953, 0.107081, -0.570987, -0.108561, -0.817591, -0.518066, 0.025276, -0.529929, -0.0784869, -2.00777, -0.513708, 0.281426, -0.497397, -0.137385, 1
-0.205327, 0.0989057, 1.63874, 0.837241, -0.0428266, -0.00204878, 0.0822549, -0.284314, -0.561022, -0.354215, 1.67183, 0.435651, -0.958714, 0.321194, 0.942153, 0.476019, 0.313218, -0.47367, 0.0264853, 0.9486, -0.811415, 0.205697, -0.446675, 0.0756787, 0.846245, 1
0.659318, 0.639509, -0.702505, -0.994155, -0.6195, -0.871352, -0.996943, 1.13891, 1.0664, 0.908741, -0.726062, -0.776574, 0.14553, -0.557314, -1.05748, -0.969868, -0.684255, 0.171756, -0.52929, -0.926602, -2.35333, -0.707552, 0.384399, -0.513178, -0.895449, 1
0.559343, 0.284784, -0.0369698, -0.479387, -0.392885, -0.379442, -0.522093, 0.808736, 0.428325, 0.36503, -0.155015, -0.639679, 0.122593, -0.588657, -0.30965, -0.503264, -0.591925, 0.168837, -0.548789, -0.268872, -1.75861, -0.599032, 0.372466, -0.51063, -0.390856, 1
0.0877118, 0.0622758, 1.36253, 0.720135, -0.21904, 0.139673, 0.175204, -0.413973, -0.438399, -0.247034, 0.612994, 1.8868, -1.48727, 1.21772, 1.75136, -0.741353, 2.04319, -0.977794, 1.46884, 1.75994, -1.84606, 1.44304, -0.641968, 0.69242, 1.68323, 0
-0.0100945, -0.0432363, 1.44806, 0.930919, -0.14678, 0.148848, 0.0983561, -0.462946, -0.50966, -0.332347, 0.842428, 1.88071, -1.2108, 1.13606, 1.73144, -0.636001, 2.1457, -0.608916, 1.65121, 1.81134, -1.705, 1.51152, -0.502204, 0.771547, 1.74392, 0
0.867424, 0.789627, -0.417161, -1.31488, -0.840319, -1.13154, -1.13898, 1.09572, 1.24345, 1.26367, 2.5143, -0.909881, -0.177423, -0.640189, -1.3591, 1.4914, -0.473051, -0.376084, -0.439599, -0.753447, -0.593684, -0.669763, 0.161891, -0.501745, -0.876769, 1
0.508341, 0.198221, 1.28732, -0.216131, -0.330179, 0.137775, 1.61963, -0.459488, -0.638929, -0.0136324, 1.07669, 0.30925, -0.0607467, -0.0945283, 0.918396, -0.301704, 0.463106, 0.353216, 0.0161509, 1.14097, -1.0898, 0.524782, 0.30916, 0.0358805, 1.22943, 1
0.826956, 0.851213, -0.659228, -1.19932, -0.773816, -1.14345, -1.14847, 1.23713, 1.23242, 1.15582, 0.706432, -0.640479, 0.240398, -0.567279, -0.904544, 0.919905, -0.841099, 0.148818, -0.605868, -1.41904, 0.847975, -0.817442, 0.377643, -0.562641, -1.23975, 0
-0.0125032, -0.211874, 0.745781, 0.232043, -0.136665, 0.297357, 0.286903, -1.31804, 1.77457, -0.505912, 1.79507, -0.186928, 0.294758, -0.451892, -0.238539, 1.70571, -0.133767, 0.511559, -0.370487, -0.0257858, 1.70109, -0.444676, 0.293979, -0.497207, -0.681066, 1
0.717896, 0.89277, -0.471611, -1.2082, -0.818811, -1.13314, -0.812474, 1.29186, 1.01597, 1.19157, 1.45546, -0.518156, 0.331578, -0.539154, -0.924873, 1.63604, -0.806158, 0.167288, -0.60196, -1.38405, 1.75522, -0.813164, 0.385648, -0.5651, -1.30617, 0
0.321104, 0.0475239, 0.76525, 0.258928, -0.313128, -0.0773874, 0.14551, -0.271901, 0.00353809, 0.0601671, 1.80855, 0.120973, -0.390616, -0.223867, 0.670702, 0.859388, 0.736506, 0.0852931, 0.271191, 1.13493, 0.660368, 0.435541, 0.0323623, -0.0164508, 0.989587, 0
0.493189, 0.718566, -0.176253, -0.894769, -0.668773, -0.840059, -0.339394, 0.982221, 0.581471, 0.920655, -0.052871, -0.813074, 0.0945881, -0.617601, -0.886054, 0.280986, -0.817941, 0.154435, -0.595853, -1.17173, -0.223797, -0.788468, 0.394044, -0.557144, -1.06885, 0
0.922854, 0.915987, -0.680117, -1.29888, -0.74753, -1.08284, -1.18412, 1.1833, 1.03403, 1.17558, 1.54995, -0.456839, 0.192894, -0.535646, -0.417181, 1.48115, -0.721854, 0.0893009, -0.573665, -0.862087, 1.62934, -0.65605, 0.209445, -0.47365, -0.726451, 0
0.677418, 0.681396, -0.20101, -1.23397, -0.724323, -1.07203, -0.952118, 1.16418, 1.04039, 1.13562, 0.955995, -1.03017, -0.0163211, -0.676679, -1.72898, 1.30031, -0.903894, 0.110629, -0.612034, -1.76399, 1.40551, -0.867594, 0.365539, -0.568888, -1.58053, 1
0.298146, 0.331768, 0.010804, -0.340173, -0.285563, -0.158003, -0.0541502, 0.484724, 0.0418171, 0.241058, -0.116716, -0.423008, -0.290061, -0.276109, -0.132158, 0.214023, -0.34708, -0.725532, -0.0712211, -0.445256, -0.104663, -0.327381, -0.282245, -0.140962, -0.27417, 1
-0.551997, -0.390686, 2.37698, 1.68553, -0.025716, -0.323263, -1.01358, -0.953417, 0.586478, -0.480356, 1.86278, 0.753666, -1.02407, 0.350647, 0.883805, 1.32917, 0.899107, -1.22882, 0.60149, 1.07041, 1.50793, 0.730479, -1.51837, 0.518206, 0.240228, 0
0.951988, 0.353776, 0.0667833, -0.32823, -0.543502, -0.380861, -0.412024, 0.0634252, 0.868014, 0.326121, 2.12234, -0.396063, -0.0102744, -0.550778, -0.0492431, 1.01407, 0.712849, 0.248214, 0.00578662, 1.10222, 0.976464, 0.392564, 0.197532, -0.252651, 0.739734, 1
-0.107421, -0.185948, 2.03377, 0.973576, -0.0553897, 0.270462, 0.78363, -0.860458, -0.543981, -0.559033, 1.52532, 1.2009, -0.889572, 0.636071, 1.15607, 0.852352, 1.2182, -0.641198, 0.665864, 1.44199, 0.789837, 1.1155, -0.853292, 0.559493, 1.2098, 1
0.444926, 0.586208, -0.103064, -0.301724, -0.295378, -0.0298535, -0.50957, -0.0451053, 0.185268, 0.216351, 0.664166, -0.403839, 0.412784, -0.382121, -0.184089, 0.764411, -0.436471, 0.104453, -0.405108, -0.194303, 0.899446, -0.314797, 0.0356405, -0.317546, -0.102964, 1
