@relation oocytes_trisopterus_nucleus_2f
@attribute f1 real [-2.51247, 2.15115]
@attribute f2 real [-2.6723, 1.2818]
@attribute f3 real [-2.58489, 2.6911]
@attribute f4 real [-1.65841, 3.7547]
@attribute f5 real [-1.01396, 4.05536]
@attribute f6 real [-1.4892, 3.43224]
@attribute f7 real [-2.30128, 4.70638]
@attribute f8 real [-3.84345, 1.81617]
@attribute f9 real [-2.8186, 8.857]
@attribute f10 real [-2.69667, 1.60812]
@attribute f11 real [-3.39624, 3.39081]
@attribute f12 real [-1.11036, 4.88541]
@attribute f13 real [-6.51233, 3.55649]
@attribute f14 real [-0.686613, 7.41656]
@attribute f15 real [-3.23953, 2.48591]
@attribute f16 real [-3.53228, 2.50386]
@attribute f17 real [-0.945881, 5.20394]
@attribute f18 real [-7.37687, 4.76302]
@attribute f19 real [-0.615952, 6.40925]
@attribute f20 real [-2.42377, 2.17324]
@attribute f21 real [-3.20692, 2.03018]
@attribute f22 real [-0.925672, 5.91291]
@attribute f23 real [-10.1453, 3.03094]
@attribute f24 real [-0.574974, 12.6856]
@attribute f25 real [-2.19253, 2.54906]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25
@outputs clase
@data
0.865225, 1.00701, -0.0426067, -1.06352, -0.811925, -1.01213, -0.366579, 0.912349, 1.02087, 0.91116, 0.0499326, -0.724393, 0.155864, -0.541583, -0.78408, -0.516946, -0.709541, 0.155335, -0.568258, -0.790476, -1.52995, -0.753807, 0.379172, -0.549728, -0.960983, 1
0.470672, 0.831544, -0.0809656, -0.906693, -0.738285, -0.912619, -0.432493, 1.03002, 0.812084, 0.928331, 0.712939, -0.812214, 0.098466, -0.596083, -0.924243, 0.45618, -0.842368, 0.120094, -0.590406, -1.33993, -0.672401, -0.834472, 0.358263, -0.553146, -1.39264, 0
0.69303, 0.440988, 0.130288, -0.175814, -0.27281, -0.0205986, -0.231153, 0.0626856, 0.0757185, 0.020309, 0.691231, 0.438749, -0.295698, 0.448294, 0.867894, 0.0837041, 0.518355, -1.43324, 0.705193, 0.74686, -0.945901, 0.614093, -1.5323, 0.880447, 0.750328, 1
-0.03655, -0.069342, 1.81607, 1.01117, -0.133597, 0.240198, 0.241837, -0.524212, -0.595593, -0.468783, 0.909801, 3.09775, -3.2848, 3.60618, 1.80226, -0.525132, 1.99495, -0.65643, 1.9284, 1.74768, -1.2859, 2.14154, -1.4139, 2.07216, 1.94735, 1
-0.253571, -0.435931, 2.10468, 1.55881, 0.130378, 0.465315, 0.575974, -0.949849, -1.08747, -0.8012, 0.56436, 2.36751, -0.898587, 1.94494, 1.84252, -0.779962, 1.7844, -0.113018, 1.27817, 1.75827, -1.45288, 1.98428, -0.650883, 1.40583, 1.96429, 1
0.694159, 0.861717, -0.317086, -1.22871, -0.806737, -1.11209, -0.599661, 1.26953, 1.01223, 1.1358, 0.160012, -0.924383, -0.190306, -0.562222, -1.49595, -0.104932, -0.799401, -0.11029, -0.483545, -1.50427, -1.2805, -0.78387, 0.179212, -0.471561, -1.45644, 1
-0.406627, -0.362321, 1.65378, 1.48554, 0.132097, 0.423738, 0.2183, -1.03338, -1.08809, -0.560472, 0.465475, 1.6764, -0.813694, 1.12013, 1.76625, -0.880617, 1.74288, -0.129299, 1.27851, 1.76067, -1.7627, 1.51619, -0.169417, 0.829585, 1.79539, 1
0.961772, 0.993505, -0.840709, -1.44044, -0.868663, -1.28863, -1.28854, 1.42852, 1.58996, 1.2625, 3.39081, -0.590576, -0.977984, -0.0350409, -3.23953, 1.96686, -0.133897, -1.02569, 0.150167, -0.158053, 0.395943, -0.412394, -0.45504, -0.101444, -0.667214, 1
0.642098, 0.781191, -0.502814, -1.10937, -0.781231, -1.07493, -0.89297, 1.18285, 1.19034, 1.11592, 0.839509, -0.370017, 0.104233, -0.352727, -0.312738, 0.344341, -0.723483, -0.0375295, -0.486543, -0.976174, -0.545401, -0.707872, 0.140483, -0.412174, -1.05674, 0
0.162481, 0.427845, 0.396822, -0.315217, -0.348489, -0.237909, -0.0251062, 0.322403, 0.162931, 0.283535, 0.51004, 0.0513717, -0.281815, -0.0364202, 0.560652, -0.104972, -0.414743, -0.16457, -0.377583, 0.0733098, -1.21936, -0.45668, 0.092959, -0.371926, -0.114977, 0
