@relation oocytes_trisopterus_states_5b
@attribute f1 real [-0.914278, 7.79999]
@attribute f2 real [-2.78541, 2.24443]
@attribute f3 real [-1.0046, 4.31518]
@attribute f4 real [-0.960643, 5.4067]
@attribute f5 real [-1.37908, 4.14311]
@attribute f6 real [-2.96459, 2.91612]
@attribute f7 real [-2.97156, 2.92341]
@attribute f8 real [-2.94081, 2.90985]
@attribute f9 real [-1.17177, 5.66245]
@attribute f10 real [-0.98409, 4.41643]
@attribute f11 real [-0.877688, 4.62526]
@attribute f12 real [-3.39624, 3.39081]
@attribute f13 real [-1.11036, 4.88541]
@attribute f14 real [-6.51233, 3.55649]
@attribute f15 real [-0.686613, 7.41656]
@attribute f16 real [-3.23953, 2.48591]
@attribute f17 real [-3.53228, 2.50386]
@attribute f18 real [-0.945881, 5.20394]
@attribute f19 real [-7.37687, 4.76302]
@attribute f20 real [-0.615952, 6.40925]
@attribute f21 real [-2.42377, 2.17324]
@attribute f22 real [-3.20692, 2.03018]
@attribute f23 real [-0.925672, 5.91291]
@attribute f24 real [-10.1453, 3.03094]
@attribute f25 real [-0.574974, 12.6856]
@attribute f26 real [-2.19253, 2.54906]
@attribute f27 real [-4.2775, 1.26792]
@attribute f28 real [-2.76777, 2.14381]
@attribute f29 real [-1.94254, 2.71259]
@attribute f30 real [-1.68345, 2.96449]
@attribute f31 real [-1.585, 3.02258]
@attribute f32 real [-1.53668, 3.0813]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32
@outputs clase
@data
-0.0603269, -0.36465, -0.662696, 0.0260657, 0.325392, 1.15577, 1.17321, 1.19531, -0.700076, -0.719535, -0.793405, 2.16953, -0.0564591, -1.22487, 0.117615, 0.165409, 0.889682, -0.12772, -1.26713, 0.0681124, -0.306852, -0.886554, -0.27392, -0.34592, -0.238559, -0.100345, -0.23744, -0.763201, -0.861188, -0.874121, -0.882776, -0.887593, 1
0.421689, -0.791496, -0.678138, -0.72833, 0.215702, -0.581821, -0.487443, -0.340313, -0.349568, -0.745641, -0.644466, 0.0499326, -0.724393, 0.155864, -0.541583, -0.78408, -0.516946, -0.709541, 0.155335, -0.568258, -0.790476, -1.52995, -0.753807, 0.379172, -0.549728, -0.960983, -0.120484, -0.65694, -0.811525, -0.836541, -0.855251, -0.871742, 0
-0.860368, 1.8683, 3.22285, 1.95987, -1.11464, -0.112039, -0.187297, -0.265005, 1.46656, 3.30185, 4.12443, 0.909801, 3.09775, -3.2848, 3.60618, 1.80226, -0.525132, 1.99495, -0.65643, 1.9284, 1.74768, -1.2859, 2.14154, -1.4139, 2.07216, 1.94735, 1.04421, 1.7186, 2.19127, 2.39905, 2.43909, 2.38732, 2
-0.895689, 1.96257, 2.92283, 1.73672, -1.37908, -0.43673, -0.497677, -0.579112, 2.11164, 1.77361, 3.19695, 0.56436, 2.36751, -0.898587, 1.94494, 1.84252, -0.779962, 1.7844, -0.113018, 1.27817, 1.75827, -1.45288, 1.98428, -0.650883, 1.40583, 1.96429, 1.26792, 2.14381, 2.5891, 2.6851, 2.66688, 2.6057, 2
0.854801, -1.24885, -0.778583, -0.792005, 0.444196, -0.299825, -0.288092, -0.358403, -0.763441, -0.758004, -0.768758, 0.160012, -0.924383, -0.190306, -0.562222, -1.49595, -0.104932, -0.799401, -0.11029, -0.483545, -1.50427, -1.2805, -0.78387, 0.179212, -0.471561, -1.45644, -0.317296, -0.94744, -1.03668, -1.03167, -1.03943, -1.05122, 0
-0.879797, 1.81287, 2.1928, 1.57229, -1.26982, -0.570677, -0.612534, -0.69257, 1.85802, 1.50856, 2.51852, 0.465475, 1.6764, -0.813694, 1.12013, 1.76625, -0.880617, 1.74288, -0.129299, 1.27851, 1.76067, -1.7627, 1.51619, -0.169417, 0.829585, 1.79539, 1.17976, 1.92955, 2.27919, 2.33714, 2.30214, 2.2529, 2
-0.65565, 0.740973, 0.256749, 0.067423, -0.72956, -0.0953977, -0.0777274, -3.99452E-5, 1.13482, 0.2006, 0.203298, 0.749899, -0.171156, -0.0247864, -0.265165, 0.449463, -0.219949, 0.212703, -0.760343, 0.037879, 0.738085, -1.08801, 0.211064, -0.575864, 0.0455752, 0.678977, 0.708731, 0.835981, 0.698097, 0.598291, 0.591566, 0.584249, 2
0.331718, -0.793255, -0.687013, -0.609915, 0.390856, 0.307042, 0.312149, 0.298076, -0.379232, -0.622398, -0.60211, 0.839509, -0.370017, 0.104233, -0.352727, -0.312738, 0.344341, -0.723483, -0.0375295, -0.486543, -0.976174, -0.545401, -0.707872, 0.140483, -0.412174, -1.05674, -0.300645, -0.828186, -0.920405, -0.924273, -0.942903, -0.951468, 0
-0.445396, 0.130798, -0.331688, -0.283335, -0.216481, -0.140683, -0.168098, -0.193734, -0.403718, -0.389396, -0.477968, 0.51004, 0.0513717, -0.281815, -0.0364202, 0.560652, -0.104972, -0.414743, -0.16457, -0.377583, 0.0733098, -1.21936, -0.45668, 0.092959, -0.371926, -0.114977, 0.222678, -0.0100446, -0.179651, -0.206157, -0.197891, -0.188007, 2
-0.173645, -0.208895, -0.412114, -0.561612, -0.158853, 0.113558, 0.187727, 0.234981, -0.602979, -0.448474, -0.281715, 0.608166, -0.502215, 0.117885, -0.395253, -0.241228, 0.172915, -0.570917, 0.0445554, -0.424387, -0.368688, -0.771777, -0.576984, 0.223917, -0.403888, -0.450303, 0.195493, -0.089361, -0.241098, -0.295728, -0.308131, -0.297017, 0
1.1197, -1.23225, -0.7289, -0.849514, 0.448754, -0.776754, -0.736276, -0.662786, -0.427326, -0.780342, -0.645296, -0.301625, -0.859818, 0.153186, -0.596953, -1.31187, -0.591155, -0.858889, 0.165409, -0.60182, -1.59025, -1.732, -0.826317, 0.384039, -0.558493, -1.39878, -0.362841, -0.854561, -0.942063, -0.935177, -0.961902, -1.00202, 0
-0.604238, 0.570357, -0.0463544, 0.103233, -0.552747, -0.27379, -0.204258, -0.173195, -0.340683, -0.0970468, -0.0709111, 0.554806, -0.337455, 0.166249, -0.460478, 0.298586, -0.357394, 0.257658, -0.807417, 0.00919475, 0.657529, -1.34535, 0.257139, -0.543232, -0.019719, 0.618111, 0.54729, 0.490101, 0.302734, 0.227025, 0.212943, 0.241028, 2
-0.371196, -0.0174904, -0.354855, -0.591765, -0.358373, -0.215971, -0.246235, -0.263176, -0.270382, -0.643067, -0.522973, 0.47471, -0.599871, 0.0784969, -0.553596, -0.195423, -0.140703, -0.554116, 0.0692419, -0.501915, -0.122613, -1.29233, -0.574355, 0.283195, -0.472311, -0.303653, 0.367648, 0.190375, -0.0312429, -0.105472, -0.132177, -0.121453, 2
-0.743672, 0.922814, 0.553207, -0.154985, -0.995734, 0.0937985, 0.0798661, 0.0248464, 0.795453, 1.70051, -0.0881017, 0.924053, -0.162951, -0.00177905, -0.405128, 0.576394, -0.0339013, -0.00705626, 0.0355304, -0.31084, 0.743312, -0.852322, -0.0191697, 0.226336, -0.296467, 0.714028, 0.938165, 1.31018, 1.25683, 1.09449, 1.04175, 1.05231, 2
-0.787458, 1.12269, 0.886564, 0.00772579, -1.08135, 0.021788, 0.0123232, -0.0753886, 1.36287, 1.19036, 0.0794663, 0.868204, -0.0291141, -0.0395583, -0.340333, 0.72824, -0.108021, 0.213942, -0.0526712, -0.184179, 0.958314, -0.937506, 0.165109, 0.100445, -0.193953, 0.909361, 1.00902, 1.52155, 1.54132, 1.38861, 1.32292, 1.30699, 2
-0.884315, 1.9417, 2.85628, 2.99191, -1.07498, -0.0480536, -0.0886015, -0.174644, 2.20112, 1.58741, 2.90019, 0.967089, 3.71945, -3.84519, 4.16433, 1.87217, -0.499446, 2.72874, -1.53261, 2.60761, 1.93038, -1.43058, 2.55712, -1.94321, 2.33057, 2.06818, 0.985379, 1.61933, 1.99817, 2.19107, 2.28862, 2.30093, 2
-0.67414, 0.650253, 0.174504, -0.335416, -0.852422, 0.142842, 0.137065, 0.0848735, 0.193284, 0.921354, -0.14578, 0.931899, -0.331678, 0.0536306, -0.478438, 0.354016, 0.0425967, -0.240978, 0.102963, -0.427036, 0.488922, -0.771627, -0.27286, 0.314418, -0.415772, 0.385198, 0.789827, 1.03015, 0.871482, 0.71048, 0.663576, 0.679827, 2
-0.859768, 1.67831, 2.24305, 0.907692, -1.21442, -0.47313, -0.518456, -0.54676, 2.48694, 2.59616, 2.20171, 0.628825, 1.43758, -0.756215, 0.821009, 1.60851, -0.771826, 1.10733, -0.0861928, 0.632593, 1.49819, -1.4285, 1.20335, -0.242987, 0.643127, 1.63773, 1.1344, 1.84909, 2.2265, 2.26826, 2.18728, 2.11002, 2
-0.239549, -0.261487, -0.567219, -0.626466, -0.0119634, -0.843417, -0.846466, -0.87489, -0.688802, -0.667294, -0.671262, -0.439299, -0.617072, 0.0374594, -0.592875, -0.124142, -0.613323, -0.650413, 0.174354, -0.572006, -0.342062, -1.97325, -0.682086, 0.385938, -0.543222, -0.561902, 0.0703913, -0.302864, -0.468243, -0.4934, -0.467693, -0.420839, 0
-0.639209, 0.743082, 0.0736198, 0.584499, -0.363511, -0.535856, -0.448434, -0.396223, -0.0121534, -0.495558, -0.205947, 0.32757, 0.0340812, 0.429294, -0.166559, 0.566149, -0.666084, 0.735426, -0.732188, 0.337025, 0.988718, -1.66686, 0.405907, -0.357954, -0.0333815, 0.821639, 0.356994, 0.295508, 0.2367, 0.255839, 0.280596, 0.281526, 0
-0.895409, 1.98321, 2.9515, 2.3401, -1.26054, -0.283434, -0.349119, -0.438479, 1.71441, 2.78968, 3.35254, 0.570147, 2.60613, -1.41517, 2.03256, 1.97037, -0.590526, 2.45234, -0.717866, 2.06934, 1.88549, -1.75532, 1.96041, -0.751737, 1.30082, 1.92337, 1.14877, 1.98012, 2.48048, 2.63915, 2.6314, 2.58131, 2
-0.881986, 1.9049, 2.72454, 2.61019, -1.09617, 0.191415, 0.134766, 0.0480337, 1.50689, 2.59891, 3.09686, 1.17849, 2.71448, -2.63248, 2.44392, 1.68512, -0.232922, 2.63676, -1.67126, 2.55813, 1.90344, -1.34356, 2.13687, -1.54569, 1.77956, 1.95622, 1.00923, 1.6378, 2.00755, 2.17537, 2.22731, 2.22031, 2
-0.876099, 1.79726, 2.65608, 1.10676, -1.2843, -0.0495628, -0.107331, -0.176903, 4.07147, 3.48691, 1.7269, 0.898377, 1.67064, -0.963392, 1.08697, 1.61274, -0.31001, 1.28704, -0.758524, 0.853452, 1.54585, -1.14205, 1.3775, -0.915538, 0.949939, 1.66811, 1.19028, 1.97478, 2.38264, 2.45689, 2.37747, 2.30167, 2
-0.890611, 1.91272, 2.43652, 2.69397, -1.18549, 0.158623, 0.122972, 0.0232373, 1.32296, 1.81444, 2.91443, 1.15722, 2.25582, -1.41927, 1.51449, 1.60152, -0.285723, 2.77395, -1.0837, 2.45926, 1.95224, -1.28011, 2.1311, -1.06933, 1.43476, 1.94682, 1.08882, 1.76472, 2.0976, 2.2199, 2.24947, 2.22236, 2
-0.877569, 1.84744, 2.37432, 2.60702, -1.09292, 0.443447, 0.429794, 0.38231, 3.21677, 2.03076, 2.63318, 1.46618, 2.49217, -2.2496, 2.10752, 1.2025, -0.0480136, 2.61189, -0.734097, 2.46584, 1.87481, -0.956815, 2.06578, -0.950888, 1.60273, 1.95459, 1.01677, 1.61537, 1.92751, 2.02903, 2.05036, 2.0517, 2
-0.756825, 1.0533, 0.80141, 0.0616462, -0.898667, -0.213523, -0.247244, -0.285543, 2.04384, 1.62719, 0.139913, 0.755735, 0.328859, 0.0448953, -0.102344, 0.967919, -0.371036, 0.142302, -0.113998, -0.18291, 0.862407, -1.12336, 0.168507, 0.0124932, -0.141612, 0.870432, 0.844317, 1.22831, 1.27321, 1.1801, 1.10024, 1.05052, 2
-0.370797, 0.0142521, -0.362731, -0.551857, -0.244486, -0.877798, -0.83861, -0.805238, -0.246595, -0.578972, -0.372336, -0.16424, -0.558953, 0.107081, -0.570987, -0.108561, -0.817591, -0.518066, 0.025276, -0.529929, -0.0784869, -2.00777, -0.513708, 0.281426, -0.497397, -0.137385, 0.275449, 0.00593667, -0.160962, -0.215032, -0.2367, -0.238019, 0
-0.555465, 0.428235, -0.113378, -0.194973, -0.338055, -0.615062, -0.540224, -0.558643, -0.160562, -0.517116, -0.108361, -0.00802564, -0.206997, 0.333677, -0.403749, 0.403249, -0.555685, -0.129689, 0.111809, -0.357854, 0.568798, -1.68294, -0.279507, 0.34603, -0.425706, 0.353826, 0.338954, 0.195173, 0.103823, 0.0618058, 0.0923194, 0.107841, 0
-0.752027, 0.942643, 0.358114, 0.345341, -0.842988, 0.742632, 0.753606, 0.767709, 0.542902, 0.16456, 0.110559, 1.67183, 0.435651, -0.958714, 0.321194, 0.942153, 0.476019, 0.313218, -0.47367, 0.0264853, 0.9486, -0.811415, 0.205697, -0.446675, 0.0756787, 0.846245, 0.797153, 1.02606, 0.882016, 0.807547, 0.82136, 0.82003, 2
0.579492, -0.80266, -0.580151, -0.706302, 0.365759, -1.17793, -1.20399, -1.22894, -0.720305, -0.676219, -0.703894, -0.726062, -0.776574, 0.14553, -0.557314, -1.05748, -0.969868, -0.684255, 0.171756, -0.52929, -0.926602, -2.35333, -0.707552, 0.384399, -0.513178, -0.895449, -0.305323, -0.743072, -0.785559, -0.804339, -0.824438, -0.821599, 0
-0.232363, -0.190086, -0.440558, -0.609446, -0.0758284, -0.680047, -0.786578, -0.937236, -0.665715, -0.539314, -0.25438, -0.155015, -0.639679, 0.122593, -0.588657, -0.30965, -0.503264, -0.591925, 0.168837, -0.548789, -0.268872, -1.75861, -0.599032, 0.372466, -0.51063, -0.390856, 0.0761082, -0.235031, -0.40022, -0.421219, -0.389956, -0.365489, 0
0.835841, -1.06961, -0.799771, -0.644636, 0.466764, -0.589976, -0.595753, -0.670182, -0.413883, -0.789727, -0.657959, -0.0193494, -0.635541, 0.34615, -0.530579, -0.951098, -0.403249, -0.715068, 0.308561, -0.553157, -1.1476, -1.84533, -0.796173, 0.412544, -0.559243, -1.1718, -0.381001, -0.916797, -0.992216, -1.00092, -1.0076, -1.01883, 0
-0.886434, 1.93245, 2.89022, 2.1405, -1.19067, 0.0657739, 0.00251854, -0.0817151, 1.87146, 3.48538, 3.50054, 1.13938, 2.25565, -1.78572, 1.66208, 1.64011, -0.370786, 2.29104, -1.03156, 1.97522, 1.84664, -1.29092, 2.06902, -1.06192, 1.57079, 1.95967, 1.09206, 1.84224, 2.28686, 2.42531, 2.42094, 2.37717, 2
1.74828, -1.64183, -0.824357, -0.934557, 0.566159, -0.577873, -0.597952, -0.603559, -0.629215, -0.730609, -0.729929, 0.0205787, -1.04443, -0.0148319, -0.67455, -1.88758, -0.447065, -0.91126, 0.100265, -0.611565, -1.98472, -1.41478, -0.882306, 0.348149, -0.568388, -1.79266, -0.476499, -1.05002, -1.12524, -1.13795, -1.16056, -1.19184, 0
-0.830195, 1.40355, 1.5061, 0.298126, -1.22799, -0.303803, -0.341263, -0.398062, 0.992465, 3.39058, 0.755126, 0.729959, 0.416122, -0.21855, -0.0323024, 1.0944, -0.554626, 0.533247, -0.202339, 0.0919593, 1.17324, -1.13525, 0.604538, -0.177223, 0.123842, 1.24611, 1.14682, 1.8109, 1.98556, 1.91391, 1.81495, 1.76483, 2
1.38304, -1.54097, -0.829455, -0.931009, 0.429944, 0.191415, 0.159352, 0.154026, -0.457979, -0.806188, -0.726052, 0.763531, -1.07285, -0.0293139, -0.681136, -2.04017, 0.252671, -0.908202, 0.117475, -0.611884, -1.86468, -0.683215, -0.89255, 0.375994, -0.572286, -1.79979, -0.312269, -0.924193, -1.04786, -1.05461, -1.06994, -1.1017, 0
-0.866774, 1.70622, 1.67287, 2.12831, -1.01996, -0.257509, -0.296927, -0.373135, 0.793195, 0.872101, 2.09595, 0.842428, 1.88071, -1.2108, 1.13606, 1.73144, -0.636001, 2.1457, -0.608916, 1.65121, 1.81134, -1.705, 1.51152, -0.502204, 0.771547, 1.74392, 0.938595, 1.48521, 1.72233, 1.791, 1.81853, 1.82723, 2
