@relation oocytes_trisopterus_states_5b
@attribute f1 real [-0.914278, 7.79999]
@attribute f2 real [-2.78541, 2.24443]
@attribute f3 real [-1.0046, 4.31518]
@attribute f4 real [-0.960643, 5.4067]
@attribute f5 real [-1.37908, 4.14311]
@attribute f6 real [-2.96459, 2.91612]
@attribute f7 real [-2.97156, 2.92341]
@attribute f8 real [-2.94081, 2.90985]
@attribute f9 real [-1.17177, 5.66245]
@attribute f10 real [-0.98409, 4.41643]
@attribute f11 real [-0.877688, 4.62526]
@attribute f12 real [-3.39624, 3.39081]
@attribute f13 real [-1.11036, 4.88541]
@attribute f14 real [-6.51233, 3.55649]
@attribute f15 real [-0.686613, 7.41656]
@attribute f16 real [-3.23953, 2.48591]
@attribute f17 real [-3.53228, 2.50386]
@attribute f18 real [-0.945881, 5.20394]
@attribute f19 real [-7.37687, 4.76302]
@attribute f20 real [-0.615952, 6.40925]
@attribute f21 real [-2.42377, 2.17324]
@attribute f22 real [-3.20692, 2.03018]
@attribute f23 real [-0.925672, 5.91291]
@attribute f24 real [-10.1453, 3.03094]
@attribute f25 real [-0.574974, 12.6856]
@attribute f26 real [-2.19253, 2.54906]
@attribute f27 real [-4.2775, 1.26792]
@attribute f28 real [-2.76777, 2.14381]
@attribute f29 real [-1.94254, 2.71259]
@attribute f30 real [-1.68345, 2.96449]
@attribute f31 real [-1.585, 3.02258]
@attribute f32 real [-1.53668, 3.0813]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32
@outputs clase
@data
0.854801, -1.24885, -0.778583, -0.792005, 0.444196, -0.299825, -0.288092, -0.358403, -0.763441, -0.758004, -0.768758, 0.160012, -0.924383, -0.190306, -0.562222, -1.49595, -0.104932, -0.799401, -0.11029, -0.483545, -1.50427, -1.2805, -0.78387, 0.179212, -0.471561, -1.45644, -0.317296, -0.94744, -1.03668, -1.03167, -1.03943, -1.05122, 0
0.331718, -0.793255, -0.687013, -0.609915, 0.390856, 0.307042, 0.312149, 0.298076, -0.379232, -0.622398, -0.60211, 0.839509, -0.370017, 0.104233, -0.352727, -0.312738, 0.344341, -0.723483, -0.0375295, -0.486543, -0.976174, -0.545401, -0.707872, 0.140483, -0.412174, -1.05674, -0.300645, -0.828186, -0.920405, -0.924273, -0.942903, -0.951468, 0
-0.445396, 0.130798, -0.331688, -0.283335, -0.216481, -0.140683, -0.168098, -0.193734, -0.403718, -0.389396, -0.477968, 0.51004, 0.0513717, -0.281815, -0.0364202, 0.560652, -0.104972, -0.414743, -0.16457, -0.377583, 0.0733098, -1.21936, -0.45668, 0.092959, -0.371926, -0.114977, 0.222678, -0.0100446, -0.179651, -0.206157, -0.197891, -0.188007, 2
-0.604238, 0.570357, -0.0463544, 0.103233, -0.552747, -0.27379, -0.204258, -0.173195, -0.340683, -0.0970468, -0.0709111, 0.554806, -0.337455, 0.166249, -0.460478, 0.298586, -0.357394, 0.257658, -0.807417, 0.00919475, 0.657529, -1.34535, 0.257139, -0.543232, -0.019719, 0.618111, 0.54729, 0.490101, 0.302734, 0.227025, 0.212943, 0.241028, 2
-0.371196, -0.0174904, -0.354855, -0.591765, -0.358373, -0.215971, -0.246235, -0.263176, -0.270382, -0.643067, -0.522973, 0.47471, -0.599871, 0.0784969, -0.553596, -0.195423, -0.140703, -0.554116, 0.0692419, -0.501915, -0.122613, -1.29233, -0.574355, 0.283195, -0.472311, -0.303653, 0.367648, 0.190375, -0.0312429, -0.105472, -0.132177, -0.121453, 2
-0.743672, 0.922814, 0.553207, -0.154985, -0.995734, 0.0937985, 0.0798661, 0.0248464, 0.795453, 1.70051, -0.0881017, 0.924053, -0.162951, -0.00177905, -0.405128, 0.576394, -0.0339013, -0.00705626, 0.0355304, -0.31084, 0.743312, -0.852322, -0.0191697, 0.226336, -0.296467, 0.714028, 0.938165, 1.31018, 1.25683, 1.09449, 1.04175, 1.05231, 2
-0.884315, 1.9417, 2.85628, 2.99191, -1.07498, -0.0480536, -0.0886015, -0.174644, 2.20112, 1.58741, 2.90019, 0.967089, 3.71945, -3.84519, 4.16433, 1.87217, -0.499446, 2.72874, -1.53261, 2.60761, 1.93038, -1.43058, 2.55712, -1.94321, 2.33057, 2.06818, 0.985379, 1.61933, 1.99817, 2.19107, 2.28862, 2.30093, 2
-0.639209, 0.743082, 0.0736198, 0.584499, -0.363511, -0.535856, -0.448434, -0.396223, -0.0121534, -0.495558, -0.205947, 0.32757, 0.0340812, 0.429294, -0.166559, 0.566149, -0.666084, 0.735426, -0.732188, 0.337025, 0.988718, -1.66686, 0.405907, -0.357954, -0.0333815, 0.821639, 0.356994, 0.295508, 0.2367, 0.255839, 0.280596, 0.281526, 0
0.579492, -0.80266, -0.580151, -0.706302, 0.365759, -1.17793, -1.20399, -1.22894, -0.720305, -0.676219, -0.703894, -0.726062, -0.776574, 0.14553, -0.557314, -1.05748, -0.969868, -0.684255, 0.171756, -0.52929, -0.926602, -2.35333, -0.707552, 0.384399, -0.513178, -0.895449, -0.305323, -0.743072, -0.785559, -0.804339, -0.824438, -0.821599, 0
-0.232363, -0.190086, -0.440558, -0.609446, -0.0758284, -0.680047, -0.786578, -0.937236, -0.665715, -0.539314, -0.25438, -0.155015, -0.639679, 0.122593, -0.588657, -0.30965, -0.503264, -0.591925, 0.168837, -0.548789, -0.268872, -1.75861, -0.599032, 0.372466, -0.51063, -0.390856, 0.0761082, -0.235031, -0.40022, -0.421219, -0.389956, -0.365489, 0
