@relation ozone
@attribute f1 real [-1.10767, 4.63054]
@attribute f2 real [-1.08453, 4.86064]
@attribute f3 real [-1.0794, 4.52557]
@attribute f4 real [-1.0948, 4.81903]
@attribute f5 real [-1.097, 4.76615]
@attribute f6 real [-1.13047, 4.99693]
@attribute f7 real [-1.19725, 4.91186]
@attribute f8 real [-1.42703, 4.47009]
@attribute f9 real [-1.6326, 5.04304]
@attribute f10 real [-1.72801, 4.08625]
@attribute f11 real [-1.70253, 3.92189]
@attribute f12 real [-1.64702, 3.78195]
@attribute f13 real [-1.6394, 3.82479]
@attribute f14 real [-1.64319, 4.08318]
@attribute f15 real [-1.68019, 3.7468]
@attribute f16 real [-1.74033, 3.66114]
@attribute f17 real [-1.803, 3.72759]
@attribute f18 real [-1.75443, 3.6937]
@attribute f19 real [-1.5993, 3.67605]
@attribute f20 real [-1.49314, 3.74553]
@attribute f21 real [-1.4039, 5.20302]
@attribute f22 real [-1.32458, 5.85423]
@attribute f23 real [-1.22742, 4.70895]
@attribute f24 real [-1.1532, 5.18435]
@attribute f25 real [-2.18573, 3.44908]
@attribute f26 real [-1.82946, 3.83581]
@attribute f27 real [-2.2821, 1.51372]
@attribute f28 real [-2.29527, 1.43894]
@attribute f29 real [-2.3156, 1.44476]
@attribute f30 real [-2.31827, 1.41061]
@attribute f31 real [-2.34032, 1.40844]
@attribute f32 real [-2.36743, 1.43072]
@attribute f33 real [-2.28225, 1.44607]
@attribute f34 real [-2.22083, 1.4514]
@attribute f35 real [-2.20786, 1.42393]
@attribute f36 real [-2.24714, 1.52016]
@attribute f37 real [-2.32605, 1.64849]
@attribute f38 real [-2.28458, 1.7575]
@attribute f39 real [-2.30902, 1.88507]
@attribute f40 real [-2.34131, 1.93727]
@attribute f41 real [-2.36636, 1.94334]
@attribute f42 real [-2.39847, 1.92639]
@attribute f43 real [-2.40357, 1.96098]
@attribute f44 real [-2.44373, 1.94672]
@attribute f45 real [-2.34659, 1.88293]
@attribute f46 real [-2.27726, 1.86564]
@attribute f47 real [-2.23409, 1.81616]
@attribute f48 real [-2.24253, 1.76104]
@attribute f49 real [-2.31153, 1.73284]
@attribute f50 real [-2.25365, 1.63236]
@attribute f51 real [-2.51499, 1.87734]
@attribute f52 real [-2.26023, 1.65254]
@attribute f53 real [-3.69366, 2.09883]
@attribute f54 real [-1.992, 1.60803]
@attribute f55 real [-3.87178, 3.61367]
@attribute f56 real [-3.31482, 3.47693]
@attribute f57 real [-5.02963, 0.572729]
@attribute f58 real [-3.92558, 2.64829]
@attribute f59 real [-1.40971, 2.2247]
@attribute f60 real [-2.95448, 3.50045]
@attribute f61 real [-4.10663, 4.1051]
@attribute f62 real [-4.91939, 0.370521]
@attribute f63 real [-3.37289, 2.29113]
@attribute f64 real [-1.15107, 2.82288]
@attribute f65 real [-2.51722, 3.49801]
@attribute f66 real [-3.79726, 4.20945]
@attribute f67 real [-4.64155, 0.336386]
@attribute f68 real [-3.28548, 1.58256]
@attribute f69 real [-3.35262, 1.73373]
@attribute f70 real [-5.0662, 0.293393]
@attribute f71 real [-3.88885, 4.04006]
@attribute f72 real [-0.282034, 15.3975]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64, f65, f66, f67, f68, f69, f70, f71, f72
@outputs clase
@data
1.26412, 1.61782, 1.52573, 0.930481, 0.205926, 0.277174, 0.123638, -0.168976, 0.0363093, -0.496758, -0.0863169, 0.758998, 0.424849, -0.0326474, 0.347477, -0.223067, -0.404456, 1.20505, 1.42523, 0.867953, 3.30448, 3.92444, 2.70446, 1.90104, 1.8056, 1.00318, 0.196559, 0.298264, 0.342997, 0.355492, 0.378433, 0.391605, 0.359129, 0.234763, 0.0824594, -0.0190487, -0.127368, -0.315629, -0.378082, -0.383319, -0.377265, -0.377411, -0.364659, -0.34065, -0.365391, -0.337787, -0.407963, -0.377364, -0.25366, -0.220967, -0.44553, -0.105876, 0.247431, 0.456023, -0.101799, 1.19277, 0.0865315, -0.348991, 0.807281, 0.594366, 1.64759, 0.145834, -0.403849, -0.793411, 0.307669, 1.49276, 0.173654, 0.88748, 0.786238, 0.174291, 0.00352447, 4.15228, 0
1.72318, 1.38619, 1.92044, 3.03678, 3.78896, 4.66572, 4.00375, 3.60518, 2.93876, 1.96575, 2.24103, 2.30132, 2.06411, 1.81649, 2.01732, 2.02249, 1.69335, 1.47409, 2.26929, 3.00769, 2.39318, 1.06835, 0.468684, 0.0684976, 1.92299, 2.77357, -0.19859, -0.170012, -0.148005, -0.0881377, -0.196457, -0.504187, -0.692749, -0.903739, -1.11723, -1.21382, -1.26899, -1.33657, -1.40584, -1.45037, -1.50649, -1.53978, -1.57526, -1.54396, -1.50068, -1.4395, -1.37955, -1.36341, -1.35992, -1.42862, -0.846752, -1.13065, -0.0825205, 1.53603, -0.328565, 0.997082, -0.208599, -0.27343, 0.516528, 1.24926, 2.40336, 0.00988199, -0.403849, 2.18705, -0.230005, 3.52531, 0.111065, 0.828324, 0.947826, 0.132864, -2.30307, -0.14536, 0
0.57554, 1.15456, 1.60467, 2.30767, 2.73034, 2.76126, 3.1782, 2.42575, 2.14059, 2.37617, 2.11173, 2.11624, 2.4891, 2.11474, 2.07696, 2.14387, 1.82049, 0.66696, -0.544233, -0.97665, -1.4039, -1.32458, -0.610655, -0.771418, 1.8056, 1.62282, -1.40799, -1.34671, -1.28569, -1.26316, -1.25042, -1.20888, -1.17194, -1.17162, -1.24811, -1.2784, -1.23728, -1.15946, -1.10478, -1.01526, -0.926337, -0.859115, -0.82129, -0.839318, -0.966429, -1.11817, -1.20397, -1.36341, -1.44318, -1.38079, -0.941778, -1.21217, -1.77811, 0.636024, 3.08601, 0.502799, -0.312662, -2.04913, -1.11896, 1.99662, 1.18378, -0.14398, -2.29947, -0.356277, 1.06797, 2.47639, -0.0391496, -0.988256, 0.474079, 0.14581, 0.724335, -0.282034, 0
-0.419082, -0.621273, -0.684683, -0.689747, -0.6084, -0.799262, -0.867029, -0.955258, -0.689304, -0.701968, 0.107628, 0.38884, 0.242709, -0.0326474, 0.0492901, 0.262459, -0.0866066, -0.341954, -0.192542, -0.165025, -0.0369527, 0.064864, 0.0061105, 0.0684976, -0.248764, -0.324619, -0.65361, -0.662303, -0.627032, -0.651667, -0.627624, -0.599738, -0.657687, -0.635856, -0.517386, -0.277378, -0.0639446, -0.0343506, -0.0874028, -0.0621667, -0.0561091, -0.0632563, -0.18413, -0.275606, -0.254088, -0.200073, -0.162138, -0.199164, -0.170393, -0.185097, -0.160451, -0.33878, -1.09071, -1.16399, 0.720228, -0.126442, 0.113827, -2.18766, -0.828204, 0.761121, -0.140908, 0.0847776, -1.68282, -0.83315, 0.993413, -0.233204, 0.0985469, -0.879804, -0.370587, 0.205361, 1.73347, -0.282034, 0
1.72318, 2.15829, 1.36784, 1.01149, 0.775954, 0.77399, 0.206194, -0.640745, -0.689304, -0.428355, -0.215614, -0.0430099, 0.424849, 0.3849, 0.168565, 0.0196958, -0.658736, -1.61991, -1.31795, -0.829082, -1.10014, -0.861434, -0.841942, -0.313282, 0.2795, -0.0590597, 0.364198, 0.418335, 0.450778, 0.487381, 0.498202, 0.475213, 0.359129, 0.15663, 0.0388343, 0.0455336, 0.0100496, 0.00732034, 0.0579369, 0.103589, 0.130368, 0.135708, 0.123831, 0.114656, 0.0798214, 0.167165, 0.200746, 0.157237, 0.198358, 0.185568, 0.0401605, 0.196898, -0.394142, 1.46403, 1.91511, 1.46269, 0.0916493, -0.550489, 0.589216, 0.858142, 4.1051, 0.122225, -0.746431, 0.398774, 1.26225, 0.604228, 0.148618, 0.705083, 0.903757, 0.184647, -1.4381, 0.0444652, 0
-0.342572, -0.621273, -0.842569, -0.203678, -0.0383722, -0.13684, -0.371696, -0.404861, 0.544239, 0.118869, 0.236925, 1.00577, 0.910554, 0.862098, 0.407114, 0.0803865, -0.150177, 0.330655, 0.510839, 0.130111, 0.190872, 0.605205, -0.0709852, -0.0078584, 0.338196, 0.2065, 0.208534, 0.238229, 0.235216, 0.187632, 0.174826, 0.200503, 0.218879, 0.145468, -0.0266034, -0.180504, -0.307068, -0.596908, -0.782957, -0.953106, -1.07137, -1.09997, -1.08677, -1.03445, -0.955298, -0.854215, -0.782552, -0.745645, -0.658097, -0.579675, -0.50888, -0.466876, -0.137512, 1.03203, 1.26534, 0.386398, 0.149652, -0.751987, -0.937237, 0.454899, 0.15773, 0.153975, -1.08901, 0.756429, 1.33786, 1.18901, 0.156964, -0.13296, 1.17552, 0.189826, 0.291849, 0.0824302, 0
-1.10767, -0.930113, -1.00046, -0.932781, -0.526968, -0.882065, -0.949585, -1.42703, -0.834427, 0.0504662, 1.46525, 1.00577, 1.63911, 1.45859, 1.42095, 1.2942, 1.75692, 1.27231, 0.792191, 0.0563273, -0.112894, -0.0123275, -0.302272, -0.618706, 1.10124, 0.295019, -1.49181, -1.5028, -1.52521, -1.56291, -1.50194, -1.50747, -1.4875, -1.48415, -1.16086, -0.621817, -0.444486, -0.3573, -0.315794, -0.279722, -0.211507, -0.178446, -0.215988, -0.286447, -0.30974, -0.326311, -0.349433, -0.353604, -0.372612, -0.460106, -0.276594, -0.781296, -1.67729, -0.875989, 1.5924, -2.50001, -0.0942997, -2.02394, -0.973581, 1.68585, -1.88936, -0.0129123, -2.66489, 0.279555, 1.83458, -1.11322, 0.0192671, -0.958678, 0.0847982, 0.187236, 0.868497, -0.282034, 0
0.958087, 0.459668, 0.973124, 1.25453, 1.59028, 2.51285, 1.77475, 1.08907, 1.12473, 0.734497, 0.236925, 0.203762, -0.364423, -0.509845, -1.14346, -0.829974, -0.468026, -0.409215, -0.614571, -0.460162, 0.190872, -0.166711, -0.379368, -0.389638, 0.396892, 0.295019, -0.485971, -0.626281, -0.722837, -0.783557, -0.891115, -1.00583, -1.13688, -1.26092, -1.32445, -1.29993, -1.18443, -1.03445, -0.886771, -0.797709, -0.71914, -0.66015, -0.662, -0.730912, -0.821735, -0.865691, -0.911317, -0.935725, -0.955478, -0.962297, -0.762284, -0.955973, -0.375811, -1.09199, 1.56188, -1.44565, 0.0524124, -0.676426, -0.61014, 2.15277, -0.938391, 0.103502, -1.13469, -0.0383605, 1.11628, -0.861988, 0.140273, -0.465712, -0.150239, 0.189826, -0.428962, -0.282034, 0
1.49365, 1.61782, 1.92044, 1.49756, 1.42741, 2.18164, 1.60964, 0.85319, 0.253993, -0.291549, -0.991395, -1.33856, -0.910842, -0.569494, -0.725995, -0.587211, -0.213747, -0.610997, -0.26288, -0.386377, -0.720428, 0.219247, 0.160302, -0.389638, 0.162108, 0.11798, -1.14455, -1.11857, -1.10606, -1.11928, -1.07077, -1.06555, -1.06675, -1.10465, -1.17176, -1.24611, -1.22671, -1.15946, -1.06326, -0.994545, -0.884897, -0.838172, -0.778813, -0.87184, -1.03321, -1.06079, -1.08691, -1.11393, -1.13391, -1.17752, -0.899544, -1.11901, -0.999053, -0.911989, 0.855415, -1.33263, -0.0345913, -1.65873, -0.392075, 0.224474, 0.0843219, 0.0261637, -1.70566, 0.120597, 0.902051, 1.32669, 0.0693386, -0.874874, -0.0621002, 0.187236, 1.58931, -0.282034, 0
0.422521, 0.691298, 1.05207, 0.768458, 0.613089, 0.442779, 0.288749, -0.090348, 0.108871, 0.460885, -0.0216684, 0.203762, -0.0608568, -0.390545, -0.248896, -0.46583, -0.658736, -0.947302, -1.52897, -0.902866, -1.10014, -0.0123275, -0.225176, -0.847774, -0.30746, -0.14758, -0.905069, -0.974487, -0.974326, -0.999376, -1.07077, -1.18499, -1.23038, -1.28324, -1.21539, -1.12771, -1.07872, -0.992781, -0.87639, -0.77699, -0.6777, -0.59732, -0.555807, -0.52494, -0.732692, -0.819787, -0.969847, -0.935725, -0.943583, -1.046, -0.677816, -0.979263, -2.06223, 0.456023, 1.32639, -1.94837, 0.0199992, -2.18766, -0.537451, 1.61612, -1.57404, 0.0277918, -2.27663, -0.276798, 0.740328, -2.87183, 0.0443028, -0.847761, 0.16192, 0.205361, 0.436011, -0.282034, 0
-0.954647, -0.852903, -1.00046, -0.446713, -0.6084, -1.04767, -0.784474, -0.640745, -0.616743, -0.838774, -1.24999, -1.0301, -1.43643E-4, -0.092297, -0.547083, -0.526521, -0.722306, -0.274693, -0.333219, -0.460162, -0.112894, -0.398285, -0.68775, -0.618706, -0.60094, -0.767218, -0.713481, -0.770366, -0.794691, -0.735597, -0.699485, -0.755009, -0.704437, -0.635856, -0.648262, -0.578762, -0.381062, -0.138528, -0.0458772, -0.124325, -0.0457492, 0.0205183, -0.0036012, -0.112997, -0.165046, -0.154168, -0.162138, -0.222924, -0.265555, -0.280752, -0.0759827, -0.397005, -0.870739, -1.01999, 1.07128, -0.440219, 0.100179, -0.525302, -1.08261, 0.506441, 0.0909954, 0.121411, -1.04334, -0.594714, 0.612211, 0.541776, 0.148618, -1.44179, -0.532175, 0.202771, -1.00561, -0.282034, 0
-0.113044, -0.775693, -0.447853, -0.446713, -0.6084, -0.71646, -0.371696, -1.3484, -1.05211, -1.04398, -1.57323, -1.27687, -0.789415, -0.569494, -0.845269, -0.526521, 0.231243, 0.128873, -0.614571, -0.386377, 0.038989, -0.089519, -0.0709852, -0.313282, -0.30746, -0.767218, -0.354255, -0.338111, -0.315665, -0.327937, -0.304248, -0.289197, -0.271998, -0.323326, -0.386511, -0.438834, -0.444486, -0.263541, -0.0770214, -0.0310874, 0.0164099, -0.0737281, -0.0566979, -0.188881, -0.231828, -0.188597, -0.18555, -0.258564, -0.289346, -0.32858, -0.0865412, -0.268909, -1.03571, 0.996027, 0.399703, -0.841718, 0.0575302, -1.33129, -0.828204, 0.14716, -1.00846, 0.0668678, -2.0254, -0.356277, 0.334973, -1.08341, 0.0776838, -0.0023239, 1.04698, 0.189826, -0.717286, -0.282034, 0
-0.495591, -0.544063, -0.447853, -0.28469, 0.287358, 0.111568, -0.867029, -0.562117, -0.47162, -0.701968, -0.538856, -0.166396, 0.667702, 0.742798, 1.48059, 1.2942, 1.24836, 1.07053, 1.42523, 1.16309, 1.25406, 1.22274, 1.23964, 1.90104, 0.925156, 0.560579, -0.438074, -0.350118, -0.339616, -0.291967, -0.256341, -0.241421, -0.201873, -0.267517, -0.331979, -0.374251, -0.381062, -0.367718, -0.253505, 0.0828699, 0.171808, 0.177596, 0.102592, 0.0821339, 0.0909518, 0.0983078, 0.13051, 0.180997, 0.210254, 0.233396, 0.0823944, -0.117522, -1.03571, 0.312022, 1.72759, 0.76428, 0.0694719, -1.26833, -0.937237, 1.78136, -1.31211, 0.0807072, -1.52295, -0.435756, 1.84613, -1.52768, 0.106892, -0.603743, 0.35656, 0.192415, -0.2848, -0.282034, 0
-1.03116, -1.00732, -0.36891, -0.770758, -0.445535, -0.633657, -0.867029, -0.168976, -0.47162, 0.392482, 1.2713, 1.06746, 1.15341, 0.802448, 0.824575, 0.808675, 0.612663, -0.0729102, 0.299825, -0.60773, -0.644486, -0.398285, 0.468684, -0.16057, 0.514284, 0.0294601, -1.06073, -1.10656, -1.15396, -1.13127, -1.13065, -1.02972, -1.12519, -0.981872, -0.768231, -0.546471, -0.402204, -0.3573, -0.357319, -0.404039, -0.439424, -0.555432, -0.683239, -0.687549, -0.732692, -0.65912, -0.595257, -0.614965, -0.574831, -0.543804, -0.529997, -0.758005, -1.31067, -1.23599, 0.715867, -1.3748, 0.0472945, -1.3187, -1.04627, 1.66766, -0.626405, 0.0473298, -1.40876, -0.435756, 1.72011, 0.55455, 0.0943743, -1.3284, -0.759867, 0.197593, 1.73347, -0.282034, 0
-0.572101, 0.845718, 1.36784, 0.28239, 0.368791, -0.219643, -0.784474, -1.26977, -0.689304, -0.08634, 0.236925, 0.573919, 0.606988, 1.16035, 1.24204, 1.05144, 1.24836, 1.94492, 2.12862, 1.31066, 1.55782, 0.991162, 0.777067, -0.0842144, 1.04255, 0.737618, -0.533868, -0.578253, -0.579129, -0.567737, -0.555763, -0.551962, -0.564186, -0.635856, -0.528293, -0.471125, -0.402204, -0.367718, -0.336557, -0.34188, -0.356545, -0.283165, -0.247846, -0.286447, -0.454434, -0.532882, -0.583552, -0.638725, -0.669993, -0.735115, -0.37162, -0.513457, -0.834077, -0.515985, 1.23045, -0.166929, -0.0055901, -1.96098, 1.17072, 0.856626, 0.820074, 0.0375608, -1.59147, 0.955127, 2.0152, 2.42671, 0.0735112, 0.308245, 0.180282, 0.182058, 0.868497, -0.0694299, 0
-0.495591, -0.621273, -0.684683, -0.446713, -0.364103, 0.0287655, 0.0410825, -0.090348, -0.326497, -0.291549, 0.948058, 0.512226, 0.728415, 1.04105, 1.42095, 1.53696, 1.62978, 1.54135, 1.3549, 1.16309, 2.01347, 1.99465, 1.85641, 2.13011, 0.983852, 0.914658, -0.497945, -0.494203, -0.471348, -0.327937, -0.232387, -0.169758, -0.143435, -0.189385, -0.233823, -0.223559, -0.0110916, 0.059409, 0.15137, 0.176108, 0.140728, 0.125237, 0.0707342, 0.0170902, -0.0760031, -0.142692, -0.103609, -0.0566034, 0.0080349, 0.0540419, 0.050719, -0.117522, -0.320819, -0.767988, 1.19556, -1.36299, 0.14624, -0.172681, -0.501107, 1.08099, -1.39719, 0.158859, -0.403849, -0.157579, 1.72851, -1.66394, 0.177827, -0.372049, -0.319172, 0.20795, 2.16596, -0.282034, 0
