@relation page-blocks
@attribute f1 real [-0.499628, 41.8514]
@attribute f2 real [-0.772027, 4.03962]
@attribute f3 real [-0.245682, 29.446]
@attribute f4 real [-0.44773, 17.0418]
@attribute f5 real [-1.78132, 3.55181]
@attribute f6 real [-4.23677, 1.2595]
@attribute f7 real [-0.0755552, 71.6394]
@attribute f8 real [-0.282549, 25.7028]
@attribute f9 real [-0.390171, 24.1253]
@attribute f10 real [-0.631546, 18.5606]
@attribute clase {0, 1, 2, 3, 4}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10
@outputs clase
@data
-0.288664, -0.711009, -0.238877, -0.395847, 1.02026, 1.2595, -0.0547095, -0.270741, -0.372632, -0.58373, 0
-0.235923, -0.745876, -0.242177, -0.426234, 0.272044, -0.451494, -0.0538409, -0.280187, -0.384856, -0.613615, 0
-0.288664, -0.754593, -0.244033, -0.428416, 0.924621, -0.305005, 0.025778, -0.281761, -0.388045, -0.631546, 0
-0.288664, -0.728443, -0.240939, -0.408875, 0.362054, -0.305005, 0.0981589, -0.277825, -0.382199, -0.631546, 0
-0.341405, -0.728443, -0.242177, -0.399104, 0.272044, -1.67028, 0.0547304, -0.280187, -0.387513, -0.631546, 0
-0.341405, -0.728443, -0.242177, -0.399104, 0.502696, 0.0407086, -0.0104124, -0.2794, -0.383793, -0.625569, 0
-0.183182, 0.117081, -0.0984468, 0.0312673, -0.414288, -0.551107, -0.0645533, -0.120386, -0.129209, 0.0856927, 0
0.0277823, -0.702293, -0.226711, -0.421316, -0.144256, -0.931978, -0.0408124, -0.261294, -0.360939, -0.577753, 0
-0.446887, -0.606408, -0.238877, -0.122264, 1.72347, -0.64486, 0.300825, -0.266805, -0.379541, -0.631546, 1
-0.341405, 0.910305, -0.0871051, 1.13165, -0.594309, -3.0004, 0.402159, -0.127471, -0.281215, -0.601661, 1
-0.446887, -0.623842, -0.239702, -0.154834, 1.67846, -0.533528, 0.257397, -0.269166, -0.380604, -0.631546, 1
-0.446887, -0.588975, -0.238052, -0.0896952, 1.89224, 0.462597, 0.134349, -0.263656, -0.373695, -0.625569, 1
-0.0249588, -0.205438, -0.111026, -0.233, -0.538052, -0.726894, -0.0619476, -0.146364, -0.162162, -0.0816629, 0
-0.130441, 0.0473472, -0.0904045, -0.061197, -0.369282, 0.890345, -0.0644085, -0.107004, -0.0154707, 0.139486, 0
-0.0249588, -0.318756, -0.137833, -0.27534, -0.419913, 0.198917, -0.064119, -0.165256, -0.163225, -0.117525, 0
0.0277823, 0.108364, -0.0157558, -0.145942, -0.819336, -0.0999209, -0.0678828, -0.0912601, 0.0642528, 0.336726, 0
0.0805233, -0.292606, -0.108551, -0.295957, -0.633689, 0.245793, -0.0607895, -0.152661, -0.0983831, -0.129479, 0
-0.0776998, -0.0485369, -0.0912294, -0.143988, -0.824961, 0.890345, -0.0638295, -0.15581, -0.0175966, -0.0816629, 0
0.0805233, -0.719726, -0.229804, -0.42897, -0.869967, -1.18394, -0.0379171, -0.273889, -0.367848, -0.607638, 0
0.0805233, -0.397207, -0.138246, -0.328526, -0.419913, -0.252269, -0.0565914, -0.166044, -0.185547, -0.237065, 0
-0.499628, -0.397207, -0.238052, 0.985093, -0.667443, 1.2595, -0.0581838, -0.2794, -0.370506, -0.607638, 1
-0.446887, -0.606408, -0.238877, -0.122264, 2.00475, 0.527052, 0.329778, -0.26523, -0.375289, -0.631546, 1
-0.446887, -0.606408, -0.238877, -0.122264, 2.28603, 0.380563, 0.35873, -0.263656, -0.375821, -0.631546, 1
-0.130441, -0.711009, -0.233928, -0.415388, -0.757453, -2.67813, -0.0176505, -0.276251, -0.38273, -0.619592, 0
-0.0249588, 0.0909309, -0.0409136, -0.122264, 0.378931, 0.732137, -0.0534066, 0.0551582, 0.0897643, 0.390519, 0
-0.0776998, -0.397207, -0.165466, -0.288726, 0.513947, 0.890345, -0.048919, -0.144789, -0.196709, -0.254996, 0
-0.0776998, -0.432074, -0.172889, -0.30322, -0.279272, 0.784873, -0.0560123, -0.197531, -0.217968, -0.34465, 0
-0.499628, -0.711009, -0.245476, -0.187403, 3.55181, 1.2595, 0.025778, -0.281761, -0.389639, -0.631546, 1
-0.499628, -0.283889, -0.235372, 1.40849, 0.491444, 1.2595, -0.0363248, -0.267592, -0.363596, -0.595684, 1
-0.446887, -0.632559, -0.240114, -0.171118, 1.23403, 1.08957, 0.00652473, -0.272315, -0.376352, -0.619592, 1
-0.0249588, 0.36115, 0.0230121, -0.0212996, 0.260792, 0.42158, -0.0503666, 0.139388, 0.202972, 0.545921, 0
-0.446887, -0.510524, -0.234341, 0.0568668, -0.98248, -1.57653, -0.061079, -0.278613, -0.376884, -0.601661, 0
-0.499628, -0.676142, -0.244651, -0.0571258, 1.2059, 1.2595, -0.0393647, -0.282549, -0.387513, -0.625569, 0
-0.446887, -0.632559, -0.240114, -0.171118, -0.251143, 1.2595, -0.0502219, -0.2794, -0.375821, -0.613615, 0
-0.446887, -0.615125, -0.23929, -0.138549, -0.740576, 1.2595, -0.0639742, -0.280974, -0.373695, -0.607638, 0
-0.183182, 0.151948, -0.0926729, 0.049897, -0.554929, -0.767911, -0.0668695, -0.129045, -0.133461, 0.115578, 0
-0.499628, -0.405923, -0.238259, 0.952523, 3.02862, 1.2595, 0.0511113, -0.257358, -0.371037, -0.613615, 1
-0.0249588, 0.0734974, -0.0450379, -0.128778, 0.125776, 0.29267, -0.0551438, 0.0134368, 0.0408672, 0.312818, 0
-0.0249588, -0.597692, -0.203821, -0.379562, -0.223015, 0.339546, -0.0529724, -0.233742, -0.299818, -0.476144, 0
-0.130441, -0.475657, -0.189386, -0.305467, 0.0582682, 0.591507, -0.0660009, -0.204616, -0.262082, -0.254996, 0
-0.0776998, 0.056064, -0.0689585, -0.100541, -0.493047, 0.175478, -0.0616581, -0.0967705, -0.0197226, 0.103624, 0
-0.0776998, -0.205438, -0.124636, -0.209127, -0.256769, 0.116883, -0.061079, -0.136917, -0.139839, -0.063732, 0
-0.130441, -0.0572537, -0.110201, -0.110051, -0.245518, 0.720418, -0.0645533, -0.118025, -0.0734031, 0.0976467, 0
-0.130441, -0.0834039, -0.11515, -0.122264, -0.369282, 0.802451, -0.0651323, -0.135343, -0.0803124, 0.0378768, 0
-0.0776998, 0.0473472, -0.0708144, -0.104156, -0.470544, -0.363601, -0.0596314, -0.0959833, -0.0654307, 0.0558078, 0
-0.0249588, -0.667426, -0.220318, -0.405618, -1.46629, -0.586264, -0.0563019, -0.277038, -0.346589, -0.601661, 0
-0.130441, -0.170571, -0.131647, -0.162976, -0.155507, 0.779013, -0.0660009, -0.137705, -0.120706, 0.0498308, 0
0.0277823, -0.0485369, -0.0565857, -0.199258, -0.599935, 0.204776, -0.0655666, -0.0975577, 0.00897783, 0.217186, 0
-0.0776998, 0.0822142, -0.0633907, -0.0896952, -0.554929, 0.193057, -0.0620923, -0.0983449, -0.00643537, 0.109601, 0
-0.0776998, -0.0834039, -0.098653, -0.158449, -0.425539, 0.486035, -0.0632504, -0.121961, -0.0617103, 0.0438538, 0
0.0277823, 0.0996477, -0.0180241, -0.148906, -0.729325, 0.193057, -0.0667247, -0.0794522, 0.0892328, 0.34868, 0
0.0805233, -0.554108, -0.182788, -0.37738, -0.830587, 1.2595, -0.0668695, -0.233742, -0.228067, -0.380512, 0
-0.130441, -0.318756, -0.159692, -0.232186, -0.0598707, 1.14817, -0.0677381, -0.168405, -0.172792, -0.045801, 0
-0.130441, -0.554108, -0.204234, -0.342107, 0.0357656, 0.94894, -0.0644085, -0.226658, -0.289188, -0.374535, 0
-0.130441, -0.379773, -0.17124, -0.260684, 0.125776, 0.972379, -0.0632504, -0.174703, -0.20787, -0.171318, 0
-0.0776998, -0.484374, -0.184025, -0.324911, 0.0582682, 1.03097, -0.0652771, -0.196744, -0.237633, -0.231088, 0
0.0805233, -0.240305, -0.0937039, -0.279672, -0.757453, -0.732753, -0.067159, -0.151087, -0.13293, 0.0199459, 0
-0.130441, -0.623842, -0.217431, -0.374677, 0.620835, 1.17746, -0.0587628, -0.233742, -0.31842, -0.446259, 0
-0.130441, -0.597692, -0.212482, -0.362463, -0.166758, -0.656579, -0.0615133, -0.243189, -0.333833, -0.46419, 0
-0.0776998, 0.0822142, -0.0633907, -0.0896952, 0.53645, 0.919643, -0.0535514, 0.0370527, 0.0520285, 0.342703, 0
-0.0776998, -0.0485369, -0.0912294, -0.143988, -0.453667, 0.034849, -0.06354, -0.11645, -0.0760605, 0.0737387, 0
-0.0776998, -0.475657, -0.182169, -0.321296, -0.594309, -0.691736, -0.0486295, -0.222722, -0.282278, -0.46419, 0
-0.0249588, -0.76331, -0.243001, -0.441444, 1.02026, -1.08433, 0.0692066, -0.2794, -0.387513, -0.631546, 1
-0.0776998, -0.606408, -0.210008, -0.375589, -0.60556, -1.34215, -0.0560123, -0.251061, -0.340742, -0.517983, 0
-0.446887, 0.195532, -0.200934, 1.37592, 0.716471, -1.64684, 0.713396, -0.20068, -0.333833, -0.625569, 1
-0.499628, -0.126988, -0.23166, 1.99474, 2.49981, 1.2595, -0.00968859, -0.24004, -0.35403, -0.571776, 1
-0.183182, -0.475657, -0.196604, -0.285111, 0.474567, 0.515333, -0.0542752, -0.20068, -0.280153, -0.368558, 0
-0.235923, -0.379773, -0.190211, -0.198249, -0.85309, 0.111023, -0.061079, -0.240827, -0.275901, -0.458213, 0
-0.235923, -0.545391, -0.213719, -0.301396, -1.30877, -0.656579, -0.061079, -0.270741, -0.335959, -0.571776, 0
-0.288664, -0.754593, -0.244033, -0.428416, 0.553327, 1.2595, 0.0113019, -0.282549, -0.385919, -0.631546, 0
-0.394146, -0.641275, -0.237228, -0.274266, 0.0357656, 0.896204, -0.05746, -0.273889, -0.369974, -0.589707, 0
-0.499628, -0.327473, -0.236403, 1.24565, 2.35917, 1.2595, 0.0583494, -0.255784, -0.366254, -0.613615, 1
-0.0776998, -0.0746872, -0.0967971, -0.154834, 0.108899, 0.655962, -0.0555781, -0.0652827, -0.0462971, 0.0737387, 0
-0.0249588, -0.684859, -0.224442, -0.412131, 0.0751452, 1.2595, -0.0683171, -0.254997, -0.335427, -0.470167, 0
-0.0249588, -0.222872, -0.11515, -0.239514, -0.414288, 0.134462, -0.05746, -0.139279, -0.119111, -0.135456, 0
-0.130441, -0.632559, -0.219081, -0.378748, -0.0879991, 0.0934446, -0.061079, -0.250274, -0.335959, -0.494075, 0
-0.0776998, -0.0659704, -0.0949412, -0.151219, -0.144256, 0.749715, -0.0607895, -0.0888985, -0.0356673, 0.109601, 0
-0.0776998, -0.501808, -0.187737, -0.332141, -0.200512, 0.445018, -0.0657114, -0.212488, -0.262082, -0.296834, 0
0.0805233, -0.667426, -0.214957, -0.412685, 0.0188886, 1.14817, -0.0564466, -0.242402, -0.312573, -0.488098, 0
0.0805233, -0.711009, -0.227329, -0.426234, -0.959977, 1.2595, -0.0594866, -0.273102, -0.342868, -0.58373, 0
-0.130441, -0.126988, -0.123398, -0.14262, 0.260792, 0.732137, -0.0557228, -0.0920473, -0.103698, -0.00993908, 0
0.0277823, -0.0485369, -0.0565857, -0.199258, -0.661817, -0.609703, -0.0644085, -0.10543, -0.0595843, 0.145463, 0
-0.341405, -0.711009, -0.240527, -0.382819, -0.13863, -0.0237466, -0.06354, -0.2794, -0.380604, -0.601661, 0
-0.0776998, -0.0659704, -0.0949412, -0.151219, -0.17801, 0.187198, -0.0609342, -0.0920473, -0.0734031, 0.103624, 0
-0.0249588, 0.317566, 0.0127015, -0.0375843, 0.530824, 0.368844, -0.0442866, 0.171663, 0.17374, 0.46822, 0
-0.446887, 3.10692, -0.0631845, 6.815, 0.395808, -1.06675, 0.167934, 0.0205216, -0.10795, -0.506029, 1
-0.446887, 1.27641, -0.149794, 3.39522, 1.11027, -0.562826, 0.058639, -0.0778778, -0.221157, -0.482121, 1
15.4809, 3.25511, 28.7776, -0.398355, -1.71944, -3.89106, -0.0334295, 6.7164, 8.68448, 12.9482, 4
-0.0249588, -0.606408, -0.205883, -0.382819, 0.373306, 0.614945, -0.0480505, -0.219573, -0.299286, -0.458213, 0
-0.0776998, -0.0834039, -0.098653, -0.158449, -0.172384, 0.989957, -0.0605, -0.0967705, -0.0287579, 0.0737387, 0
0.0277823, -0.0398202, -0.0543174, -0.196295, -0.667443, -0.709315, -0.0649876, -0.103855, -0.0638362, 0.169371, 0
-0.0776998, -0.118271, -0.106077, -0.172942, -0.0317424, 0.521192, -0.0584733, -0.0928345, -0.0760605, 0.0438538, 0
0.0277823, 1.02362, 0.222419, 0.164932, -0.566181, -0.363601, -0.0633952, 0.19213, 0.481472, 1.34684, 0
-0.0776998, 0.021197, -0.0763821, -0.115034, -0.0204911, 0.989957, -0.0581838, -0.050326, 0.0259855, 0.181325, 0
-0.0776998, -0.405923, -0.167322, -0.292342, 0.0470169, 0.802451, -0.05746, -0.173128, -0.20415, -0.249019, 0
-0.499628, 0.544202, -0.215781, 4.50258, 2.55044, 1.2595, 0.074418, -0.18966, -0.313105, -0.571776, 1
-0.499628, -0.336189, -0.236609, 1.21308, 0.575829, 1.2595, -0.0552885, -0.269166, -0.366785, -0.577753, 1
-0.235923, -0.632559, -0.226092, -0.355689, -0.526801, 0.228214, -0.061079, -0.266017, -0.349246, -0.553845, 0
-0.288664, -0.379773, -0.199697, -0.14832, -0.509924, 0.29267, -0.058039, -0.237678, -0.291845, -0.46419, 0
0.0277823, -0.475657, -0.167734, -0.344322, -0.189261, -1.17808, -0.0208352, -0.186511, -0.274306, -0.476144, 0
-0.0249588, -0.449507, -0.168765, -0.324194, 0.36768, 0.626665, -0.0481952, -0.158172, -0.213716, -0.296834, 0
-0.0776998, -0.466941, -0.180313, -0.31768, 1.03151, 0.82589, -0.03922, -0.147151, -0.234444, -0.332696, 0
-0.0249588, 0.0734974, -0.0450379, -0.128778, 0.446439, 0.562209, -0.0503666, 0.0575198, 0.0647842, 0.318795, 0
-0.0776998, -0.597692, -0.208152, -0.371974, 0.131402, 0.667681, -0.0503666, -0.229806, -0.303538, -0.476144, 0
-0.0249588, -0.493091, -0.179076, -0.340479, -0.00923974, 0.462597, -0.0618028, -0.192808, -0.242417, -0.26695, 0
0.0277823, 0.0647807, -0.0270974, -0.160761, -0.403036, -0.697596, -0.0552885, -0.038518, -0.0160022, 0.15144, 0
-0.0776998, -0.0659704, -0.0949412, -0.151219, 0.114525, 0.790732, -0.0563019, -0.0621339, -0.0330098, 0.0976467, 0
-0.0776998, -0.179288, -0.119068, -0.198249, -0.144256, 0.532912, -0.0646981, -0.120386, -0.104761, 0.0916697, 0
0.0805233, -0.0485369, -0.0392639, -0.219972, -0.487421, -0.0413253, -0.0623819, -0.0644955, 0.0227966, 0.253048, 0
-0.0249588, -0.231589, -0.117212, -0.242771, -0.419913, 0.644243, -0.0581838, -0.142428, -0.0941312, -0.135456, 0
-0.0249588, -0.484374, -0.177014, -0.337222, -0.0711221, 0.105164, -0.06354, -0.192808, -0.248795, -0.243042, 0
0.0277823, -0.667426, -0.217637, -0.409461, 0.288921, 1.13645, -0.0578943, -0.240827, -0.319483, -0.476144, 0
-0.0776998, -0.728443, -0.23599, -0.426234, 0.738974, -1.12534, 0.105397, -0.266805, -0.376884, -0.625569, 0
-0.0776998, 0.291416, -0.0188489, -0.00283278, 0.148279, 1.20676, -0.048919, 0.0559454, 0.189153, 0.282933, 0
-0.0249588, 0.36115, 0.0230121, -0.0212996, 0.395808, 0.351265, -0.0496428, 0.164578, 0.194468, 0.593737, 0
-0.446887, -0.222872, -0.220731, 0.594261, 0.913369, -1.16636, 0.156064, -0.23453, -0.35403, -0.613615, 1
-0.183182, -0.371056, -0.179282, -0.229287, -0.549304, 0.544631, -0.0577495, -0.217999, -0.240291, -0.398443, 0
-0.183182, 0.0909309, -0.102777, 0.0173276, 0.23829, 0.374703, -0.06354, -0.0613467, -0.0781865, 0.300864, 0
0.0805233, -0.711009, -0.227329, -0.426234, 2.38167, 1.2595, 0.130007, -0.228232, -0.342868, -0.607638, 0
-0.0249588, -0.484374, -0.177014, -0.337222, 0.294546, 0.708698, -0.0609342, -0.17549, -0.230192, -0.213157, 0
-0.0249588, -0.0485369, -0.0739076, -0.174375, -0.0711221, 0.374703, -0.0542752, -0.0526876, -0.0149392, 0.0856927, 0
-0.0776998, -0.371056, -0.159898, -0.277881, 0.693968, 0.9548, -0.054999, -0.124322, -0.180764, -0.123502, 0
0.0805233, -0.405923, -0.14072, -0.331262, -0.0654964, 0.374703, -0.0508009, -0.143215, -0.161099, -0.231088, 0
0.344229, -0.76331, -0.240114, -0.444115, 1.89786, -0.463214, 0.257397, -0.269166, -0.381136, -0.631546, 3
-0.0776998, 0.273983, -0.0225608, -0.0100957, 0.170782, 0.339546, -0.0552885, 0.0535838, 0.0940162, 0.444312, 0
-0.0776998, -0.371056, -0.159898, -0.277881, 0.0132629, 0.468456, -0.0502219, -0.164469, -0.199366, -0.296834, 0
-0.130441, -0.266456, -0.149794, -0.207759, -0.431165, 0.603226, -0.0636847, -0.179426, -0.171197, -0.183272, 0
0.0277823, -0.702293, -0.226711, -0.421316, 0.542075, -0.0999209, -0.0345876, -0.251848, -0.353498, -0.565799, 0
-0.0249588, -0.449507, -0.168765, -0.324194, 0.356429, 0.902064, -0.0497876, -0.158959, -0.20415, -0.284881, 0
0.0805233, 0.0734974, -0.00462031, -0.181964, -0.571806, -0.926119, -0.0563019, -0.0408796, -0.00218345, 0.169371, 0
-0.0249588, -0.684859, -0.224442, -0.412131, 0.3283, 1.2595, -0.0680276, -0.251061, -0.335427, -0.452236, 0
0.0805233, -0.0398202, -0.0367894, -0.217269, -0.358031, 0.251653, -0.0619476, -0.0432412, 0.0552174, 0.318795, 0
-0.0776998, -0.0659704, -0.0949412, -0.151219, 0.0301399, 0.474316, -0.0567362, -0.070793, -0.0542694, 0.0797157, 0
