@relation pendigits
@attribute f1 real [-1.12191, 1.87911]
@attribute f2 real [-5.02595, 0.909323]
@attribute f3 real [-1.52367, 2.28498]
@attribute f4 real [-4.22075, 0.871269]
@attribute f5 real [-1.4567, 1.4064]
@attribute f6 real [-2.37585, 1.27681]
@attribute f7 real [-1.6777, 1.58175]
@attribute f8 real [-1.45468, 1.80696]
@attribute f9 real [-1.69624, 1.27285]
@attribute f10 real [-1.24068, 2.40098]
@attribute f11 real [-1.65408, 1.0391]
@attribute f12 real [-1.30136, 2.33555]
@attribute f13 real [-2.42037, 2.00445]
@attribute f14 real [-1.07757, 1.93234]
@attribute f15 real [-1.12718, 1.28062]
@attribute f16 real [-0.797669, 1.99476]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16
@outputs clase
@data
-1.12191, 0.256443, -0.495338, 0.871269, -0.254195, 0.363642, -0.732457, 0.013057, -1.25088, -0.694433, -0.657606, -1.30136, 0.63276, -1.01737, 1.28062, -0.630123, 2
-1.12191, 0.909323, -1.25707, 0.463908, -1.31354, 0.107957, -1.0584, 0.013057, 0.857177, -0.00251719, 1.0391, 0.335247, 0.854001, -0.385291, 0.486044, -0.797669, 4
1.87911, 0.909323, 1.21855, 0.820349, -0.42598, 0.473222, -0.569485, 0.306604, 0.649341, 0.470899, 0.0695542, -0.828565, -1.57965, -1.07757, -1.12718, -0.74182, 5
0.378599, -0.0403209, 0.990035, 0.871269, 0.690628, 0.363642, -0.0153795, 0.208755, 1.27285, 0.288816, 0.958305, -0.828565, -0.252204, -1.07757, -1.12718, -0.602198, 3
-0.401665, -1.10867, 0.114046, 0.871269, 0.232532, -0.00162308, -0.569485, -0.541421, -1.69624, -1.20427, -1.22317, -0.901303, 0.14603, -1.07757, 1.28062, -0.769744, 2
-0.221604, 0.0783846, 1.02812, 0.871269, 0.74789, 0.436696, 0.0498094, 0.176139, 0.61965, 0.215983, 1.0391, -0.683089, 0.0575333, -1.07757, -1.12718, -0.658047, 3
-0.251615, 0.375148, -0.990462, -1.3183, 0.432949, -0.951314, -0.699863, -1.45468, -1.69624, -0.548766, -1.57329, 1.31721, -0.694686, 1.84204, 1.28062, 1.99476, 5
1.18887, 0.731265, -2.13455E-4, 0.871269, -1.4567, -0.220782, -1.38435, -0.508804, 0.797796, -0.0389338, 1.0391, 1.02626, 0.986746, 0.246789, 0.0285632, -0.797669, 4
0.678701, 0.909323, -0.761943, -0.350815, -1.4567, -0.951314, -1.35175, -1.42206, 0.352432, -1.24068, 1.0391, -0.101182, 0.0575333, 0.126393, -0.766009, -0.518426, 6
-1.12191, -0.0996736, -0.419165, 0.871269, 1.06283, 1.09417, 0.408348, 0.795849, 0.471196, 0.325232, 1.0391, -0.828565, -0.207956, -1.04747, -0.886398, -0.797669, 3
1.87911, 0.84997, 1.02812, 0.871269, -0.769552, 0.107957, -1.6777, -0.410955, -0.894586, -1.24068, 1.01217, -1.01041, 0.986746, 0.126393, -0.910476, 0.738168, 6
-0.251615, -0.752554, 0.190219, 0.871269, 0.776521, 0.473222, 0.277971, -0.117408, -0.953968, -0.803683, -1.65408, -1.15589, -0.207956, -0.896976, 1.28062, -0.797669, 2
-0.521706, -0.159026, 0.837689, 0.871269, 1.4064, 0.582802, 0.538726, 0.306604, 0.738414, 0.580149, 0.74285, -0.61035, -0.561942, -1.07757, -1.12718, -0.434653, 3
1.78908, 0.909323, 0.037873, 0.362067, -1.34217, -0.257309, -1.6777, -0.737119, -0.152314, -1.24068, 1.0391, -0.501243, -0.252204, 0.0661947, -0.934554, -0.434653, 6
1.87911, -0.337085, 1.02812, 0.871269, -0.71229, 0.400169, -0.341324, -0.215257, -0.300768, -1.24068, -1.65408, -1.01041, -0.738935, 0.0661947, 1.1843, 0.821941, 8
-0.0115331, 0.375148, 1.67559, 0.871269, 1.4064, 1.1307, 0.0172149, 1.38294, -0.746132, 0.835065, 0.338873, 0.0806634, -0.60619, -1.04747, -1.12718, -0.797669, 5
-0.881828, -0.45579, 0.266392, 0.871269, 1.4064, 1.1307, 0.636509, 0.698, 1.27285, 0.434482, 1.01217, -0.828565, -0.384949, -1.07757, -1.12718, -0.434653, 3
-1.12191, 0.909323, 0.532997, 0.769429, 1.14872, 0.728908, 0.636509, 0.241371, 0.144596, -0.6216, 0.338873, -1.30136, 2.00445, -0.1144, -0.115904, 0.235531, 7
0.288569, 0.493854, -1.48559, -0.809097, -1.4567, -1.79142, 0.0498094, -1.45468, 1.27285, -0.0753504, 0.904441, 1.64454, -0.561942, 1.93234, -0.958632, 0.933638, 0
-1.03188, 0.671912, 0.494911, 0.871269, 0.862414, 0.107957, 1.02764, -0.541421, 0.441505, -1.24068, 1.0391, -0.0648132, -0.163708, 0.156492, -1.12718, 0.403077, 7
-1.12191, -1.16802, -0.0763864, -0.198055, 0.318425, 1.27681, 0.669104, 1.35033, 0.589959, 1.1264, 0.473532, 0.262509, 1.25224, -0.44549, 1.28062, -0.797669, 1
-0.551716, -0.218379, -1.52367, -2.13302, -1.11312, -2.37585, 0.0824038, -1.42206, 0.916559, -0.1846, 1.0391, 1.28085, 0.765505, 1.93234, -0.380762, 1.74344, 0
-1.12191, -1.46479, -0.0763864, -0.147134, 0.833783, 1.27681, 1.58175, 1.54603, 0.679032, 1.27206, 0.096486, 0.371617, 0.0132851, -0.385291, 0.197109, -0.797669, 1
1.87911, 0.909323, 0.875776, -0.248975, -0.655028, -0.439942, -1.6777, -0.574037, -1.57748, -1.24068, -0.0381732, -1.26499, 1.03099, -0.415391, -0.549307, -0.211258, 6
-0.311635, 0.909323, -1.52367, -1.26738, -1.11312, -2.19322, 0.343159, -1.45468, 1.27285, 0.179566, 0.958305, 2.00823, -0.296452, 1.84204, -0.693775, 0.68232, 0
0.168528, 0.553207, -0.952376, -0.860017, 0.0321153, -0.98784, -1.02581, -1.45468, -1.54779, 0.0338994, -1.65408, 1.71727, -0.561942, 1.93234, 1.28062, 1.93891, 5
1.42896, 0.909323, -0.381078, 0.0565463, -1.31354, -0.403415, -1.6777, -0.737119, -0.271077, -1.24068, 1.0391, -0.537612, 0.500015, 0.337086, -1.12718, 0.235531, 6
-1.12191, 0.19709, -0.609597, -0.758177, 0.719259, -1.17047, -0.276135, -1.45468, -0.835204, -0.0753504, 0.608191, 1.099, 2.00445, 1.93234, -0.934554, 1.68759, 8
-0.911839, 0.909323, -1.52367, -1.36922, 0.00348431, -1.02437, -0.406513, -1.45468, -1.42902, -0.694433, -1.51942, 0.953523, -0.561942, 1.69154, 1.28062, 1.88306, 5
0.198538, -1.10867, 1.02812, 0.871269, 0.833783, -0.111203, -0.145757, -0.63927, -1.54779, -1.24068, -1.65408, -1.19226, -0.207956, -0.957174, 1.28062, -0.602198, 2
0.228548, 0.909323, -1.14281, -0.809097, -1.25628, -1.79142, 0.147593, -1.45468, 1.27285, -0.111767, 0.796714, 1.5718, -0.738935, 1.78184, -1.12718, 0.905714, 0
-0.731777, -0.989965, -0.952376, -2.69314, -0.254195, -2.37585, 1.12543, -0.834968, 1.27285, 0.798648, 0.608191, 1.97186, -0.960176, 1.93234, -1.12718, 1.24081, 0
0.348589, -0.0996736, -1.21898, -1.3183, -1.4567, -1.7549, -0.0153795, -1.45468, 1.06501, -0.221017, 1.0391, 1.24448, 0.278774, 1.93234, -0.934554, 1.60382, 0
-0.461686, 0.493854, -1.52367, 0.616668, -0.0251467, 1.16723, 1.58175, 1.80696, 0.29305, 1.70906, -0.496015, 0.735308, -1.18142, -0.234796, -0.40484, -0.797669, 7
1.39895, 0.909323, 0.72343, 0.820349, -0.9986, 0.254063, -1.6777, -0.084792, -1.10242, -0.803683, 1.0391, -1.30136, 1.73897, -0.415391, -1.03087, -0.0437123, 6
1.06883, 0.0190318, -0.342992, -0.910937, -1.4567, -2.37585, 0.0172149, -1.16113, 1.27285, 0.835065, 0.554327, 2.33555, 1.16374, 1.27016, -0.212216, -0.0995609, 0
-0.281625, -0.159026, -1.52367, -2.23486, -0.597766, -2.37585, 0.929859, -1.2916, 1.27285, 0.725815, 0.231145, 2.29918, -1.44691, 1.93234, -0.958632, 0.598547, 0
-1.06189, -0.396437, 0.228306, 0.820349, 1.4064, 1.27681, 0.832076, 1.02416, 1.0947, 0.143149, 0.87751, -1.30136, -0.60619, -0.987273, -1.12718, -0.015788, 3
0.49864, 0.493854, -1.52367, 0.260227, 0.0893773, -0.695628, 0.603915, -1.45468, -1.54779, -0.912933, -0.199764, 0.589831, 2.00445, 1.81194, -0.958632, 1.99476, 8
0.258558, -0.0996736, 1.78985, 0.871269, 1.4064, 0.509749, 0.766887, 0.306604, 0.975941, 0.0703161, 1.0391, -0.828565, -0.252204, -1.07757, -1.12718, -0.462577, 3
-1.12191, -1.16802, 0.114046, -0.350815, 1.20599, 1.1307, 1.58175, 1.80696, 0.411814, 1.49056, -0.361355, 0.517093, -1.26991, -0.325093, -1.00679, -0.797669, 1
-1.12191, -0.871259, 0.494911, 0.260227, 0.375687, 1.27681, 0.343159, 1.0894, 0.382123, 0.835065, 0.581259, 0.00792512, 2.00445, -0.656183, 1.23246, -0.797669, 1
-1.12191, -0.396437, -0.838116, 0.667588, 0.232532, 1.09417, 1.58175, 1.80696, 0.857177, 1.74548, 0.123418, 0.735308, -0.11946, -0.204697, 0.0044853, -0.797669, 7
-1.12191, -0.871259, 0.875776, -0.147134, 1.12009, 1.27681, 1.58175, 1.44818, 1.27285, 1.19923, 0.823646, 0.298878, 1.29648, -0.415391, 0.582356, -0.797669, 1
1.87911, 0.909323, 1.06621, 0.667588, -0.368718, 0.18101, -1.22137, -0.0195594, -1.69624, -0.73085, -0.684538, -1.30136, -0.163708, -0.385291, -1.05494, -0.015788, 6
0.618681, 0.909323, -1.52367, 0.311147, -0.196933, -0.439942, 1.58175, -0.769735, 0.174287, -1.24068, 0.0156905, 0.00792512, 1.42923, 1.33036, -0.525229, 1.74344, 8
1.21888, 0.0190318, 0.951949, -0.860017, 1.4064, -1.46269, -0.0805684, -1.45468, -1.25088, -0.1846, -0.0920369, 1.13537, 0.500015, 1.93234, -1.12718, 1.54797, 8
-1.12191, 0.256443, 0.266392, 0.871269, 1.09146, 0.801961, 0.734293, 0.534918, -0.36015, 0.106733, -1.25011, -0.792196, -0.517694, -1.07757, 1.28062, -0.769744, 2
-0.311635, 0.434501, -0.68577, -1.52198, 0.203901, -1.35311, -1.091, -1.45468, -1.69624, -0.0753504, -1.30397, 1.79001, -0.207956, 1.87214, 1.28062, 1.99476, 5
-1.12191, 0.909323, 0.380652, 0.718509, 1.4064, 0.948067, 0.734293, 0.600151, -0.0632408, -0.1846, -0.522946, -1.30136, -1.5354, -0.144499, 0.510122, 0.207606, 7
-1.12191, -1.04932, -0.0763864, -0.860017, 0.318425, -1.28005, -0.439107, -1.45468, -1.45871, -0.148184, -0.442151, 0.989892, 2.00445, 1.63135, 0.269343, 1.99476, 8
1.87911, -0.574496, 2.09454, 0.871269, -0.769552, 0.582802, -0.439107, -0.0195594, 0.352432, -0.949349, -1.65408, -1.30136, -0.429197, -0.0843007, 1.1843, 0.989487, 8
1.18887, 0.909323, 0.494911, 0.362067, -1.4567, -0.805207, -1.25397, -1.45468, 0.857177, -0.00251719, 1.0391, 1.75364, 0.809753, 0.457483, -0.886398, -0.54635, 0
0.348589, -1.8209, 2.28498, -0.248975, 0.404318, 1.27681, -1.6777, 1.21986, -1.33995, 0.944315, 0.769782, 1.02626, 1.78321, -0.0843007, 0.943525, -0.797669, 9
-1.12191, -2.35508, -1.52367, -1.11462, -0.0824086, 0.619328, 1.58175, 1.80696, 1.18378, 1.59981, 0.285009, 0.553462, -0.429197, -0.355192, -0.332606, -0.797669, 1
1.06883, 0.909323, 0.114046, -0.656336, -1.4567, -0.841734, -0.862835, -0.117408, 1.27285, 0.398066, 0.769782, 1.02626, 0.367271, -0.1144, 0.173031, -0.797669, 4
1.87911, 0.909323, -0.990462, 0.362067, 0.661997, -0.366889, 0.897265, 1.70911, -0.597677, 1.01715, -1.65408, 0.117033, -0.827431, -1.07757, -0.188138, 0.431001, 8
0.018477, -0.693201, -1.33324, -0.961857, -1.4567, -1.82795, 0.0498094, -1.45468, 1.21347, -0.00251719, 1.0391, 1.71727, -0.340701, 1.93234, -0.645619, 0.87779, 0
1.15886, 0.0190318, -1.52367, 0.871269, -0.9986, -0.0746762, 0.962454, -0.443572, 0.352432, -1.24068, -1.49249, -0.392135, -0.915927, 0.848771, 1.28062, 1.85514, 8
-1.03188, 0.909323, -1.37133, 0.00562609, -1.4567, -0.330362, -1.18878, -0.443572, 0.0852138, -0.221017, 1.0391, 0.22614, 1.60622, -0.294994, 0.991681, -0.797669, 4
1.87911, 0.909323, 0.380652, 0.769429, -0.9986, 0.07143, -1.6777, -0.476188, -0.924277, -1.24068, 0.500464, -1.01041, 1.16374, -0.0542016, -0.428918, -0.127485, 6
1.87911, 0.671912, 0.990035, 0.871269, 0.347056, 0.728908, 1.09283, 1.41556, 0.61965, 0.689399, 0.123418, -0.573981, -0.871679, -1.07757, -1.12718, -0.462577, 9
1.87911, 0.909323, 0.72343, -0.248975, -0.740921, -0.476468, -1.6777, -0.671886, -1.22119, -1.24068, 0.473532, -1.01041, 0.677008, -0.204697, -0.958632, -0.0437123, 6
-1.12191, 0.612559, 0.456824, 0.871269, 1.4064, 0.509749, 1.02764, -0.0195594, 0.29305, -0.949349, -0.442151, -1.30136, -2.28762, -0.174598, 0.895369, 0.263455, 7
0.108508, -1.88026, 0.761516, 0.871269, 1.4064, 0.875014, 0.603915, -0.084792, -0.716441, -1.24068, 0.285009, -0.719458, -0.0309631, 0.788573, -1.12718, 1.21288, 8
-0.791798, -0.0403209, 0.456824, 0.871269, 1.4064, 1.1307, 1.02764, 0.698, 0.441505, 0.580149, 0.688987, -0.719458, -0.429197, -1.07757, -1.12718, -0.490501, 3
0.288569, 0.909323, -0.80003, -0.0962143, -1.4567, -0.257309, -1.0584, -0.182641, 0.114905, 0.143149, 1.0391, 0.22614, 1.20799, -0.385291, 0.365654, -0.797669, 4
-0.851818, -3.12666, 0.761516, -1.0637, 0.833783, 1.27681, -1.48213, 1.57864, -0.627368, 0.798648, 1.0391, -0.319397, 0.101782, -1.07757, -1.12718, -0.0995609, 8
-1.12191, -0.396437, -2.13455E-4, 0.871269, 1.32051, 0.473222, 0.571321, -0.182641, -0.389841, -1.24068, 1.0391, -1.04678, -0.871679, 0.0360956, -0.597463, 1.24081, 8
1.87911, -0.633848, 0.228306, -0.910937, -1.4567, 0.473222, -0.504296, 1.80696, 0.61965, 1.96398, 0.500464, 0.808046, 1.03099, -0.234796, 0.991681, -0.797669, 9
-0.821808, 0.0783846, -1.52367, -1.98026, -0.511873, -2.37585, 0.929859, -1.16113, 1.27285, 1.1264, 0.0695542, 2.33555, -1.44691, 1.14976, -0.356684, -0.239182, 0
-1.12191, 0.0190318, -0.304905, 0.871269, 0.719259, 0.948067, 0.603915, 0.665384, -0.567986, 0.325232, -1.35783, -0.573981, -0.207956, -0.896976, 1.28062, -0.797669, 2
-0.491696, -0.159026, -1.02855, -1.42014, 0.0893773, 1.27681, -0.797646, 1.38294, -0.567986, 0.106733, -0.57681, -1.30136, -2.42037, -0.866877, 1.28062, -0.658047, 1
-0.0415433, -1.28673, -1.52367, -0.809097, 0.0607463, 0.692382, 1.58175, 1.80696, 0.768105, 1.45415, 0.123418, 0.407986, -0.0752113, -0.44549, 0.100797, -0.797669, 1
-1.12191, -1.93961, -0.114473, -0.503576, 0.719259, 1.05765, 1.58175, 1.80696, 0.530577, 1.49056, -0.226696, 0.480724, -0.871679, -0.415391, -0.452996, -0.797669, 1
-0.0115331, 0.909323, 0.647257, 0.412987, -0.11104, -0.549521, -0.960618, -0.802352, -1.69624, -0.6216, -0.765333, -0.683089, 0.500015, -0.957174, 1.28062, -0.797669, 2
