@relation pittsburg-bridges-material
@attribute f1 real [-2.1664, 1.83892]
@attribute f2 real [-1.84427, 1.90868]
@attribute f3 real [-1.7728, 1.35914]
@attribute f4 real [-4.2268, 0.660918]
@attribute f5 real [-1.52732, 1.31296]
@attribute f6 real [-1.624, 2.64403]
@attribute f7 real [-3.48345, 0.574195]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.831293, 0.248722, -1.7728, 0.660918, 0.366199, -0.201322, -1.45463, 0
-0.831293, 0.537411, -1.7728, 0.660918, -1.52732, -0.201322, -1.45463, 0
-0.831293, 0.248722, -1.7728, 0.660918, 0.366199, -0.201322, -1.45463, 0
0.503814, -0.689517, -0.728816, -0.968322, -1.52732, -0.201322, -3.48345, 1
-0.831293, 0.970444, -0.728816, -0.968322, -1.52732, -0.201322, 0.574195, 2
-0.831293, 0.393066, -0.728816, -0.968322, -1.52732, -0.201322, 0.574195, 2
-0.831293, 0.0322051, -0.728816, 0.660918, 0.366199, -0.201322, 0.574195, 2
0.503814, -1.26689, -0.728816, -0.968322, 0.366199, -0.201322, 0.574195, 2
1.83892, 1.11479, -0.728816, -0.968322, 1.31296, -0.201322, 0.574195, 2
0.503814, -0.473, -0.728816, 0.660918, 0.366199, -1.624, 0.574195, 1
-0.831293, -0.0399671, 0.315164, 0.660918, -1.52732, -0.201322, 0.574195, 2
-0.831293, 0.104377, 0.315164, -2.59756, 0.366199, -0.912659, -1.45463, 0
-0.831293, 0.537411, 0.315164, 0.660918, 0.366199, -0.201322, 0.574195, 2
0.503814, -1.41124, 0.315164, -0.968322, 0.366199, -0.201322, 0.574195, 2
0.503814, -0.328656, 0.315164, -0.968322, 0.366199, -1.624, 0.574195, 2
0.503814, -1.55558, 0.315164, -0.968322, 0.366199, -0.201322, 0.574195, 2
0.503814, -1.69993, 0.315164, -0.968322, 0.366199, -1.624, 0.574195, 2
-2.1664, -1.84427, 0.315164, 0.660918, 0.366199, -1.624, 0.574195, 2
1.83892, 1.69217, 0.315164, -0.968322, 0.366199, -0.201322, 0.574195, 2
-0.831293, 0.970444, 0.315164, -0.968322, -1.52732, -1.624, 0.574195, 2
-0.831293, 0.248722, 0.315164, 0.660918, -0.580559, 1.22135, 0.574195, 2
0.503814, -1.48341, 0.315164, 0.660918, 1.31296, 1.22135, -1.45463, 2
0.503814, -1.7721, 0.315164, 0.660918, 0.366199, 1.22135, 0.574195, 2
0.503814, -1.41124, 0.315164, 0.660918, 0.366199, 1.22135, 0.574195, 2
-2.1664, 1.90868, 1.35914, 0.660918, -1.52732, -1.624, 0.574195, 2
1.83892, 1.54782, 1.35914, 0.660918, 0.366199, -0.201322, 0.574195, 2
