@relation pittsburg-bridges-rel-l
@attribute f1 real [-2.16609, 1.86597]
@attribute f2 real [-1.85069, 1.91295]
@attribute f3 real [-1.75664, 1.41764]
@attribute f4 real [-4.1739, 0.674728]
@attribute f5 real [-1.52136, 1.31057]
@attribute f6 real [-1.71065, 3.00891]
@attribute f7 real [-3.43353, 0.58526]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.822072, -0.0412482, -1.75664, 0.674728, 0.366593, -0.137463, -1.42413, 0
-0.822072, 0.972039, -1.75664, -2.55769, -1.52136, -0.924055, -1.42413, 0
-0.822072, 0.103507, -1.75664, 0.674728, -0.577384, -0.137463, -1.42413, 0
-0.822072, 0.248262, -1.75664, 0.674728, 0.366593, -0.137463, -1.42413, 0
0.52195, -1.41642, -1.75664, 0.674728, 0.366593, -0.137463, -1.42413, 0
1.86597, 1.4063, -0.698548, -0.941481, -1.52136, -0.137463, 0.58526, 0
0.52195, -1.12691, -0.698548, -0.941481, -1.52136, -0.137463, 0.58526, 0
-0.822072, 0.0311294, -0.698548, 0.674728, 0.366593, -0.137463, 0.58526, 0
0.52195, -0.475514, -0.698548, 0.674728, 0.366593, -1.71065, 0.58526, 2
-0.822072, -0.0412482, 0.359547, 0.674728, -1.52136, -0.137463, 0.58526, 2
0.52195, -0.258381, 0.359547, 0.674728, -1.52136, -0.137463, 0.58526, 2
0.52195, -1.05454, 0.359547, 0.674728, -1.52136, -0.137463, 0.58526, 2
0.52195, -0.765025, 0.359547, -0.941481, 1.31057, -0.137463, 0.58526, 0
0.52195, -0.90978, 0.359547, -0.941481, -1.52136, -0.137463, 0.58526, 2
0.52195, -1.56118, 0.359547, -0.941481, 0.366593, -0.137463, 0.58526, 1
1.86597, 1.26155, 0.359547, 0.674728, 0.366593, -0.137463, 0.58526, 2
-0.822072, 0.32064, 0.359547, -4.1739, -1.52136, -1.71065, 0.58526, 2
-0.822072, 0.32064, 0.359547, 0.674728, 1.31057, 1.43572, 0.58526, 2
1.86597, 1.18917, 0.359547, 0.674728, 0.366593, 1.43572, -1.42413, 2
0.52195, -1.05454, 0.359547, 0.674728, 0.366593, 1.43572, -1.42413, 1
-0.822072, 1.0227, 1.41764, -0.941481, -0.577384, -0.137463, 0.58526, 1
1.86597, 1.62344, 1.41764, 0.674728, 1.31057, -0.137463, 0.58526, 2
-2.16609, 1.84057, 1.41764, -0.941481, -1.52136, -1.71065, 0.58526, 2
0.52195, -0.258381, 1.41764, 0.674728, -0.577384, 1.43572, 0.58526, 2
-0.822072, 0.827283, 1.41764, 0.674728, 1.31057, 1.43572, -1.42413, 2
-0.822072, 0.537773, 1.41764, 0.674728, -0.577384, 1.43572, 0.58526, 1
