@relation plant-margin
@attribute f1 real [-0.889329, 3.59691]
@attribute f2 real [-0.73683, 4.59039]
@attribute f3 real [-1.24162, 5.29825]
@attribute f4 real [-0.809903, 5.1677]
@attribute f5 real [-0.787513, 5.33705]
@attribute f6 real [-0.738357, 5.28349]
@attribute f7 real [-1.11255, 4.19943]
@attribute f8 real [-0.398775, 11.0981]
@attribute f9 real [-0.777967, 8.42668]
@attribute f10 real [-1.16633, 4.91187]
@attribute f11 real [-0.935673, 3.88438]
@attribute f12 real [-1.01641, 3.75947]
@attribute f13 real [-0.890699, 8.09042]
@attribute f14 real [-0.605039, 5.8375]
@attribute f15 real [-1.09229, 3.54885]
@attribute f16 real [-0.103473, 19.4508]
@attribute f17 real [-1.39283, 4.52743]
@attribute f18 real [-0.899679, 14.9665]
@attribute f19 real [-0.894548, 7.92353]
@attribute f20 real [-1.33389, 4.37159]
@attribute f21 real [-0.997455, 4.32253]
@attribute f22 real [-0.602106, 5.50367]
@attribute f23 real [-0.232904, 10.3263]
@attribute f24 real [-0.603646, 5.67518]
@attribute f25 real [-0.703567, 5.78201]
@attribute f26 real [-1.53926, 5.55129]
@attribute f27 real [-0.509113, 7.00189]
@attribute f28 real [-1.10717, 4.62621]
@attribute f29 real [-1.24144, 5.23928]
@attribute f30 real [-0.999838, 6.30272]
@attribute f31 real [-0.657976, 6.18117]
@attribute f32 real [-0.507657, 6.11577]
@attribute f33 real [-1.22881, 4.0422]
@attribute f34 real [-0.498089, 12.3566]
@attribute f35 real [-0.996385, 5.04831]
@attribute f36 real [-1.11407, 4.44877]
@attribute f37 real [-1.42451, 4.63124]
@attribute f38 real [-1.33998, 4.7573]
@attribute f39 real [-1.124, 3.86219]
@attribute f40 real [-0.772677, 6.04651]
@attribute f41 real [-0.46213, 8.67782]
@attribute f42 real [-1.20337, 4.98891]
@attribute f43 real [-0.898398, 4.69487]
@attribute f44 real [-1.08756, 4.49132]
@attribute f45 real [-1.01879, 6.24671]
@attribute f46 real [-0.777808, 6.13946]
@attribute f47 real [-1.19272, 3.73848]
@attribute f48 real [-0.90719, 5.20019]
@attribute f49 real [-0.534813, 6.20098]
@attribute f50 real [-0.799644, 4.52238]
@attribute f51 real [-1.03992, 4.28949]
@attribute f52 real [-0.365006, 11.0655]
@attribute f53 real [-1.33879, 4.04814]
@attribute f54 real [-0.647593, 7.68226]
@attribute f55 real [-0.836488, 5.67612]
@attribute f56 real [-0.670535, 5.44397]
@attribute f57 real [-1.27535, 5.14722]
@attribute f58 real [-1.08283, 4.944]
@attribute f59 real [-0.95694, 6.79585]
@attribute f60 real [-0.96866, 6.32783]
@attribute f61 real [-0.555141, 16.6475]
@attribute f62 real [-0.475266, 6.80609]
@attribute f63 real [-1.28524, 5.05215]
@attribute f64 real [-0.471823, 9.712]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64
@outputs clase
@data
-0.191465, -0.432414, 0.203214, -0.191528, -0.142819, 0.96593, 0.243732, -0.398775, -0.777967, 0.535584, -0.107241, -0.192953, -0.595545, -0.451654, -0.136748, -0.103473, 0.580559, -0.123633, -0.0678351, 1.42049, -0.485886, -0.220519, -0.232904, 0.338198, -0.703567, 2.65056, -0.33029, 0.2912, -0.644538, -0.281535, -0.422156, -0.507657, 0.48736, -0.498089, 0.0110771, -0.630381, 0.132678, 0.184277, 0.489156, -0.772677, -0.291297, 1.16812, 0.406683, 0.264898, 0.178854, -0.176347, -0.644801, -0.127492, -0.534813, 0.219458, -0.642194, 0.698235, 1.57014, -0.395196, -0.112891, -0.452176, 0.93237, 0.475861, 0.0647549, -0.651443, -0.555141, -0.288577, 0.101078, -0.471823, 0
-0.490579, -0.483145, -0.176984, 0.0833243, -0.680073, -0.624745, -0.20838, -0.398775, -0.135821, -0.0722605, 0.570575, -0.357711, 0.0369247, -0.451654, -0.546305, -0.103473, 0.221777, 0.307523, 0.896652, -0.940433, 0.0256313, -0.220519, -0.232904, 0.181238, -0.394749, -0.0889431, -0.33029, -0.407949, 0.122898, -0.0421205, -0.540066, -0.405762, 1.10023, -0.498089, -0.132835, 1.18359, -0.0403332, 0.353629, -0.390707, -0.588387, -0.46213, 2.22212, 0.220256, -0.580421, 1.3765, -0.477077, -0.462178, -0.192495, -0.41235, 0.106231, -0.0853874, 0.432425, 0.169569, -0.647593, 0.248932, -0.452176, 0.93237, 1.51497, 0.785969, 0.617508, -0.555141, -0.475266, -0.59208, -0.471823, 0
-0.0917779, -0.483145, -0.253023, 0.152029, -0.680073, -0.700486, -0.434407, -0.398775, -0.563919, -0.315373, -0.0318935, -0.357711, -0.595545, -0.605039, -0.40974, -0.103473, 0.0423868, 0.393745, 1.30997, -0.153426, 0.0256313, -0.602106, -0.232904, 0.0241966, -0.703567, 0.55569, -0.509113, 0.0115404, 0.0376321, -0.640717, -0.304246, -0.405762, 0.732508, 2.07267, 0.586728, 1.78827, -0.213345, -0.0697506, -0.68407, -0.404097, -0.376713, 1.95864, 0.126995, -0.918514, 1.85553, -0.627443, -0.279555, 0.717141, -0.534813, 1.01211, 0.0736885, -0.099196, -0.153682, -0.521394, 0.248932, -0.670535, 0.530985, 2.55407, 0.365266, -0.492834, -0.555141, -0.288577, -0.295034, -0.25045, 0
-0.39084, -0.178755, -0.481181, 0.152029, -0.572634, -0.246002, 0.243732, -0.398775, -0.563919, 0.292471, 0.194032, -0.687058, 0.247733, -0.605039, -0.273244, -0.103473, 0.939432, 0.393745, 0.758878, 0.0433004, 0.537201, -0.411312, -0.232904, -0.132764, -0.703567, 0.716828, -0.509113, -0.268119, 0.890334, -0.760424, -0.540066, -0.507657, 0.364785, 0.358832, 0.15499, 1.18359, -0.732468, -0.408497, -0.244064, -0.772677, -0.46213, 1.4316, 0.499896, -0.411375, 0.498204, -0.777808, -0.188243, 0.717141, -0.534813, 0.332685, -0.244504, -0.099196, 1.03148, -0.647593, 0.158441, -0.670535, -0.472579, 0.579766, 0.184947, -0.651443, 1.00863, -0.101887, 0.00206269, -0.471823, 0
-0.789641, -0.686098, -0.253023, -0.191528, 0.824194, -0.624745, 1.26091, -0.398775, 0.0782277, -0.43693, -0.860364, 0.630416, -0.764213, -0.451654, 1.22828, -0.103473, -0.137004, -0.813457, -0.481227, -0.350153, -0.0766721, 1.11513, -0.232904, 0.495159, 0.0685576, 1.84487, 0.206177, 1.27008, -0.985645, 1.75361, 1.1108, -0.100078, -0.983658, 1.21575, -0.564647, -0.993151, -0.0403332, 1.1158, 1.22245, 1.62328, 0.733788, -1.20337, -0.525545, 1.61736, -1.01879, 2.07929, 0.450984, 0.912082, 0.444956, 0.559197, -0.880848, -0.365006, 1.57014, 0.488255, 1.24386, 0.858092, -0.673271, -1.08283, -0.836748, -0.651443, -0.555141, -0.475266, -0.889177, -0.029077, 1
-0.889329, -0.73683, -0.405141, 0.495551, 0.824194, -0.738357, 1.26091, 1.03824, 0.0782277, -0.680105, -0.860364, 1.28919, -0.890699, -0.605039, 1.22828, -0.103473, 0.0423868, -0.813457, -0.619001, 0.240027, 0.332594, 0.733545, -0.232904, 0.181238, 0.222967, 0.233332, -0.151468, 2.10913, -1.24144, 0.676183, 1.22871, 1.63229, -0.861084, 1.21575, -0.852472, -0.751305, -0.559368, 0.438348, 1.51574, 0.886025, 0.221246, -0.939889, -0.618759, 0.264898, -0.699441, 1.47782, 1.09021, 1.04202, 0.567419, -0.00699632, -0.721773, -0.099196, 1.46241, 0.614454, 0.791595, 1.51317, -0.271784, -0.875015, -0.776652, -0.0169266, 1.00863, 0.271491, -1.08721, -0.25045, 1
-0.889329, -0.73683, -0.405141, -0.260233, 1.46889, -0.738357, 1.71296, -0.398775, 0.292386, -0.558487, -0.860364, 0.630416, -0.848537, -0.451654, 1.50127, -0.103473, -0.316394, -0.813457, -0.481227, -0.153426, 0.434897, 0.733545, -0.232904, 0.80908, -0.394749, 0.55569, 0.0273549, 0.850592, -0.900379, 0.436769, 0.874975, 0.205659, -0.861084, 1.21575, -0.420734, -0.872228, -0.0403332, 1.20047, 1.36909, 1.07031, 0.306662, -0.939889, -0.339071, 1.27926, -0.859116, 1.47782, 0.907589, 0.652172, -0.0449601, -0.57319, -1.03992, 0.166614, 2.00112, 0.614454, 2.23879, 1.51317, 0.93237, -0.875015, -0.476141, -0.651443, -0.555141, -0.288577, -1.08721, -0.25045, 1
-0.889329, -0.686098, -0.63326, -0.328937, 0.824194, -0.700486, 1.93899, -0.398775, 0.0782277, 0.414028, -0.860364, 0.301068, -0.806375, -0.451654, 0.272739, -0.103473, -0.137004, -0.899679, 0.207712, -1.13716, 0.0256313, 1.30592, -0.232904, 0.966041, 0.0685576, 2.16715, 0.206177, 1.82947, -1.07091, 1.27472, 1.22871, 0.511343, -0.615872, 1.21575, -0.420734, -0.872228, -0.559368, 0.946403, 0.489156, 0.333156, -0.0350037, -0.808147, -0.525545, 1.95545, -0.38005, 0.725922, 0.907589, 0.717141, 0.322492, -0.120223, -0.960386, -0.099196, 0.81596, 1.11931, 1.69613, 1.29481, -0.0710915, -0.667204, -0.656429, -0.492834, -0.555141, 0.0848018, -1.28524, 0.192296, 1
-0.889329, -0.73683, -1.24162, 0.152029, 1.03907, -0.738357, 0.243732, -0.398775, -0.135821, -0.801662, -0.634439, 0.301068, -0.806375, 1.38912, 1.09178, -0.103473, -0.316394, -0.813457, 0.896652, -0.54698, -0.588241, 0.351958, 0.207033, 3.16365, 1.1495, 0.716828, 2.53105, -0.687681, -0.729804, -0.640717, 2.05414, 2.65129, -0.983658, -0.498089, -0.996385, -0.509396, -1.42451, -1.17062, 1.36909, -0.219808, 1.07545, 0.245857, 1.15244, -0.580421, -0.539725, 1.47782, -0.736112, -0.452372, 2.0371, -0.799644, -0.880848, 2.55904, 1.78566, 1.37171, -0.384222, -0.0154569, -1.27535, -0.667204, -0.776652, 1.09342, 1.00863, 3.4455, -1.28524, 1.0779, 2
-0.889329, -0.73683, -1.24162, 0.0833243, 1.46889, -0.738357, -0.20838, -0.398775, -0.777967, -0.680105, -0.935673, 0.630416, -0.890699, 2.15604, 1.09178, -0.103473, -1.39283, -0.813457, 0.48326, -0.153426, -0.792848, 1.49672, 1.08691, 3.32061, 1.30391, -0.0889431, 2.53105, -0.12829, -1.15618, -0.161827, 1.34662, 2.34561, -0.615872, -0.498089, -0.996385, -1.11407, -1.2515, -1.17062, 0.929163, -0.035518, 1.24629, -0.017627, 1.15244, 0.433945, -0.779279, 1.62819, -0.827471, -0.127492, 1.54719, -0.799644, -1.03992, 2.55904, 2.00112, 1.7503, 0.158441, -0.233816, -1.07466, -0.563246, -0.776652, 1.25202, -0.555141, 3.81887, -1.28524, 1.0779, 2
