@relation plant-shape
@attribute f1 real [-2.10999, 6.13427]
@attribute f2 real [-2.01427, 5.7815]
@attribute f3 real [-2.10311, 5.51776]
@attribute f4 real [-2.23298, 5.27616]
@attribute f5 real [-2.10656, 6.03053]
@attribute f6 real [-2.04281, 6.57572]
@attribute f7 real [-2.08502, 6.69236]
@attribute f8 real [-2.02555, 7.00723]
@attribute f9 real [-1.81649, 7.03289]
@attribute f10 real [-1.59809, 7.23919]
@attribute f11 real [-1.57029, 7.08279]
@attribute f12 real [-1.36963, 7.07023]
@attribute f13 real [-1.35998, 7.08243]
@attribute f14 real [-1.25171, 6.29828]
@attribute f15 real [-1.27168, 5.86017]
@attribute f16 real [-1.25129, 5.25902]
@attribute f17 real [-1.29701, 4.88187]
@attribute f18 real [-1.31992, 5.21408]
@attribute f19 real [-1.37554, 5.16854]
@attribute f20 real [-1.40968, 5.08852]
@attribute f21 real [-1.46053, 5.01359]
@attribute f22 real [-1.6039, 5.72158]
@attribute f23 real [-1.73009, 6.44862]
@attribute f24 real [-1.84889, 6.40895]
@attribute f25 real [-2.00038, 6.1846]
@attribute f26 real [-2.27596, 5.90742]
@attribute f27 real [-2.18072, 5.47721]
@attribute f28 real [-2.27766, 4.84692]
@attribute f29 real [-2.46306, 4.70732]
@attribute f30 real [-2.50708, 4.64418]
@attribute f31 real [-2.45883, 4.96482]
@attribute f32 real [-2.48777, 5.12225]
@attribute f33 real [-2.33225, 4.98977]
@attribute f34 real [-2.48204, 4.80097]
@attribute f35 real [-2.55737, 4.63598]
@attribute f36 real [-2.47919, 4.94337]
@attribute f37 real [-2.37064, 5.69482]
@attribute f38 real [-2.32354, 6.25365]
@attribute f39 real [-2.21595, 6.22315]
@attribute f40 real [-2.0388, 6.40694]
@attribute f41 real [-1.86007, 6.21124]
@attribute f42 real [-1.78521, 6.09223]
@attribute f43 real [-1.7179, 5.92393]
@attribute f44 real [-1.62308, 5.70848]
@attribute f45 real [-1.51792, 5.65506]
@attribute f46 real [-1.42032, 5.34509]
@attribute f47 real [-1.41443, 5.09201]
@attribute f48 real [-1.39673, 5.30768]
@attribute f49 real [-1.44033, 4.85165]
@attribute f50 real [-1.34286, 4.73114]
@attribute f51 real [-1.29663, 5.19767]
@attribute f52 real [-1.31833, 5.20994]
@attribute f53 real [-1.46571, 5.10731]
@attribute f54 real [-1.54622, 5.30702]
@attribute f55 real [-1.61765, 6.03908]
@attribute f56 real [-1.87695, 5.86853]
@attribute f57 real [-2.04038, 5.52882]
@attribute f58 real [-2.20431, 5.09241]
@attribute f59 real [-2.29504, 4.61678]
@attribute f60 real [-2.36691, 4.62263]
@attribute f61 real [-2.25485, 5.15157]
@attribute f62 real [-2.13597, 5.6388]
@attribute f63 real [-2.0637, 6.05405]
@attribute f64 real [-2.11203, 6.38655]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64
@outputs clase
@data
-0.394504, -0.205486, 0.110573, -0.0610459, -0.0111725, 0.0502228, 0.132391, 0.0912247, -0.0122264, -0.100875, -0.145515, -0.1995, -0.22664, -0.248375, -0.263377, -0.342322, -0.325558, -0.325837, -0.295742, -0.225814, -0.178439, -0.162809, -0.20245, -0.142806, -0.121543, -0.0127772, -0.02345, 0.116338, 0.17518, 0.251124, 0.340673, 0.470162, 0.649939, 0.99599, 1.07326, 0.933747, 0.764095, 0.625892, 0.408632, 0.325844, 0.235046, 0.0970202, 0.0122029, -0.132017, -0.174408, -0.246727, -0.280505, -0.349531, -0.355968, -0.377713, -0.38391, -0.284895, -0.285796, -0.263184, -0.20944, -0.185939, -0.172271, -0.0964029, -0.0352884, -7.73335E-4, -0.0144365, -0.0404669, -0.11737, -0.232506, 1
-0.446232, -0.377145, -0.328299, -0.39114, -0.349767, -0.301685, -0.242014, -0.18366, -0.203657, -0.155881, -0.189265, -0.172782, -0.18581, -0.336299, -0.264131, -0.184894, -0.221434, -0.17949, -0.116474, -0.0384301, -0.0535082, 0.0467706, 0.0498027, 0.173802, 0.205564, 0.29969, 0.516434, 0.703896, 0.849248, 1.00765, 0.809503, 0.436092, 0.217897, 0.0877315, -0.0352215, -0.0737607, -0.150963, -0.156041, -0.157044, -0.255503, -0.226953, -0.274889, -0.363497, -0.331316, -0.315919, -0.206882, -0.163897, -0.103498, -0.0642931, -0.00977286, 0.00272911, 0.0161806, 0.0541108, 0.128201, 0.0673303, 0.0777199, 0.0477571, -0.0914804, -0.121117, -0.0230188, -0.411933, -0.313558, -0.365449, -0.474701, 1
-0.309156, -0.438115, -0.187337, -0.104617, -7.5665E-4, 0.0746943, 0.120098, 0.100329, 0.0481661, 0.0609586, 0.0609485, 0.0331674, 0.03164, 0.0278388, 0.00755321, -0.0299759, -0.178516, -0.153822, -0.146803, -0.150522, -0.166769, -0.096897, -0.0934843, -0.015545, 0.00804302, 0.124468, 0.222809, 0.342073, 0.493176, 0.672583, 0.817253, 0.956927, 0.928782, 0.77207, 0.715407, 0.612056, 0.514002, 0.405194, 0.345279, 0.292217, 0.13748, 0.101359, -7.99495E-4, 0.00302556, -0.0956524, -0.126551, -0.158066, -0.189307, -0.185193, -0.0508609, 0.00227381, 0.0377969, 0.0605976, 0.069886, 0.0679009, 0.0580075, 0.0289389, 0.0834105, 0.0515563, -0.0237915, -0.0499965, -0.0968657, -0.285405, -0.447352, 1
-0.715521, -0.374918, -0.0622441, -0.245876, -0.234191, -0.035307, 0.0774874, 0.124823, 0.149899, 0.0957791, 0.0884042, 0.0516061, 0.0167509, -0.00595892, -0.0427228, -0.0891963, -0.192726, -0.251396, -0.263807, -0.249275, -0.253742, -0.244266, -0.219024, -0.260415, -0.127901, -0.107991, 0.00891969, 0.0318294, 0.104136, 0.171517, 0.321644, 0.413231, 0.595948, 0.945414, 0.908576, 0.743556, 0.593136, 0.384997, 0.30464, 0.234809, 0.186038, 0.0077648, -0.0611321, -0.0604065, -0.153842, -0.184804, -0.205371, -0.245894, -0.266616, -0.121866, -0.128143, -0.0952448, -0.0617651, -0.0698007, -0.027268, -0.022532, -0.0259899, -0.0604643, -0.00720714, -0.0266789, -0.0863234, -0.232477, -0.322655, -0.513903, 1
0.0460742, 0.139042, 0.117596, 0.136551, 0.149031, 0.25811, 0.480234, 0.515856, 0.518435, 0.427808, 0.350293, 0.284577, 0.23397, 0.14209, 0.0270496, 0.180914, 0.223219, 0.0326992, 0.166012, 0.216453, 0.24111, 0.279914, 0.336214, 0.391032, 0.442375, 0.388549, 0.349829, 0.0955676, 0.00669391, 0.00777771, 0.0505897, 0.0994656, 0.0658929, 0.200595, 0.385325, 0.57902, 0.672975, 0.384115, 0.115118, -0.204089, -0.356593, -0.140089, 0.0765466, 0.259448, 0.318902, 0.470108, 0.579089, 0.755095, 0.700393, 0.502114, 0.365436, 0.205383, 0.102113, -0.0388903, -0.212542, -0.470211, -0.389365, -0.0652668, 0.162459, 0.394643, 0.50528, 0.393395, 0.290719, 0.118069, 4
-0.0320372, -0.0344677, 0.09094, 0.0554742, 0.0479574, 0.377378, 0.641863, 0.630785, 0.574064, 0.433017, 0.413126, 0.30814, 0.245252, 0.254176, 0.175777, 0.123411, 0.0373329, 0.131214, 0.00936372, 0.0727746, 0.0676301, 0.0489913, 0.0131001, 0.0288663, 0.053875, 0.0955765, 0.156377, 0.230756, 0.288559, 0.274748, 0.0819728, -0.320518, -0.370175, -0.18522, 0.0581461, 0.137325, 0.377135, 0.577142, 0.765251, 0.904769, 0.622506, 0.348981, 0.114651, -0.13823, -0.352091, -0.265397, -0.101673, 0.0274759, 0.109554, 0.264295, 0.395458, 0.604568, 0.60786, 0.452743, 0.297069, 0.0249281, -0.11609, -0.435539, -0.746749, -0.677085, -0.433245, -0.176754, 0.0767901, 0.0234193, 4
-0.0942665, -0.145988, -0.267886, -0.168447, 0.23412, 0.317724, 0.361533, 0.333349, 0.30537, 0.237837, 0.211474, 0.164755, 0.118926, 0.0566933, 0.0967413, 0.296053, 0.1291, 0.0420567, 0.111217, 0.162043, 0.164728, 0.139485, 0.140499, 0.219637, 0.253096, 0.348116, 0.384658, 0.363211, 0.102676, -0.0792537, -0.0195046, -0.0183297, -0.0772632, 0.0928155, 0.174267, 0.304161, 0.254578, 4.12633E-4, -0.277638, -0.514911, -0.677962, -0.472168, -0.254397, -0.0262337, 0.14639, 0.338193, 0.458603, 0.622236, 0.730816, 0.55805, 0.432992, 0.276442, 0.110878, -0.101082, -0.347647, -0.564793, -0.477705, -0.160516, 0.0871558, 0.384313, 0.439892, 0.291686, 0.141717, -0.0530356, 4
0.0717155, 0.131567, 0.275203, 0.257789, 0.20095, 0.235364, 0.222949, 0.137813, 0.10085, 0.0422802, -0.0621855, 0.069044, 0.0803758, 0.0195907, 0.113706, 0.177744, 0.240146, 0.305555, 0.408212, 0.387365, 0.480207, 0.545875, 0.562563, 0.478327, 0.165239, 0.235317, 0.342573, 0.406056, 0.295777, 0.260137, 0.186136, 0.160954, 0.189323, -0.0549582, -0.244475, -0.487421, -0.769061, -0.547091, -0.224899, 0.0821968, 0.21871, 0.46653, 0.629969, 0.765066, 0.575371, 0.408388, 0.277903, 0.117222, 0.00601932, -0.145397, -0.266612, -0.190846, 0.105467, 0.350001, 0.607964, 0.80847, 0.720088, 0.638459, 0.561449, 0.284636, 0.175513, 0.00531991, -0.03783, 0.0968355, 4
-0.356431, -0.535592, -0.697136, -0.8169, -0.878691, -0.76881, -0.421746, -0.116691, 0.153171, -0.105398, -0.337673, -0.495611, -0.645092, -0.749815, -0.855056, -0.835024, -0.669614, -0.867993, -0.773477, -0.662619, -0.536486, -0.423773, -0.28809, -0.0805473, 0.0631523, -0.212134, -0.560996, -0.963824, -0.866435, -0.755812, -0.56215, -0.362564, -0.188583, -0.369147, -0.542074, -0.700282, -0.889918, -1.10367, -1.3057, -1.46941, -1.31308, -1.06065, -0.817313, -0.592874, -0.381186, -0.193105, -0.00989291, 0.183929, 0.185682, -0.00617835, -0.18682, -0.376137, -0.576403, -0.814718, -1.10105, -1.39621, -1.62084, -1.45647, -1.27473, -1.07421, -0.882125, -0.713914, -0.548058, -0.381589, 6
-0.60995, -0.813901, -0.981232, -1.11952, -1.29845, -1.35396, -0.990154, -0.612063, -0.259614, 0.0725425, -0.129766, -0.295666, -0.42744, -0.566913, -0.694722, -0.8369, -0.936088, -0.990999, -0.88652, -1.09449, -0.987721, -0.872727, -0.770183, -0.662512, -0.545526, -0.408372, -0.229358, -0.290289, -0.677754, -1.05129, -1.37351, -1.39567, -1.20039, -0.944952, -0.637364, -0.273834, -0.431332, -0.630609, -0.807879, -0.98025, -1.12572, -1.27, -1.4068, -1.23629, -1.02535, -0.816123, -0.628147, -0.454443, -0.289908, -0.115645, -0.127829, -0.337861, -0.577985, -0.839662, -1.12572, -1.427, -1.70801, -1.72133, -1.49023, -1.2564, -1.04919, -0.860138, -0.709503, -0.524182, 6
