@relation plant-shape
@attribute f1 real [-2.10999, 6.13427]
@attribute f2 real [-2.01427, 5.7815]
@attribute f3 real [-2.10311, 5.51776]
@attribute f4 real [-2.23298, 5.27616]
@attribute f5 real [-2.10656, 6.03053]
@attribute f6 real [-2.04281, 6.57572]
@attribute f7 real [-2.08502, 6.69236]
@attribute f8 real [-2.02555, 7.00723]
@attribute f9 real [-1.81649, 7.03289]
@attribute f10 real [-1.59809, 7.23919]
@attribute f11 real [-1.57029, 7.08279]
@attribute f12 real [-1.36963, 7.07023]
@attribute f13 real [-1.35998, 7.08243]
@attribute f14 real [-1.25171, 6.29828]
@attribute f15 real [-1.27168, 5.86017]
@attribute f16 real [-1.25129, 5.25902]
@attribute f17 real [-1.29701, 4.88187]
@attribute f18 real [-1.31992, 5.21408]
@attribute f19 real [-1.37554, 5.16854]
@attribute f20 real [-1.40968, 5.08852]
@attribute f21 real [-1.46053, 5.01359]
@attribute f22 real [-1.6039, 5.72158]
@attribute f23 real [-1.73009, 6.44862]
@attribute f24 real [-1.84889, 6.40895]
@attribute f25 real [-2.00038, 6.1846]
@attribute f26 real [-2.27596, 5.90742]
@attribute f27 real [-2.18072, 5.47721]
@attribute f28 real [-2.27766, 4.84692]
@attribute f29 real [-2.46306, 4.70732]
@attribute f30 real [-2.50708, 4.64418]
@attribute f31 real [-2.45883, 4.96482]
@attribute f32 real [-2.48777, 5.12225]
@attribute f33 real [-2.33225, 4.98977]
@attribute f34 real [-2.48204, 4.80097]
@attribute f35 real [-2.55737, 4.63598]
@attribute f36 real [-2.47919, 4.94337]
@attribute f37 real [-2.37064, 5.69482]
@attribute f38 real [-2.32354, 6.25365]
@attribute f39 real [-2.21595, 6.22315]
@attribute f40 real [-2.0388, 6.40694]
@attribute f41 real [-1.86007, 6.21124]
@attribute f42 real [-1.78521, 6.09223]
@attribute f43 real [-1.7179, 5.92393]
@attribute f44 real [-1.62308, 5.70848]
@attribute f45 real [-1.51792, 5.65506]
@attribute f46 real [-1.42032, 5.34509]
@attribute f47 real [-1.41443, 5.09201]
@attribute f48 real [-1.39673, 5.30768]
@attribute f49 real [-1.44033, 4.85165]
@attribute f50 real [-1.34286, 4.73114]
@attribute f51 real [-1.29663, 5.19767]
@attribute f52 real [-1.31833, 5.20994]
@attribute f53 real [-1.46571, 5.10731]
@attribute f54 real [-1.54622, 5.30702]
@attribute f55 real [-1.61765, 6.03908]
@attribute f56 real [-1.87695, 5.86853]
@attribute f57 real [-2.04038, 5.52882]
@attribute f58 real [-2.20431, 5.09241]
@attribute f59 real [-2.29504, 4.61678]
@attribute f60 real [-2.36691, 4.62263]
@attribute f61 real [-2.25485, 5.15157]
@attribute f62 real [-2.13597, 5.6388]
@attribute f63 real [-2.0637, 6.05405]
@attribute f64 real [-2.11203, 6.38655]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64
@outputs clase
@data
-0.585385, -0.402099, -0.541585, -0.447081, -0.172858, -0.0532394, -0.00563915, 0.0435313, 0.0878339, 0.0646942, 0.00533131, -0.0379489, -0.0106034, -0.0702496, -0.0618422, -0.10729, -0.118983, -0.150346, -0.297562, -0.317967, -0.333393, -0.331429, -0.336015, -0.305277, -0.334699, -0.238608, -0.221175, -0.12013, -0.117755, -0.0601163, -0.0286356, 0.129273, 0.317613, 0.651712, 1.04733, 0.924712, 0.782302, 0.672206, 0.526087, 0.423033, 0.297024, 0.152373, 0.132534, -0.0119686, -0.0787762, -0.0834143, -0.165285, -0.174419, -0.251802, -0.263214, -0.288751, -0.36724, -0.243268, -0.224252, -0.19532, -0.136639, -0.0842051, -0.0928811, -0.094377, -0.109235, -0.0806725, -0.187883, -0.326183, -0.430958, 1
-0.394504, -0.205486, 0.110573, -0.0610459, -0.0111725, 0.0502228, 0.132391, 0.0912247, -0.0122264, -0.100875, -0.145515, -0.1995, -0.22664, -0.248375, -0.263377, -0.342322, -0.325558, -0.325837, -0.295742, -0.225814, -0.178439, -0.162809, -0.20245, -0.142806, -0.121543, -0.0127772, -0.02345, 0.116338, 0.17518, 0.251124, 0.340673, 0.470162, 0.649939, 0.99599, 1.07326, 0.933747, 0.764095, 0.625892, 0.408632, 0.325844, 0.235046, 0.0970202, 0.0122029, -0.132017, -0.174408, -0.246727, -0.280505, -0.349531, -0.355968, -0.377713, -0.38391, -0.284895, -0.285796, -0.263184, -0.20944, -0.185939, -0.172271, -0.0964029, -0.0352884, -7.73335E-4, -0.0144365, -0.0404669, -0.11737, -0.232506, 1
-0.446232, -0.377145, -0.328299, -0.39114, -0.349767, -0.301685, -0.242014, -0.18366, -0.203657, -0.155881, -0.189265, -0.172782, -0.18581, -0.336299, -0.264131, -0.184894, -0.221434, -0.17949, -0.116474, -0.0384301, -0.0535082, 0.0467706, 0.0498027, 0.173802, 0.205564, 0.29969, 0.516434, 0.703896, 0.849248, 1.00765, 0.809503, 0.436092, 0.217897, 0.0877315, -0.0352215, -0.0737607, -0.150963, -0.156041, -0.157044, -0.255503, -0.226953, -0.274889, -0.363497, -0.331316, -0.315919, -0.206882, -0.163897, -0.103498, -0.0642931, -0.00977286, 0.00272911, 0.0161806, 0.0541108, 0.128201, 0.0673303, 0.0777199, 0.0477571, -0.0914804, -0.121117, -0.0230188, -0.411933, -0.313558, -0.365449, -0.474701, 1
-0.459702, -0.550768, -0.488506, -0.23656, -0.0116532, 0.0788264, 0.201723, 0.22002, 0.175787, 0.0868683, 0.0660804, 0.0345625, -0.0159704, -0.0824135, -0.114084, -0.151877, -0.20307, -0.262792, -0.283241, -0.290429, -0.246098, -0.24223, -0.207997, -0.285103, -0.198312, -0.153142, -0.0461853, -0.150938, -4.42943E-4, 0.0535962, 0.152029, 0.291466, 0.504463, 0.859928, 1.14792, 1.02443, 0.902206, 0.764626, 0.601128, 0.490326, 0.380909, 0.259444, 0.156667, 0.0666478, -0.0621421, -0.0752006, -0.152234, -0.17708, -0.235068, -0.28279, -0.276743, -0.146389, -0.183906, -0.185217, -0.163835, -0.126313, -0.107875, -0.184529, -0.155132, -0.126845, -0.181137, -0.248018, -0.337773, -0.47335, 1
-0.0522237, -0.239123, -0.158857, -0.0855076, -0.116092, -0.125531, -0.146437, -0.211964, -0.2923, -0.268294, -0.279907, -0.316925, -0.341539, -0.353462, -0.318473, -0.396815, -0.356356, -0.289949, -0.275425, -0.28125, -0.200555, -0.185818, -0.0938106, -0.0681857, 0.0153244, 0.0435246, 0.127313, 0.202764, 0.359562, 0.451034, 0.559051, 0.707517, 0.91232, 0.827843, 0.717525, 0.568451, 0.459048, 0.269357, 0.258509, 0.148657, 0.0836129, 0.0284735, -0.0644413, -0.169613, -0.171867, -0.253455, -0.295509, -0.373014, -0.412536, -0.397842, -0.406447, -0.316483, -0.300858, -0.3095, -0.241639, -0.177603, -0.0835791, -0.0122392, 0.0789468, 0.125786, 0.034403, 0.00834056, -0.178227, -0.0875866, 1
-0.502227, -0.325991, -0.221016, -0.123845, -0.057603, -0.0083884, -0.055523, -0.143243, -0.135302, -0.108894, -0.0858886, -0.102181, -0.0759019, -0.0747208, -0.0567796, -0.0474356, -0.148606, -0.116262, -0.119231, -0.0415361, -0.00443438, -0.0197582, 0.092965, 0.135016, 0.201092, 0.305812, 0.426621, 0.61698, 0.741019, 0.91315, 1.04342, 0.806715, 0.513709, 0.325246, 0.191646, 0.1176, 0.0221946, 0.023423, 0.0188496, -0.0871294, -0.0538018, -0.0845951, -0.172305, -0.173101, -0.197121, -0.190891, -0.137116, -0.0893302, -0.0851427, -0.0848706, -0.0524197, -0.0114369, 0.014146, 0.0506386, 0.10206, 0.207597, 0.236956, 0.239091, 0.275272, 0.166739, 0.135634, -0.0180107, -0.284436, -0.526546, 1
-0.309156, -0.438115, -0.187337, -0.104617, -7.5665E-4, 0.0746943, 0.120098, 0.100329, 0.0481661, 0.0609586, 0.0609485, 0.0331674, 0.03164, 0.0278388, 0.00755321, -0.0299759, -0.178516, -0.153822, -0.146803, -0.150522, -0.166769, -0.096897, -0.0934843, -0.015545, 0.00804302, 0.124468, 0.222809, 0.342073, 0.493176, 0.672583, 0.817253, 0.956927, 0.928782, 0.77207, 0.715407, 0.612056, 0.514002, 0.405194, 0.345279, 0.292217, 0.13748, 0.101359, -7.99495E-4, 0.00302556, -0.0956524, -0.126551, -0.158066, -0.189307, -0.185193, -0.0508609, 0.00227381, 0.0377969, 0.0605976, 0.069886, 0.0679009, 0.0580075, 0.0289389, 0.0834105, 0.0515563, -0.0237915, -0.0499965, -0.0968657, -0.285405, -0.447352, 1
-0.388863, -0.312702, -0.19533, -0.131933, -0.0709032, -0.119914, -0.119597, -0.107244, -0.0648016, -0.0729428, -0.0645911, -0.0800728, -0.105738, -0.155341, -0.301481, -0.251616, -0.174754, -0.155364, -0.12239, -0.0431168, -0.0561049, 0.0493614, 0.125361, 0.218769, 0.308353, 0.470779, 0.605521, 0.796565, 0.929091, 1.09682, 0.859915, 0.504453, 0.274608, 0.183875, 0.143432, 0.078029, 0.0216139, -0.0516546, -0.0562737, -0.165857, -0.064493, -0.118992, -0.175547, -0.165461, -0.185144, -0.213989, -0.18881, -0.136352, -0.0647046, -0.0376995, 0.0258074, 0.0366623, 0.0764823, 0.123145, 0.148165, 0.314908, 0.31532, 0.281834, 0.167255, 0.0497365, -0.25593, -0.504138, -0.588797, -0.433509, 1
-0.715521, -0.374918, -0.0622441, -0.245876, -0.234191, -0.035307, 0.0774874, 0.124823, 0.149899, 0.0957791, 0.0884042, 0.0516061, 0.0167509, -0.00595892, -0.0427228, -0.0891963, -0.192726, -0.251396, -0.263807, -0.249275, -0.253742, -0.244266, -0.219024, -0.260415, -0.127901, -0.107991, 0.00891969, 0.0318294, 0.104136, 0.171517, 0.321644, 0.413231, 0.595948, 0.945414, 0.908576, 0.743556, 0.593136, 0.384997, 0.30464, 0.234809, 0.186038, 0.0077648, -0.0611321, -0.0604065, -0.153842, -0.184804, -0.205371, -0.245894, -0.266616, -0.121866, -0.128143, -0.0952448, -0.0617651, -0.0698007, -0.027268, -0.022532, -0.0259899, -0.0604643, -0.00720714, -0.0266789, -0.0863234, -0.232477, -0.322655, -0.513903, 1
-0.594291, -0.610341, -0.614491, -0.244806, -0.315315, -0.334862, -0.175331, -0.133148, -0.0553119, -0.00799702, -0.0179548, -0.0617857, -0.0668126, -0.0411175, -0.0703786, -0.0816947, -0.115587, -0.174811, -0.254947, -0.377951, -0.389498, -0.385373, -0.359799, -0.339619, -0.3646, -0.267968, -0.231172, -0.164894, -0.127081, -0.106332, -0.0200801, 0.124642, 0.2997, 0.646816, 0.91089, 0.77026, 0.602136, 0.45449, 0.253553, 0.141391, 0.0701555, -0.0239156, -0.157029, -0.233584, -0.203623, -0.268106, -0.322261, -0.301816, -0.333801, -0.233822, -0.0611558, -0.038726, -0.115052, -0.129262, -0.118942, -0.154099, -0.144846, -0.190292, -0.301634, -0.381631, -0.37492, -0.430092, -0.53077, -0.635038, 1
-0.40404, -0.36446, -0.327988, -0.2791, -0.3982, -0.325715, -0.340557, -0.274742, -0.284992, -0.269939, -0.267462, -0.282474, -0.264324, -0.376373, -0.350357, -0.313822, -0.311504, -0.272071, -0.196994, -0.134549, -0.157258, -0.116236, 0.00562906, 0.0760902, 0.19466, 0.30819, 0.477494, 0.6859, 0.896124, 1.07407, 0.957057, 0.613317, 0.379183, 0.27693, 0.234132, 0.173024, 0.0955634, 0.0148991, 0.0582078, -0.0562814, -0.0849033, -0.205813, -0.180694, -0.263636, -0.346163, -0.374098, -0.389752, -0.385712, -0.267549, -0.244633, -0.234086, -0.182994, -0.144163, -0.132195, -0.0993667, 0.00570377, 0.0927096, 0.0793283, 0.0780934, -0.0371713, 0.0884898, -0.0447594, -0.427856, -0.408637, 1
-0.3086, -0.217264, -0.178839, -0.283897, -0.145737, -0.0160107, 0.126778, 0.201316, 0.194184, 0.201474, 0.180971, 0.148531, 0.0963903, 0.0617477, 0.0899014, 0.0581415, 0.0304888, 0.00355525, -0.0286206, -0.06533, -0.221211, -0.274955, -0.251289, -0.266283, -0.299031, -0.233813, -0.250602, -0.142165, -0.113375, -0.0821918, -0.00454193, 0.0814196, 0.262896, 0.585583, 0.988644, 1.36233, 1.29302, 1.11012, 0.897119, 0.705786, 0.557013, 0.434391, 0.298557, 0.182861, 0.0840271, -0.0105104, -0.0375514, -0.0905224, -0.12676, -0.190964, -0.201503, -0.0588494, -0.068505, -0.0626883, -0.0569704, -0.0487402, -0.00525467, -0.0641462, -0.0665802, -0.115376, -0.0726402, -0.133869, -0.20881, -0.308886, 1
