@relation plant-texture
@attribute f1 real [-0.519535, 9.52031]
@attribute f2 real [-0.666631, 7.74014]
@attribute f3 real [-0.762104, 8.04011]
@attribute f4 real [-0.708388, 6.74471]
@attribute f5 real [-0.708872, 4.64285]
@attribute f6 real [-0.477533, 6.92505]
@attribute f7 real [-0.792218, 8.04991]
@attribute f8 real [-0.784428, 6.32807]
@attribute f9 real [-0.666987, 8.05504]
@attribute f10 real [-0.533921, 7.97763]
@attribute f11 real [-0.563569, 7.75883]
@attribute f12 real [-0.369926, 6.51301]
@attribute f13 real [-0.677217, 7.07858]
@attribute f14 real [-0.716032, 9.53273]
@attribute f15 real [-0.182183, 12.0421]
@attribute f16 real [-0.391958, 9.18253]
@attribute f17 real [-0.555526, 11.1377]
@attribute f18 real [-0.425194, 14.9075]
@attribute f19 real [-0.777353, 8.79551]
@attribute f20 real [-0.869917, 7.19783]
@attribute f21 real [-0.284531, 9.30172]
@attribute f22 real [-0.598826, 7.46936]
@attribute f23 real [-0.720303, 7.54069]
@attribute f24 real [-0.566447, 6.8421]
@attribute f25 real [-0.654772, 8.95164]
@attribute f26 real [-0.559444, 6.673]
@attribute f27 real [-0.660812, 6.44015]
@attribute f28 real [-0.533846, 8.57497]
@attribute f29 real [-0.821232, 7.4379]
@attribute f30 real [-0.911563, 5.90687]
@attribute f31 real [-0.869485, 9.45305]
@attribute f32 real [-0.397034, 7.96407]
@attribute f33 real [-0.390723, 7.75701]
@attribute f34 real [-0.631198, 7.70705]
@attribute f35 real [-0.881575, 6.35117]
@attribute f36 real [-0.26479, 8.88692]
@attribute f37 real [-0.355456, 9.10635]
@attribute f38 real [-0.872076, 7.16653]
@attribute f39 real [-0.80266, 6.05437]
@attribute f40 real [-0.750543, 5.72583]
@attribute f41 real [-0.389426, 9.78567]
@attribute f42 real [-0.546206, 6.23029]
@attribute f43 real [-0.78402, 9.00684]
@attribute f44 real [-0.575747, 8.53846]
@attribute f45 real [-0.762128, 5.61675]
@attribute f46 real [-0.829758, 5.83726]
@attribute f47 real [-1.16399, 4.96425]
@attribute f48 real [-0.552929, 7.74485]
@attribute f49 real [-0.864369, 7.61908]
@attribute f50 real [-0.678759, 7.53975]
@attribute f51 real [-0.401713, 11.4371]
@attribute f52 real [-0.523947, 8.11473]
@attribute f53 real [-0.674874, 7.12783]
@attribute f54 real [-0.801229, 9.66413]
@attribute f55 real [-0.574473, 6.1302]
@attribute f56 real [-0.237346, 19.4893]
@attribute f57 real [-0.682736, 6.89393]
@attribute f58 real [-0.464696, 7.59499]
@attribute f59 real [-1.0564, 5.98085]
@attribute f60 real [-0.224752, 10.386]
@attribute f61 real [-0.233691, 13.183]
@attribute f62 real [-0.535351, 9.53529]
@attribute f63 real [-0.664316, 5.71314]
@attribute f64 real [-0.871705, 5.64623]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60, f61, f62, f63, f64
@outputs clase
@data
0.595981, 0.3355, -0.762104, -0.527715, 0.486187, -0.477533, 0.0543799, 0.669497, -0.363234, -0.454858, -0.563569, 0.424266, -0.677217, -0.661781, -0.182183, -0.391958, 0.266355, -0.425194, -0.404374, 0.59158, -0.284531, -0.598826, 0.808009, -0.351728, -0.47119, -0.559444, 0.680144, -0.533846, -0.107919, -0.911563, 1.46365, -0.397034, -0.390723, 1.74135, -0.799348, -0.26479, -0.355456, 0.0651883, -0.257716, -0.407688, -0.316911, -0.546206, 0.514227, 1.23845, 0.233107, 0.355497, 0.838327, 2.77994E-4, -0.864369, -0.506094, -0.401713, -0.523947, -0.674874, -0.138414, 1.14738, -0.237346, -0.383088, -0.464696, -0.475376, -0.224752, -0.233691, -0.509182, -0.664316, 0.448939, 0
0.311184, 0.391199, -0.398349, -0.708388, 0.771956, -0.477533, 0.289557, 0.512327, -0.580207, -0.375822, -0.563569, 0.662521, -0.677217, -0.716032, -0.182183, -0.391958, 0.266355, -0.425194, -0.186806, -0.285294, -0.284531, -0.598826, 1.96457, -0.566447, -0.654772, -0.536102, -0.356039, -0.32566, -0.671073, -0.834047, -0.515965, -0.397034, -0.390723, 3.12328, -0.881575, -0.26479, -0.355456, 0.930325, -0.575596, 0.163764, -0.316911, -0.546206, -0.567664, 0.266561, 1.00219, 1.0222, -0.253886, -0.357697, -0.864369, -0.678759, -0.401713, -0.523947, -0.674874, -0.138414, 2.16831, -0.237346, -0.29748, -0.464696, -0.991816, -0.224752, -0.233691, -0.535351, -0.664316, -0.317892, 0
-0.472069, 0.613882, -0.325643, -0.618052, 1.00577, -0.477533, -0.368919, 1.3768, 0.85178, -0.533921, -0.563569, 4.88502, -0.609154, 1.5615, -0.182183, -0.391958, -0.032497, -0.425194, -0.528722, 1.11772, -0.284531, -0.554475, -0.100739, -0.566447, -0.654772, -0.559444, -0.660812, -0.533846, 0.455197, -0.446702, -0.127115, -0.397034, -0.390723, -0.331769, 0.269093, -0.26479, -0.355456, -0.295307, -0.711844, -0.712431, -0.389426, -0.546206, -0.78402, -0.44617, -0.12878, -0.644555, -0.132481, 1.36697, -0.646825, 0.150022, -0.401713, -0.523947, -0.674874, -0.417507, 0.126468, -0.237346, -0.511521, -0.464696, -0.217156, -0.224752, -0.233691, -0.535351, -0.664316, -0.658687, 0
-0.519535, 2.11708, 0.765619, -0.708388, 1.49939, -0.230764, -0.745164, 2.43776, 1.58943, -0.533921, -0.563569, 0.741935, 0.275242, 0.20584, -0.182183, -0.235008, 1.2377, -0.425194, -0.715195, 2.69613, -0.284531, -0.465817, 1.09715, -0.51274, -0.654772, -0.559444, -0.660812, -0.429753, 1.46883, 2.03271, 0.75665, -0.397034, -0.390723, -0.56209, 1.25539, -0.26479, -0.355456, -0.763921, -0.80266, -0.750543, -0.389426, -0.282158, -0.78402, -0.575747, 0.0521636, -0.607537, 0.231549, 2.08289, -0.284352, 1.18595, -0.401713, -0.379981, -0.628683, -0.487272, -0.224003, -0.237346, -0.554303, -0.464696, 0.17024, -0.224752, -0.233691, -0.535351, 0.983797, -0.871705, 1
-0.472069, 2.61814, 0.110891, -0.708388, 2.25284, 0.460171, -0.698157, 2.43776, 0.548026, -0.533921, -0.563569, -0.0654862, 1.02358, 0.15159, -0.182183, -0.391958, 2.84413, -0.425194, -0.777353, 1.70234, -0.284531, -0.598826, 1.05583, -0.566447, -0.654772, -0.559444, -0.660812, -0.533846, 0.567835, 1.64537, 0.827347, -0.397034, -0.390723, -0.469961, 0.186866, -0.26479, -0.355456, -0.151123, -0.80266, -0.750543, -0.389426, -0.194201, -0.675842, -0.55414, 0.459309, -0.311204, 0.292252, 2.57098, -0.57436, 0.0464157, -0.401713, -0.236015, -0.674874, -0.801229, 0.248363, -0.237346, -0.340306, -0.464696, -0.410788, -0.224752, -0.233691, -0.535351, 1.55702, -0.61611, 1
-0.519535, 2.67384, 0.474646, -0.708388, 3.08418, -0.18144, -0.792218, 3.45949, 1.06871, -0.533921, -0.478056, 0.186011, 0.00313118, 1.66994, -0.182183, -0.391958, 2.54527, -0.425194, -0.777353, 2.40388, -0.284531, -0.510168, 1.71671, -0.566447, -0.654772, -0.559444, -0.660812, -0.533846, 0.267479, 0.793006, -0.197811, -0.397034, -0.390723, -0.56209, 1.25539, -0.26479, -0.355456, -0.58371, -0.80266, -0.712431, -0.389426, -0.45816, -0.78402, -0.575747, 0.368837, -0.718629, -0.07184, 1.69239, -0.429356, 0.529866, -0.342523, -0.523947, -0.674874, -0.801229, 0.00455765, -0.237346, -0.254655, -0.464696, 0.234762, -0.224752, -0.233691, -0.535351, 0.2672, -0.871705, 1
-0.49579, 1.44897, 0.401865, -0.708388, 2.33078, -0.230764, -0.698157, 2.24128, 0.331053, -0.533921, -0.563569, 0.344839, -0.200987, 0.368481, -0.182183, -0.235008, 0.789384, -0.281904, -0.777353, 1.11772, -0.284531, -0.510168, 1.4689, -0.566447, -0.654772, -0.559444, -0.660812, -0.117473, 1.39375, 0.638052, 0.721283, -0.397034, -0.390723, -0.493005, 0.351235, -0.26479, -0.355456, -0.511581, -0.80266, -0.712431, -0.389426, -0.282158, -0.78402, -0.532555, 1.0474, -0.533463, -0.314526, 1.9527, -0.356817, 0.875162, -0.401713, -0.0920497, -0.674874, -0.766329, 1.02551, -0.237346, -0.169047, -0.464696, 0.363872, -0.224752, -0.233691, -0.535351, 1.05549, -0.658687, 1
-0.0211037, -0.610932, -0.398349, -0.708388, 1.26557, -0.477533, 0.383618, 0.669497, -0.666987, -0.481221, -0.335575, 1.01992, -0.677217, -0.716032, -0.182183, -0.391958, -0.555526, -0.425194, -0.0624909, -0.636092, -0.284531, -0.598826, -0.0180907, -0.51274, -0.47119, -0.419468, -0.508426, -0.117473, 1.20603, -0.911563, 2.52418, -0.397034, -0.390723, 1.16542, -0.881575, -0.26479, -0.355456, 0.930325, -0.666412, -0.0267197, -0.389426, -0.546206, -0.513547, -0.44617, -0.219251, 1.6889, 1.02031, 0.325665, -0.864369, -0.471582, -0.401713, -0.523947, -0.674874, 0.838322, 1.52841, -0.237346, -0.468695, -0.464696, -0.991816, -0.224752, -0.233691, -0.352248, -0.664316, -0.0622529, 2
-0.353391, -0.666631, -0.543836, -0.708388, 2.07087, -0.477533, 0.242502, 2.28059, -0.666987, -0.402158, 0.00644403, 0.874305, -0.677217, -0.716032, -0.182183, -0.391958, -0.555526, -0.425194, -0.0313961, -0.285294, -0.284531, -0.42151, -0.0594147, -0.51274, -0.654772, -0.536102, -0.630322, -0.377679, 1.69411, -0.911563, 2.20603, -0.397034, -0.390723, 0.935077, -0.799348, -0.26479, -0.355456, 0.353555, -0.530211, -0.483873, -0.389426, -0.546206, -0.729903, -0.359763, -0.26451, 0.429571, 1.08101, 1.4646, -0.864369, 1.18595, -0.372103, -0.523947, -0.674874, 0.245307, 0.796936, -0.237346, -0.468695, -0.464696, -0.604486, -0.224752, -0.233691, -0.456871, -0.664316, -0.317892, 2
0.168761, -0.666631, -0.180157, -0.347042, 0.460196, -0.477533, 0.336611, 0.944566, -0.666987, -0.323122, 1.2605, 0.0403989, -0.677217, -0.716032, -0.182183, -0.391958, -0.555526, -0.425194, -0.559785, -0.168382, -0.284531, 1.57345, -0.555091, -0.566447, -0.593557, -0.396126, -0.356039, -0.533846, 0.680436, -0.911563, 0.79198, -0.397034, -0.390723, 0.612605, -0.881575, -0.26479, -0.355456, 0.461711, -0.0760833, -0.407688, -0.365246, -0.546206, -0.297191, 0.115377, -0.626397, 1.0222, 2.05182, 0.455819, -0.864369, 1.56582, 0.456583, -0.523947, -0.58254, 0.315072, 0.720744, -0.237346, -0.63991, -0.464696, 0.42846, -0.224752, -0.233691, 0.0139571, -0.664316, 0.534181, 2
