@relation ringnorm
@attribute f1 real [-4.49387, 3.8167]
@attribute f2 real [-4.68628, 4.22708]
@attribute f3 real [-4.89449, 4.55568]
@attribute f4 real [-4.34605, 4.36565]
@attribute f5 real [-4.70299, 4.03935]
@attribute f6 real [-4.45287, 4.06021]
@attribute f7 real [-4.97147, 3.94246]
@attribute f8 real [-4.51019, 3.86375]
@attribute f9 real [-4.56651, 4.4876]
@attribute f10 real [-4.7529, 4.45058]
@attribute f11 real [-5.04382, 4.3708]
@attribute f12 real [-4.77719, 4.12549]
@attribute f13 real [-4.57555, 3.86998]
@attribute f14 real [-4.86707, 4.46455]
@attribute f15 real [-4.72444, 4.4442]
@attribute f16 real [-4.57191, 4.15583]
@attribute f17 real [-4.97265, 4.38814]
@attribute f18 real [-5.51035, 4.1107]
@attribute f19 real [-4.97365, 3.52078]
@attribute f20 real [-4.42216, 4.70729]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20
@outputs clase
@data
0.446918, 0.184425, 0.350168, -0.439372, -0.14163, 0.685463, 0.327171, -0.195986, 0.856896, 0.906905, 0.0162479, -0.375709, 0.651783, 0.250562, -1.57786, 0.486021, 1.55207, -0.995021, -0.529666, 1.36498, 1
-0.771945, 0.342189, 0.38053, -0.141841, 0.83679, 0.948092, 1.49728, -0.0906722, 0.208763, -0.31299, -0.55794, 0.243329, 1.40231, -1.15465, 1.07397, -0.266284, -0.921646, -0.629726, -1.30695, 0.912165, 1
0.622168, 1.45471, -0.859272, 2.38443, -0.46811, -1.62335, -0.450855, -2.01428, -0.815154, 0.218072, -1.37429, -2.56286, 0.722606, -0.936768, 0.1014, -0.325087, -0.759583, -0.0525959, 1.3459, 0.950912, 0
-0.745872, 0.00428702, -1.25226, 0.161256, 0.867747, -0.185324, 0.521134, 0.563286, 0.159391, 0.198906, 0.109761, 0.96215, 1.05019, 1.55627, 0.560268, -0.110161, 0.0141489, 0.627659, 0.521023, -0.74703, 1
0.484607, -0.00636155, 0.854255, 0.912578, -0.373904, -1.1984, 1.15318, -0.110027, 0.462351, -0.150651, -0.388851, -0.456101, -0.595318, -0.809902, -0.95548, 0.289575, 0.532118, -0.622913, -0.145341, 0.0286777, 1
0.463584, 0.674323, 0.511278, -0.135011, 0.618946, 0.234833, 0.150959, 0.948298, 0.260295, -0.683998, -0.111133, -0.639101, 0.122298, -0.899399, -0.12037, 0.317141, 1.91404, 0.0589385, -0.274622, 0.811448, 1
-0.355914, -0.0437583, 1.15172, -0.128814, 0.455071, 1.1216, 0.212282, 0.231531, 0.520857, -0.181494, -0.670458, -0.184048, 0.178669, 0.698867, 1.04699, 0.253174, -0.63802, 0.555533, 0.284082, 0.37823, 1
0.41914, -0.260089, -0.224251, 0.386507, 0.957885, -1.1637, 2.54332, 0.359489, 0.408597, -1.10501, 1.5198, -0.135599, -1.9439, -0.72788, 0.63847, 0.226541, -0.424716, -1.15806, -1.13085, 1.71529, 0
0.901837, 0.503185, -0.680917, 0.557058, 0.529572, 0.225131, 0.236985, -0.339567, 1.10505, 0.776678, 0.302872, 0.671898, 0.104405, 0.437156, 0.844474, -0.594523, 0.13072, -0.218393, 0.748561, -0.350905, 1
0.295467, -0.457024, 0.61653, 0.420339, 0.380952, 0.375632, 0.59034, -0.119072, -0.760104, -0.486182, 1.0523, 0.745952, -0.388417, -0.324355, 0.701468, 0.70101, 0.940782, -0.192183, -0.923011, 0.419013, 1
0.207842, 0.586029, 1.34941, -0.114206, -0.735662, 0.308404, 1.92121, -0.335393, -0.316433, -0.262981, -0.411869, 0.576319, 0.669426, 0.189885, -0.544405, -1.10689, 0.0611567, -0.430413, -0.849447, -0.493487, 1
0.703922, 0.058037, 0.54589, -1.44289, 0.8694, -1.89891, 0.529079, 0.16322, 2.59942, -1.60193, 2.25173, 1.27355, 0.283778, 1.60707, -0.328431, -0.922016, 2.11888, 2.09338, 1.32754, 1.4209, 0
0.41087, -0.20672, -0.455756, 0.739687, -0.234692, 0.170653, -0.296615, 0.637986, 0.385577, 0.252406, 3.17381E-4, 0.282113, 0.387009, 4.4143E-4, -0.201189, 0.575626, 0.57761, 1.59709, 1.24119, 0.727209, 1
-1.95198, -1.05119, -1.91875, -0.926426, -0.0806063, -0.294219, 0.342377, -4.05585, -2.13969, -0.470634, 0.291206, -0.354434, -0.334173, -0.796665, -0.100679, -0.0761234, -2.56628, 0.165992, 0.495756, 0.478247, 0
0.28947, 1.68556, -0.327655, -0.807161, 0.0741153, -0.940188, 0.505617, 1.25431, 0.9067, 0.696967, 0.241219, -0.933181, 0.109285, 0.339679, -0.350427, -0.550094, -0.700697, -0.0443704, -0.567664, -0.024385, 1
-0.0958795, 1.76346, 1.05854, 3.06625, -2.86547, -1.9634, -0.291216, -2.34249, 3.42308, -0.924398, 0.655977, 3.01933, -0.0197858, -2.27617, -0.271041, -1.11305, -1.90148, 1.58887, -0.22543, 0.864765, 0
1.56957, -0.359032, 0.100557, 0.505836, 0.203792, -1.06345, -1.51371, -0.268725, 2.48803, 1.60811, 0.253575, -1.42124, -1.9307, 0.295912, -2.40549, -0.946595, 0.283622, -1.60984, -0.206943, 2.72609, 0
-0.244236, -0.26966, 0.251321, 0.563255, -0.295017, -0.431721, 0.316122, -0.796243, 0.648052, -0.512075, -1.62202, 0.906485, 0.0109334, -0.0312275, -0.139687, 0.678733, -0.049918, 0.136466, 1.15188, 0.579028, 1
0.955814, 0.0288168, 0.377204, -0.608216, 0.428119, 0.211823, 0.236427, 0.198577, 0.89158, -0.146843, -0.293456, -0.278309, 0.015876, -0.197996, -1.15694, 0.427156, 1.01793, -0.577734, -0.234961, -0.36433, 1
-0.129339, 1.92914, -0.182619, -0.692448, 0.472997, -0.0331443, 1.30177, -0.198832, 0.618243, -0.0123639, 0.620792, 0.273201, -0.607768, 0.427592, 0.960438, 0.266801, 0.595427, 0.120261, 0.490254, 1.58499, 1
-0.16324, -0.100487, 0.635006, 0.925795, 0.96742, 0.938515, -0.0568458, -0.960887, -0.451651, -0.349926, -0.0913144, 0.794714, 0.0902028, 0.987244, 1.39457, -0.909073, 0.479171, 0.196131, 0.136186, -0.721771, 1
0.646284, 1.19135, -0.892467, 0.605688, -1.28342, -0.224503, 0.356405, -0.321224, 1.2275, -0.531559, -0.292704, 0.0151434, 0.589906, 0.807048, -1.032, -0.694831, 0.0198354, 0.414719, -0.0550168, 0.374221, 1
0.32053, 0.214216, -1.78301, 1.39299, -0.896169, 0.419351, -0.379352, -1.12781, -0.527129, -2.25269, 0.632646, -2.20872, -1.89428, 0.935117, 0.108192, -0.691097, 1.16742, 0.717218, 0.145398, 1.1358, 0
0.218448, -0.349651, -0.00389425, 0.950521, 0.365887, 0.801821, -0.0506389, 0.305725, -1.5308, -0.196852, 0.46525, -0.668095, 0.550115, -0.299083, 0.499576, -0.566273, 0.297648, -0.401133, 0.880593, 0.456297, 1
-0.519486, 0.426427, 0.0714879, -0.411358, 0.195019, -0.90163, 0.158779, -0.333305, 0.0784204, 0.29372, 0.127197, -1.80187, 1.01047, 1.91869, 0.745896, -0.0911819, -0.475199, 0.0764328, 0.92358, 0.456106, 1
0.98921, 0.68681, 0.0856528, -0.282164, 0.12268, -0.353299, -0.397725, -0.751967, -1.58462, 0.164191, 0.0665482, -1.1384, 0.0776899, 0.1268, -0.790352, 0.69877, 0.304978, -0.646607, 0.117827, 0.185766, 1
-0.0829377, -2.20992, 1.01918, -1.22339, -2.70007, -1.56968, 1.673, 2.12377, 0.644102, -1.66965, 1.20539, 1.27336, -0.494151, -1.51181, 2.47668, 0.735981, 0.415989, 1.14402, 0.86057, -1.33027, 0
1.32929, 0.0609526, -0.113826, 0.182187, 0.499123, -0.0646747, 1.39661, 0.0779565, 0.311087, -0.185175, -0.282982, 1.2059, 0.0815063, 0.530389, 0.0964771, 0.542335, -0.411258, 0.182565, -0.263492, -0.474591, 1
