@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
0.0111614, 0.00820415, 0.427494, -0.168223, 0.196962, -1.7839, -0.919816, 0
-0.160678, -0.267455, 1.01998, -0.547401, 0.141364, -0.823514, -0.919816, 0
-0.0541375, -0.0530535, 0.37671, -0.14791, 0.00104639, -0.0759538, -0.384698, 0
0.612598, 0.689696, 0.156645, 0.958027, 0.546432, -1.10418, 0.954114, 0
0.141759, 0.222606, -0.0591877, 0.192899, -0.0439612, 0.560537, -0.191404, 0
-0.366885, -0.382314, 0.207429, -0.337499, -0.271646, -0.375244, -1.09073, 0
-0.294712, -0.558429, 2.0018, -1.15002, 0.329337, 1.02011, -1.27588, 0
-0.731183, -0.757517, -0.101508, -0.908523, -0.554929, 0.267232, -1.00527, 0
0.220805, 0.291521, 0.0593086, 0.289951, 0.297567, -0.191679, -0.366386, 0
0.437322, 0.337464, 1.22734, 0.181614, 0.599382, -0.951212, 0.0710681, 0
0.0902073, -0.0147675, 1.1681, -0.111797, 0.538489, -0.380565, -0.46405, 0
0.176127, 0.153691, 0.639094, 0.163558, 0.355812, -1.55179, -0.561714, 0
-0.133183, -0.160254, 0.457118, -0.542887, 0.313452, -0.597384, -0.740765, 0
0.0249085, -0.0989968, 1.25274, -0.551915, 0.406114, -1.70143, -0.651239, 0
0.183, 0.161348, 0.622166, 0.0755347, 0.424647, -1.13145, -0.378594, 0
-0.940827, -0.834089, -1.34572, -1.05974, -0.599937, -1.462, -1.80897, 0
-1.17796, -1.30118, -0.114204, -1.40055, -1.08178, -0.665223, -1.62991, 0
-0.559344, -0.550772, -0.1269, -0.527088, -0.499332, 0.303812, -0.651239, 0
0.68477, 0.850497, -0.368125, 0.833891, 0.596734, 0.648329, 0.954114, 1
0.829115, 0.89644, 0.224357, 0.788751, 0.88796, 0.557876, 0.779133, 1
0.677897, 0.727982, 0.321693, 0.876774, 0.602029, 0.202054, 0.880866, 1
1.42024, 1.60856, -0.507781, 2.07751, 1.08917, -0.00611946, 2.21764, 1
1.36182, 1.32524, 0.829535, 1.45231, 1.15006, -0.30807, 1.31222, 1
1.28621, 1.14147, 1.50666, 0.921915, 1.5922, 1.53024, 0.954114, 1
0.695081, 0.835183, -0.262324, 1.15213, 0.541137, -0.00279401, 1.13723, 1
1.42024, 1.53965, -0.0972758, 1.8518, 0.776765, -1.03501, 2.12608, 1
1.14186, 1.30227, -0.308876, 1.45006, 0.670865, -0.563464, 1.75984, 1
1.08, 0.995984, 1.19349, 0.590134, 1.15271, -1.08556, 0.872728, 1
1.48898, 1.58559, 0.0296845, 1.67124, 1.11829, -0.228259, 1.67032, 1
1.44774, 1.44776, 0.60947, 1.77732, 1.2189, -0.965844, 1.53603, 1
1.13155, 1.19507, 0.262445, 0.971569, 0.805887, -0.0540059, 1.22676, 1
1.23122, 1.08021, 1.55321, 0.793265, 1.35657, -0.476338, 1.01109, 1
0.863483, 0.919412, 0.317461, 1.16567, 0.83501, -0.115859, 1.14537, 1
0.248299, 0.452322, -0.774398, 0.657844, -0.0730837, -0.705128, 0.958184, 1
0.25861, 0.421693, -0.550101, 0.459227, 0.072529, -0.648596, 0.699781, 1
-1.39448, -1.24758, -2.55184, -0.703135, -1.61658, 1.17175, -0.435564, 2
-1.03706, -1.01786, -0.90559, -0.825013, -1.10826, 0.994175, -0.205647, 2
-1.19859, -1.15569, -1.38804, -1.02363, -1.33329, 0.231317, -0.295172, 2
-0.793045, -0.680945, -1.20606, -0.400695, -1.005, -0.411159, 0.168732, 2
-0.971758, -0.94129, -0.875966, -0.628653, -1.18768, 0.379632, -0.203612, 2
-1.27419, -1.35478, -0.643206, -1.39378, -1.23004, 1.78763, -0.730591, 2
-0.92708, -0.849403, -1.12989, -0.477433, -1.1162, -0.0413692, -0.142572, 2
-1.20202, -1.10209, -1.77315, -1.02137, -1.56363, 0.423528, -0.561714, 2
-1.22952, -1.21695, -1.23146, -1.21999, -1.31211, 0.404906, -0.83029, 2
-1.23295, -1.18632, -1.5023, -0.998803, -1.45243, 1.08729, -0.643101, 2
-0.906459, -0.834089, -1.08757, -0.612854, -0.96794, -1.35625, -0.468119, 2
-0.913333, -0.918318, -0.554333, -0.876925, -0.92558, 0.769375, -0.508813, 2
-1.09892, -1.14038, -0.571261, -1.17485, -1.08178, 1.00349, -0.55561, 2
-0.765551, -0.680945, -0.969071, -0.493233, -0.920285, -0.262179, -0.360282, 2
-0.717436, -0.903004, 1.07499, -1.25385, -0.274294, -0.580092, -1.17618, 2
-0.851471, -0.834089, -0.605117, -0.958177, -0.790557, 0.145521, -0.828256, 2
-0.913333, -1.04083, 0.308997, -1.1094, -0.734959, -0.0460248, -1.0948, 2
-0.566218, -0.688602, 0.732199, -0.885953, -0.0704362, 3.06925, -0.716349, 2
