@relation spambase
@attribute f1 real [-0.342396, 14.5254]
@attribute f2 real [-0.165054, 10.8998]
@attribute f3 real [-0.5567, 9.55948]
@attribute f4 real [-0.0468945, 30.6379]
@attribute f5 real [-0.464264, 14.4053]
@attribute f6 real [-0.350228, 21.1234]
@attribute f7 real [-0.291762, 18.2806]
@attribute f8 real [-0.262533, 27.4383]
@attribute f9 real [-0.323267, 18.5558]
@attribute f10 real [-0.371324, 27.8254]
@attribute f11 real [-0.296827, 12.6532]
@attribute f12 real [-0.628644, 10.5934]
@attribute f13 real [-0.312021, 18.1243]
@attribute f14 real [-0.174908, 29.6595]
@attribute f15 real [-0.190094, 16.8472]
@attribute f16 real [-0.301345, 23.9178]
@attribute f17 real [-0.321101, 15.758]
@attribute f18 real [-0.347838, 16.7669]
@attribute f19 real [-0.936141, 9.62438]
@attribute f20 real [-0.167875, 35.4955]
@attribute f21 real [-0.674346, 8.57774]
@attribute f22 real [-0.118159, 16.5525]
@attribute f23 real [-0.290178, 15.2685]
@attribute f24 real [-0.212971, 28.027]
@attribute f25 real [-0.328779, 12.1342]
@attribute f26 real [-0.299207, 18.4842]
@attribute f27 real [-0.22787, 9.67029]
@attribute f28 real [-0.231805, 16.646]
@attribute f29 real [-0.166713, 23.901]
@attribute f30 real [-0.225215, 12.6503]
@attribute f31 real [-0.160522, 30.8267]
@attribute f32 real [-0.143196, 14.3443]
@attribute f33 real [-0.174901, 32.5284]
@attribute f34 real [-0.145199, 14.3033]
@attribute f35 real [-0.198046, 37.3776]
@attribute f36 real [-0.242104, 18.8576]
@attribute f37 real [-0.32342, 15.9476]
@attribute f38 real [-0.0598297, 37.6921]
@attribute f39 real [-0.180892, 25.3786]
@attribute f40 real [-0.185284, 13.418]
@attribute f41 real [-0.120892, 19.6463]
@attribute f42 real [-0.172581, 18.4498]
@attribute f43 real [-0.205971, 15.7449]
@attribute f44 real [-0.127329, 32.0283]
@attribute f45 real [-0.297744, 20.8748]
@attribute f46 real [-0.197366, 24.0036]
@attribute f47 real [-0.0713801, 28.3786]
@attribute f48 real [-0.111534, 34.886]
@attribute f49 real [-0.158436, 17.8519]
@attribute f50 real [-0.514251, 35.5568]
@attribute f51 real [-0.155181, 37.1503]
@attribute f52 real [-0.329876, 39.4876]
@attribute f53 real [-0.308321, 24.1058]
@attribute f54 real [-0.103037, 46.0816]
@attribute f55 real [-0.132102, 34.5833]
@attribute f56 real [-0.262571, 50.9865]
@attribute f57 real [-0.465557, 25.6581]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57
@outputs clase
@data
0.345322, 0.0519036, 0.435082, -0.0468945, -0.256089, 0.672326, 0.244717, -0.0880005, -0.323267, 1.08659, 0.745125, 0.28815, 1.84719, 0.451614, 0.350774, -0.131811, -0.163463, 0.179347, 1.01826, -0.167875, 0.649761, -0.118159, 0.937389, 0.758483, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.158112, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, -0.0260044, -0.155181, 0.126189, 0.423737, 0.00876176, -0.002443, 0.250536, 1.22819, 1
-0.145906, -0.165054, 0.851631, -0.0468945, 1.3647, 0.343648, 0.193623, 0.0366655, 1.9738, 0.0164199, 1.58861, -0.10642, 0.0866024, -0.174908, 6.57075, -0.228687, -0.185982, 1.59145, -0.170151, 0.459863, -0.249632, -0.118159, 3.0214, -0.0774195, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.013814, -0.120892, -0.172581, 0.330194, -0.127329, -0.238437, -0.131513, -0.0713801, -0.111534, -0.117364, 0.0146828, -0.155181, 0.00849502, 0.440005, -0.0797458, 0.145905, 2.22086, 3.25838, 1
0.148831, -0.165054, 0.35574, -0.0468945, 0.442782, -0.350228, 0.474636, -0.262533, 2.97877, 0.807418, 3.47405, 0.439015, -0.312021, -0.174908, -0.190094, -0.301345, -0.321101, -0.0654173, -0.24337, 6.75686, 0.991197, -0.118159, -0.290178, 0.125908, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, 0.094928, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, 1.13444, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, 0.488134, -0.155181, -0.107973, 0.517278, -0.051796, 0.143478, 2.01562, 1.60586, 1
-0.342396, -0.165054, -0.5567, -0.0468945, 0.874001, -0.350228, 2.00743, -0.262533, -0.323267, 1.02455, 4.16868, -0.628644, 2.67766, -0.174908, -0.190094, -0.301345, -0.321101, -0.347838, 0.595839, -0.167875, 0.0751485, -0.118159, -0.290178, -0.212971, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, -0.514251, -0.155181, -0.329876, -0.308321, -0.103037, -0.0979694, -0.231785, -0.425975, 1
-0.342396, -0.165054, -0.5567, -0.0468945, 0.933479, -0.350228, -0.291762, -0.262533, -0.323267, -0.371324, -0.296827, -0.628644, -0.312021, -0.174908, -0.190094, -0.301345, -0.321101, -0.347838, 0.122728, -0.167875, 1.6824, -0.118159, -0.290178, -0.212971, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, -0.514251, -0.155181, 0.194845, -0.308321, -0.103037, -0.0170036, -0.108639, -0.29074, 1
-0.342396, -0.165054, 0.53426, -0.0468945, 1.18626, -0.350228, 0.168077, -0.262533, -0.323267, -0.371324, -0.296827, -0.628644, 2.74409, -0.174908, 0.505307, -0.301345, 0.512129, 0.3488, 0.838027, -0.167875, 0.0918039, -0.118159, -0.290178, -0.212971, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, 0.158937, -0.155181, 0.227946, -0.308321, -0.103037, -0.122016, -0.247178, -0.351761, 1
-0.342396, -0.165054, -0.5567, -0.0468945, -0.464264, -0.350228, 3.94898, -0.262533, -0.323267, -0.371324, -0.296827, -0.628644, -0.312021, -0.174908, -0.190094, -0.301345, -0.321101, -0.347838, 0.939408, -0.167875, -0.674346, -0.118159, -0.290178, 7.31015, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, -0.514251, -0.155181, 0.121286, -0.308321, -0.103037, -0.0813287, -0.206129, -0.389693, 1
-0.342396, -0.165054, -0.5567, -0.0468945, 0.50226, -0.350228, 1.36877, -0.262533, -0.323267, -0.371324, 2.92826, 0.12568, -0.312021, -0.174908, -0.190094, 0.485779, 2.60646, -0.347838, -0.203945, 10.0721, 0.408257, -0.118159, -0.290178, 1.25551, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.127329, -0.297744, -0.197366, -0.0713801, -0.111534, -0.158436, 1.18351, -0.155181, -0.218312, -0.308321, -0.103037, -0.0789335, 0.0709483, -0.254457, 1
0.247076, -0.165054, -0.199658, -0.0468945, 1.87026, 0.964485, -0.138483, -0.112934, -0.107917, -0.185207, 8.73497E-4, -0.00197494, 0.684538, 0.00409809, -0.190094, -0.301345, 1.30032, -0.23487, 1.62091, 0.302929, 0.233375, -0.118159, 2.10786, -0.0774195, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, 0.0621117, -0.127329, -0.238437, -0.197366, -0.0713801, -0.111534, -0.117364, -0.321911, -0.155181, -0.317617, 0.370866, -0.103037, -0.109, -0.206129, 0.261749, 1
-0.145906, -0.0720722, 0.970645, -0.0468945, -0.181741, 0.818405, 0.679009, -0.262533, -0.107917, -0.371324, -0.296827, 0.114075, 0.518445, -0.174908, 0.273507, -0.301345, -0.321101, -0.121902, 0.00444976, -0.050174, -0.0914058, -0.118159, 0.252236, -0.212971, -0.328779, -0.299207, -0.22787, -0.231805, -0.166713, -0.225215, -0.160522, -0.143196, -0.174901, -0.145199, -0.198046, -0.242104, -0.32342, -0.0598297, -0.180892, -0.185284, -0.120892, -0.172581, -0.205971, -0.0308627, -0.297744, -0.197366, -0.0713801, -0.111534, 0.00585425, -0.403286, -0.155181, -0.0307365, -0.019565, -0.103037, -0.109032, -0.0470662, 0.769708, 1
