@relation spect
@attribute f1 real [-1.00631, 0.981151]
@attribute f2 real [-0.736254, 1.34103]
@attribute f3 real [-0.440995, 2.2389]
@attribute f4 real [-0.597901, 1.65135]
@attribute f5 real [-0.52031, 1.8976]
@attribute f6 real [-0.636801, 1.55047]
@attribute f7 real [-0.378276, 2.61011]
@attribute f8 real [-0.597901, 1.65135]
@attribute f9 real [-0.617316, 1.59941]
@attribute f10 real [-0.481049, 2.05248]
@attribute f11 real [-0.636801, 1.55047]
@attribute f12 real [-0.500753, 1.97171]
@attribute f13 real [-0.578526, 1.70665]
@attribute f14 real [-0.736254, 1.34103]
@attribute f15 real [-0.500753, 1.97171]
@attribute f16 real [-0.284871, 3.46593]
@attribute f17 real [-0.461149, 2.14105]
@attribute f18 real [-0.333541, 2.96018]
@attribute f19 real [-0.284871, 3.46593]
@attribute f20 real [-0.481049, 2.05248]
@attribute f21 real [-0.539765, 1.82921]
@attribute f22 real [-0.559158, 1.76576]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22
@outputs clase
@data
0.981151, -0.736254, -0.440995, -0.597901, 1.8976, -0.636801, -0.378276, -0.597901, 1.59941, 2.05248, -0.636801, -0.500753, -0.578526, 1.34103, 1.97171, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
0.981151, 1.34103, -0.440995, 1.65135, -0.52031, 1.55047, -0.378276, -0.597901, 1.59941, -0.481049, 1.55047, -0.500753, -0.578526, 1.34103, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
0.981151, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, 1.97171, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, 1.82921, 1.76576, 1
0.981151, -0.736254, -0.440995, 1.65135, -0.52031, -0.636801, -0.378276, 1.65135, 1.59941, -0.481049, -0.636801, -0.500753, -0.578526, 1.34103, -0.500753, 3.46593, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, 1.76576, 1
0.981151, 1.34103, 2.2389, -0.597901, -0.52031, 1.55047, -0.378276, 1.65135, -0.617316, -0.481049, 1.55047, 1.97171, 1.70665, 1.34103, -0.500753, -0.284871, 2.14105, 2.96018, 3.46593, 2.05248, 1.82921, -0.559158, 1
0.981151, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, 1.65135, -0.617316, -0.481049, -0.636801, 1.97171, 1.70665, 1.34103, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, 1.76576, 1
0.981151, 1.34103, -0.440995, -0.597901, -0.52031, 1.55047, 2.61011, -0.597901, 1.59941, -0.481049, -0.636801, 1.97171, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, 2.05248, 1.82921, -0.559158, 0
0.981151, 1.34103, 2.2389, -0.597901, -0.52031, 1.55047, 2.61011, 1.65135, -0.617316, -0.481049, 1.55047, 1.97171, 1.70665, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, 2.05248, -0.539765, -0.559158, 0
0.981151, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, 1.59941, -0.481049, -0.636801, -0.500753, -0.578526, 1.34103, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
0.981151, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
0.981151, -0.736254, 2.2389, 1.65135, 1.8976, -0.636801, -0.378276, 1.65135, 1.59941, 2.05248, -0.636801, 1.97171, 1.70665, 1.34103, -0.500753, -0.284871, 2.14105, 2.96018, 3.46593, -0.481049, -0.539765, 1.76576, 1
0.981151, 1.34103, 2.2389, 1.65135, -0.52031, 1.55047, -0.378276, 1.65135, 1.59941, 2.05248, 1.55047, -0.500753, 1.70665, 1.34103, 1.97171, -0.284871, 2.14105, -0.333541, -0.284871, -0.481049, 1.82921, 1.76576, 1
-1.00631, -0.736254, 2.2389, -0.597901, -0.52031, -0.636801, -0.378276, 1.65135, -0.617316, -0.481049, -0.636801, -0.500753, 1.70665, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, 1.76576, 0
-1.00631, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
-1.00631, -0.736254, -0.440995, -0.597901, 1.8976, -0.636801, -0.378276, -0.597901, -0.617316, 2.05248, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, 3.46593, -0.461149, -0.333541, -0.284871, -0.481049, 1.82921, -0.559158, 1
-1.00631, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
-1.00631, -0.736254, -0.440995, 1.65135, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, 1.34103, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
-1.00631, -0.736254, 2.2389, -0.597901, -0.52031, -0.636801, 2.61011, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
-1.00631, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
-1.00631, -0.736254, -0.440995, -0.597901, -0.52031, -0.636801, -0.378276, -0.597901, -0.617316, -0.481049, -0.636801, -0.500753, -0.578526, -0.736254, -0.500753, -0.284871, -0.461149, -0.333541, -0.284871, -0.481049, -0.539765, -0.559158, 0
