@relation statlog-australian-credit
@attribute f1 real [-1.50323, 4.10703]
@attribute f2 real [-0.95592, 4.66864]
@attribute f3 real [-1.78269, 2.8678]
@attribute f4 real [-1.73011, 1.79936]
@attribute f5 real [-1.8535, 2.16193]
@attribute f6 real [-0.664395, 7.85193]
@attribute f7 real [-1.04674, 0.953958]
@attribute f8 real [-0.86357, 1.15631]
@attribute f9 real [-0.493529, 13.2841]
@attribute f10 real [-0.918529, 1.08712]
@attribute f11 real [-3.10892, 3.58423]
@attribute f12 real [-1.06886, 10.5483]
@attribute f13 real [-0.195272, 18.9982]
@attribute f14 real [-0.894654, 1.11613]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14
@outputs clase
@data
-0.771787, 0.18205, 0.542556, 0.98487, -0.347713, 0.108051, 0.953958, 1.15631, 0.94593, -0.918529, 0.237655, -0.319556, 0.42986, 1.11613, 0
0.0997022, -0.654604, 0.542556, 1.52787, 1.66, 0.979107, 0.953958, 1.15631, 0.123382, 1.08712, 0.237655, -1.06886, -0.195272, 1.11613, 1
-0.0757768, 1.45461, 0.542556, 0.170375, -0.347713, -0.0667578, 0.953958, 1.15631, -0.287892, -0.918529, 0.237655, 0.209025, -0.191625, 1.11613, 0
0.9501, -0.704823, 0.542556, -0.101123, -0.347713, 3.48171, -1.04674, 1.15631, -0.287892, 1.08712, 0.237655, 0.975756, -0.173775, -0.894654, 1
-0.554126, 1.55505, 0.542556, -0.372622, -0.347713, 0.232061, 0.953958, -0.86357, -0.493529, 1.08712, -3.10892, -0.95269, -0.195272, 1.11613, 1
1.36518, 0.651099, 0.542556, 0.170375, -0.347713, 1.6888, 0.953958, 1.15631, 0.740293, 1.08712, 0.237655, -1.06886, 0.0465662, 1.11613, 0
-0.708513, -0.95592, 0.542556, 1.52787, -0.347713, -0.638995, 0.953958, -0.86357, -0.493529, -0.918529, 0.237655, -1.06886, -0.195272, 1.11613, 1
-0.659582, -0.872556, -1.78269, 0.170375, -0.347713, -0.652442, -1.04674, 1.15631, -0.0822548, -0.918529, 0.237655, -0.325364, -0.19412, -0.894654, 1
-0.315373, -0.654604, 0.542556, 0.441873, -0.347713, -0.0667578, 0.953958, 1.15631, 1.76848, 1.08712, 0.237655, 1.45206, -0.188554, 1.11613, 1
0.978784, 0.0484667, 0.542556, -1.18712, 0.154216, 0.00794684, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -0.249853, -0.195272, -0.894654, 1
0.78137, -0.252849, 0.542556, -1.18712, 0.154216, -0.514985, -1.04674, -0.86357, -0.493529, -0.918529, -3.10892, 5.66908, -0.195272, -0.894654, 0
-0.596308, -0.855481, 0.542556, 0.98487, 1.66, -0.216167, 0.953958, -0.86357, -0.493529, -0.918529, 0.237655, 0.557539, -0.0371174, 1.11613, 0
-0.849403, 1.35417, 0.542556, -1.18712, -0.347713, -0.514985, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, -0.488004, -0.18222, -0.894654, 1
-0.364305, -0.637529, 0.542556, 1.52787, 1.66, -0.116063, 0.953958, 1.15631, 1.97411, 1.08712, 0.237655, 2.31754, -0.0584222, 1.11613, 1
-0.505194, -0.888626, 0.542556, -0.915618, 1.66, 0.38147, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, 0.906053, -0.195272, -0.894654, 1
-0.146643, -0.252849, 0.542556, 0.170375, -0.347713, -0.61509, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.18579, -0.195272, -0.894654, 1
-0.687422, -0.755042, 0.542556, 0.170375, -0.347713, -0.514985, -1.04674, -0.86357, -0.493529, 1.08712, -3.10892, 0.557539, -0.195272, -0.894654, 1
0.394979, 0.0484667, 0.542556, 0.170375, 0.154216, 0.0826515, 0.953958, 1.15631, 0.740293, -0.918529, 0.237655, -1.06886, -0.124832, 1.11613, 1
-1.13034, 1.05285, -1.78269, 0.98487, 1.66, -0.61509, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.906053, -0.195272, -0.894654, 0
-0.870494, -0.654604, 0.542556, 0.441873, -0.347713, -0.216167, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.197576, -0.193736, 1.11613, 1
0.0220865, -0.947885, -1.78269, -0.101123, -0.347713, -0.652442, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -1.06886, -0.195272, -0.894654, 1
-0.940517, -0.788187, 0.542556, 0.98487, -0.347713, -0.190767, 0.953958, 1.15631, -0.287892, -0.918529, 0.237655, -1.06886, -0.195272, 1.11613, 0
0.0642689, -0.453727, 0.542556, 0.170375, -0.347713, -0.290872, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, 0.557539, -0.195272, -0.894654, 1
0.563709, 1.07796, -1.78269, -0.915618, -0.347713, -0.627042, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.13949, -0.195272, -0.894654, 1
-0.0268452, -0.20263, 0.542556, 1.52787, 1.66, -0.477633, 0.953958, 1.15631, 1.3572, 1.08712, 0.237655, -0.0175099, -0.195272, 1.11613, 0
-0.80722, -0.797227, 0.542556, 0.441873, -0.347713, -0.577737, -1.04674, 1.15631, -0.287892, -0.918529, 0.237655, 1.37074, -0.140954, -0.894654, 1
-0.223415, -0.880591, 0.542556, 0.170375, -0.347713, -0.577737, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.209025, -0.168401, -0.894654, 1
-0.905927, -0.855481, -1.78269, 0.713372, -1.35157, -0.365576, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.441367, -0.195272, -0.894654, 0
0.648074, 0.952415, 0.542556, -0.101123, -0.347713, 1.27793, 0.953958, 1.15631, 2.38539, -0.918529, 0.237655, 0.325196, 0.688972, 1.11613, 1
-0.786129, -0.704823, -1.78269, -1.73011, -1.8535, 0.306765, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.557539, -0.195272, -0.894654, 0
2.74285, 3.06163, 0.542556, 1.79936, 1.66, 4.56493, 0.953958, 1.15631, 1.3572, 1.08712, 0.237655, -1.06886, -0.00333688, 1.11613, 1
1.33734, 0.651099, 0.542556, 0.713372, 0.154216, 1.27793, 0.953958, 1.15631, 0.740293, -0.918529, 0.237655, 1.10935, 9.6126, 1.11613, 0
0.500435, -0.788187, 0.542556, 0.713372, -0.347713, -0.652442, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.371833, -0.194312, -0.894654, 1
0.211907, -0.453727, 0.542556, 0.170375, -0.347713, -0.365576, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 1.60308, -0.192201, -0.894654, 1
0.943351, -0.353288, 0.542556, -1.18712, 0.154216, -0.365576, 0.953958, -0.86357, -0.493529, -0.918529, 0.237655, -1.06886, -0.156885, -0.894654, 1
-0.716106, -0.453727, 0.542556, -1.73011, -1.8535, -0.638995, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -0.488004, 0.61239, -0.894654, 1
-1.06706, 0.902195, -1.78269, 0.170375, -0.347713, -0.365576, 0.953958, 1.15631, 0.329019, 1.08712, 0.237655, -0.604176, -0.0993043, 1.11613, 0
-0.750696, -0.805262, 0.542556, -1.18712, -0.347713, -0.190767, -1.04674, 1.15631, -0.287892, 1.08712, 0.237655, 1.25457, -0.193544, -0.894654, 1
1.83593, -0.922775, 0.542556, -1.73011, -1.8535, -0.664395, -1.04674, -0.86357, -0.493529, 1.08712, -3.10892, -0.70873, -0.190089, -0.894654, 0
0.472595, -0.152411, 0.542556, 0.170375, 0.154216, 0.829698, 0.953958, -0.86357, -0.493529, 1.08712, -3.10892, 0.557539, -0.195272, -0.894654, 1
-0.195575, 2.01506, 0.542556, -0.372622, -0.347713, 0.84165, 0.953958, 1.15631, 0.534656, 1.08712, 0.237655, -0.0930214, -0.195272, 1.11613, 1
-0.252099, -0.244814, 0.542556, -1.18712, 0.154216, -0.514985, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, -0.0755957, -0.195272, -0.894654, 0
0.25409, -0.95592, 0.542556, 0.170375, -0.347713, -0.664395, -1.04674, -0.86357, -0.493529, -0.918529, 3.58423, -8.41822E-5, -0.195272, -0.894654, 1
-0.554126, 1.30395, 0.542556, 0.170375, -0.347713, 0.0826515, 0.953958, 1.15631, 3.0023, -0.918529, 0.237655, 0.092853, 0.0365856, 1.11613, 1
-0.575217, -0.353288, 0.542556, 0.98487, 1.66, -0.116063, 0.953958, 1.15631, 3.41357, -0.918529, 0.237655, -1.06886, -0.0993043, 1.11613, 0
0.739188, 0.676208, -1.78269, -0.915618, -0.347713, -0.61509, -1.04674, 1.15631, -0.0822548, -0.918529, 0.237655, -8.41822E-5, -0.191817, -0.894654, 0
-0.0901188, 0.349783, 0.542556, 0.170375, 0.154216, 0.530879, 0.953958, 1.15631, 0.94593, 1.08712, 0.237655, -1.06886, 0.393008, 1.11613, 0
0.978784, -0.503946, 0.542556, -1.18712, 0.154216, -0.440281, 0.953958, -0.86357, -0.493529, -0.918529, 0.237655, 2.18394, -0.195272, -0.894654, 1
1.51612E-4, -0.353288, -1.78269, -1.18712, 0.154216, 1.42733, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -1.06886, -0.19508, -0.894654, 1
-0.315373, -0.654604, 0.542556, 0.441873, -0.347713, 0.00794684, -1.04674, 1.15631, -0.287892, 1.08712, 0.237655, -0.488004, -0.194696, -0.894654, 1
-0.61065, -0.453727, -1.78269, -1.18712, 0.154216, 0.680288, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.092853, -0.107749, -0.894654, 0
1.51281, 0.567735, 0.542556, -1.18712, 0.154216, 1.60214, 0.953958, 1.15631, 2.59103, 1.08712, 0.237655, -1.06886, 0.764402, 1.11613, 1
2.40539, 1.9568, 0.542556, -1.73011, -1.8535, 4.71434, 0.953958, 1.15631, 2.59103, 1.08712, 0.237655, -1.06886, -0.00333688, 1.11613, 1
-0.631741, 0.851976, 0.542556, -0.372622, -0.347713, -0.58969, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -1.06886, -0.195272, -0.894654, 1
-0.940517, -0.58731, 0.542556, 0.170375, -0.347713, 0.00794684, 0.953958, 1.15631, -0.287892, -0.918529, 0.237655, -0.488004, -0.166481, 1.11613, 1
1.42845, -0.102191, 0.542556, -0.101123, -0.347713, -0.627042, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, 0.238067, -0.195272, 1.11613, 1
-0.547376, -0.445691, -1.78269, -0.372622, -0.347713, -0.58969, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, 1.08031, -0.195272, 1.11613, 0
0.2195, -0.646569, 0.542556, 1.52787, -0.347713, -0.204214, 0.953958, 1.15631, -0.287892, 1.08712, 0.237655, 1.9516, 9.40147, 1.11613, 1
-0.252099, -0.22774, 0.542556, -0.372622, -0.347713, -0.58969, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -0.488004, -0.195272, -0.894654, 1
-0.701764, -0.755042, 0.542556, 0.170375, -0.347713, -0.414881, 0.953958, -0.86357, -0.493529, -0.918529, -3.10892, 0.67371, -0.195272, 1.11613, 1
0.205158, 0.0655413, -1.78269, -1.18712, 0.154216, -0.340177, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, 1.71925, -0.195272, -0.894654, 1
2.1523, -0.888626, 0.542556, -1.18712, 0.154216, -0.365576, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, 0.394899, 0.226409, -0.894654, 0
-1.29232, -0.788187, 0.542556, -0.101123, -0.347713, -0.638995, 0.953958, -0.86357, -0.493529, -0.918529, -3.10892, 0.092853, -0.195272, -0.894654, 1
1.40736, 4.08309, 0.542556, 0.441873, -0.347713, -0.141462, 0.953958, 1.15631, 0.123382, -0.918529, 0.237655, -0.371833, -0.192585, 1.11613, 1
-1.11684, -0.712858, -1.78269, 0.713372, -1.35157, -0.664395, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.488004, -0.195272, -0.894654, 1
0.620234, -0.604384, 0.542556, -0.915618, -0.347713, -0.514985, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, 0.67371, -0.194888, -0.894654, 1
9.95261E-4, -0.805262, -1.78269, -0.372622, -0.347713, 0.38147, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, 0.789882, -0.195272, -0.894654, 1
-0.547376, -0.61242, 0.542556, 1.79936, -0.347713, -0.166862, 0.953958, 1.15631, -0.287892, 1.08712, 0.237655, 1.22553, -0.191433, 1.11613, 1
0.437162, -0.00978767, 0.542556, -1.73011, -1.8535, -0.664395, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.13949, -0.195272, -0.894654, 0
0.578051, -0.814301, 0.542556, 0.170375, -0.347713, -0.552338, -1.04674, 1.15631, -0.0822548, -0.918529, 0.237655, 0.238067, -0.0993043, -0.894654, 1
-1.32775, 0.57577, 0.542556, 0.98487, -0.347713, -0.627042, -1.04674, 1.15631, -0.287892, 1.08712, 0.237655, -1.06886, -0.164562, -0.894654, 0
-1.01138, -0.822336, 0.542556, 0.441873, -0.347713, -0.166862, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, 0.209025, -0.194312, -0.894654, 0
1.47063, -0.654604, 0.542556, -0.64412, -0.849641, -0.664395, 0.953958, -0.86357, -0.493529, 1.08712, 0.237655, -0.488004, -0.190089, -0.894654, 0
-1.00379, -0.913736, 0.542556, 0.98487, 1.66, -0.577737, 0.953958, 1.15631, 1.76848, -0.918529, 0.237655, -0.604176, -0.17627, 1.11613, 0
-1.3345, -0.880591, 0.542556, 0.170375, -0.347713, -0.365576, -1.04674, -0.86357, -0.493529, -0.918529, 0.237655, -0.371833, -0.191817, -0.894654, 0
-1.13793, 0.148905, 0.542556, -0.915618, -0.347713, -0.514985, 0.953958, -0.86357, -0.493529, -0.918529, 0.237655, -0.604176, -0.195272, 1.11613, 1
0.430413, -0.0690465, -1.78269, -0.915618, -0.347713, -0.58969, 0.953958, 1.15631, 1.56284, 1.08712, 0.237655, 0.789882, -0.195272, 1.11613, 1
1.71698, 0.349783, 0.542556, -1.18712, 0.154216, 0.25746, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -0.644836, -0.195272, -0.894654, 0
1.75916, -0.654604, 0.542556, -1.45861, -0.347713, 0.456175, -1.04674, -0.86357, -0.493529, 1.08712, 0.237655, -1.06886, -0.128095, -0.894654, 1
