@relation statlog-image
@attribute f1 real [-1.69846, 1.76936]
@attribute f2 real [-1.95563, 2.21945]
@attribute f3 real [-0.35697, 7.94438]
@attribute f4 real [-0.19451, 8.97523]
@attribute f5 real [-0.701743, 10.1257]
@attribute f6 real [-0.127308, 21.9863]
@attribute f7 real [-0.671653, 11.7165]
@attribute f8 real [-0.140171, 23.4322]
@attribute f9 real [-0.970536, 2.78687]
@attribute f10 real [-0.936767, 2.97658]
@attribute f11 real [-1.01517, 2.45135]
@attribute f12 real [-0.938975, 2.98118]
@attribute f13 real [-3.19209, 1.94929]
@attribute f14 real [-1.7297, 3.09584]
@attribute f15 real [-2.17899, 2.89004]
@attribute f16 real [-1.05162, 2.46382]
@attribute f17 real [-1.8698, 2.51022]
@attribute f18 real [-1.08797, 2.76663]
@attribute clase {0, 1, 2, 3, 4, 5, 6}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18
@outputs clase
@data
1.0566, -1.43375, -0.35697, -0.19451, -0.351806, -0.110089, -0.363873, -0.122733, 2.25232, 2.2567, 2.19608, 2.29065, -1.79164, 1.47219, -0.697719, 2.20495, -0.996657, -0.606354, 1
-0.876054, 1.28006, -0.35697, -0.19451, -0.166547, -0.0935184, 0.0516296, -0.107432, 0.328501, 0.325398, 0.399005, 0.243488, -0.295267, 0.739841, -0.957423, 0.382512, -0.542984, -0.426689, 5
1.68712, 0.514626, -0.35697, -0.19451, -0.598821, -0.125904, -0.640875, -0.139668, -0.960835, -0.936767, -0.989646, -0.938975, 0.999671, -0.980319, 0.658511, -1.02574, 2.02355, -0.473359, 4
1.30333, 1.68017, 2.41015, -0.19451, 0.14222, -0.102119, -0.0407042, -0.0695755, -0.801729, -0.775033, -0.892644, -0.709815, 0.894157, -1.26417, 1.24525, -0.85747, 0.00201855, 2.16604, 6
0.809882, 0.375456, -0.35697, -0.19451, -0.434145, -0.11367, -0.610097, -0.135544, -0.955984, -0.927254, -0.987093, -0.935919, 1.03804, -0.991673, 0.639274, -1.02315, 0.441878, -0.361117, 4
0.727641, 0.0797212, -0.35697, -0.19451, -0.537067, -0.11971, -0.425429, -0.136645, -0.815312, -0.711607, -0.867118, -0.844255, 1.60398, -1.01438, 0.110248, -0.867825, 0.599273, 0.415183, 0
0.0148876, 1.97591, -0.35697, -0.19451, -0.351807, -0.12194, -0.394651, -0.131859, -0.819192, -0.816259, -0.918171, -0.694538, 0.692723, -1.3323, 1.56266, -0.844527, 0.555908, 2.23908, 6
1.22109, 2.13247, -0.35697, -0.19451, 0.348064, -0.0845455, 0.159353, -0.106354, -0.511653, -0.530845, -0.660352, -0.30955, 0.241892, -1.41178, 2.1494, -0.518352, -0.154813, 2.32684, 6
0.809882, 0.375456, -0.35697, -0.19451, -0.351807, -0.116367, -0.179205, -0.124275, -0.881282, -0.870171, -0.882434, -0.880921, 0.81742, -0.730527, 0.418045, -0.91701, 1.00618, -0.435898, 4
-0.190714, 2.13247, -0.35697, -0.19451, 0.471571, -0.0805939, 0.944192, -0.0702248, -0.292398, -0.334226, -0.499534, -9.48419E-4, -0.141793, -1.62183, 2.89004, -0.256894, -0.166091, 2.31465, 6
-0.0947667, 0.0275327, -0.35697, -0.19451, -0.578236, -0.12066, -0.425429, -0.134318, -0.940462, -0.936767, -0.943698, -0.929808, 0.798236, -0.792975, 0.543088, -0.979139, 2.51022, -0.525937, 2
-1.25984, -0.111637, -0.35697, -0.19451, -0.598821, -0.126895, -0.640875, -0.139668, -0.942402, -0.936767, -0.943698, -0.935919, 0.81742, -0.781621, 0.504613, -0.979139, 2.51022, -0.498104, 2
0.234196, 0.288476, -0.35697, -0.19451, 0.862676, -0.0984573, -0.25615, -0.127884, -0.277846, -0.267629, -0.272346, -0.291217, 0.318629, -0.191203, 0.00444287, -0.298313, -0.621058, -0.477301, 3
-0.972001, 0.914738, -0.35697, -0.19451, 0.0804671, -0.111955, 0.0670189, -0.0944057, 0.356636, 0.376139, 0.424532, 0.252655, -0.113017, 0.745518, -1.1498, 0.408399, -0.518243, -0.380832, 5
-0.793813, 0.218891, -0.35697, -0.19451, 1.78898, -0.0446183, 0.0670187, -0.0858075, -0.564041, -0.679894, -0.433164, -0.602874, -0.592624, 0.41057, -0.101362, -0.461401, 1.02457, -0.611268, 2
-0.478557, -0.389976, 2.41015, -0.19451, -0.372391, -0.118719, -0.194594, -0.108117, -0.444712, -0.356425, -0.440822, -0.529543, 1.16274, -0.338807, -0.591914, -0.469167, -0.100107, -0.101744, 0
