@relation statlog-vehicle
@attribute f1 real [-2.51121, 3.07506]
@attribute f2 real [-1.92252, 2.29151]
@attribute f3 real [-2.66865, 1.89654]
@attribute f4 real [-1.94015, 4.90136]
@attribute f5 real [-1.86275, 9.67339]
@attribute f6 real [-1.42731, 10.0914]
@attribute f7 real [-1.70971, 2.89249]
@attribute f8 real [-1.91176, 2.56878]
@attribute f9 real [-1.38216, 3.24723]
@attribute f10 real [-2.06665, 2.75573]
@attribute f11 real [-1.86735, 4.1846]
@attribute f12 real [-1.44834, 3.27172]
@attribute f13 real [-2.01875, 2.86657]
@attribute f14 real [-1.79808, 8.35288]
@attribute f15 real [-1.29659, 3.17646]
@attribute f16 real [-1.4107, 3.17993]
@attribute f17 real [-2.09811, 2.7689]
@attribute f18 real [-1.96704, 2.06587]
@attribute clase {0, 1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18
@outputs clase
@data
1.61777, 1.96735, 1.51611, 0.0913924, -1.48244, -0.557978, 2.59169, -1.91176, 2.86144, 1.4468, 2.9105, 2.92649, 2.74367, 1.67462, -0.279986, -0.403, -1.28694, -1.69818, 0
0.403367, -0.301741, -0.576269, 0.121268, 0.419123, -0.557978, -0.47644, 0.136489, -0.610593, -0.344374, -0.402146, -0.446602, -0.0830599, -0.863122, 1.34658, -1.29873, 1.7955, 1.12486, 0
-0.932481, -1.76044, -1.27373, -0.864625, -0.0879604, -0.340644, -1.40891, 1.67267, -1.38216, -1.44663, -1.51698, -1.22762, -1.92658, -1.13025, -0.889946, 0.156833, 1.7955, 1.66258, 3
-0.0823959, -0.139663, 1.00887, 0.838281, 0.0388104, 0.528691, 0.425952, -0.631603, 0.546752, -0.137701, 0.426016, 0.368372, -0.697566, -1.13025, -0.483306, 0.156833, 0.984333, 1.12486, 2
-0.689599, 0.184493, -0.512864, 0.0615168, 0.799435, -0.557978, -0.50652, 0.264505, -0.610593, 8.14316E-5, -0.274736, -0.514517, 0.531446, -0.195296, -0.279986, -0.179067, 0.0109306, -0.0850121, 0
0.0390448, 0.670727, -0.195837, 1.01753, 1.17975, -0.775311, 0.155234, -0.503588, 0.16097, 0.413428, 0.234902, 0.14199, 0.9616, -0.195296, -0.0766656, -1.18677, 1.3088, 0.452709, 0
0.281926, 1.6432, 1.32589, 0.957783, 0.419123, 0.0940239, 1.05763, -1.14366, 0.932534, 1.24012, 1.22233, 1.04186, 2.19061, 0.2054, -0.0766656, -1.18677, -0.47577, -0.219442, 1
1.25345, 1.48112, 1.13568, 0.50965, -0.0879604, 0.311358, 1.41858, -1.27168, 1.31832, 1.72236, 1.15862, 1.39275, 1.39175, 0.2054, -0.279986, -0.179067, -0.638004, -0.0850121, 2
0.889129, 1.80527, 1.13568, 1.37604, 0.926206, 0.311358, 1.17795, -1.14366, 1.31832, 1.4468, 1.22233, 1.19467, 1.48393, 0.2054, -0.0766656, -0.850866, -0.47577, -0.353873, 1
-1.17536, 0.346571, -0.449459, -0.476243, 0.292352, -0.557978, -0.44636, 0.264505, -0.610593, -0.206592, -0.433998, -0.486219, 0.285643, 0.338965, -1.29659, -1.0748, -0.638004, -0.488303, 0
-1.17536, -1.27421, -1.84438, -1.43226, -0.341502, -0.775311, -1.37883, 1.80069, -1.38216, -1.58442, -1.51698, -1.23894, -1.28135, 1.27392, 0.126654, -1.29873, -1.61141, -1.69818, 3
-0.81104, -0.950053, -0.766486, -0.625621, -0.0879604, -0.340644, -0.777237, 0.648551, -0.996375, -0.826612, -0.784374, -0.752218, -1.03554, -0.462426, -1.09327, -1.18677, 0.497632, 0.452709, 0
-1.05392, 0.0224151, -0.132432, -0.446368, 0.292352, 0.0940239, -0.656919, 0.520535, -0.610593, 8.14316E-5, -0.625112, -0.656006, -0.0216094, -0.195296, -1.09327, -0.962833, -0.151303, 0.452709, 3
-0.568159, -0.301741, 0.184595, -0.267114, 0.292352, 0.528691, -0.416281, 0.264505, -0.610593, 0.206755, -0.497703, -0.4749, -0.0216094, -0.0617305, -0.279986, -0.403, -0.638004, 0.0494182, 3
1.49633, 1.31904, 1.00887, 0.210895, -0.975356, 0.311358, 1.41858, -1.27168, 1.31832, 1.58458, 1.47714, 1.42105, 1.3303, 0.2054, -1.09327, -0.403, -0.313537, 0.183849, 2
-1.53968, 0.0224151, -0.893296, 0.00176569, 1.43329, -0.557978, -0.5366, 0.39252, -0.610593, -0.137701, -0.497703, -0.588091, 0.347094, 0.338965, 0.126654, -1.4107, -0.962471, -0.891594, 0
-0.0823959, -1.27421, -0.386053, 0.420023, 0.165581, -0.12331, -0.145563, -0.119542, -0.224811, -0.964395, 0.07564, -0.197582, -1.09699, -0.729557, -0.483306, -0.626933, 0.497632, 0.183849, 2
-1.90401, -1.11213, -1.21032, -1.61151, -1.35567, -0.557978, -0.807317, 0.776566, -0.610593, -1.23996, -0.848079, -0.797494, -0.881917, 0.606096, -0.889946, -0.962833, -1.28694, -1.42932, 2
1.13201, 0.832805, 1.00887, 1.28641, 0.165581, 0.0940239, 0.726749, -0.887634, 0.546752, 0.895666, 0.808245, 0.719264, 0.316369, -1.13025, -0.279986, -0.850866, 1.47103, 1.12486, 1
-2.02545, -1.11213, -1.21032, -1.014, -0.341502, -0.775311, -1.16827, 1.41664, -0.996375, -1.23996, -1.38957, -1.09179, -1.09699, 0.873227, 1.34658, 0.940598, -0.962471, -1.16045, 1
0.403367, 2.29151, 1.64292, 1.73455, 1.05298, 0.528691, 1.65922, -1.3997, 1.7041, 2.61795, 1.15862, 1.65309, 1.3303, -0.328861, 0.736615, 1.38846, -0.47577, 0.318279, 1
-0.325277, -0.950053, 0.0577843, 0.0316412, -0.214731, -0.12331, 0.0950747, -0.375572, 0.16097, -0.964395, 0.266754, 0.0287995, -0.697566, -0.0617305, -1.29659, -0.291034, -0.151303, -0.219442, 2
-0.932481, -0.787975, -1.27373, -0.864625, 0.0388104, -0.340644, -0.566679, 0.520535, -0.610593, -1.03329, -0.752522, -0.622048, -0.0523347, 1.27392, -0.889946, -1.0748, -1.44917, -1.42932, 2
-0.81104, 0.184493, -0.70308, -0.29699, 0.545894, -0.557978, -0.5366, 0.39252, -0.610593, -0.137701, -0.433998, -0.548474, 0.43927, 0.0718348, -0.889946, -1.4107, -0.47577, -0.757164, 0
-0.568159, -0.787975, -0.386053, 0.569401, 1.8136, -0.340644, -0.566679, 0.39252, -0.610593, -0.826612, -0.46585, -0.554134, -0.820467, -0.0617305, -0.686626, -0.514967, 0.659865, 0.183849, 0
1.9821, 2.12943, 1.51611, 0.330397, -1.35567, -0.557978, 2.77217, -1.91176, 2.86144, 1.58458, 2.8468, 3.15853, 2.52859, 1.40749, 0.533295, 0.044866, -1.28694, -1.83261, 0
