@relation steel-plates
@attribute f1 real [-1.09688, 2.17762]
@attribute f2 real [-1.23378, 2.20051]
@attribute f3 real [-0.926402, 6.38855]
@attribute f4 real [-0.926419, 6.38849]
@attribute f5 real [-0.366043, 29.1694]
@attribute f6 real [-0.364714, 34.3188]
@attribute f7 real [-0.192191, 42.3675]
@attribute f8 real [-0.402234, 22.2238]
@attribute f9 real [-2.63111, 3.68614]
@attribute f10 real [-4.98602, 6.57035]
@attribute f11 real [-1.60578, 2.31598]
@attribute f12 real [-0.816812, 1.22364]
@attribute f13 real [-1.22364, 0.816812]
@attribute f14 real [-0.703223, 4.01667]
@attribute f15 real [-1.10678, 2.21374]
@attribute f16 real [-3.01762, 3.85903]
@attribute f17 real [-2.07508, 1.58354]
@attribute f18 real [-0.540374, 14.2897]
@attribute f19 real [-2.45041, 1.60094]
@attribute f20 real [-3.26572, 0.796196]
@attribute f21 real [-1.1936, 0.879577]
@attribute f22 real [-2.77767, 3.41134]
@attribute f23 real [-2.14838, 3.60958]
@attribute f24 real [-3.08856, 6.28471]
@attribute f25 real [-2.14485, 1.81368]
@attribute f26 real [-5.83191, 5.19877]
@attribute f27 real [-1.37404, 1.22132]
@attribute clase {0, 1, 2, 3, 4, 5, 6}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27
@outputs clase
@data
-0.271055, -0.355616, -0.873692, -0.873668, -0.244537, -0.304955, 0.00945877, -0.281001, -0.639463, -0.170869, -0.49911, -0.816812, 0.816812, -0.703223, 0.961874, -0.528213, -1.63938, -0.431828, -0.248806, 0.796196, 0.879577, 0.389023, -0.611045, 1.18022, 1.57789, -0.641238, 1.1842, 0
-0.463108, -0.552551, -0.688309, -0.68832, -0.315351, -0.321555, -0.133572, -0.344654, -0.981777, 0.952667, 1.5759, -0.816812, 0.816812, 1.29365, 0.198473, -1.42286, -0.261077, -0.43522, 1.053, 0.796196, 0.879577, -0.0897271, -0.460508, 0.0258145, 0.83198, 0.0780083, -0.0769489, 0
-0.954763, -1.06096, -0.491126, -0.49106, -0.0750472, -0.218636, 0.19704, -0.0509418, -0.981777, 0.685158, 1.5759, -0.816812, 0.816812, 1.29365, -0.814166, 0.0866714, -1.74563, -0.404692, -1.07996, 0.719363, 0.879577, 0.868787, -0.27322, 1.78615, 1.63539, 0.445026, 1.22132, 0
-0.230724, -0.305378, -0.72273, -0.722719, -0.225576, -0.271755, -0.0350917, -0.26753, -1.51081, 0.150141, 1.5759, -0.816812, 0.816812, 1.29365, 0.677267, -1.17224, -1.25422, -0.414868, -0.454333, 0.607955, 0.879577, 0.468624, -0.331359, 0.90158, 1.36945, -0.843568, 1.18833, 0
-0.975888, -1.09714, -0.865107, -0.865121, -0.345921, -0.338154, -0.149985, -0.375728, 0.698672, 1.05967, 1.5759, -0.816812, 0.816812, 2.20132, -0.857541, -0.248455, -0.358104, -0.475925, 1.18988, 0.796196, 0.879577, -0.592053, -0.792103, -0.274178, 0.884489, 1.01168, -0.857914, 0
-0.952842, -1.07302, -0.8263, -0.826307, -0.32754, -0.314915, -0.112469, -0.349337, 1.19658, 0.952667, 1.5759, -0.816812, 0.816812, 2.20132, -0.810162, -0.662993, -1.09964, -0.475925, -0.333483, 0.552464, 0.879577, -0.239804, -0.792103, 0.253615, 1.28579, 1.3061, -0.277272, 0
0.310864, 0.255282, 1.30009, 1.30008, -0.295422, -0.318235, -0.0937107, -0.332731, -0.919538, -0.170869, -0.49911, -0.816812, 0.816812, -0.521689, 1.98185, -0.913609, -1.07603, -0.41826, 0.573303, 0.796196, 0.879577, 0.0916579, -0.532558, 0.506726, 1.27301, -0.708457, 0.650106, 0
1.11556, 1.09326, -0.770065, -0.77006, -0.291746, -0.255156, -0.0679183, -0.315444, 0.169642, 0.0966394, 1.5759, -0.816812, 0.816812, 2.20132, 0.969881, -0.939836, -1.42245, -0.465749, -1.33522, 0.796196, 0.879577, 0.119417, -0.697006, 0.724402, 1.46049, 0.24404, 0.720219, 0
1.87033, 1.88703, -0.919018, -0.919028, -0.321155, -0.304955, -0.133572, -0.357422, -0.577224, -0.331374, 1.1609, -0.816812, 0.816812, -0.703223, -0.819838, -1.19628, -0.403113, -0.440308, -0.0432784, 0.796196, 0.879577, -0.156146, -0.532558, 0.0258145, 0.908847, -0.631155, -0.203918, 0
-0.232645, -0.321454, -0.361047, -0.361063, -0.347469, -0.318235, -0.145295, -0.381672, 0.356358, 0.0966394, 1.59665, 1.22364, -1.22364, -0.340155, 0.669926, 0.018189, -0.700097, -0.486101, -0.454333, 0.796196, 0.879577, -0.635276, -0.898205, -0.178435, 1.06977, -0.0604634, -0.869992, 0
