@relation synthetic-control
@attribute f1 real [-1.72159, 1.71823]
@attribute f2 real [-1.7801, 3.0553]
@attribute f3 real [-1.63901, 3.1212]
@attribute f4 real [-1.56297, 3.032]
@attribute f5 real [-1.6957, 3.25486]
@attribute f6 real [-2.00325, 3.40275]
@attribute f7 real [-3.42908, 3.004]
@attribute f8 real [-3.47224, 2.00815]
@attribute f9 real [-3.13508, 2.08058]
@attribute f10 real [-3.25509, 2.02814]
@attribute f11 real [-2.82553, 2.1039]
@attribute f12 real [-3.60188, 2.20877]
@attribute f13 real [-3.10342, 3.17745]
@attribute f14 real [-2.65638, 3.62119]
@attribute f15 real [-2.25508, 3.37104]
@attribute f16 real [-2.3024, 3.00451]
@attribute f17 real [-2.41892, 3.00594]
@attribute f18 real [-2.42374, 2.90399]
@attribute f19 real [-2.8765, 2.98493]
@attribute f20 real [-2.85946, 2.99759]
@attribute f21 real [-2.74775, 3.5331]
@attribute f22 real [-2.72215, 3.39771]
@attribute f23 real [-2.71273, 2.93534]
@attribute f24 real [-2.45903, 2.83771]
@attribute f25 real [-2.61814, 3.08425]
@attribute f26 real [-2.66895, 2.73795]
@attribute f27 real [-2.7271, 2.87389]
@attribute f28 real [-2.36669, 2.513]
@attribute f29 real [-2.35045, 2.6564]
@attribute f30 real [-2.72935, 2.40004]
@attribute f31 real [-2.66891, 2.34519]
@attribute f32 real [-2.45329, 2.47299]
@attribute f33 real [-2.34983, 2.41019]
@attribute f34 real [-2.28194, 2.21681]
@attribute f35 real [-2.12413, 2.2077]
@attribute f36 real [-2.00332, 2.15109]
@attribute f37 real [-2.12034, 2.04913]
@attribute f38 real [-2.03991, 2.01759]
@attribute f39 real [-1.86576, 2.05817]
@attribute f40 real [-1.87683, 2.03898]
@attribute f41 real [-1.92311, 1.9269]
@attribute f42 real [-2.05123, 2.01672]
@attribute f43 real [-1.98505, 1.96002]
@attribute f44 real [-2.096, 1.97309]
@attribute f45 real [-2.01084, 1.94655]
@attribute f46 real [-2.08906, 1.9698]
@attribute f47 real [-2.1038, 2.03172]
@attribute f48 real [-2.10931, 2.02006]
@attribute f49 real [-2.15712, 1.98412]
@attribute f50 real [-2.11531, 2.0294]
@attribute f51 real [-2.06457, 2.07166]
@attribute f52 real [-2.14073, 2.05222]
@attribute f53 real [-2.04481, 2.10468]
@attribute f54 real [-2.12981, 2.12603]
@attribute f55 real [-2.11449, 2.10101]
@attribute f56 real [-2.14238, 2.11853]
@attribute f57 real [-2.2456, 2.1496]
@attribute f58 real [-2.08657, 2.01394]
@attribute f59 real [-2.0256, 2.16767]
@attribute f60 real [-2.28617, 2.04446]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49, f50, f51, f52, f53, f54, f55, f56, f57, f58, f59, f60
@outputs clase
@data
-1.21502, -0.0930575, 0.670721, -1.13373, -0.693584, -1.3074, -0.521343, 0.0603273, 0.562195, -0.174281, 0.141692, -0.00166735, 0.0166653, -0.0622553, -0.0877427, -1.1785, -1.12233, 0.67831, -0.770492, 0.341209, 0.546014, -0.572528, 0.802746, 0.235409, -0.0567641, 0.470206, -0.452148, 0.20327, -0.549558, -0.595673, -0.261239, -0.180606, 0.208615, -0.300448, 0.530884, 0.43963, -0.453826, -0.178361, -0.121874, 0.0185915, 0.217807, -0.242329, 0.0811358, -0.0665954, 0.318519, -0.422906, 0.384139, 0.128728, 0.29645, 0.0909297, 0.345622, -0.059779, -0.0909275, 0.136191, 0.314034, 0.152748, 0.0477016, -0.339605, -0.169434, -0.314574, 0
0.265536, 0.818698, 0.698604, 0.453961, -0.199141, 0.89994, 1.38423, -0.697709, 0.0802777, 0.665408, 0.147591, -0.552371, 0.344662, 0.311898, 0.0210091, -1.20287, -0.734402, -0.849094, 0.0408771, 0.231302, 0.370312, 0.634387, 0.24666, 0.357687, -0.106974, -0.264359, 0.397981, 0.405882, 0.476748, -0.109893, 0.470033, 0.215361, -0.00991756, -0.478403, -0.0574418, -0.161989, -0.10596, 0.0118629, 0.304154, -0.252871, -0.18491, 0.238965, 0.229483, -0.204674, -0.426762, -0.315632, -0.462771, -0.266897, 0.344068, 0.050728, 0.40259, 0.107488, -0.371723, 0.010375, 0.403104, 0.382894, -0.255422, 0.207786, 0.0828896, 0.282707, 0
-1.707, 0.502874, 0.684348, -0.627272, -0.547748, 0.292266, -0.0673983, -1.03866, -0.757963, 0.997715, 0.389646, 0.886264, 0.014782, 0.477723, 0.399759, -0.315419, -0.175935, -0.844645, -0.386746, -0.832591, 0.780739, -0.246785, 0.222884, -0.580759, 0.614092, -0.110341, -0.0416257, -0.59865, 0.524934, -0.330917, -0.629017, -0.213174, -0.370369, -0.0665008, -0.0183347, -0.00230632, -0.464278, 0.107949, -0.131602, -0.312479, -0.114929, 0.359646, -0.169127, 0.176459, -0.151441, 0.231685, -0.421305, 0.175057, -0.277854, -0.337784, 0.0883644, -0.219543, 0.185499, 0.38898, -0.184853, 0.298491, -0.297592, 0.126342, 0.246644, -0.269902, 0
-1.13958, -0.622991, -0.776492, -1.05294, 0.746276, -0.977621, 0.0311081, 0.911553, -0.257132, 0.503007, 0.0296724, 0.910173, -0.114475, 0.0664266, 0.311495, -0.447804, -0.81509, 0.552321, 0.835779, 0.194942, -0.712151, -0.322067, 0.0733541, -0.033222, -0.248184, -0.297036, 0.443482, 0.409991, 0.130459, 0.382182, -0.163391, 0.323277, 0.291167, 0.389693, 0.365932, 0.114332, -0.260479, -0.401774, 0.0635362, 0.191632, 0.459779, 0.464078, -0.255109, 0.0722723, 0.290606, 0.374904, -0.00962391, 0.358653, -0.363565, 0.0557157, -0.00298649, -0.0184486, -0.328657, 0.372428, 0.120046, 0.16364, -0.357338, 0.200484, 0.0573983, 0.293278, 0
-0.150084, -0.669002, -0.466456, -0.126957, 0.14104, 0.807177, 0.692669, -1.00074, 0.798603, -0.108366, 0.0613246, -0.772435, 0.526909, 0.270692, -0.909062, -0.756167, 0.084834, -0.275415, 0.558395, 0.435389, 0.795847, -0.262811, -0.432721, 0.483868, 0.347202, 0.159123, -0.505167, 0.250274, -0.56634, -0.292643, 0.0721998, 0.357956, 0.42666, 0.462615, -0.251932, 0.384993, 0.323271, 0.181768, 0.438413, -0.435354, 0.208472, 0.0163404, -0.366418, 0.0268059, -0.0997318, -0.150217, 0.257101, 0.383127, 0.23514, -0.0881059, 0.320617, -0.253524, 0.320209, -0.200468, 0.0187167, 0.25477, -0.0694232, 0.219783, -0.017095, -0.161043, 0
0.874431, 0.479279, -1.04439, -1.1081, -1.20255, -1.406, 0.165158, 0.433818, -0.734555, -0.203478, -0.482415, 1.12787, -0.406633, 0.282882, 0.543577, -0.486301, 0.361061, -0.876646, -0.154605, -0.696087, -0.209285, 0.760017, 0.789755, -0.2951, -0.424026, -0.547488, 0.133791, -0.489952, 0.0516906, 0.51942, -1.17424E-4, -0.260991, 0.336262, -0.0403302, 0.25942, 0.409267, 0.379571, 0.114314, -0.0531249, 0.406099, -0.191986, -0.250356, -0.339637, -0.401955, -0.0056262, -0.284241, 0.37916, -0.423724, -0.138078, -0.332196, 0.0680658, 0.4086, -0.0389574, 0.271511, 0.10863, 0.233722, -0.405121, -0.155766, 0.281737, -0.397224, 0
1.45947, -1.3868, 0.0990113, -0.434825, -1.23377, 0.766216, 0.740806, -0.717925, 0.781757, 1.28908, 0.410011, 0.281923, 0.770905, 0.196018, 0.573878, 0.483544, -0.790503, -0.713524, 0.00246366, 0.199629, -0.0895418, -0.522276, -0.377443, 0.698271, 0.325512, 0.521449, -0.441096, -0.158632, -0.419053, 0.576088, -0.263074, 0.102125, -0.0611327, 0.403296, -0.397108, -0.517115, 0.114508, -0.266408, 0.0363242, -0.124381, -0.447842, -0.4553, -0.374591, -0.0888342, -0.127502, -0.241702, 0.387798, -0.238918, 0.330325, -0.0889205, 0.42572, -0.259821, 0.120567, -0.178603, 0.368512, 0.147024, -0.188461, -0.292758, 0.368306, -0.184627, 0
-0.528684, -0.595091, 0.0625265, 0.286082, 0.73261, 0.626752, 0.542295, -0.883314, 0.344362, -0.198686, 1.31258, -0.0897417, -0.433695, -0.0166897, 0.74914, -0.322072, -1.07081, 0.404563, -0.0496234, -0.0524972, -0.481556, 0.039018, 0.32816, 0.316353, 0.731228, -0.0604496, -0.0184686, 0.307779, 0.0875998, -0.450003, -0.405978, -0.32713, 0.348512, 0.143521, -0.00720683, -0.120711, 0.174536, 0.208901, 0.0573311, 0.273096, 0.421784, -0.252013, 0.353584, -0.0607923, -0.263542, 0.204667, 0.0518598, 0.398421, -0.414546, 0.39385, -0.166076, -0.295056, 0.104497, -0.121761, 0.389436, -0.330435, -0.34697, -0.0924587, -0.190547, -0.100408, 0
-0.0151676, -0.459583, -0.282509, 0.419211, -0.983113, -1.16339, -1.42825, -0.336929, 1.03197, 0.994177, 1.09762, 0.178892, -0.267374, -0.375463, -0.956069, 0.810925, -0.791414, -0.286051, -0.642603, 0.075598, -0.570016, 0.31506, 0.289784, 0.373321, 0.442696, 0.480991, -0.389874, 0.235906, -0.0875069, -0.606629, -0.279462, -0.288532, -0.413614, -0.562931, -0.25948, 0.11152, -0.267857, -0.426558, 0.53864, -0.323503, -0.226119, 0.101062, -0.283096, -0.15828, -0.139017, 0.199735, 0.237624, -0.0102833, 0.0652383, 0.24134, 0.155892, 0.258724, -0.194155, 0.040114, -0.367822, 0.230405, 0.0497593, -0.30908, -0.202668, -0.0965, 0
0.258269, -0.0516162, -0.940531, -0.332151, -0.461301, 0.115904, -1.04741, 0.821503, -0.12242, 1.04603, -0.0388249, -0.0197964, 0.945088, -0.704385, 0.785174, 0.180774, 0.240593, 0.445728, 0.778788, -0.705648, 0.537468, 0.634029, 0.254133, -0.428205, -0.561449, -0.0949685, 0.110382, 0.385837, -0.360772, -0.431924, 0.261432, -0.323843, -0.543949, -0.345276, -0.129862, -0.217821, -0.0279839, -0.418477, 0.52101, 0.244554, -0.271634, 0.0578691, 0.391564, -0.140801, 0.415017, -0.195611, 0.358542, -0.415703, -0.295494, -0.327394, -0.327113, 0.288479, -0.317135, -0.216973, 0.341195, -0.0434612, 0.0739506, 0.00670732, -0.307267, -0.35655, 0
