@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
-2.04427, 1.37092, -0.726939, 0.42249, 1.63897, 2
0.485933, -0.973132, 0.412027, 0.42249, 2.10431, 2
0.485933, -0.0941115, -1.01168, 0.42249, 0.165386, 2
0.485933, -0.973132, 0.412027, 0.42249, -1.38575, 1
0.485933, 1.22442, -0.726939, 0.42249, 1.4063, 1
0.485933, -1.70565, 0.127285, 0.42249, 0.242943, 1
0.485933, 0.198895, 0.696768, 0.42249, 0.708285, 1
-2.04427, -0.0941115, -0.726939, -2.35125, -1.15308, 0
0.485933, -1.26614, -0.86931, 0.42249, 0.708285, 0
0.485933, -1.41264, 1.12388, 0.42249, -0.532626, 0
0.485933, 0.052392, 0.98151, 0.42249, 0.785841, 0
-2.04427, 1.37092, -0.726939, 0.42249, 1.63897, 2
0.485933, -0.0941115, -1.01168, 0.42249, 0.165386, 2
0.485933, 0.638406, 1.83573, 0.42249, 0.0878293, 2
0.485933, -0.973132, 0.412027, 0.42249, -1.38575, 1
0.485933, -0.973132, 2.40522, 0.42249, 1.09607, 1
0.485933, -1.70565, 0.127285, 0.42249, 0.242943, 1
0.485933, 1.07792, -0.86931, 0.42249, 1.09607, 0
0.485933, -1.26614, -0.86931, 0.42249, 0.708285, 0
0.485933, 0.052392, 0.98151, 0.42249, 0.785841, 0
-2.04427, -0.0941115, -0.726939, -2.35125, -0.842854, 2
0.485933, -0.680125, -0.86931, 0.42249, 0.863398, 2
0.485933, -0.0941115, -0.726939, -2.35125, -1.30819, 2
0.485933, 0.052392, 1.97811, 0.42249, -0.842854, 2
-2.04427, 0.491902, 1.26625, 0.42249, 0.242943, 2
0.485933, -1.85215, -0.0150856, 0.42249, -0.765297, 1
0.485933, -0.0941115, -1.01168, 0.42249, -0.610183, 1
-2.04427, 1.37092, -0.726939, 0.42249, 0.785841, 0
-2.04427, -0.0941115, -1.01168, 0.42249, 2.02675, 2
-2.04427, -0.826629, -0.726939, 0.42249, 0.0878293, 2
0.485933, 0.931413, 0.98151, 0.42249, -0.765297, 1
0.485933, -0.240615, -0.0150856, 0.42249, -0.299955, 1
0.485933, -0.680125, -0.299827, 0.42249, -1.77354, 1
0.485933, 0.491902, 1.40862, 0.42249, 0.0878293, 0
0.485933, 0.345399, 1.69336, 0.42249, -0.997967, 0
0.485933, -1.55915, -0.86931, 0.42249, 0.708285, 0
0.485933, -1.55915, -0.86931, 0.42249, -0.144841, 0
0.485933, -1.70565, 0.269656, 0.42249, -0.0672845, 0
