@relation trains
@attribute f1 real[-1.22474,1.22474]
@attribute f2 real[-1.57906,2.06493]
@attribute f3 real[-0.316228,2.84605]
@attribute f4 real[-1.44914,0.621059]
@attribute f5 real[-1.24735,1.19312]
@attribute f6 real[-0.474342,1.89737]
@attribute f7 real[-1.10782,1.10782]
@attribute f8 real[-0.316228,2.84605]
@attribute f9 real[-1.44914,0.621059]
@attribute f10 real[-1.77409,1.12897]
@attribute f11 real[-0.316228,2.84605]
@attribute f12 real[-2.42441,0.737865]
@attribute f13 real[-1.36311,1.19272]
@attribute f14 real[-1.25629,1.02787]
@attribute f15 real[-0.88092,1.49079]
@attribute f16 real[-1.03712,1.92607]
@attribute f17 real[-0.929896,1.72695]
@attribute f18 real[-0.621059,1.44914]
@attribute f19 real[-0.621059,1.44914]
@attribute f20 real[-0.619234,1.63253]
@attribute f21 real[-0.621059,1.44914]
@attribute f22 real[-0.514496,2.57248]
@attribute f23 real[-0.621059,1.44914]
@attribute f24 real[-0.774597,1.1619]
@attribute f25 real[-0.774597,1.1619]
@attribute f26 real[-0.474342,1.89737]
@attribute f27 real[-0.316228,2.84605]
@attribute f28 real[-0.621059,1.44914]
@attribute f29 real[-0.316228,2.84605]
@attribute clase{0,1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
@outputs clase
@data
1.22474,2.06493,-0.316228,-1.44914,0.379628,1.89737,0.369274,-0.316228,0.621059,0.806405,-0.316228,0.737865,1.19272,-0.114208,1.49079,0.444478,0.398527,1.44914,1.44914,1.35106,1.44914,0.514496,-0.621059,1.1619,-0.774597,-0.474342,2.84605,-0.621059,2.84605,0
0,0.850265,-0.316228,0.621059,1.19312,-0.474342,1.10782,-0.316228,0.621059,0.483843,-0.316228,-0.316228,0.340777,1.02787,-0.542105,1.92607,-0.265684,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,1.1619,1.1619,-0.474342,-0.316228,-0.621059,-0.316228,0
0,-0.364399,-0.316228,0.621059,0.379628,-0.474342,-1.10782,-0.316228,0.621059,-0.483843,-0.316228,0.737865,1.19272,-0.114208,-0.542105,0.444478,1.72695,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,-0.774597,-0.774597,1.89737,-0.316228,1.44914,-0.316228,0
1.22474,-0.364399,-0.316228,0.621059,0.650791,-0.474342,1.10782,-0.316228,0.621059,-1.45153,-0.316228,0.737865,0.340777,1.02787,0.135526,0.444478,1.06274,1.44914,1.44914,1.35106,1.44914,2.57248,1.44914,1.1619,-0.774597,1.89737,-0.316228,-0.621059,-0.316228,0
0,0.850265,-0.316228,0.621059,-0.976187,-0.474342,1.10782,2.84605,-1.44914,-1.77409,-0.316228,-0.316228,0.340777,1.02787,-0.542105,0.444478,-0.265684,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,1.1619,1.1619,-0.474342,-0.316228,-0.621059,-0.316228,0
-1.22474,-0.364399,-0.316228,-1.44914,-1.24735,1.89737,-1.10782,-0.316228,0.621059,0.161281,-0.316228,0.737865,-1.36311,-1.25629,-0.88092,-1.03712,-0.929896,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,-0.774597,-0.774597,-0.474342,-0.316228,1.44914,-0.316228,1
0,-0.364399,-0.316228,0.621059,-0.976187,-0.474342,-1.10782,-0.316228,0.621059,1.12897,-0.316228,0.737865,0.340777,-0.114208,1.15197,-1.03712,-0.929896,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,-0.774597,-0.774597,-0.474342,-0.316228,1.44914,-0.316228,1
-1.22474,-0.364399,2.84605,-1.44914,-1.24735,-0.474342,0.369274,-0.316228,0.621059,1.12897,-0.316228,-2.42441,-1.36311,-1.25629,-0.88092,-1.03712,-0.929896,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,-0.621059,-0.774597,1.1619,-0.474342,-0.316228,-0.621059,-0.316228,1
1.22474,-0.364399,-0.316228,0.621059,0.650791,-0.474342,-1.10782,-0.316228,-1.44914,-0.161281,-0.316228,-0.316228,0.340777,1.02787,1.49079,0.444478,1.06274,1.44914,1.44914,1.63253,1.44914,0.514496,1.44914,-0.774597,1.1619,-0.474342,-0.316228,-0.621059,-0.316228,1
-1.22474,-1.57906,-0.316228,0.621059,1.19312,-0.474342,0.369274,-0.316228,-1.44914,0.161281,2.84605,-0.316228,-1.36311,-1.25629,-0.88092,-1.03712,-0.929896,-0.621059,-0.621059,-0.619234,-0.621059,-0.514496,1.44914,-0.774597,-0.774597,-0.474342,-0.316228,-0.621059,-0.316228,1
