@relation twonorm
@attribute f1 real [-3.92819, 3.29556]
@attribute f2 real [-3.59169, 3.92282]
@attribute f3 real [-4.10306, 4.0739]
@attribute f4 real [-3.58913, 3.91046]
@attribute f5 real [-3.5751, 5.13502]
@attribute f6 real [-3.67089, 3.63621]
@attribute f7 real [-3.37608, 4.00822]
@attribute f8 real [-4.1779, 3.51879]
@attribute f9 real [-3.49258, 3.87505]
@attribute f10 real [-3.8336, 3.76606]
@attribute f11 real [-3.54722, 3.71819]
@attribute f12 real [-3.5548, 3.97594]
@attribute f13 real [-3.66768, 3.49084]
@attribute f14 real [-3.50284, 3.74389]
@attribute f15 real [-3.40202, 3.27723]
@attribute f16 real [-3.41115, 3.94795]
@attribute f17 real [-3.61461, 3.39206]
@attribute f18 real [-3.67506, 3.67115]
@attribute f19 real [-3.78069, 3.96626]
@attribute f20 real [-3.47346, 3.90706]
@attribute clase {0, 1}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20
@outputs clase
@data
-1.11718, -2.38242, 0.569213, 1.26609, -1.24903, 0.608818, 0.894682, -0.880503, -1.24155, -0.491336, -0.392414, -1.0498, -0.181063, -1.19981, -0.320902, -1.30243, 0.170273, -2.75789, -0.976762, -0.792078, 1
0.151604, -0.159375, -0.362093, -0.927547, -0.871596, -1.13949, -1.35527, -0.35883, 0.579175, -0.553819, -0.868635, -2.28512, -0.560446, -0.887331, -1.52092, -1.84166, -1.23525, -1.06512, 1.21498, 0.00830766, 1
-0.515872, 0.285577, 0.687951, 0.182756, 0.278303, -0.200668, 0.718952, -0.289699, -2.16364, 1.38518, 0.208255, 0.832628, -0.0968483, -0.375315, 1.41548, -0.166342, 0.340273, 0.141786, -0.273302, 0.467318, 1
1.15693, -0.654087, 0.871303, 0.803764, 0.435278, 1.01868, -0.0247468, 0.296546, 0.199086, 1.62144, 1.13749, 0.125199, 1.21946, 1.02217, 0.360637, 1.2281, -0.861064, 1.78001, 0.429423, 0.23763, 0
-0.702005, -1.31781, 0.425716, 0.982234, 0.0903169, 0.197042, -0.585588, -2.09586, 1.56054, 1.05331, 0.466306, -0.398795, -0.166981, -1.68184, -1.57383, -0.58297, -1.5747, -1.13677, -1.38312, 0.683641, 1
1.12564, -0.423288, -1.73512, -1.8592, -0.813403, -1.05811, 0.689363, 0.396503, -1.89195, 0.287641, -0.171163, -0.00533642, 0.981637, -0.455366, 0.312799, -0.968092, 0.374273, -0.657785, 0.237162, 0.400765, 1
0.857193, 0.466073, 0.201219, -0.381829, 1.75784, -0.626784, -1.16862, 1.0102, 0.71406, 1.69026, 0.813094, 1.38358, -0.390442, 1.92989, 0.592088, 1.30122, 0.476548, 1.58733, -0.812478, -0.0820481, 0
-0.780076, 0.727815, 0.894222, 0.755718, 0.5326, 1.01009, 0.826393, 1.40246, 0.765658, 1.2226, 0.443918, 2.16615, 2.39429, 0.556399, 2.55439, 0.454894, -1.53997, 0.691055, 0.87788, 0.571223, 0
1.05385, 0.863164, 0.368004, -0.197009, -0.610094, 1.0912, 2.62024, 0.511508, 1.27844, 0.682543, -0.29969, 1.36172, -0.9213, 1.4584, 0.926774, 0.244634, 1.1231, 1.36896, -0.137454, 0.103058, 0
0.312821, -0.774599, 0.303205, -0.485101, 1.03034, 1.23087, 0.83352, 1.03136, -0.870223, 0.425545, 2.72187, -0.157272, 0.803387, 0.257186, -9.63773E-4, -0.858746, 0.586317, 2.63765, -0.0991116, -1.88083, 0
