@relation wall-following
@attribute f1 real [-1.33485, 4.39509]
@attribute f2 real [-1.34032, 1.91325]
@attribute f3 real [-1.6188, 2.0359]
@attribute f4 real [-1.49958, 1.69586]
@attribute f5 real [-1.37285, 1.52435]
@attribute f6 real [-1.38711, 1.64663]
@attribute f7 real [-1.5768, 1.17203]
@attribute f8 real [-1.51265, 2.29103]
@attribute f9 real [-1.68731, 1.3813]
@attribute f10 real [-1.54635, 1.67422]
@attribute f11 real [-1.27812, 1.78694]
@attribute f12 real [-1.0404, 2.33909]
@attribute f13 real [-0.963479, 2.04469]
@attribute f14 real [-0.909703, 1.7817]
@attribute f15 real [-0.997282, 1.62887]
@attribute f16 real [-0.708296, 3.45713]
@attribute f17 real [-0.654758, 4.25674]
@attribute f18 real [-0.625359, 4.59764]
@attribute f19 real [-0.627373, 3.44381]
@attribute f20 real [-0.631907, 3.43731]
@attribute f21 real [-0.716582, 4.48941]
@attribute f22 real [-0.895875, 2.05001]
@attribute f23 real [-0.919933, 2.66751]
@attribute f24 real [-1.04435, 2.97397]
@attribute clase {0, 1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24
@outputs clase
@data
-1.28751, -1.29706, 0.910391, 0.650313, 1.52435, 0.0194352, 1.16637, 0.0869084, -0.58485, -0.14022, -0.61822, -0.312796, -0.306131, -0.298366, -0.269187, -0.555369, -0.517827, -0.469096, -0.484095, -0.549559, -0.659113, -0.848792, -0.861084, -0.999155, 1
-1.23021, -1.26444, 0.93925, 0.663296, 1.52435, 0.027232, 1.16637, -0.197378, -0.605484, 1.67422, -0.652952, -0.351217, -0.340952, -0.583741, -0.844551, -0.527151, -0.52738, -0.479213, -0.491958, -0.522402, -0.625308, -0.829704, -0.828563, -0.958303, 2
-1.2352, -1.27791, 0.965704, 0.662532, -0.00787922, 0.0256726, -0.283734, 0.40898, -1.05281, -0.163159, -0.650057, -0.348816, -0.340952, -0.584376, -0.841636, -0.611807, -0.52738, -0.481462, -0.494579, -0.490864, -0.624181, -0.822069, -0.830111, -0.96091, 2
-1.2352, -1.29139, 2.02788, 0.663296, -0.0131061, 0.0280117, -0.287271, 0.396385, -1.0506, -0.165453, -0.649334, -0.348816, -0.341663, -0.583107, -0.811323, -0.508945, -0.529503, -0.48371, -0.493705, -0.483856, -0.625308, -0.832886, -0.829337, -0.96091, 2
-1.23644, 1.89552, 2.02788, 0.660241, -0.0116127, 0.0287913, -0.289393, 0.40988, -1.05207, -0.397896, -0.64861, -0.348816, -0.342374, -0.581205, -0.813072, -0.532613, -0.529503, -0.484834, -0.495453, -0.439178, -0.625308, -0.835431, -0.829337, -0.96091, 2
-1.22772, -1.28855, -1.57711, 0.661005, -4.12218E-4, 0.0350288, -0.291515, 0.0779119, -1.04544, -0.396367, -0.644269, -0.348016, -0.345927, -0.333246, -0.29367, -0.460701, -0.502966, -0.488207, -0.507684, -0.463707, -0.620801, -0.840521, -0.840178, -0.960041, 1
-1.23271, -1.27791, -1.57551, 0.663296, -0.00414572, 0.0365882, -0.290808, 0.0806109, -1.04396, -0.398661, -0.643545, -0.350417, -0.348769, -0.340221, -0.262191, -0.581767, -0.475367, -0.489331, -0.508557, -0.515393, -0.621927, -0.839248, -0.841726, -0.956564, 1
-1.23021, -1.28571, -1.57471, 0.664823, -0.00339902, 0.0350288, -0.290101, 0.374793, -1.04544, -0.399426, -0.644992, -0.352018, -0.350191, -0.34149, -0.26394, -0.473445, -0.482797, -0.489331, -0.509431, -0.466335, -0.620801, -0.840521, -0.840952, -0.952218, 1
-1.14427, -1.24955, 2.0335, 0.703774, 1.52435, 0.0428256, -0.288686, 0.0329299, -1.09039, -0.91172, 1.77319, -0.405648, -0.400647, -0.393491, -0.354879, -0.615448, -0.422293, -0.488207, -0.513799, -0.52065, -0.557698, -0.806163, -0.799138, -0.879205, 1
-1.077, -1.20487, 2.01265, 0.15389, 0.605909, 1.64273, -0.289393, 0.372095, -0.444095, -0.480475, -0.741951, -0.460879, -0.44826, -0.437249, -0.623616, 0.381304, -0.439277, -0.485959, -0.512926, -0.521526, -0.458536, -0.771168, -0.756551, -0.826184, 1
-1.05707, -1.19423, 2.01265, 0.748833, 0.608895, 1.64273, -0.289393, 1.01894, -0.455149, -0.97136, -0.752805, -0.475287, -0.461052, -0.449298, -0.359543, 0.36856, -0.437154, -0.484834, -0.512052, -0.521526, 4.48941, -0.759716, -0.75113, -0.809669, 1
-1.03091, -1.17225, 2.01265, 1.69586, 0.620843, 1.64273, -0.290808, 2.21276, -0.165532, -0.505707, -0.771618, -0.497699, -0.481661, -0.468323, -0.374699, 0.338521, -0.425477, -0.472468, -0.510305, -0.52065, -0.581361, -0.739355, -0.735644, -0.786201, 1
-0.906348, -1.11765, 2.01265, 1.6928, 0.647724, 1.64273, -0.290101, 0.354102, -0.197957, -0.548526, -0.314319, -0.55213, -0.534248, -0.520325, -0.473217, 0.191967, -0.351173, -0.45673, -0.495453, -0.514517, -0.355994, -0.699907, -0.68841, -0.783593, 1
-0.890155, -1.11623, 2.01265, 1.69127, 0.650711, 1.64273, -0.291515, 0.352302, -0.201642, -0.552349, -0.322278, -0.558533, -0.540644, -0.526032, -0.479046, 0.188326, -0.344804, -0.454481, -0.491084, -0.512765, -0.565585, -0.692272, -0.682215, -0.776639, 1
-0.931261, -1.1141, 2.01265, 1.68975, 0.657431, 1.64273, -0.293638, 0.348704, -0.208274, -0.319905, -0.334579, -0.57054, -0.552015, -0.536813, -0.493037, 0.246583, -0.474306, -0.445488, -0.48759, -0.508385, -0.558824, -0.682728, -0.668278, -0.761863, 0
-0.751889, -0.994963, -1.24603, 1.40488, 0.70522, 1.64273, -0.321932, 0.302822, -0.283442, -0.0736984, -0.434432, -0.592152, -0.65719, -0.635743, -0.58689, 0.140991, 0.474664, -0.390402, -0.44915, -0.474219, -0.5284, -0.582199, -0.723255, -0.621052, 0
-0.71452, -0.982198, -1.23241, 1.40411, 0.712687, 1.64273, -0.329006, 0.296525, -0.293759, -0.0866969, -0.446733, -0.604959, -0.669982, -0.647158, -0.595635, 0.130068, 0.425835, -0.383657, -0.443908, -0.468963, -0.521639, 2.05001, -0.538965, -0.596715, 0
-0.639782, -0.941777, -1.1795, 1.40946, 0.727621, 1.64273, -0.336787, 0.277632, -0.324711, -0.115752, -0.485082, -0.608161, -0.709778, -0.682671, -0.629445, 0.0945674, -0.104908, -0.362297, -0.427308, -0.452318, -0.500229, 2.05001, -0.494054, -0.568031, 0
-0.56878, -0.901356, -1.14102, 1.41709, 0.747035, 1.64273, -0.354471, 0.25784, -0.355662, -0.147866, -0.524155, -0.697011, -0.753128, -0.719453, -0.664422, -0.103873, -0.129322, -0.335317, -0.409836, -0.434797, -0.478819, 2.05001, -0.449144, -0.520225, 0
-0.546359, -0.888591, -1.12659, 1.41786, 0.753009, 1.64273, -0.357301, 0.251543, -0.365979, -0.158571, -0.53718, -0.618567, -0.76592, -0.731502, -0.675498, -0.117527, 0.289965, -0.331944, -0.40372, -0.429541, -0.472058, 2.05001, -0.434431, -0.504579, 0
-0.355776, -0.814131, -0.13255, 1.4255, 0.785117, 1.64273, 1.16637, 0.213758, -0.425671, -0.582934, -0.610261, -0.888318, -0.841248, -0.798724, -0.736124, -0.212196, 0.22203, -0.0846215, -0.369648, -0.395376, -0.428111, 2.05001, -0.347707, -0.410705, 0
-0.3346, -0.802075, -0.123732, 1.43008, 0.790344, 1.64273, 1.16637, 0.20746, -0.434515, -0.596697, -0.619667, -0.904327, -0.853329, -0.809505, -0.745451, -0.234042, 0.212476, -0.275734, -0.364406, -0.389243, -0.42135, -0.620375, -0.333769, -0.395929, 0
-0.263599, -0.73187, -0.22554, 1.43466, 0.847093, 1.64273, 1.16637, 0.173274, -0.487574, -0.94154, -0.686236, -0.98117, -0.923683, -0.872287, -0.805494, -0.324159, -0.127199, -0.245381, -0.337323, -0.362962, -0.381911, -0.608286, -0.249368, -0.306401, 2
-0.263599, -0.721942, -0.0788394, 1.43772, 0.846346, 1.64273, 1.16637, 0.167876, -0.494944, -0.95148, -0.694919, -0.993977, -0.933632, -0.881166, -0.813655, -0.336903, -0.137814, -0.238636, -0.335576, -0.358582, -0.371769, 2.05001, -0.23543, -0.293363, 2
-0.263599, -0.73187, -0.945418, 1.68287, 1.43848, 1.64273, 1.16637, 0.167876, -0.496417, -0.66169, -0.700707, -1.00198, -0.939317, -0.886873, -0.815987, -0.281376, 0.146664, -0.227394, -0.330334, -0.360334, -0.365008, -0.595561, 2.66751, -0.287278, 2
-0.276055, -0.746762, -0.954236, -1.11084, 0.851573, 1.64273, 1.16637, 0.171475, -0.467677, -0.287791, -0.699984, -0.993176, -0.933632, -0.884336, -0.813072, -0.2923, 0.147726, -0.0362812, -0.330334, -0.360334, -0.359374, -0.634373, 2.66751, -0.295101, 2
-0.287266, -0.745343, -0.934996, -1.11924, 1.29661, 0.951934, 1.16637, 0.274933, -0.277547, -0.280145, -0.691301, -0.387238, 1.9722, -0.883068, -0.827063, -0.369673, -0.177089, -0.210531, -0.324218, -0.36559, -0.414589, -0.70118, -0.66518, -0.74361, 2
-0.292249, -0.763072, -0.932592, -1.09328, -1.19887, 0.948036, 1.00438, 2.21276, -0.274599, 0.049405, -0.056003, -0.387238, 2.04256, -0.879263, -0.828229, -0.367853, -0.182397, -0.207159, -0.314608, -0.360334, -0.41797, -0.686546, -0.610977, 2.78188, 2
4.39509, 1.89552, 2.01265, -1.11924, -1.20708, -1.19141, 0.567936, 2.21276, -0.206801, -0.0561122, -0.680447, -0.39124, 2.04256, 1.7817, -0.811323, -0.385148, -0.212118, -0.110478, 0.0383441, -0.357706, -0.408955, -0.722813, -0.687636, -0.602799, 2
-0.930015, -0.763781, -0.918162, -1.11848, -1.20708, 1.41429, 0.546715, 2.21276, 1.3813, -0.0553476, -0.679, -0.388038, -0.916577, 1.71828, -0.815404, -0.386058, -0.218487, -0.113851, 0.0348495, 0.655875, -0.416843, -0.724085, -0.692282, -0.773163, 2
-0.0991746, -0.766618, -0.916559, -1.11695, -1.20857, -1.19219, 0.543178, 2.21276, -0.196483, -0.054583, -0.0545558, -0.387238, -0.372931, 1.71892, -0.827646, -0.387879, -0.217426, -0.118347, 0.0322286, 0.0514058, -0.42135, -0.72663, -0.69383, -0.779247, 2
-0.979841, -1.13112, 2.01265, -1.10779, -1.20335, 1.64273, 1.10058, -1.01245, 1.3813, 1.6574, 0.608962, -0.0654577, -0.451813, -0.37193, -0.822982, -0.39061, -0.231225, -0.139707, 0.0261131, -0.200018, -0.37853, -0.727266, -0.709317, -0.74361, 2
-0.994789, -1.15098, -0.991913, -1.16201, -1.20036, -1.19843, 0.97538, -1.01425, 1.3813, 1.6574, 0.161793, 0.321158, -0.378617, -0.373832, 1.62887, -0.394251, -0.246086, -0.163315, -0.233359, 0.00147142, -0.410082, -0.727266, -0.720157, -0.814884, 0
-0.888909, -1.15239, -0.987103, -1.09557, -1.19961, -1.19297, 1.16637, -1.01515, 1.3813, 1.6574, 0.158175, 0.313954, -0.38217, -0.381442, 1.62887, -0.396982, -0.250332, -0.165563, -0.175699, -0.231556, -0.402194, -0.723449, -0.716286, -0.814015, 0
-0.868979, -1.14459, -0.979087, -1.09251, -1.19663, -1.18985, 1.16637, -1.01425, 1.3813, 1.6574, 0.149492, 0.304349, -0.390698, -0.387784, 1.57, -0.400623, -0.254578, -0.17006, -0.135511, -0.240316, -0.390926, -0.71645, -0.707768, -0.804454, 0
0.414028, 1.89552, -0.773866, -0.961915, -1.11001, 1.27082, 1.16637, 1.31402, 1.3813, 1.6574, -0.0516615, 0.0466049, -0.350191, -0.579936, 1.62887, -0.497112, -0.368157, -0.290349, -0.335576, -0.15534, -0.0483671, -0.523663, -0.479342, -0.545432, 0
-0.253634, -0.492178, -0.689693, -0.876378, -1.03459, 1.23106, 1.16637, 1.27893, 1.3813, 1.6574, -0.487977, -0.206336, -0.431205, -0.656036, 1.62887, -0.537164, -0.413801, -0.340938, -0.37489, -0.371722, 0.324616, -0.449857, -0.389521, -0.439389, 0
-0.191352, -0.461685, -0.652817, -0.846592, 0.116073, 1.20845, 1.16637, 2.21276, 1.3813, 1.6574, -0.524879, -0.0966752, -0.471001, -0.688379, 1.62887, -0.554459, -0.433969, -0.362297, -0.290146, -0.387491, 0.146576, -0.417408, -0.35003, -0.384629, 0
-0.0580685, -0.364532, -0.54219, -0.85423, 0.154901, 1.16011, 0.868567, 1.24205, 1.3813, 1.6574, -0.635586, -0.388038, -0.822771, -0.785406, -0.871366, -0.604524, -0.493412, -0.416259, -0.370522, -0.431293, 0.0395263, -0.321333, -0.232333, -0.265548, 2
-0.0854726, -0.300709, -0.473249, 1.68287, 0.181036, 1.1297, 0.432122, 1.21686, 1.3813, -0.919366, -0.702155, -0.364825, -0.397094, -0.84375, -0.770517, -0.631833, -0.529503, -0.45673, -0.423814, -0.472467, 0.0891071, -0.259616, -0.16032, -0.196012, 2
-0.145263, -0.667337, -0.864452, -0.677809, 0.210904, 0.243204, 1.16637, 1.21326, 1.3813, 1.6574, -0.669594, -0.363224, -0.446839, -0.839311, -0.77693, -0.573575, -0.529503, -0.476965, -0.489337, -0.472467, 0.0474141, -0.255162, -0.16032, -0.204704, 2
-0.150246, -0.675847, -0.85884, -0.650315, 0.221358, 0.245543, 1.16637, 1.21326, 1.3813, 1.6574, -0.666699, -0.365626, -0.449681, -0.623694, -0.783925, -0.626371, -0.532687, -0.481462, -0.4972, -0.409392, -0.15429, -0.426952, -0.16032, -0.206443, 2
-0.162702, -0.645354, -0.445993, -0.678573, -0.772501, 0.255679, -0.0920378, 0.63389, 1.3813, 1.6574, -0.658017, -0.39204, -0.348769, -0.288854, -0.789172, -0.42429, -0.521011, -0.492704, -0.512052, -0.48736, -0.566712, -0.465764, -0.151803, -0.200358, 2
-0.152737, -0.686484, -0.749015, -0.661007, -0.769514, 1.64273, -0.935927, 1.6199, 0.582461, 0.826257, 1.77319, -0.364025, -0.387855, -0.362417, -0.591554, -0.339634, -0.396817, -0.498325, -0.525157, -0.53817, -0.608405, -0.80998, -0.396489, -0.181236, 1
-0.105403, -0.662373, -0.859642, -0.189787, -0.75458, -0.821061, -0.0849641, 0.625793, 0.566248, 0.804083, 1.77319, -0.393641, -0.413438, -0.384613, -0.591554, -0.356019, -0.511458, -0.485959, -0.519041, -0.536418, -0.591503, 2.05001, -0.413525, -0.141252, 1
-0.0941921, -0.655991, -0.858039, 1.68287, -0.751593, 0.27595, -1.09367, 0.621295, 1.02462, 0.801789, 1.77319, -0.400045, -0.419834, -0.392857, -0.311742, -0.35784, -0.509335, -0.48371, -0.514673, -0.535542, -0.593756, 2.05001, -0.494829, -0.141252, 1
-0.0705249, -0.645354, -0.846815, -0.181386, -0.741886, -0.709567, -1.10782, 0.618596, 1.01357, 1.6574, 1.77319, -0.410451, -0.431205, -0.403638, -0.326315, -0.365122, -0.504027, -0.474717, -0.511178, -0.532914, -0.602771, -0.705634, -0.484763, -0.0899695, 1
-0.021945, -0.619115, -0.817956, -0.990937, -1.07043, -0.70177, -1.32215, 0.607801, 1.00915, 1.26056, 1.77319, 2.33909, -0.435468, -0.429639, -0.425998, 3.45713, -0.488105, -0.44886, -0.502442, -0.525906, -0.594883, -0.698635, -0.458435, -0.336823, 1
0.0864255, -0.56522, -0.761039, -0.945877, -1.01966, 1.64273, -1.36035, 0.591607, 0.98704, 0.723798, 1.77319, 0.023392, -0.488056, -0.481641, -0.457477, -0.144835, -0.276869, -0.430873, -0.482348, -0.507509, -0.575727, -0.102459, -0.562969, -0.277717, 0
0.116321, -0.544655, -0.738593, -0.918383, -1.00099, -1.05497, -1.35964, 0.580811, 1.24055, 0.706212, 1.77319, -0.00142191, -0.504401, -0.498763, -0.461558, -0.16122, -0.281115, -0.384781, -0.475359, -0.498749, -0.565585, 2.05001, 0.0425528, -0.251641, 0
-0.0618054, -0.464521, -0.645603, -0.830554, -1.08387, -0.844452, -0.0800125, 0.543026, 1.3813, 0.632044, 1.77319, -0.103079, 2.04256, -0.572961, -0.528596, 0.106401, -0.290668, -0.367918, -0.433424, -0.460203, -0.516005, -0.690363, -0.46463, -0.147337, 0
-0.0381383, -0.452466, -0.63438, -0.81528, -1.08686, -0.99649, -0.0800125, 0.53403, 0.0231243, 0.620574, 1.77319, -0.119088, 2.04256, -0.584376, -0.53734, -0.189439, -0.041219, -0.360049, -0.429929, -0.453194, -0.504736, -0.674457, -0.448369, -0.130822, 0
0.741631, -0.190791, -0.335366, -0.690028, 1.52435, -0.541935, 0.532568, 0.406281, -0.081521, 1.6574, 1.77319, -0.436065, 2.04256, 1.7817, -0.621867, -0.0711028, -0.161167, -0.194792, -0.298009, -0.32354, -0.334584, 2.05001, 2.66751, 0.213382, 0
0.78772, -0.164552, -0.302498, -0.681627, -0.511155, -0.467866, -0.101941, 0.393686, -0.0969967, 0.396541, 1.77319, -0.468083, 2.04256, 1.7817, -0.629445, -0.0947699, 0.125434, -0.167812, -0.282283, -0.326168, -0.316554, 2.05001, 2.66751, 0.0134656, 0
