@relation waveform-noise
@attribute f1 real [-3.5166, 3.36393]
@attribute f2 real [-3.41395, 3.77754]
@attribute f3 real [-3.15553, 3.45223]
@attribute f4 real [-3.00624, 3.29]
@attribute f5 real [-2.89012, 3.18105]
@attribute f6 real [-2.85825, 3.15837]
@attribute f7 real [-2.77248, 2.88509]
@attribute f8 real [-3.06762, 2.77598]
@attribute f9 real [-2.95765, 2.78832]
@attribute f10 real [-3.09332, 3.19039]
@attribute f11 real [-2.64477, 2.99947]
@attribute f12 real [-3.10454, 3.15052]
@attribute f13 real [-3.00511, 2.56241]
@attribute f14 real [-3.06718, 3.48496]
@attribute f15 real [-2.57277, 3.03302]
@attribute f16 real [-2.66924, 3.19974]
@attribute f17 real [-3.1813, 3.18346]
@attribute f18 real [-3.26465, 3.58013]
@attribute f19 real [-3.56234, 3.46517]
@attribute f20 real [-3.23225, 4.03394]
@attribute f21 real [-3.61205, 3.65249]
@attribute f22 real [-3.22234, 3.73672]
@attribute f23 real [-3.43529, 3.98954]
@attribute f24 real [-3.54489, 3.29085]
@attribute f25 real [-3.72527, 3.87955]
@attribute f26 real [-3.58542, 3.99701]
@attribute f27 real [-3.47614, 3.90117]
@attribute f28 real [-3.72142, 3.55608]
@attribute f29 real [-3.65813, 3.81846]
@attribute f30 real [-3.48826, 3.52859]
@attribute f31 real [-3.54407, 3.78065]
@attribute f32 real [-3.46811, 3.18499]
@attribute f33 real [-3.40144, 3.31504]
@attribute f34 real [-3.751, 3.99382]
@attribute f35 real [-3.48753, 3.52551]
@attribute f36 real [-3.56292, 3.33343]
@attribute f37 real [-3.39103, 3.37198]
@attribute f38 real [-3.29325, 3.74687]
@attribute f39 real [-3.46879, 3.30024]
@attribute f40 real [-3.7653, 3.4643]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40
@outputs clase
@data
0.398012, 0.0518268, -0.814395, -0.769136, 0.100513, -0.359037, -0.57833, 0.642237, -0.20749, -1.0862, -1.13519, 0.460449, 0.260689, 1.32547, 0.312486, 0.786688, 0.534474, 1.11233, 1.24771, -1.15485, -0.362387, -1.75465, -0.424393, 0.445917, -1.31691, 0.419816, 0.131448, 0.0962877, -0.786392, 2.40305, 0.308409, 1.25962, 1.36509, -0.0330864, -0.190203, 0.695702, 0.0660698, 0.924798, -0.777011, 0.193526, 0
0.517848, -1.49814, -0.627783, -0.48774, 0.520041, -1.10499, -0.209358, -1.56547, -0.417197, -0.4762, 0.980637, 0.63674, 0.724649, 0.293908, 1.20602, 0.58144, 1.13979, 0.0728884, 2.09801, 0.236346, 2.35064, -1.23547, 0.67141, 0.475552, 1.03149, 1.65298, 1.30695, -0.331216, -0.403494, 0.0607241, 1.00886, -1.22017, -0.525766, -1.43852, -3.48753, 1.73267, -0.347169, -0.240186, -0.618671, 0.173582, 2
-0.151232, -0.573938, -0.941631, 0.764473, -1.60157, -0.614947, -0.229036, -0.313678, -0.381247, 0.356817, 0.435008, 1.38761, 1.45373, -0.0745085, 1.13114, -0.0453986, 0.504508, 0.129457, -0.627957, 0.292746, -0.00462506, 0.00258593, -0.782833, -1.29265, 1.10145, 0.52173, 0.688799, 0.305069, -1.19952, -0.740332, -0.432069, -0.524615, 0.0651262, 0.535067, -0.63848, 0.413807, 0.207176, -0.189971, 1.24182, 1.84886, 2
0.597738, 1.31298, -1.20458, -0.452565, -0.588712, -0.827298, -0.883347, -0.575416, -0.620912, -0.463081, 1.44139, 1.72713, 0.93554, 0.537629, 0.417314, 0.159849, 0.228822, 1.12648, 1.0143, -0.816453, -1.96238, -0.436723, 0.476828, 0.20884, 2.26066, -0.487222, 0.222651, -0.0826673, -0.554638, -0.628793, 1.03888, -1.06896, -1.70755, -0.122795, 0.417461, -0.351335, -1.64736, -0.722248, 1.43975, 2.07821, 2
-1.04001, -1.52703, -1.28941, -0.121925, -1.03821, -1.28467, -0.819392, -0.740426, -0.65087, 0.00918024, 0.816948, 0.466979, -0.0646857, 1.15543, 1.21101, 0.503778, 1.10982, 0.560791, 1.28106, 1.15754, 0.452515, -1.16558, -0.741869, -0.0973855, -0.947159, 0.725559, 0.0706458, -0.589706, -0.272503, -1.45013, 1.18898, 1.77373, -0.0235077, -2.65456, -1.91358, 0.57489, 0.832074, 0.362392, 1.5684, -1.0031, 2
0.168328, 0.658338, -0.704125, -0.227448, 0.154452, -0.0976815, -0.494696, -0.262468, 0.134033, -0.128563, -1.03213, -0.022718, 0.254663, 0.373259, 0.841617, 0.553704, 0.18687, 0.475939, -0.16946, 1.41134, 2.43014, -0.686331, 0.620204, -0.156655, 0.0521605, 0.949771, 0.232784, 0.165881, -0.715859, -1.07495, 0.948822, -0.474212, -0.102293, -1.68771, -1.13656, 0.685634, -0.0951941, -1.95753, -0.846285, 0.373019, 0
0.0684658, -0.496921, -0.721089, -0.726926, -0.247096, 0.169119, -0.411063, 0.238249, 0.439606, 0.0222986, 1.20495, 1.8316, 1.81526, 1.54652, -0.231619, -0.483631, -0.376489, 0.115315, 0.630825, -0.0832538, 0.045064, 0.182303, -0.598493, 2.02643, 0.421909, -1.83249, 0.475992, -0.291448, 1.13818, -0.811312, 1.24902, 0.564074, -2.10148, -0.690948, -0.767982, 1.7226, -0.659618, 0.844455, -0.579086, 0.21347, 2
1.57639, 1.27448, 1.34013, -0.44553, -0.576725, 0.463143, 0.956594, -0.399027, -0.956443, -1.41416, -0.910879, -0.159833, -0.673257, -0.431589, 0.0179705, -0.139702, 0.600399, 0.68807, 0.847569, 1.06354, -0.064252, -1.18555, 1.97204, -0.848131, 0.631766, 1.20456, -0.436037, 0.265301, 0.241387, 0.506882, -0.171901, -0.0105119, -0.0136595, -0.232438, 0.268036, 0.252725, -1.92957, -2.52998, -0.697841, 1.67933, 0
-0.660531, 0.408032, -0.899219, 1.28506, 0.0405803, 0.446809, -0.750517, -0.842845, -0.0816658, -1.11244, -1.62626, -0.46018, 0.616191, 0.747343, 0.352421, 0.64246, 0.126938, 0.567862, 0.0639561, -1.55905, -0.48164, 0.192288, -2.2678, 0.682994, 0.122113, 1.20456, 0.364522, -1.65349, -1.29021, -0.659213, -0.562152, 0.362465, -0.604552, -0.760721, -0.548824, -0.663433, 0.00559586, 1.50729, 0.727217, 0.901528, 0
-0.400888, -0.0540719, 1.71335, 1.37651, 0.29829, 0.958629, 0.198971, 0.539818, 1.60797, 1.19639, 0.216756, -0.473239, -0.926326, 0.197553, -1.38472, -0.66669, -0.334537, 0.0587463, 0.589143, -0.619053, -0.233195, 0.212256, -0.403911, 0.357013, -0.867214, -0.252819, 1.33735, 0.742514, -0.786392, 0.192544, -0.542139, 0.352384, -1.34317, 1.04341, -0.279858, 0.282928, -0.145589, 0.181619, 0.0542729, -0.404786, 1
