@relation waveform
@attribute f1 real [-3.3116, 3.89539]
@attribute f2 real [-3.40599, 3.36092]
@attribute f3 real [-4.10148, 3.40713]
@attribute f4 real [-3.41399, 3.36225]
@attribute f5 real [-2.85462, 3.0919]
@attribute f6 real [-2.62228, 3.09929]
@attribute f7 real [-2.9675, 3.02524]
@attribute f8 real [-3.53894, 2.96711]
@attribute f9 real [-3.63865, 3.14314]
@attribute f10 real [-3.12024, 3.03057]
@attribute f11 real [-2.85237, 3.38937]
@attribute f12 real [-3.10993, 2.90019]
@attribute f13 real [-3.20232, 2.91906]
@attribute f14 real [-3.10698, 2.89832]
@attribute f15 real [-2.57963, 3.00794]
@attribute f16 real [-2.75614, 3.23607]
@attribute f17 real [-2.93125, 3.23661]
@attribute f18 real [-3.5961, 3.68015]
@attribute f19 real [-3.47565, 3.85736]
@attribute f20 real [-3.63189, 3.96981]
@attribute f21 real [-3.86998, 4.04325]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21
@outputs clase
@data
0.133504, -1.4414, 0.629277, 0.910369, 1.06603, 0.635378, 0.410857, 1.07715, -0.764807, 0.27511, 0.037544, -0.121402, -1.58569, -1.16392, 0.476693, 0.0439038, -1.29647, -0.318953, -1.01182, -0.72808, -1.03165, 0
-0.925766, 2.03221, 0.444087, 1.39792, 0.952821, 0.866886, 0.505113, 0.876697, 0.329418, 0.353464, -0.51912, -0.557781, -1.1558, -1.20937, -0.112776, -1.59636, -0.494046, -0.984291, 0.132393, -0.200955, -0.610414, 1
-0.509978, -0.777052, -0.271419, -1.88068, -0.626165, 0.24953, -1.36514, -0.360369, -1.13155, -1.02427, -1.30674, -0.326368, -0.374735, 1.05185, 0.808578, 1.46878, 1.17666, -0.43928, 0.0739298, 1.29719, 0.39253, 0
-1.08416, -0.530292, -0.473445, -1.42846, -0.131615, -0.152854, -0.372961, 0.544522, -0.271804, 1.09783, 0.404705, 1.52494, -0.635091, -0.357154, -1.11339, -0.348213, 0.278433, -1.12585, -1.5714, -0.422902, -1.54315, 1
0.380996, 0.561145, -0.406103, -1.05396, -0.548706, -1.42064, -1.256, -1.03617, -0.0253031, 0.216344, 0.635661, 0.810862, 0.551646, 0.801862, 0.382576, 0.181973, 0.422149, -0.120767, 0.41636, 0.418648, 0.93412, 2
1.20267, -0.50182, 0.595606, -0.587611, -0.697667, 0.591281, 0.698587, 1.5525, 0.996776, 0.634233, 2.00955, -0.564392, 0.0914829, -0.783263, -0.533825, -0.701671, -0.320388, -0.602076, -1.37931, 0.224444, 0.151824, 1
0.994779, 0.0581347, 0.28415, -0.276709, 0.869403, -0.163878, -0.606123, 0.773608, 1.55591, 0.967239, 0.789632, 1.01583, 0.139921, -1.33436, -0.509057, -0.596738, -1.0749, -0.347265, 0.641862, -0.376663, -1.78386, 1
1.63826, -0.843487, -0.902749, -1.14582, -0.256742, -0.648944, -0.601162, -0.600909, -0.566404, -0.188486, 0.345486, -1.65534, 1.49619, 0.847314, 0.788764, 1.84985, 0.9551, 2.67507, 0.925828, 0.705331, -0.921327, 2
-0.935665, 1.11161, 0.620859, 1.05875, 0.136515, 0.161336, 0.901983, 0.825153, -0.169597, -0.965499, -1.33043, -1.11978, -1.18608, 0.926854, -0.196985, -1.0717, -0.344341, -0.333109, -0.560818, 0.575861, -1.46292, 0
0.2424, 0.209987, 1.42896, 0.0271262, -0.655958, -1.49781, -0.462257, -1.32826, -1.22174, -0.750025, -0.211178, -0.471827, 1.22978, 1.60295, 1.08102, 1.22025, 0.649701, 0.551649, 0.859013, -0.496885, 0.673355, 0
