@relation wine-quality-red
@attribute f1 real [-2.13638, 4.35379]
@attribute f2 real [-2.27757, 5.87614]
@attribute f3 real [-1.39104, 3.7424]
@attribute f4 real [-1.16233, 9.19281]
@attribute f5 real [-1.60344, 11.1236]
@attribute f6 real [-1.42206, 5.36561]
@attribute f7 real [-1.2302, 7.37285]
@attribute f8 real [-3.53762, 3.6789]
@attribute f9 real [-3.69924, 4.52687]
@attribute f10 real [-1.9359, 7.9162]
@attribute f11 real [-1.89832, 4.20114]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11
@outputs clase
@data
-0.528194, 0.961576, -1.39104, -0.453077, -0.24363, -0.466047, -0.379014, 0.5581, 1.28824, -0.579025, -0.959946, 2
-0.298454, 1.96683, -1.39104, 0.0434026, 0.223805, 0.872365, 0.624168, 0.0282519, -0.719708, 0.12891, -0.584594, 2
-0.298454, 1.29666, -1.1857, -0.169374, 0.0963227, -0.0836433, 0.228975, 0.134222, -0.331073, -0.0480738, -0.584594, 2
1.65434, -1.38401, 1.48369, -0.453077, -0.264878, 0.107558, 0.411372, 0.664069, -0.978798, -0.461036, -0.584594, 3
-0.241019, 0.403103, -1.08303, -0.665853, -0.39236, -0.0836433, 0.380972, -0.183687, -0.071983, -1.16897, -0.959946, 2
-0.585629, 0.682339, -1.39104, -0.949556, -0.477348, -0.0836433, -0.774207, -1.13741, 0.51097, -1.10998, -0.396918, 4
-0.470759, -0.15537, 0.457001, 2.5258, -0.349866, 0.107558, 1.68815, 0.5581, 0.25188, 0.836846, 0.072271, 2
-0.298454, 0.45895, 0.0976606, -0.665853, 0.563758, -0.657248, -0.531011, 0.346161, -0.331073, 5.32044, -1.24146, 2
0.103591, -1.38401, 1.48369, -0.524002, 0.0963227, 1.82837, 1.71855, 0.0812367, -0.071983, 0.541872, 0.072271, 4
-0.241019, -0.546301, -0.313015, -0.665853, 0.393782, -0.561648, -0.287816, -0.0777177, -0.914026, 1.48579, -0.866108, 2
-0.298454, 0.654416, -1.39104, -0.382151, -0.116148, -0.752849, -0.926204, -0.183687, 0.446197, -0.402042, -0.584594, 3
-0.81537, 0.431027, -0.775024, 5.78838, -0.307372, 2.30638, 1.11056, 1.35287, 0.899605, -0.815004, -0.959946, 3
-0.298454, 0.403103, -0.672355, -0.0984486, -0.0311597, -1.23085, -0.956604, 0.399145, 0.705287, -0.343047, 0.353785, 3
