@relation wine-quality-white
@attribute f1 real [-3.61998, 8.70422]
@attribute f2 real [-1.96678, 8.15281]
@attribute f3 real [-2.76146, 10.9553]
@attribute f4 real [-1.14183, 11.7129]
@attribute f5 real [-1.6831, 13.7417]
@attribute f6 real [-1.95848, 14.9168]
@attribute f7 real [-3.04392, 7.09772]
@attribute f8 real [-2.3128, 15.0298]
@attribute f9 real [-3.10109, 4.18365]
@attribute f10 real [-2.36447, 5.17107]
@attribute f11 real [-2.04309, 2.99502]
@attribute clase {0, 1, 2, 3, 4, 5, 6}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11
@outputs clase
@data
1.4756, 0.0174502, 0.543783, 0.100272, 0.193503, -0.312109, -0.973236, 0.358628, 0.475053, -0.436771, -0.336633, 3
-0.657434, 0.215874, 0.0479962, -0.944669, 0.147732, -1.25289, -0.149669, -0.00915324, 0.739953, 0.00134171, -0.824192, 3
1.7126, 1.40641, 2.36167, 2.53518, -0.264206, 0.334678, 0.79155, 2.0638, -1.37924, 1.57855, -0.661672, 2
-0.775936, 3.7875, 1.20483, -1.02353, -0.767685, -0.370908, -1.49091, -1.61402, 0.938628, -0.874884, 1.85738, 5
0.646087, 0.61272, 0.709045, -1.04325, -0.584602, -1.07649, 0.76802, -0.778151, -0.452095, 0.351832, 0.638485, 3
-0.42043, 0.315085, -1.60463, 0.218567, -0.0811222, -0.0769139, -0.126139, 0.492367, 0.210154, 0.0889643, -0.824192, 2
0.172079, -0.280185, -0.117266, 0.514305, 0.0104195, 1.21666, 2.50928, 0.492367, 0.408829, 0.0889643, -0.0928532, 3
0.172079, 0.0174502, 0.461152, 0.455157, 0.239274, -0.194512, 0.062105, 0.692975, 1.26975, 0.351832, -0.0115934, 3
0.646087, -0.0817616, 1.20483, -1.04325, 0.0561903, -1.07649, -0.149669, -0.878455, 0.0114792, 0.00134171, 0.882265, 3
1.94961, -0.379397, 0.461152, 0.790327, -0.0811222, -0.900098, 0.0856355, 1.12763, 0.0777041, 0.351832, -0.417892, 3
-0.42043, 1.10878, -0.860946, -0.195466, 0.239274, -0.606103, 0.250349, -0.209761, 0.342604, -1.22537, -0.417892, 2
0.172079, 0.513509, -0.117266, -1.02353, 0.330815, 0.158281, -0.00848644, -1.14593, -0.38587, -1.83873, 0.557225, 3
0.527585, -0.379397, 0.461152, 2.27887, 0.513899, 0.569873, 0.250349, 1.96349, 0.143929, -1.13775, -1.55553, 2
-0.183426, -0.478608, 0.461152, -0.767226, 5.77755, 1.62825, 0.462123, -0.109457, -0.51832, -1.13775, -0.905451, 3
-0.775936, 1.70405, -0.613053, -0.392625, 0.788524, 1.62825, 1.59159, -0.00915324, 0.541278, 0.264209, -0.580412, 1
0.172079, 0.315085, -0.613053, 0.198851, 1.06315, -0.429707, 0.509184, 0.458932, -0.38587, -0.261526, -0.580412, 3
0.0535775, -0.875455, 0.130627, -0.274329, 0.971607, -0.194512, 0.273879, 0.325194, 1.1373, -0.0862809, -0.580412, 2
-0.775936, -1.17309, -0.0346349, -1.04325, 0.513899, -0.841299, -1.32619, -1.01219, 0.872403, -0.261526, 0.313446, 4
0.0535775, -0.280185, 0.130627, -1.00382, -0.309976, -0.370908, 1.23863, -1.07906, -0.38587, 0.264209, 0.394706, 3
-1.01294, -0.875455, -0.613053, 1.18464, 0.101961, 0.863868, 0.203288, 1.06076, 0.739953, -1.13775, -1.31175, 3
-0.301928, 1.00957, -1.52199, -0.353193, -0.0811222, -0.606103, -1.42032, -0.310065, -0.51832, -0.962507, -0.255373, 3
0.409083, -0.379397, -0.530422, -0.984101, -0.355747, -0.25331, -0.384974, -0.443804, -0.25342, -0.261526, -0.174113, 3
-0.775936, 0.711932, -2.51357, -1.02353, 0.834295, -0.370908, -0.432035, -0.209761, 0.210154, 0.439455, -1.14923, 2
-0.183426, -0.280185, -1.68726, -1.02353, -0.218435, 2.68663, 0.838611, -0.677847, -0.319645, -0.612016, -0.580412, 2
0.646087, -0.379397, -0.365159, 0.73118, 0.193503, -0.841299, -0.784992, 0.72641, -0.38587, -1.22537, -0.824192, 2
-0.775936, -0.0817616, 0.791676, 0.277715, 0.468128, 0.74627, 2.48574, 0.525802, -0.584545, 0.176587, -1.23049, 3
2.06811, -0.478608, 1.03957, -1.06296, 0.376586, -1.54688, -1.5615, 0.0242814, -1.57792, 0.00134171, -1.14923, 3
-0.183426, -0.478608, -0.199897, -0.84609, 0.0104195, -0.312109, -0.996767, -0.477239, 0.938628, 1.31568, 0.150926, 5
0.646087, -0.974667, -0.282528, 0.474873, 0.834295, -0.547305, -0.832053, 0.692975, -1.64414, 0.6147, -0.986711, 2
0.290581, 0.61272, -1.10884, -0.057455, 0.788524, 0.687471, 0.603306, 0.191455, -0.120971, -0.612016, -0.417892, 2
0.290581, 1.60484, 2.36167, 1.06635, -0.0811222, 0.981465, 0.32094, 1.16106, -0.452095, -0.261526, -1.47427, 3
0.646087, -0.280185, 0.29589, 1.40152, 0.651211, 0.981465, 1.26216, 1.16106, -1.24679, -0.436771, -1.14923, 2
0.290581, -1.56994, -0.117266, 0.6326, 0.376586, 1.68705, 0.556245, 0.72641, 1.4022, -0.699639, -0.905451, 2
0.0535775, 0.513509, -0.44779, -1.00382, 0.239274, 0.0994826, 1.14451, -0.443804, 0.541278, 0.96519, -0.174113, 2
-0.42043, -1.07388, 1.70062, 0.415726, 1.65817, 1.68705, 0.579776, 0.626106, -1.97527, -0.874884, -1.39301, 3
0.409083, 0.315085, 1.37009, 1.36209, 0.468128, 1.92225, 1.33275, 1.3951, -1.18057, -0.173903, -1.06797, 2
-0.183426, -0.875455, 0.213258, -1.04325, -0.904997, 1.62825, 0.109166, -0.945324, 0.541278, -0.0862809, 0.394706, 3
-0.42043, -0.379397, -0.117266, 0.238283, -0.355747, 0.74627, 1.52099, 0.592671, 1.73333, 0.439455, -0.661672, 4
1.5941, -0.478608, 0.543783, -1.02353, -0.859227, 0.0406838, -0.408505, -0.677847, -0.452095, -0.962507, 0.150926, 3
1.4756, 0.0174502, 0.461152, -0.885521, -0.767685, -1.0177, -1.39678, -0.577543, 0.276379, 0.264209, 1.04478, 3
