@relation wine
@attribute f1 real [-2.42739, 2.25341]
@attribute f2 real [-1.42895, 3.10045]
@attribute f3 real [-3.66881, 3.14745]
@attribute f4 real [-2.6635, 3.14564]
@attribute f5 real [-2.08238, 4.35908]
@attribute f6 real [-2.10132, 2.53237]
@attribute f7 real [-1.6912, 3.05422]
@attribute f8 real [-1.86298, 2.39565]
@attribute f9 real [-2.06321, 3.47527]
@attribute f10 real [-1.62969, 3.42577]
@attribute f11 real [-2.08884, 3.29241]
@attribute f12 real [-1.88972, 1.9554]
@attribute f13 real [-1.48899, 2.96311]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13
@outputs clase
@data
0.294868, 0.227053, 1.83523, 0.450674, 1.27838, 0.806722, 0.661485, 0.226158, 0.400275, -0.318377, 0.361158, 0.448336, -0.0377675, 0
1.37884, -0.76655, -0.169557, -0.806975, -0.331985, -0.151973, 0.401188, -0.818411, -0.0365136, -0.0250573, 0.929908, 0.293405, 1.6929, 0
0.923081, -0.542765, 0.158499, -1.04653, -0.75208, 0.487157, 0.731565, -0.577356, 0.382804, 0.233755, 0.842408, 0.406082, 1.81992, 0
1.02162, -0.685988, 0.923961, 0.151234, 1.06833, 1.0464, 1.3723, 0.306509, 0.22556, 0.665108, 0.754908, -0.0587126, 1.21657, 0
-0.0869865, 1.31017, 1.03331, -0.267982, 0.158126, 0.18357, 0.381165, -0.898762, 0.67982, -0.240734, 0.317409, 1.27933, 0.0733763, 0
0.615134, -0.471154, 0.88751, 0.151234, -0.261969, 0.375309, 0.581394, -0.657708, 0.12073, -0.66346, 0.711158, 1.70187, 0.311541, 0
1.0709, -0.390592, 1.58007, -0.02843, 0.508205, 1.0464, 0.941805, 0.0654548, 0.295446, -0.240734, 1.27991, 1.11032, 0.533829, 0
1.25566, -0.587522, -0.570513, -1.04653, -0.261969, 0.567048, 0.301074, -0.818411, 0.67982, -0.154463, 0.361158, 1.37793, 0.914893, 0
0.935399, -0.721793, 1.21557, 0.00151402, 2.2586, 1.0464, 0.711542, 1.11002, -0.420888, 0.147484, 1.27991, 0.546929, 1.55, 0
0.627452, -0.480106, 1.03331, -0.148206, 0.718252, 0.0877008, 0.501302, -0.577356, -0.0889283, -0.37014, 0.623658, 0.363828, 1.10543, 0
