@relation yeast
@attribute f1 real [-2.84139, 3.6408]
@attribute f2 real [-2.98515, 4.03526]
@attribute f3 real [-3.3464, 5.7686]
@attribute f4 real [-1.90511, 5.38896]
@attribute f5 real [-0.0975571, 10.2435]
@attribute f6 real [-0.099098, 10.8677]
@attribute f7 real [-8.64905, 3.98146]
@attribute f8 real [-2.59365, 6.79685]
@attribute clase {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs f1, f2, f3, f4, f5, f6, f7, f8
@outputs clase
@data
0.0719502, -0.8064, 0.69189, -0.665117, -0.0975571, 6.50743, -0.171039, -0.527741, 0
-8.83426E-4, 0.323321, -0.231148, 2.83604, -0.0975571, -0.099098, 0.521044, -0.527741, 2
-0.219384, -0.887095, -3.88746E-4, -1.10276, -0.0975571, -0.099098, -0.171039, 1.16255, 0
-8.83426E-4, -1.29057, 0.57651, -0.373354, -0.0975571, -0.099098, -0.171039, -0.527741, 1
-0.365051, -0.8064, -3.88746E-4, -0.738058, -0.0975571, -0.099098, 0.00198204, -0.527741, 0
2.18412, 3.06693, -1.61571, 0.939579, -0.0975571, -0.099098, 1.04011, 0.505214, 5
2.62113, 1.93721, 0.114991, 1.01252, -0.0975571, -0.099098, 0.867085, -0.527741, 4
0.217617, -1.53265, 0.92265, 0.939579, -0.0975571, -0.099098, -0.51708, 0.880835, 1
-0.073717, -0.887095, 0.230371, 0.210172, -0.0975571, -0.099098, -0.344059, -0.527741, 6
1.74712, 0.565405, 0.114991, 0.137231, -0.0975571, -0.099098, 1.38615, -0.527741, 7
-0.583552, -2.09751, -1.84647, -0.738058, -0.0975571, -0.099098, 0.00198204, -0.527741, 3
-0.146551, -0.887095, 0.114991, -0.373354, -0.0975571, -0.099098, 0.348023, 0.035689, 0
-0.656386, 0.242627, -0.577288, -0.883939, -0.0975571, -0.099098, 0.348023, 3.60408, 3
-0.365051, -0.322234, 0.57651, 1.23134, -0.0975571, -0.099098, 0.867085, 0.97474, 1
-0.94772, -1.45196, -0.346528, -0.592176, -0.0975571, -0.099098, -0.863121, -0.246026, 1
-0.146551, -0.564317, 0.114991, 0.428994, -0.0975571, -0.099098, 0.348023, 1.44426, 1
0.290451, -0.160845, -0.692668, -1.32158, -0.0975571, -0.099098, 0.348023, -0.0582161, 0
-0.146551, 0.323321, 0.57651, -1.02982, -0.0975571, -0.099098, 0.175003, -0.527741, 0
2.25696, 2.82485, -0.346528, 0.793697, -0.0975571, -0.099098, 1.04011, -0.527741, 6
-0.146551, -0.645011, 0.230371, -0.154532, -0.0975571, -0.099098, 1.04011, -0.527741, 0
-0.365051, 0.404016, 0.461131, 2.90898, -0.0975571, -0.099098, -0.51708, -0.527741, 2
-0.292218, -0.0801506, 0.92265, -0.227473, -0.0975571, -0.099098, -1.03614, -0.527741, 2
-0.073717, -0.645011, 0.69189, 2.10663, -0.0975571, -0.099098, -1.38218, -0.246026, 2
0.945953, 0.565405, 1.03803, 1.01252, -0.0975571, -0.099098, -2.07427, -0.527741, 2
0.0719502, 0.323321, 1.15341, 2.25251, -0.0975571, -0.099098, 1.38615, -0.527741, 2
-0.802053, -0.483623, -1.73109, -0.738058, -0.0975571, -0.099098, 0.867085, -0.527741, 3
-8.83426E-4, 0.161933, 1.03803, 0.283112, -0.0975571, -0.099098, 0.175003, 0.693024, 1
-0.073717, 0.888182, -0.115769, -0.0815914, -0.0975571, -0.099098, 0.00198204, 0.035689, 0
-0.874886, 5.43763E-4, -1.50033, -0.00865065, -0.0975571, -0.099098, -1.20916, -0.527741, 3
-1.02055, -0.564317, -1.26957, -1.02982, -0.0975571, -0.099098, -0.171039, -0.527741, 3
-0.365051, -0.725706, -3.88746E-4, 1.45016, -0.0975571, 6.50743, 0.00198204, -0.0582161, 8
-0.729219, -0.483623, -0.115769, 1.5231, -0.0975571, -0.099098, -0.171039, -0.0582161, 1
-0.365051, 0.0812382, -3.88746E-4, -0.738058, -0.0975571, -0.099098, 0.348023, 6.79685, 1
-1.09339, 0.161933, -0.231148, -0.300414, -0.0975571, -0.099098, -4.15051, -0.527741, 2
0.581785, 0.968876, 0.461131, -0.665117, -0.0975571, -0.099098, -0.344059, -0.527741, 2
-0.729219, -0.967789, 0.345751, -0.738058, -0.0975571, -0.099098, 0.348023, -0.0582161, 1
-0.292218, 1.69513, -0.231148, 1.96075, -0.0975571, -0.099098, 0.521044, -0.527741, 2
0.727452, 5.43763E-4, 0.80727, -0.0815914, -0.0975571, -0.099098, -1.5552, -0.152121, 0
-0.146551, 0.323321, -3.88746E-4, -0.665117, -0.0975571, -0.099098, 0.521044, -0.527741, 1
-1.53039, -1.45196, 0.92265, -0.810999, -0.0975571, -0.099098, 0.00198204, 0.223499, 0
0.654619, -0.160845, -3.88746E-4, -0.883939, -0.0975571, -0.099098, -0.863121, -0.246026, 0
0.581785, 5.43763E-4, -3.88746E-4, -1.02982, -0.0975571, -0.099098, -0.344059, -0.246026, 1
-0.073717, -0.241539, 0.345751, -0.738058, -0.0975571, -0.099098, -0.344059, -0.0582161, 1
1.52862, 0.726793, -0.231148, 1.23134, -0.0975571, -0.099098, 1.55917, -0.527741, 2
-0.729219, -0.645011, 2.42259, -0.373354, -0.0975571, -0.099098, 0.694064, 0.411309, 0
-0.583552, 0.0812382, -3.88746E-4, -1.02982, -0.0975571, -0.099098, 0.348023, 1.72598, 1
-0.802053, -0.645011, -1.38495, 1.01252, -0.0975571, -0.099098, -0.171039, 1.81989, 3
-1.74889, -0.483623, -2.30799, -1.10276, -0.0975571, -0.099098, 0.175003, 1.81989, 3
1.16445, -0.402928, -3.88746E-4, -0.227473, -0.0975571, -0.099098, -0.171039, -0.527741, 0
-0.802053, -0.8064, 0.345751, 2.98192, -0.0975571, -0.099098, -0.51708, -0.527741, 0
-0.510719, 0.565405, 0.345751, 1.96075, -0.0975571, -0.099098, 0.521044, -0.246026, 0
-1.31189, -0.645011, 0.230371, -0.154532, -0.0975571, -0.099098, 1.73219, -0.527741, 0
0.654619, 5.43763E-4, 0.230371, 0.137231, -0.0975571, -0.099098, 0.867085, -0.246026, 0
1.60146, 0.888182, -1.50033, 0.283112, -0.0975571, -0.099098, 1.21313, -0.527741, 2
-0.583552, -1.53265, 1.38417, -1.02982, -0.0975571, -0.099098, -1.72822, -0.527741, 2
0.654619, 0.888182, -1.84647, -0.300414, -0.0975571, -0.099098, 0.175003, -0.527741, 2
-8.83426E-4, -0.725706, -0.692668, 1.74193, -0.0975571, -0.099098, -1.38218, -0.527741, 2
-0.219384, -0.322234, 1.03803, 1.66899, -0.0975571, -0.099098, 1.04011, -0.527741, 2
0.508952, -0.725706, 1.03803, -0.154532, -0.0975571, -0.099098, -1.72822, -0.527741, 0
0.581785, 0.48471, -0.577288, -1.02982, -0.0975571, -0.099098, 0.175003, -0.527741, 1
1.38295, 0.888182, -1.38495, 0.0642901, -0.0975571, -0.099098, 0.348023, -0.527741, 4
-0.94772, 0.242627, 1.15341, -0.519236, -0.0975571, 6.50743, -1.38218, -0.527741, 8
-0.656386, -0.402928, 0.345751, -0.665117, -0.0975571, -0.099098, 0.175003, -0.246026, 1
-1.38472, -0.322234, 0.461131, 1.88781, -0.0975571, -0.099098, 0.00198204, 0.599119, 1
2.32979, 2.25999, -0.115769, -0.227473, -0.0975571, -0.099098, -0.6901, -0.527741, 6
2.32979, 2.0179, 0.461131, -0.227473, -0.0975571, -0.099098, -0.6901, -0.527741, 6
-0.874886, 0.0812382, 2.88411, -0.665117, -0.0975571, -0.099098, 0.867085, -0.527741, 0
-1.02055, 1.45304, -1.38495, -1.32158, -0.0975571, -0.099098, 0.521044, -0.246026, 7
-0.874886, -0.160845, 1.03803, -0.300414, -0.0975571, -0.099098, -0.6901, -0.527741, 0
0.727452, 0.48471, -0.346528, -0.446295, -0.0975571, -0.099098, 0.00198204, 0.97474, 1
-0.219384, 1.21096, 0.461131, 2.61722, -0.0975571, -0.099098, 0.521044, 0.78693, 2
0.290451, -0.645011, -1.03881, -0.738058, -0.0975571, -0.099098, 0.348023, -0.527741, 4
0.363284, -0.322234, 0.345751, -1.10276, -0.0975571, -0.099098, 0.348023, 1.91379, 0
-1.53039, -0.564317, -1.15419, -0.810999, -0.0975571, -0.099098, 0.521044, -0.527741, 3
0.144784, 2.0179, -1.50033, -0.883939, -0.0975571, -0.099098, -0.6901, -0.527741, 3
3.05813, 0.888182, -1.15419, -0.300414, -0.0975571, -0.099098, 0.694064, -0.527741, 4
0.945953, 0.888182, -1.03881, -0.300414, -0.0975571, -0.099098, 0.175003, -0.527741, 3
0.581785, 0.242627, -1.38495, -0.592176, -0.0975571, -0.099098, 0.348023, -0.527741, 3
-1.16622, -0.967789, -0.577288, -0.519236, -0.0975571, -0.099098, 0.175003, -0.527741, 4
1.96562, 2.42138, 0.114991, 1.01252, 10.2435, -0.099098, 0.694064, -0.527741, 9
1.96562, 2.98624, -0.346528, 0.793697, -0.0975571, -0.099098, -0.344059, -0.527741, 6
0.508952, 0.888182, -0.577288, -0.00865065, -0.0975571, -0.099098, 0.00198204, -0.527741, 0
0.581785, 0.807488, 0.114991, -0.154532, -0.0975571, -0.099098, 0.521044, -0.527741, 0
-0.802053, -0.483623, -2.53875, -1.02982, -0.0975571, -0.099098, -0.6901, -0.0582161, 3
-0.292218, -0.160845, -0.692668, -0.373354, -0.0975571, -0.099098, 0.867085, -0.527741, 8
1.74712, 1.77582, -0.346528, -0.0815914, -0.0975571, -0.099098, 1.21313, -0.527741, 5
2.98529, 2.17929, -1.84647, 1.5231, -0.0975571, -0.099098, 0.348023, 0.317404, 5
-0.219384, -0.241539, 0.92265, -0.738058, -0.0975571, -0.099098, -0.171039, 0.035689, 0
-1.09339, 0.48471, -1.61571, 0.283112, -0.0975571, -0.099098, 0.521044, -0.246026, 3
-0.437885, 0.0812382, -1.50033, -0.810999, -0.0975571, -0.099098, 0.175003, -0.527741, 3
0.727452, 0.807488, -0.115769, 0.283112, -0.0975571, -0.099098, 0.521044, -0.527741, 1
-1.09339, 1.45304, 0.80727, 1.01252, -0.0975571, -0.099098, 0.521044, 0.78693, 1
-1.31189, -0.967789, 0.230371, -0.446295, -0.0975571, -0.099098, 0.348023, 0.035689, 0
0.654619, 1.21096, 0.230371, 0.283112, -0.0975571, -0.099098, -0.6901, 0.317404, 0
-0.656386, 0.161933, -1.03881, -1.10276, -0.0975571, -0.099098, 0.694064, 0.693024, 0
-0.94772, -1.37126, -3.88746E-4, -1.02982, -0.0975571, -0.099098, 0.175003, 2.47722, 0
-1.67606, 0.0812382, -0.346528, 0.647816, -0.0975571, -0.099098, -0.171039, 0.035689, 1
-2.40439, -0.967789, -0.577288, -1.24864, -0.0975571, -0.099098, 0.694064, -0.0582161, 1
0.727452, -0.8064, 1.03803, -0.592176, -0.0975571, -0.099098, -0.344059, -0.527741, 0
2.98529, 1.53374, 0.80727, 1.37722, -0.0975571, -0.099098, 1.04011, -0.527741, 4
-0.073717, -1.53265, -1.84647, -0.95688, -0.0975571, -0.099098, 0.348023, -0.527741, 3
-0.073717, -0.241539, 0.230371, -0.738058, -0.0975571, -0.099098, 0.521044, 0.035689, 0
-0.146551, -0.887095, -0.115769, -0.592176, -0.0975571, -0.099098, 0.175003, -0.527741, 0
-0.437885, -1.29057, 0.57651, -0.592176, -0.0975571, -0.099098, 0.348023, -0.527741, 0
-0.510719, 0.323321, 0.92265, -0.738058, -0.0975571, -0.099098, 0.00198204, 0.78693, 1
1.38295, -0.160845, -1.38495, -0.810999, -0.0975571, -0.099098, 0.867085, -0.527741, 4
0.581785, -0.160845, 0.69189, -1.02982, -0.0975571, -0.099098, -0.6901, -0.246026, 1
-0.292218, 0.565405, 0.80727, -0.810999, -0.0975571, -0.099098, 0.348023, -0.152121, 1
-0.219384, -0.402928, 0.345751, 2.61722, -0.0975571, -0.099098, -0.6901, -0.527741, 2
0.800286, 0.565405, -0.577288, -0.373354, -0.0975571, -0.099098, 0.00198204, 1.35036, 1
0.0719502, -0.160845, 0.92265, -0.300414, -0.0975571, -0.099098, 0.00198204, 0.035689, 1
-0.073717, -1.04848, 1.03803, -0.665117, -0.0975571, -0.099098, 0.175003, -0.527741, 1
0.0719502, -0.160845, 0.92265, -0.300414, -0.0975571, -0.099098, 0.00198204, 0.035689, 1
-8.83426E-4, -0.402928, -0.115769, -0.810999, -0.0975571, -0.099098, 0.867085, 1.44426, 1
-1.23905, -1.77473, -2.19261, -0.154532, -0.0975571, -0.099098, 0.521044, -0.527741, 3
-0.510719, -0.887095, 0.114991, 0.137231, -0.0975571, -0.099098, -1.72822, -0.527741, 1
0.363284, 0.242627, 0.69189, 0.210172, -0.0975571, -0.099098, -0.344059, -0.527741, 2
-0.437885, -0.725706, 0.92265, -0.446295, -0.0975571, -0.099098, 1.21313, -0.246026, 0
